,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,5835000,13499000,2170000,3665000,-9958000,-9685000,2462000,None,-9840000,None,11037000,-124000,-9834000,-5835000,-86000,-136000,86000,86000,None,None,None,-136000,-92000,19000,-9704000,-9685000,None,USD,206606000,72000,None,13068000,17713000,188893000,None,1065000,272000,-101335000,32000,2483000,1903000,165489000,10812000,None,None,-10275000,8561000,186949000,None,188893000,None,6605000,6869000,12824000,9747000,None,None,272000,None,-101335000,None,None,59000,None,8620000,1031000,None,6901000,6901000,None,None,None,300231000,206606000,165489000,None,25955508,USD,2691000,-3197000,-1809000,4500000,None,47000,-10000,1318000,-9685000,-5534000,-3772000,-7591000,460000,None,57000,-2119000,8590000,545000,1809000,8590000,None,-5534000,13.0,
1,2020-03-31,USD,13911000,16890000,3604000,10307000,-5620000,-6027000,2657000,None,-5001000,None,14233000,963000,-6583000,-13911000,-619000,209000,619000,619000,-817000,None,None,209000,963000,-817000,-5210000,-6027000,None,USD,219082000,75000,None,5557000,21074000,198008000,None,1081000,272000,-91650000,None,2483000,1670000,166485000,14032000,None,None,-10188000,7314000,200716000,None,195450000,None,17920000,32000,10854000,12951000,None,None,272000,None,-91650000,None,None,6824000,None,1570000,8048000,32000,7010000,7042000,None,None,None,299574000,219082000,166485000,None,25945744,USD,-605000,-729000,-605000,4500000,None,-7886000,-155000,-3037000,-6027000,-14023000,-5532000,-5229000,466000,None,-7731000,-753000,-94000,1420000,605000,-94000,None,-14023000,9.26,13.0
2,2019-12-31,USD,18114000,16100000,3929000,14185000,-3628000,-1620000,2654000,None,-2807000,None,13338000,-1713000,-1915000,-18006000,-821000,-1187000,-895000,821000,None,None,None,-1187000,-1821000,-817000,-1620000,-1620000,None,USD,235252000,87000,None,12729000,21561000,213691000,None,8745000,276000,-84033000,None,2483000,2263000,181270000,13819000,None,None,-7461000,7095000,215881000,None,211121000,None,20492000,32000,11096000,12816000,None,None,276000,None,-84033000,None,None,100000,None,9665000,8694000,32000,None,7742000,None,None,None,304909000,235252000,181270000,None,26419961,USD,-929000,-5114000,-929000,4500000,None,-3558000,-224000,-913000,-1620000,-4304000,183000,1958000,402000,None,-3558000,-480000,2423000,1249000,929000,2423000,None,-4304000,16.6,9.26
3,2019-09-30,USD,21219000,15366000,5731000,15488000,505000,717000,1631000,None,1569000,None,12936000,383000,122000,-20420000,-1064000,383000,1424000,1064000,-469000,None,None,383000,-416000,-469000,1186000,717000,None,USD,238966000,43000,None,13524000,23997000,214969000,None,12194000,278000,-81485000,None,2483000,1969000,184282000,16728000,None,None,-10425000,6378000,221431000,None,214969000,None,24982000,30000,9800000,11803000,None,None,278000,None,-81485000,None,None,100000,None,6378000,7772000,30000,None,7269000,None,None,None,306601000,238966000,184282000,None,26642510,USD,-209000,184000,-209000,4500000,None,-2800000,-69000,-1412000,717000,-2127000,882000,521000,-47000,None,-2731000,-102000,-1991000,2317000,209000,-1991000,None,-2127000,16.63,16.6
4,2019-06-30,USD,19588000,15169000,5400000,14188000,-648000,590000,2089000,None,514000,None,12976000,333000,-981000,-19484000,-1162000,-76000,1453000,1162000,None,None,None,-76000,229000,-469000,590000,590000,None,USD,242031000,50000,None,12624000,24248000,217783000,None,5013000,280000,-81668000,None,2483000,2608000,187291000,16729000,None,None,-8711000,6658000,223340000,None,217783000,None,25401000,30000,9957000,11746000,None,None,280000,None,-81668000,None,None,100000,None,6758000,7969000,30000,7489000,7489000,None,None,None,307882000,242031000,187291000,None,26807101,USD,-378000,-95000,-378000,None,None,1523000,-10000,1097000,590000,-1509000,-2654000,1879000,-100000,None,1533000,-223000,-3795000,-320000,378000,-3795000,None,-1509000,13.76,16.63
5,2019-03-31,USD,14789000,13910000,4228000,10561000,-4233000,-1496000,2324000,None,-3033000,None,11487000,-884000,-3349000,-14690000,-1200000,-1537000,316000,1200000,None,None,None,-1537000,-983000,-469000,-1496000,-1496000,None,USD,241310000,56000,None,4038000,25131000,216179000,None,4827000,278000,-82258000,None,2483000,1767000,189518000,17319000,484000,484000,-7356000,7066000,218215000,None,213640000,None,16382000,30000,9944000,12492000,None,None,278000,None,-82258000,None,None,11823000,None,21428000,8266000,30000,7782000,7812000,None,None,None,305515000,241310000,189518000,None,26623057,USD,-142000,-535000,-142000,None,None,1654000,-145000,-2479000,-1496000,-4062000,-5574000,-2743000,470000,None,1799000,-2021000,-900000,625000,142000,-900000,None,-4062000,17.23,13.76
6,2018-12-31,USD,15367000,5463000,-11043000,4058000,-3121000,141060000,-761000,0,-2908000,0,5131000,-1716000,-1405000,7199000,-213000,None,None,None,108378000,879000,0,-38468000,-2596000,105500000,35560000,141060000,None,USD,232120000,61000,None,9655000,18114000,214006000,None,4337000,276000,-80762000,None,2483000,5652000,192844000,18008000,85000,85000,-8523000,7144000,216780000,None,214006000,None,14710000,106000,7767000,13692000,None,None,276000,None,-80762000,None,None,None,None,7144000,None,106000,None,None,None,None,None,303015000,232120000,192844000,None,26439334,USD,None,-5163000,-466000,158745000,-30003000,-31682000,-2261000,-3388000,141060000,-43353000,-11205000,34821000,1034000,None,544000,-1788000,-2099000,-30059000,466000,-2099000,None,-43353000,12.78,17.23
7,2018-09-30,USD,16050000,16530000,4573000,11477000,-5100000,-3484000,1754000,0,-5773000,0,14564000,-47000,-5053000,-15838000,673000,None,None,None,0,0,0,485000,-932000,2774000,-6258000,-3484000,None,USD,129160000,958000,None,34856000,57194000,71966000,0,9019000,276000,-221822000,4101000,2483000,1085000,70156000,52996000,30200000,30200000,-7290000,6428000,118206000,None,68525000,0,7080000,97000,6114000,13874000,0,0,276000,0,-221822000,0,None,200000,885000,10954000,None,None,4101000,4101000,None,None,None,300802000,129160000,70156000,None,26337963,USD,None,-1624000,264000,-2527000,-12000,1871000,-10000,-3388000,-3484000,210000,-1925000,-19351000,-1149000,0,1883000,586000,-2099000,7972000,264000,1622000,None,210000,16.23,12.78
8,2018-06-30,USD,6966000,21369000,12706000,16612000,-5104000,-6471000,3385000,0,-5837000,0,16424000,-347000,-4757000,-27758000,733000,None,None,None,0,-207000,0,634000,966000,2774000,-6471000,-6471000,None,USD,125944000,7521000,None,15776000,52780000,73164000,0,4497000,272000,-218338000,4113000,3967000,1816000,66263000,18531000,94000,94000,-6676000,12712000,99928000,None,73164000,0,21358000,30136000,9835000,13940000,0,0,272000,0,-218338000,0,None,None,None,12712000,None,30136000,4113000,34249000,None,None,None,297906000,125944000,66263000,None,25957954,USD,None,-1371000,-4030000,158745000,-23000,598000,-109000,-3388000,-6471000,-10489000,-7057000,377000,1250000,0,730000,677000,-2099000,1690000,4030000,-3209000,None,-10489000,12.89,16.23
9,2018-03-31,USD,21370000,20284000,10590000,10780000,-9659000,-10326000,3744000,0,-10263000,0,16333000,-155000,-9504000,-21163000,604000,None,None,None,0,207000,0,63000,-966000,2774000,-10326000,-10326000,None,USD,133817000,7689000,None,16424000,54205000,79612000,0,38739000,271000,-211867000,4592000,3967000,3299000,77246000,19593000,93000,93000,-5155000,9239000,109623000,None,79612000,0,19999000,30020000,10909000,15373000,0,0,271000,0,-211867000,0,None,None,None,9239000,None,None,None,None,None,None,None,296363000,133817000,77246000,None,25875358,USD,None,-3079000,-1118000,158745000,-22000,-94000,-156000,-3928000,-10326000,-13144000,-11932000,-1473000,1273000,0,84000,-490000,296000,1867000,1118000,296000,None,-13144000,12.45,12.89
