,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,21563094,None,None,None,None,20555569,None,None,20555569,None,839244,None,None,None,1906442,None,4873382,2966940,None,None,None,None,None,None,20555569,20555569,None,USD,292750528,None,None,None,117423919,175326609,None,None,495895,-282979608,None,None,776759,20061813,None,None,None,None,None,None,270821669,175326609,None,None,None,None,9224079,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,None,None,-3374826,-325505,20555569,12235993,22203504,None,None,-9967511,None,None,None,1357821,0,None,None,None,2.8,
1,2020-03-31,USD,-78310494,1047519,3404680,7420010,None,-79358013,None,None,-79358013,None,847171,None,6367280,None,2173468,None,5654255,3480787,None,None,None,None,None,None,-79358013,-79358013,None,USD,273381724,None,None,None,108643173,164738551,None,None,495895,-293567666,None,None,490255,7825820,None,None,None,None,None,None,263498825,164738551,None,None,106442520,None,481498,None,None,None,None,None,None,None,None,None,None,None,106442520,None,None,None,None,None,457810320,None,7825820,None,49000000,USD,None,0,None,None,-28090601,-31992580,-51779,-712194,-79358013,-8635118,23357461,None,None,-9723218,5873020,None,None,101365325,0,None,None,None,2.55,2.8
2,2019-12-31,USD,-3772896,1127819,3903630,9525690,10820850,-4900715,None,None,-4900715,None,679177,None,8381800,None,2422975,None,6304748,3881773,None,None,None,None,-15721565,None,-4900715,-4900715,None,USD,385266593,None,None,2050452,137268051,247998542,None,None,484489,-204325249,None,None,523626,14410486,2884062,None,None,None,None,19940974,364801993,247998542,None,3480036,134383990,None,632235,None,None,None,None,None,None,None,None,None,None,None,134383990,None,None,None,None,None,451839300,None,14410490,None,48000000,USD,None,0,None,None,-19755859,-48376240,-59391,153577,-4900715,4987599,30805509,None,None,-9659566,0,None,1810059,33573099,0,None,None,None,5.44,2.55
3,2019-09-30,USD,-32216204,894260,4251600,9831450,11459638,-33110464,None,None,-33110464,None,699226,None,8931680,None,2522451,None,7114678,4592227,None,None,None,None,-44570102,None,-33110464,-33110464,None,USD,415771992,None,None,2533069,156812194,258959798,None,None,477900,-199324543,None,None,633466,8940270,2840325,None,None,None,None,16763434,398375092,258959798,None,5290095,153971870,None,666353,None,None,None,None,None,None,None,None,None,None,None,153971870,None,None,None,None,None,457806440,None,8940270,None,48000000,USD,None,0,None,None,-5023349,-22558330,2788802,-3010450,-33110464,-1130610,12655291,None,None,-9448657,0,None,-803305,49419935,0,None,None,None,6.23,5.44
4,2019-06-30,USD,-6432822,1103868,7029720,13883180,15585468,-7536690,None,None,-7536690,None,908893,None,12742330,None,2806159,None,7432376,4626217,None,None,None,None,-23122158,None,-7536690,-7536690,None,USD,465306937,None,None,2267372,164477463,300829474,None,None,476510,-156617595,None,None,2267370,10336577,5638481,None,None,None,None,17090739,447795026,300829474,None,4486790,158838980,None,972028,None,None,None,None,None,None,None,None,None,None,None,158838980,None,None,None,None,None,456970560,None,10336580,None,48000000,USD,None,0,None,None,20241007,-8772430,-1645550,2074546,-7536690,120075,-8883435,None,None,-9577843,0,None,82560,-3715009,0,None,None,None,6.4,6.23
5,2019-03-31,USD,14225110,928696,4932430,9292680,10513829,12749950,None,None,12749950,None,928700,None,8349880,None,2149841,None,4400070,4998640,None,None,None,None,2236123,None,12749952,12749950,None,USD,466118490,None,None,2402254,148174480,317944010,None,None,476510,-139503060,None,None,2402250,10081620,8128012,4433880,None,None,None,17053224,448603182,317944007,None,4569350,140046470,None,4773282,None,None,None,None,None,None,None,None,None,None,None,140046470,None,None,None,None,None,456970560,None,10081620,None,48000000,USD,None,0,None,None,-8259851,-17790040,14106,-697987,12749950,-4596990,13193050,None,None,-9530190,0,None,113385,908813,0,None,None,None,6.5,6.4
6,2018-12-31,USD,15193294,4164855,5773290,15193294,11028439,-34117656,0,0,-34117656,0,4164855,None,11028439,0,-2545832,None,None,None,0,0,0,0,-45206847,0,-34117656,-34117656,None,USD,467145213,None,None,3175805,152420966,314724247,None,None,476509,-142722822,None,None,392784,13905059,4233534,None,None,None,None,21763599,444988830,314724247,None,4682735,148187432,None,None,None,None,None,None,None,None,None,None,None,None,None,148187430,None,None,None,None,None,456970560,None,13905060,None,50000000,USD,None,0,None,None,-2023835,-21462403,-13056,-44386,-34117656,4993600,26456003,None,None,-9530192,-25000000,None,24247,60487089,0,None,None,None,6.47,6.5
7,2018-09-30,USD,15218452,4347545,4347000,15218452,10870907,6512309,0,0,6512309,0,4347545,None,10870907,0,-2258403,None,None,None,0,0,0,0,-4358598,0,6512309,6512309,None,USD,522718393,None,None,3450325,154450978,368267415,None,928000,491463,-146440451,None,None,508139,8636939,4333364,None,None,None,None,16794246,505416008,368267415,3450000,4706982,150117614,None,3405000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,49000000,USD,None,0,None,None,-7489875,-19128226,14267,1200218,6512309,-114007518,-94879292,None,None,-9829253,None,None,-949706,-101750481,0,None,None,None,7.12,6.47
8,2018-06-30,USD,12518722,3580017,3580000,12518722,8938705,6901911,0,0,6901911,0,3580017,None,8938705,0,-1250694,None,None,None,0,0,0,0,-2036794,0,6901911,6901911,None,USD,583544600,None,None,1856479,210136876,373407724,None,710000,494076,-143123507,None,None,758301,124238303,52652021,157484855,157484855,None,None,129852058,452934241,373407724,1857000,3757276,157484855,None,49359978,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50000000,USD,None,0,None,None,95193113,77677670,-212046,-183769,6901911,77289342,-388328,None,None,-9969575,None,None,-987445,-6202583,0,None,None,None,6.9,7.12
9,2018-03-31,USD,13346800,3497624,3498000,13346800,9849176,11490063,0,0,11490063,0,3497624,None,9849176,0,-1126080,None,None,None,0,0,0,0,1640887,0,11490063,11490063,None,USD,468052181,None,None,None,84242971,383809210,None,532000,504891,-140055843,None,None,574128,48805440,21822748,62420223,62420223,-113554672,None,53232016,414246037,383809210,None,4426576,62420223,None,18611209,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,51000000,USD,None,0,None,None,95193113,-16099495,-212046,-200383,11490063,18791598,34891093,None,-118169,-10152005,-5947490,None,2315663,21205680,0,None,None,None,6.11,6.9
