,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,237182000,None,None,None,None,50266000,None,None,65205000,3100000,64780000,None,None,35083000,50541000,14948000,267134000,216593000,None,None,None,14948000,None,None,50257000,50266000,None,USD,26380409000,18377000,3350686000,None,22266643000,4110666000,None,None,1293000,1788329000,68298000,660789000,19870756000,1646070000,None,None,None,63177000,732674000,None,3299944000,3431500000,3299944000,82729000,1247744000,None,217726000,None,None,None,None,None,None,None,None,None,None,None,1247744000,None,None,None,None,None,2257867000,None,None,None,None,USD,-1591745000,0,-1591745000,9320000,-142201000,1737292000,1914408000,1782000,50266000,298341000,152794000,None,10834000,-34915000,0,None,98000,89814000,15564000,None,None,None,23.47,
1,2020-03-31,USD,236295000,None,None,None,None,11866000,None,None,16367000,3109000,67902000,None,None,34919000,62198000,4509000,271973000,209775000,None,None,None,4509000,None,None,11858000,11866000,None,USD,24565810000,20958000,2867170000,None,20479551000,4083150000,None,None,1293000,1772978000,77672000,660789000,18842350000,1347729000,None,None,None,54888000,723371000,None,2816556000,3401403000,2816556000,82827000,1395167000,None,193701000,None,None,None,None,None,None,None,None,None,None,None,1395167000,None,None,None,None,None,2253991000,None,None,None,129000000,USD,-1242427000,0,-1242427000,-24682000,692538000,992134000,334931000,-28838000,11866000,-148028000,102265000,None,10792000,-33527000,-1853000,None,-7619000,116064000,16793000,None,None,None,16.7,23.47
2,2019-12-31,USD,244120000,104406000,None,237456000,None,100806000,None,None,136039000,3117000,70288000,None,133050000,35680000,65985000,35240000,280962000,214977000,None,None,None,35240000,2989000,None,100799000,100806000,None,USD,23555728000,23753000,2299244000,75208000,19402260000,4150351000,None,18000000,1289000,1869983000,None,660789000,18270340000,1495757000,19001283000,None,None,27255000,711541000,1590061000,2277389000,3465809000,2277389000,75208000,694966000,19096000,221786000,None,None,None,None,None,None,None,None,None,None,None,694966000,None,None,None,None,None,2251824000,None,None,None,129000000,USD,321882000,0,321882000,15047000,49059000,51269000,34181000,-34799000,100806000,465811000,92660000,None,10670000,-32237000,0,None,1011000,-18031000,20318000,None,None,None,30.51,16.7
3,2019-09-30,USD,243949000,100914000,None,237167000,None,103891000,None,None,136458000,3124000,64954000,None,136253000,35646000,70737000,32574000,289517000,218780000,None,None,None,32574000,205000,None,103884000,103891000,None,USD,23402679000,26608000,2428378000,76218000,19321231000,4078324000,None,None,1289000,1801414000,None,660789000,18459910000,1029946000,18676468000,None,None,27648000,687511000,1139483000,2414722000,3390927000,2414722000,76218000,644763000,33319000,224234000,None,None,None,None,None,None,None,None,None,None,None,644763000,None,None,None,None,None,2247973000,None,None,None,129000000,USD,-157895000,0,-157895000,18456000,101213000,324327000,253863000,16684000,103891000,291380000,124948000,None,10612000,-30963000,-28000,None,4734000,-10973000,27528000,None,None,None,27.27,30.51
4,2019-06-30,USD,250040000,99131000,None,244370000,None,110503000,None,None,145239000,3131000,65281000,None,145239000,35315000,72283000,34726000,296819000,224536000,None,None,None,34726000,None,None,110513000,110503000,None,USD,22960731000,29515000,2560096000,81003000,18964353000,3993247000,None,None,1289000,1728486000,None,660789000,18195213000,738566000,18419792000,None,None,19693000,662082000,853036000,2548489000,3302943000,2548489000,81003000,544561000,33467000,222668000,None,None,None,None,None,None,None,None,None,None,None,544561000,None,None,None,None,None,2243779000,None,None,None,129000000,USD,197793000,0,-43356000,7489000,185358000,-134448000,238145000,-62345000,110503000,130868000,67523000,None,10607000,-29643000,0,None,4542000,4216000,23285000,None,None,None,30.09,27.27
5,2019-03-31,USD,247989000,96678000,0,243279000,0,110706000,None,None,146601000,3121000,63028000,None,146601000,35377000,69355000,35889000,295243000,225888000,None,None,None,35889000,0,None,110712000,110706000,None,USD,23005652000,32527000,2781691000,85545000,19119888000,3882643000,None,None,1289000,1647626000,None,660789000,18176274000,607698000,18775528000,None,None,-5676000,647032000,707339000,2769602000,3189327000,2769602000,85545000,344360000,14096000,273143000,None,None,None,None,None,None,None,None,None,None,None,344360000,None,None,None,None,None,2239404000,None,None,None,129000000,USD,-241149000,0,-241149000,24012000,-90250000,418662000,538453000,89353000,110706000,317026000,139513000,None,10620000,-28281000,-1647000,None,-3577000,-67589000,27560000,None,None,None,28.98,30.09
6,2018-12-31,USD,245471000,94893000,70958000,245471000,0,115031000,0,0,153778000,3035000,57337000,None,150578000,37556000,209387000,38750000,292069000,228383000,0,0,0,38750000,3200000,0,115028000,115031000,None,USD,22388030000,35672000,2888281000,81968000,18614665000,3770330000,None,None,1286000,1565201000,216355000,660789000,17813688000,290672000,18270334000,None,None,-34105000,567189000,422411000,2888281000,3073869000,None,33600000,344331000,16171000,17938415000,None,None,None,None,None,None,None,None,None,None,None,439331000,None,None,None,None,None,2237948000,None,None,None,129000000,USD,-154283000,0,-597347000,4205000,63637000,152191000,115500000,33226000,115031000,-97094000,348062000,None,8823000,-27008000,5741000,None,None,10176000,34570000,None,None,None,22.83,28.98
7,2018-09-30,USD,202786000,98027000,98931000,202786000,0,74180000,0,0,99844000,3038000,62812000,None,104759000,35215000,0,None,None,None,0,0,0,25665000,-4915000,0,74179000,74180000,None,USD,22086539000,38817000,None,76091000,18429905000,3653596000,None,None,1286000,1477178000,210968000,660789000,17659927000,387766000,18085774000,396022000,396022000,-59251000,538523000,482327000,2706156000,2953990000,None,None,344131000,18470000,17822915000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,129000000,USD,-114795000,0,-102787000,15483000,-127997000,-227798000,-74170000,1672000,74180000,-197586000,132999000,None,8758000,-25723000,None,8313000,None,52652000,19859000,None,None,None,37.96,22.83
8,2018-06-30,USD,242437000,89107000,58613000,242437000,0,114751000,0,0,153330000,3039000,57269000,None,153330000,31838000,0,None,None,None,0,0,0,38589000,0,0,114741000,114751000,None,USD,22220380000,41962000,None,71828000,18603438000,3613903000,None,None,1286000,1428721000,182571000,660789000,17680930000,585352000,18259507000,523782000,523782000,-46913000,540998000,677842000,2617859000,2911152000,None,None,343931000,20662000,17897085000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,129000000,USD,-26352000,0,-218172000,-10236000,30600000,69157000,63414000,-30654000,114751000,-47521000,101494000,None,8903000,-25079000,None,8313000,None,11196000,14262000,None,None,None,45.04,37.96
9,2018-03-31,USD,240916000,93810000,45283000,240916000,0,113144000,0,0,147106000,3049000,59649000,None,172311000,32830000,0,None,None,None,0,0,0,33973000,0,0,113133000,113144000,None,USD,22039439000,705896000,None,69126000,18509785000,3526605000,None,None,1286000,1298141000,183165000,660789000,4341373000,632873000,18165912000,492948000,492948000,-40908000,532263000,723930000,2612961000,2820709000,None,None,343873000,21931000,17833672000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,129000000,USD,-30163000,0,-608153000,-17662000,59366000,677879000,641326000,-896000,113144000,192485000,122759000,None,8956000,-24408000,5325000,8313000,None,6073000,18061000,None,None,None,48.27,45.04
