,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,249509000,272358000,201123000,48386000,87724000,20063000,None,None,24135000,3668000,8739000,None,-22849000,4942000,2264000,4723000,None,-2795000,None,None,None,4723000,49779000,None,19412000,20063000,None,USD,3295833000,None,None,None,902138000,2390027000,None,3157000,3128977000,-832436000,426682000,3057000,83092000,188117000,231289000,None,None,93486000,2448173000,702841000,58670000,2386970000,73449000,126787000,200000000,279312000,54229000,None,None,None,None,None,None,None,26021000,None,2592992000,36946000,None,None,670849000,None,None,None,None,None,None,None,None,USD,49328000,-12103000,49328000,-17086000,-62977000,-72070000,None,7218000,20063000,40290000,62750000,None,61325000,-10503000,None,33664000,None,-51977000,30338000,None,None,None,30.39,
1,2020-03-31,USD,358428000,336778000,308370000,50058000,57179000,-76807000,None,None,-24515000,4319000,6588000,None,21650000,3369000,3545000,52720000,-31825000,-4325000,None,None,None,52720000,-41840000,None,-77235000,-76807000,None,USD,3366044000,None,None,None,982949000,2378776000,None,7010000,3126898000,-841996000,427867000,3057000,75019000,147827000,250206000,None,None,93874000,2468689000,738175000,81104000,2375719000,91346000,135713000,260000000,325779000,62627000,None,None,None,None,None,None,None,26124000,None,2627869000,39230000,284088000,None,732743000,None,None,None,None,None,239173000,None,210000000,USD,-58480000,-7562000,-58480000,-541000,-19064000,-26633000,None,-2885000,-76807000,27263000,114051000,None,78149000,-10500000,2931000,8990000,None,72492000,55750000,None,None,None,14.33,30.39
2,2019-12-31,USD,404379000,334685000,305769000,98610000,135763000,21435000,None,None,47166000,4747000,10009000,None,69694000,6773000,4762000,25952000,28979000,-5744000,None,None,None,25952000,-16784000,None,21214000,21435000,None,USD,3461682000,None,None,1272000,993836000,2463099000,None,101281000,3123514000,-754689000,399368000,3057000,80486000,120564000,271670000,None,None,94274000,2504901000,788919000,84319000,2460042000,117776000,168753000,275000000,346507000,66924000,None,None,None,None,None,None,None,26139000,None,2672763000,41208000,302010000,27754000,722166000,None,None,None,None,None,238340000,None,202000000,USD,-51547000,3591000,-51547000,518000,-45726000,-51902000,-10000,-9773000,21435000,25851000,129473000,None,83835000,-7337000,2781000,-9729000,20657000,-23176000,50319000,None,None,None,23.69,14.33
3,2019-09-30,USD,352187000,306681000,288337000,63850000,134658000,37657000,None,None,66808000,4968000,8237000,None,45506000,1506000,5179000,29089000,30960000,-5538000,None,None,None,29089000,26840000,None,37719000,37657000,None,USD,3456131000,None,None,175000,1005900000,2445263000,None,82514000,3119472000,-768777000,380616000,3057000,78696000,94713000,260537000,None,None,94568000,2584684000,719809000,69885000,2442206000,82310000,168882000,315000000,328743000,76198000,None,None,None,None,None,None,None,26331000,None,2736322000,45492000,343959000,None,745363000,None,None,None,None,None,177023000,None,210000000,USD,-47515000,9225000,-47515000,1352000,-24674000,-31245000,-653000,438000,37657000,2492000,81948000,None,62671000,-7334000,1610000,-4356000,-20201000,-6204000,49891000,None,None,None,15.68,23.69
4,2019-06-30,USD,282948000,267695000,246808000,36140000,75337000,18371000,None,None,12802000,5541000,7571000,None,15253000,1651000,4922000,8937000,7872000,-5446000,None,None,None,8937000,2995000,1929000,3865000,18371000,None,USD,3422095000,None,None,408136000,1003166000,2413388000,None,30934000,3117651000,-799082000,360050000,3057000,58764000,92221000,257095000,None,None,94819000,2240212000,1050185000,69877000,2410331000,46594000,173856000,335000000,283320000,82142000,None,None,None,None,None,None,None,24992000,None,2371910000,43758000,365233000,None,746071000,None,None,None,None,None,138815000,None,210000000,USD,-69338000,-17454000,-69338000,363000,-4880000,-12278000,-261000,534000,18371000,1673000,83518000,None,57613000,-7331000,194000,26008000,11052000,-17048000,66264000,None,None,None,12.91,15.68
5,2019-03-31,USD,253699000,228220000,237929000,15770000,94412000,2783000,None,None,10610000,5674000,9382000,None,1278000,1594000,2008000,7290000,12009000,-2682000,-1929000,None,None,7290000,41290000,-1929000,35741000,2783000,None,USD,3415758000,None,None,412369000,1013999000,2401759000,None,33713000,3117124000,-715366000,365115000,3057000,36082000,90548000,272655000,13334000,13334000,94757000,2236674000,1044364000,69727000,2398702000,31011000,181866000,335000000,296108000,89963000,None,None,None,None,None,None,None,24723000,None,2371394000,28101000,349767000,None,735670000,None,None,None,None,None,121559000,None,177000000,USD,-233768000,-38889000,-233768000,-192890000,206010000,198680000,-261000,86000,33812000,-47962000,-12911000,None,49334000,-7330000,None,10830000,-9963000,-59626000,40878000,None,None,None,13.25,12.91
6,2018-12-31,USD,173357000,210599000,140778000,32579000,-37242000,-63809000,0,0,-57539000,5137000,5450000,None,-37242000,-3640000,-7668000,None,None,None,0,0,0,6038000,-20297000,-1929000,-63577000,-63809000,None,USD,1937476000,None,None,15040000,424127000,1508212000,None,58315000,2321498000,-836067000,251491000,3057000,14477000,138510000,150528000,None,None,22781000,1301002000,548374000,70566000,1505155000,74004000,94799000,20788000,214465000,52201000,None,None,None,None,None,None,None,None,None,None,None,1320000,None,None,None,None,None,None,None,212514000,None,154000000,USD,-10020000,5696000,-51029000,1289000,-2223000,-8747000,-1158000,-2228000,-63809000,-47914000,11930000,None,66133000,-5366000,1081000,-8098000,-267000,14503000,42302000,None,None,None,14.6,13.25
7,2018-09-30,USD,187717000,201187000,154249000,33468000,-13470000,-9460000,0,0,-17149000,4904000,5675000,None,-13470000,375000,-118000,None,None,None,0,0,0,-7915000,-3679000,-1929000,-9234000,-9460000,None,USD,2004187000,3057000,None,2828000,422585000,1576698000,None,61572000,2319801000,-765733000,244266000,3057000,16470000,186424000,155445000,None,None,22630000,1314881000,599031000,70748000,1573641000,66233000,111916000,20788000,220014000,43634000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,153000000,USD,-3520000,7574000,-35299000,1478000,-2171000,-7389000,-306000,-622000,-9460000,-979000,41699000,None,39511000,-5367000,None,-2859000,91000,7464000,33555000,None,None,None,14.76,14.6
8,2018-06-30,USD,216460000,171641000,123983000,92477000,44819000,36187000,0,0,53210000,4934000,5566000,None,44819000,2589000,-118000,None,None,None,0,0,0,16514000,8391000,-1929000,36696000,36187000,None,USD,2030025000,3057000,None,19464000,434220000,1590871000,None,60571000,2319226000,-750856000,260336000,3057000,17927000,187403000,150462000,30488000,30488000,22501000,1324275000,613558000,71208000,1587814000,62845000,94714000,20788000,237040000,42927000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,154000000,USD,-6851000,851000,-39903000,1478000,-1977000,-6917000,-254000,-707000,36187000,20121000,66949000,None,39249000,-5185000,None,5569000,2059000,-16259000,43426000,None,None,None,17.9,14.76
9,2018-03-31,USD,206961000,159944000,117299000,89662000,47017000,47376000,0,0,54666000,4679000,5958000,None,47017000,-595000,-135000,None,None,None,0,0,0,6510000,7649000,0,48156000,47376000,None,USD,1995701000,3057000,None,16975000,432001000,1559021000,None,68690000,2318418000,-781858000,254891000,3057000,3902000,167282000,153471000,30805000,30805000,22461000,1331358000,602208000,55176000,1555964000,57560000,111602000,20788000,235819000,43120000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,154000000,USD,-5163000,-6068000,-32941000,-318000,-4540000,-10081000,-302000,-2885000,47376000,-8671000,34400000,None,36177000,-5366000,127000,-6740000,4373000,-37833000,32565000,None,None,None,16.15,17.9
