,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,17077000,40601000,10464000,6613000,-20814000,-23086000,15010000,None,-23086000,None,15127000,438000,-23524000,-17077000,0,None,None,0,None,None,None,None,438000,None,-23086000,-23086000,None,USD,213648000,None,None,2862000,172256000,41392000,None,2188000,154000,-1088096000,1531000,None,3541000,43342000,130862000,None,None,243000,59168000,150939000,None,41392000,76621000,11346000,None,16768000,7436000,None,None,154000,None,-1088096000,None,None,3541000,None,62709000,43966000,None,41394000,41394000,None,None,None,1129091000,213648000,119963000,None,154318000,USD,-2859000,2962000,-2859000,None,None,628000,None,-4608000,-23086000,-26020000,-23789000,233000,2272000,None,628000,-448000,-4021000,3140000,319000,-4021000,None,-26020000,3.45,
1,2020-03-31,USD,15598000,48307000,8110000,7488000,3895000,1262000,15250000,None,1262000,None,24947000,238000,-32709000,-15598000,267000,None,-267000,-267000,None,None,None,None,34238000,None,1262000,1262000,None,USD,234764000,None,None,3490000,174361000,60403000,None,714000,154000,-1065010000,1484000,None,4040000,68862000,131974000,None,None,30000,61194000,169530000,None,60403000,73729000,7325000,None,16124000,4223000,None,None,154000,None,-1065010000,None,None,4040000,None,65234000,44870000,None,42387000,42387000,None,None,None,1125229000,234764000,142591000,None,153953000,USD,-54327000,92901000,-54327000,-54210000,-16000000,18199000,34000000,4221000,1262000,39235000,75363000,96750000,2366000,None,199000,-3374000,7909000,-30051000,117000,7909000,None,39235000,3.06,3.45
2,2019-12-31,USD,27930000,45847000,14998000,12932000,3098000,-91000,14273000,None,-91000,None,16576000,504000,-17917000,-27930000,678000,None,-678000,-678000,None,None,None,None,18504000,None,-91000,-91000,None,USD,147985000,None,None,3369000,93068000,54917000,None,1482000,153000,-1066240000,1951000,None,4042000,29627000,49153000,15871000,15871000,5000,62897000,81046000,None,54917000,19472000,15266000,15871000,13312000,8368000,None,None,153000,None,-1066240000,None,None,4042000,None,66939000,45801000,None,43915000,43915000,None,None,None,1120999000,147985000,49099000,None,153119000,USD,-3408000,2006000,-3408000,64883000,-16000000,18131000,18000000,-5118000,-91000,-3457000,-18180000,824000,2511000,None,131000,1660000,-5300000,-14173000,141000,-5300000,None,-3457000,5.14,3.06
3,2019-09-30,USD,21915000,50029000,15001000,6914000,-25897000,-29123000,14962000,None,-29123000,None,20066000,-345000,-28114000,-21915000,664000,None,-664000,-664000,None,None,None,None,-345000,None,-29123000,-29123000,None,USD,146110000,None,None,2704000,95096000,51014000,None,1110000,153000,-1066149000,1435000,None,4041000,33084000,50693000,15546000,15546000,11000,65128000,76941000,None,51014000,16120000,9966000,None,15067000,8111000,None,None,153000,None,-1066149000,None,None,4041000,None,69169000,46692000,None,44403000,44403000,None,None,None,1116999000,146110000,49204000,None,153031000,USD,19659000,422000,19659000,68150000,-16000000,327000,18000000,52000,-29123000,2726000,-17260000,-2369000,2562000,None,327000,2295000,2157000,4062000,829000,2157000,None,2726000,5.16,5.14
4,2019-06-30,USD,24621000,49001000,15008000,9613000,-21526000,-24596000,14910000,None,-24596000,None,19083000,428000,-24380000,-24621000,644000,None,-644000,-644000,None,None,None,None,428000,None,-24596000,-24596000,None,USD,170582000,None,None,2538000,94828000,75754000,None,1764000,153000,-1037026000,1454000,None,4041000,30358000,49453000,15233000,15233000,17000,33457000,98909000,None,75754000,36486000,12123000,None,17404000,8011000,None,None,153000,None,-1037026000,None,None,4041000,None,71673000,47552000,None,45375000,45375000,None,None,None,1112610000,170582000,66844000,None,152959000,USD,7812000,2219000,7812000,47662000,-16000000,1400000,18000000,3910000,-24596000,-8347000,-17559000,1901000,2426000,None,1400000,1848000,-4844000,4089000,613000,-4844000,None,-8347000,6.05,5.16
5,2019-03-31,USD,16425000,35251000,11308000,5117000,-29699000,-30324000,15485000,None,-30324000,None,19766000,435000,-30134000,-16425000,625000,None,-625000,-625000,None,None,None,None,435000,None,-30324000,-30324000,None,USD,185577000,None,None,2787000,90727000,94850000,None,10261000,153000,-1012430000,769000,None,4565000,38205000,45097000,14938000,14938000,6000,33613000,112588000,None,94850000,44667000,7279000,44861000,19650000,19898000,None,None,153000,None,-1012430000,None,None,39376000,None,72989000,48382000,None,45630000,45630000,None,None,None,1107121000,185577000,82872000,None,152672000,USD,39237000,-951000,37984000,39237000,None,6690000,18000000,-2939000,-30324000,19361000,-25313000,510000,1659000,None,6690000,-1888000,1316000,4365000,1253000,1316000,None,19361000,7.23,6.05
6,2018-12-31,USD,19526000,36369000,13780000,5746000,-30171000,-30799000,16263000,0,-30799000,0,20106000,452000,-30623000,-19526000,628000,None,None,None,0,0,0,0,-4876000,0,-30799000,-30799000,None,USD,170275000,None,None,2832000,56214000,114061000,14671000,7325000,150000,-982106000,14671000,None,4543000,18844000,26884000,None,None,-36000,34073000,131659000,None,114061000,83510000,8595000,14659000,17878000,19559000,None,None,150000,None,-982106000,None,None,4543000,None,38616000,None,14659000,None,29330000,None,None,None,1096053000,170275000,102354000,None,150244000,USD,-5455000,5019000,-5513000,-36561000,None,5279000,None,2834000,-30799000,-19219000,-18985000,-827000,1296000,None,5279000,609000,-2191000,7908000,58000,-2191000,None,-19219000,7.4,7.23
7,2018-09-30,USD,18160000,27862000,14968000,3192000,-24428000,-25044000,14356000,0,-25044000,0,13506000,242000,-24670000,-18160000,616000,None,None,None,0,0,0,0,-374000,0,-25044000,-25044000,None,USD,182906000,0,None,2028000,51026000,131880000,14993000,6385000,149000,-951307000,14993000,0,4543000,38063000,21649000,None,None,-24000,34490000,143873000,None,131880000,77684000,6404000,14384000,19694000,15264000,0,0,149000,0,-951307000,0,None,4543000,None,39033000,None,14384000,None,29377000,None,None,None,1083062000,182906000,115747000,None,148894000,USD,-37248000,-944000,-37344000,0,None,66524000,None,-1870000,-25044000,15005000,-14175000,200000,2088000,0,66524000,3574000,1042000,4909000,96000,1042000,None,15005000,5.41,7.4
8,2018-06-30,USD,21578000,30607000,12716000,8862000,-21942000,-22540000,15664000,0,-22540000,0,14943000,-197000,-21745000,-21578000,598000,None,None,None,0,0,0,0,-795000,0,-22540000,-22540000,None,USD,137058000,0,None,2035000,51584000,85474000,15199000,7160000,132000,-926263000,15199000,0,4543000,23058000,22264000,14121000,14121000,-16000,36103000,96412000,None,85474000,40433000,7446000,14121000,23440000,15104000,0,0,132000,0,-926263000,0,None,4543000,None,40646000,None,14121000,None,29320000,None,None,None,1011621000,137058000,63491000,None,131888000,USD,13547000,-2302000,12191000,0,None,-94000,None,1164000,-22540000,-2400000,-14497000,25000,2058000,0,-94000,2160000,1006000,5096000,1356000,1006000,None,-2400000,3.55,5.41
9,2018-03-31,USD,19362000,31245000,12066000,7296000,-23598000,-24179000,16311000,0,-24179000,0,14934000,351000,-23949000,-19362000,581000,None,None,None,0,0,0,0,-230000,0,-24179000,-24179000,None,USD,156949000,0,None,2057000,54211000,102738000,15391000,6138000,132000,-903723000,15391000,0,4546000,25458000,24948000,13872000,13872000,-38000,36704000,115699000,None,102738000,53802000,8452000,13872000,25930000,18810000,0,0,132000,0,-903723000,0,None,4546000,None,41250000,None,13872000,None,29263000,None,None,None,1006367000,156949000,79260000,None,131872000,USD,-7405000,-4279000,-7749000,0,None,35473000,None,-2718000,-24179000,8951000,-18773000,312000,2039000,0,35473000,-2720000,4981000,5073000,344000,4981000,None,8951000,2.05,3.55
