,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,173137000,-126965000,None,173137000,300102000,33204000,None,None,46172000,None,-126965000,None,300102000,12502000,19796000,12968000,274075000,254279000,None,None,None,12968000,None,None,33204000,33204000,None,USD,27365738000,30564000,5615468000,None,23912840000,3452898000,None,22928579000,1207000,247058000,80996000,1078670000,19594314000,1747077000,23392068000,None,None,145038000,42299000,1747077000,23261972000,2374228000,3851141000,76150000,60000000,None,463489000,None,None,1207000,None,247058000,-88495000,None,1235720000,None,25618661000,None,60000000,460772000,520772000,None,None,None,3148090000,27365738000,1747077000,None,None,USD,59454000,-23032000,62351000,8365000,-2235000000,1088077000,3352582000,-18845000,33204000,1308876000,158448000,11953000,18040000,-29505000,-1601000,None,None,118283000,5468000,None,None,1308876000,19.71,
1,2020-03-31,USD,166847000,-1587970000,None,166847000,1754817000,-1433111000,None,None,-1421123000,None,-1587970000,None,1754817000,22901000,41585000,11988000,291332000,249747000,None,None,None,11988000,None,None,-1433111000,-1433111000,None,USD,26143267000,34446000,4454349000,None,22752878000,3390389000,None,19575837000,1201000,213854000,54028000,1078670000,19723975000,439690000,19998884000,None,141000000,90916000,39799000,439690000,23335920000,2311719000,3757663000,78253000,2295000000,None,423047000,None,None,1201000,None,213854000,-86894000,None,1249188000,None,25703577000,None,2295000000,458994000,2753994000,None,None,None,3171312000,26143267000,439690000,None,117000000,USD,-882609000,-68841000,-875077000,11836000,535992000,734139000,269353000,-64635000,-1433111000,-25364000,115574000,11666000,17505000,-71206000,-73460000,None,None,1588355000,4304000,None,None,-25364000,17.92,19.71
2,2019-12-31,USD,1490688000,-123728000,None,1490688000,1614416000,117881000,None,None,147067000,None,-123728000,None,1614416000,12057000,-205264000,29186000,293593000,246619000,None,None,None,29186000,-4606000,None,117881000,117881000,None,USD,26770806000,38394000,4443451000,84679000,21816109000,4954697000,None,19233036000,1219000,1652248000,36351000,2548670000,18907116000,465039000,19598892000,None,141000000,78658000,38585000,465039000,22546198000,2406027000,3797187000,81479000,2217217000,440000,365856000,None,None,1219000,None,1652248000,-83434000,None,1809938000,None,26943391000,None,2217217000,None,2217217000,None,None,None,3306006000,26770806000,465039000,None,118000000,USD,-132117000,5081000,-166965000,-30734000,505977000,-66477000,-500447000,-15003000,117881000,-98377000,135065000,-12931000,17886000,-72007000,-1037000,None,None,7148000,4114000,None,None,-98377000,38.27,17.92
3,2019-09-30,USD,278665000,-126809000,None,278665000,405474000,110026000,None,None,151856000,None,-126809000,None,405474000,14960000,54972000,41830000,307208000,252236000,None,None,None,41830000,-8941000,None,110026000,110026000,None,USD,26724627000,42547000,4480329000,84155000,21804519000,4920108000,None,19733203000,1219000,1534367000,34384000,2548670000,18794878000,483405000,20095343000,None,141000000,95887000,37926000,483405000,22441204000,2371438000,3817348000,37033000,1709176000,1366000,362140000,None,None,1219000,None,1534367000,-82397000,None,1213422000,None,26241222000,None,1709176000,None,1709176000,None,None,None,3371032000,26724627000,483405000,None,118000000,USD,-231538000,14020000,-234758000,-851000,-660028000,195410000,927390000,20016000,110026000,128263000,167611000,13325000,17637000,-71952000,-102000,None,None,12603000,2369000,None,None,128263000,36.34,38.27
4,2019-06-30,USD,303791000,-125427000,None,303791000,429218000,128125000,None,None,178364000,None,-125427000,None,429218000,16188000,53635000,50239000,314533000,260898000,None,None,None,50239000,-8822000,None,128125000,128125000,None,USD,26344414000,47380000,4417138000,194208000,21492404000,4852010000,None,18805756000,1219000,1424341000,35417000,2548670000,18534560000,422663000,19123233000,None,141000000,73066000,38162000,422663000,22188205000,2303340000,3807244000,49319000,2369171000,1472000,317477000,None,None,1219000,None,1424341000,-82295000,None,1146714000,None,25921751000,None,2369171000,None,2369171000,None,None,None,3435679000,26344414000,422663000,None,119000000,USD,92021000,-9309000,79305000,-9720000,431972000,-156540000,-516603000,-17108000,128125000,50856000,128091000,-740000,17981000,-71909000,-37717000,None,None,-7966000,2996000,None,None,50856000,38.83,36.34
5,2019-03-31,USD,281940000,-126287000,0,281940000,408227000,112604000,None,None,155653000,None,-126287000,None,408227000,14478000,49683000,43049000,304559000,254876000,None,None,None,43049000,-9555000,None,112604000,112604000,None,USD,26324138000,52250000,4524221000,194051000,21533156000,4790982000,None,19285927000,1222000,1296216000,37449000,2548670000,18367577000,332124000,19597611000,None,None,37258000,37783000,332124000,22220678000,2242312000,3994708000,40287000,1935545000,3291000,311684000,None,None,1222000,None,1296216000,-79507000,None,1184883000,None,25992014000,None,1935545000,None,1935545000,None,None,None,3535793000,26324138000,332124000,None,121000000,USD,-298790000,-31527000,-308888000,-4473000,109973000,328110000,291317000,-8807000,112604000,171115000,151893000,45058000,18299000,-73180000,-124109000,None,None,7459000,5625000,None,None,171115000,37.61,38.83
6,2018-12-31,USD,1444961000,-129235000,52974000,1444961000,1574196000,115041000,0,0,154056000,0,-129235000,None,1574196000,15747000,-120756000,None,None,None,-1900000,0,0,39015000,-11947000,0,115041000,115041000,None,USD,25731354000,57120000,None,165754000,20905766000,4825588000,None,18870501000,1251000,1182674000,37482000,2548670000,18037627000,209937000,19080806000,None,None,-6075000,34661000,209937000,21866775000,2276918000,209937000,78228000,1824960000,5299000,210305000,None,None,1251000,None,1182674000,-74985000,None,1439589000,None,17489000,None,1824960000,None,1824960000,None,None,None,3722723000,25731354000,209937000,None,122000000,USD,-903977000,21353000,-914647000,-7535000,-142052000,774421000,990530000,-14459000,115041000,3981000,144207000,-27559000,18815000,-74057000,-315542000,None,None,16557000,3135000,None,None,3981000,33.28,37.61
7,2018-09-30,USD,285729000,-128153000,43825000,285729000,413882000,116287000,0,0,157576000,0,-128153000,None,413882000,13376000,32325000,None,None,None,0,0,0,41289000,-11576000,0,116287000,116287000,None,USD,24782126000,62106000,None,162180000,20040441000,4741685000,0,17879543000,1251000,1067633000,36015000,2548670000,17358181000,381786000,18074331000,1966110000,1966110000,-43854000,34012000,381786000,20939636000,2193015000,0,30491000,1966110000,4407000,194788000,0,0,1251000,0,1067633000,-73238000,None,836742000,None,41280000,None,1966110000,None,1966110000,None,None,None,3789893000,24782126000,381786000,None,122000000,USD,-350191000,4243000,-364250000,-12141000,325940000,137200000,-114345000,10134000,116287000,-69779000,157271000,-1183000,19188000,-74395000,0,0,0,18736000,1918000,None,None,-69779000,47.65,33.28
8,2018-06-30,USD,284470000,-126449000,43682000,284470000,410919000,115735000,0,0,158021000,0,-126449000,None,410919000,14715000,26182000,None,None,None,0,0,0,42286000,-10856000,0,115735000,115735000,None,USD,24529557000,67693000,None,164916000,19751598000,4777959000,0,17929192000,1264000,951346000,36047000,2548670000,17012223000,451565000,18112494000,1639104000,1639104000,-22340000,34513000,451565000,20637112000,2229289000,0,37022000,1639104000,2231000,183302000,0,0,1264000,0,951346000,-73026000,None,832146000,None,25551000,None,1639104000,None,1639104000,None,None,None,3920715000,24529557000,451565000,None,125000000,USD,-534891000,-5520000,-528865000,9361000,611942000,262068000,-273822000,18599000,115735000,-96231000,170566000,15326000,20080000,-76052000,0,0,0,24945000,3335000,None,None,-96231000,49.42,47.65
9,2018-03-31,USD,291059000,-127395000,25275000,291059000,418454000,118276000,0,0,163664000,0,-127395000,None,418454000,14725000,21275000,None,None,None,0,0,0,45388000,-11951000,0,118276000,118276000,None,USD,24149330000,2621950000,None,163222000,19281840000,4867490000,0,18078788000,1283000,835611000,175545000,2548670000,6964954000,547796000,18254333000,1027507000,1027507000,-11936000,33686000,547796000,20140246000,2318820000,0,64739000,1027507000,1236000,175545000,0,0,1283000,0,835611000,-68694000,None,866348000,None,12584000,None,1027507000,None,1027507000,None,None,None,4111226000,24149330000,547796000,None,126000000,USD,895779000,-43816000,890569000,-1213000,95570000,-877193000,-909074000,-12761000,118276000,149359000,135983000,38208000,23529000,-63689000,0,0,0,-214000,3997000,None,None,149359000,49.53,49.42
