,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,57968000,46510000,12643000,45325000,253000,815000,21397000,None,253000,73141525,16147000,1438000,-1185000,7348000,2000550,None,None,-2000550,None,1618000,None,-562000,-595562,None,815000,815000,None,USD,1161057000,91891000,None,33117000,321287000,839770000,51317000,121368000,490000,273758000,5108793,15535000,16890634,133566000,162695000,None,21733526,-14781000,92003000,830159000,5000000,732342000,510455000,68498000,83888245,84523000,41327000,None,None,490000,2000,273758000,-41284000,None,96394000,None,30075000,60955855,None,107275000,158592000,None,None,None,621585000,1161057000,644021000,None,47626884,USD,-93280000,8677000,-100327000,-25000,-4909182,-15135000,-8349000,2622192,815000,-89178000,26284000,-2505000,7883000,-7117000,331000,-10455000,4942206,7775000,7022000,14094000,None,-89178000,2.51,
1,2020-03-31,USD,112277000,45312000,22459000,89818000,46855000,38155000,19497000,None,46855000,72851439,15403000,2349000,44506000,7128000,2116320,None,-5033410,-2116320,None,3284000,None,8700000,-2242548,None,38155000,38155000,None,USD,1136376000,97356000,None,15635000,289679000,846697000,49866000,104536000,489000,280060000,5052984,15535000,16890634,222744000,136554000,242850,22483526,-14537000,88350000,812071000,5000000,733804000,417032000,82592000,86196044,74068000,32018000,None,None,489000,2000,280060000,-41284000,None,89335000,28729000,324305000,62671105,136911800,103259000,153125000,None,None,None,621967000,1136376000,639776000,None,47544584,USD,101808000,-23232000,97026000,-628000,-10750522,-11655000,-4816000,1369179,38155000,91117000,5746000,7635000,7100000,-7098000,259000,-10726000,5354584,8954000,4782000,-22140000,None,91117000,2.0,2.51
2,2019-12-31,USD,130477623,122015074,116797317,13680306,4419684,-4398657,None,None,-3009964,72825710,5217757,None,8462549,None,2421250,None,-1871310,-2421250,None,None,None,None,-9051263,None,-3009964,-4398657,None,USD,479902831,None,None,3124995,236831157,170245964,None,472073,4489,12736580,4828364,None,17857189,50555091,90854859,332990,23323661,None,335090162,126955480,15357189,170245964,None,28309402,88478081,21001010,24173291,None,None,None,None,None,None,None,2500000,None,352947351,70047425,141147930,None,145976298,None,None,None,157504900,None,50555090,None,43000000,USD,1584017,4209376,1584017,-628000,-6121508,-6256815,2891572,8973699,-4398657,16384029,21056827,None,5008398,-2847600,-179279,-4645483,-33666,11724918,1139039,None,None,None,2.95,2.0
3,2019-09-30,USD,97515000,39399000,17286000,80229000,43631000,36962000,16787000,None,43631000,71014498,12623000,2801000,40830000,7152000,2510519,None,-2811580,-2510519,None,2837000,None,6669000,-120864,None,36962000,36962000,None,USD,1062550000,108339000,None,10415000,275983000,786567000,50495000,103815000,488000,227286000,None,15535000,10191522,235541000,148392000,1196680,24937357,-14119000,86266000,731016000,5000000,662691000,361515000,65774000,88561552,57771000,44577000,None,None,488000,2000,227286000,-41284000,None,89957000,26437000,331534000,71970928,152963590,77096000,127591000,None,None,None,614194000,1062550000,597056000,None,47482085,USD,-14691192,10107618,-14691192,-628000,5740107,3883518,-368961,-9218120,8321560,-6990053,3817621,2300000,4652563,-1487628,0,444388,-12858059,2165159,14691192,1178000,None,-88736000,3.21,2.95
4,2019-06-30,USD,83290615,76466622,71107631,12182984,11762583,4032501,18833000,None,5159066,68917298,5358991,3162000,6823993,7206000,2112190,None,-1897020,-2112190,None,3454000,None,8386000,447263,None,5159066,4032501,None,USD,459216126,113832000,None,1660377,221522186,168776642,44651000,778465,4445,11916436,None,15535000,10157000,41161115,64619185,1185780,16138709,-14805000,355960754,93098372,7657000,168776642,228434000,15995543,102394123,17446489,12897850,None,None,488000,2000,195036000,-41284000,None,2500000,25204000,366117754,61140997,156903000,75660000,156903001,None,None,None,156855760,1011080000,41161120,None,47465864,USD,-21909278,9315799,-21909278,-628000,3626785,-3677217,-4684017,-5129987,4032501,-17961930,7624565,-7706000,4491327,-2619985,241000,-2031266,-3098545,-167676,21909278,-14828000,None,99229000,3.35,3.21
5,2019-03-31,USD,87765000,37591000,15814000,71951000,37473000,31474000,15829000,None,37473000,72457398,11969000,3113000,34360000,7256000,2234066,None,55720,-2234066,None,2537000,None,5999000,2457606,None,31474000,31474000,None,USD,968190000,119322000,None,5410000,251989000,716201000,41596000,97080000,488000,156309000,None,15535000,2500000,225048000,131574000,2039640,20998439,-15520000,80615000,652172000,None,581342000,301549000,52124000,92262780,68041000,34494000,None,None,488000,2000,156309000,-41284000,None,75765000,24781000,316018000,62620415,148281580,78819000,120415000,None,None,None,616206000,968190000,526597000,None,47394663,USD,4579000,-5241000,-9105000,-401000,6529609,-10919000,-5757000,-872860,31474000,14026000,34050000,3315000,6503000,-4717000,-445000,1735000,15264298,5259000,13283000,-8995000,None,14026000,3.07,3.35
6,2018-12-31,USD,70143000,36545000,18325000,51818000,17760000,19249000,14795000,0,17760000,71678946,10801000,2487000,15273000,8981000,-2351581,None,None,None,0,1968000,0,-1489000,-6517765,0,19249000,19249000,None,USD,933424000,124407000,None,6366000,242918000,690506000,41785000,86593000,487000,129552000,None,15535000,2500000,211022000,133182000,20127742,20127742,-16234000,69739000,634840000,None,550562000,304323000,43129000,95374270,70000000,46589000,None,None,487000,2000,129552000,-40635000,None,64526000,24377000,298584000,None,None,67951000,109736000,None,None,None,617334000,933424000,515345000,None,47319887,USD,89678000,-87462000,85212000,31590,-6350220,-2668000,-22000,910795,19249000,109384000,26840000,40557000,58386000,-2828000,182000,-3554000,-2028755,-414000,4466000,78000,None,109384000,3.03,3.07
7,2018-09-30,USD,77550000,35395000,16123000,61427000,28143000,22818000,13616000,0,28143000,69734440,12120000,2111000,26032000,7430000,-2275550,None,None,None,0,2229000,0,5325000,-1750657,0,22818000,22818000,None,USD,883744000,129890000,None,11943000,208237000,675507000,40684000,69159000,487000,112337000,None,15535000,2500000,101638000,114279000,17785860,17785860,-9994000,67467000,617791000,None,530080000,391972000,43207000,101765760,69031000,45120000,0,0,487000,2000,112337000,-40635000,None,39151000,13910000,265953000,None,None,53274000,93958000,None,None,None,613310000,883744000,493610000,None,47310901,USD,-36424000,49073000,-43929000,0,8055897,-3214000,-567000,1558296,22818000,-2139000,45004000,9082000,-17756000,-2827000,180000,-14033000,-8487764,3444000,7505000,-7624000,None,-2139000,3.5,3.03
8,2018-06-30,USD,56149000,33603000,11635000,44514000,12665000,10814000,12949000,0,12665000,67614258,11562000,1754000,10911000,7524000,-2145903,None,None,None,0,1568000,0,1851000,-2422628,0,10814000,10814000,None,USD,833249000,135383000,None,20311000,182568000,650681000,28344000,69272000,487000,92346000,None,15535000,3500000,103777000,101540000,17319091,17319091,-10451000,62348000,569365000,None,499761000,353651000,35583000,107094208,56043000,32268000,0,0,487000,2000,92346000,-40635000,None,40084000,10534000,263884000,None,None,52684000,81028000,None,None,None,608932000,833249000,457428000,None,47289059,USD,-72035000,43744000,-76722000,0,5095534,-7792000,-5199000,-4870844,10814000,-73377000,11137000,-42765000,-10295000,-2828000,235000,-2405000,3448654,24859000,4687000,-12815000,None,-73377000,3.01,3.5
9,2018-03-31,USD,43572000,31595000,7458000,36114000,5743000,5959000,12357000,0,5743000,66514537,12516000,1224000,4519000,5491000,-2124195,None,None,None,0,1231000,0,-216000,-2258468,0,5959000,5959000,None,USD,795140000,140878000,None,14301000,152491000,642649000,19500000,59761000,486000,84360000,None,15535000,4000000,177154000,99228000,18706122,18706122,-10968000,58428000,547964000,None,486234000,280103000,22768000,113170604,53638000,39467000,0,0,486000,2000,84360000,-40635000,None,2391000,29944000,247176000,None,None,33763000,53263000,None,None,None,609404000,795140000,457257000,None,47212428,USD,23171000,25865000,14438000,0,-7743393,-8939000,-5832000,4026194,5959000,44314000,38815000,-4202000,-5892000,-2831000,-276000,-17373000,-593487,4871000,8733000,29587000,None,44314000,2.65,3.01
10,2017-12-31,USD,115867000,41051000,16936000,98931000,58849000,32813000,15045000,0,58849000,501000,17111000,969000,57880000,5498000,2052000,None,None,None,0,3397000,0,26036000,-16210144,0,32813000,32813000,None,USD,779956000,146369000,None,10276000,120902000,659054000,23902000,15031000,485000,99126000,None,15535000,4000000,132840000,63824000,18979335,18979335,-11464000,56450000,519182000,14794000,497148000,287446000,52355000,142631000,36265000,48793000,0,0,485000,2000,99126000,-40158000,None,604000,27022000,260774000,None,None,33176000,57078000,None,None,None,611063000,779956000,420286000,None,47118171,USD,9465000,17906000,2883000,0,36471821,-1300000,-102000,-1368584,32813000,63687000,62104000,-1306000,2047000,-1412000,214000,-3532000,-5642755,23275000,6582000,-9099000,None,63687000,3.68,2.65
