,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,None,None,None,None,None,-14475000,None,None,-14911000,None,2625000,None,-6441000,None,None,None,-8060000,None,None,None,None,None,None,None,None,-14545000,None,USD,10114000,None,None,None,25111000,-14997000,None,None,44000,-68259000,None,None,None,39000,26343000,20663000,None,None,691000,9423000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,50896000,None,8770000,None,None,USD,None,None,-2000,None,None,6305000,None,None,-14911000,2512000,-3791000,None,3000,None,143000,None,None,None,2000,None,None,None,1.26,
1,2019-12-31,USD,None,None,None,None,None,-6243810,None,None,-6554080,None,2333840,None,-5753390,None,None,None,-250440,None,None,None,None,None,None,None,None,-6313300,None,USD,7240450,None,None,None,11064300,-3823850,None,None,40480,-53714750,None,None,None,34120,11878580,8139000,None,None,692940,6547520,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47553980,None,6253350,None,None,USD,None,None,-27200,None,None,11381590,-101100,None,-17268130,-2002890,-13357270,None,14230,None,5547440,None,None,None,27200,None,None,None,0.08,1.26
2,2019-09-30,USD,None,None,None,None,None,-3084960,None,None,-3271310,None,1724270,None,-3650540,None,None,None,379230,None,None,None,None,None,None,None,None,-3153090,None,USD,4405880,None,None,None,6292150,-1886270,None,None,36560,-47402810,None,None,None,None,6812510,4471540,None,None,51000,4354880,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43251670,None,4097520,None,None,USD,None,None,-25060,None,None,5167340,-101100,None,-10714060,-4124600,-9266880,None,10330,None,5547440,None,None,None,25060,None,None,None,0.076,0.08
3,2019-06-30,USD,None,None,None,None,None,-3593610,None,None,-3739130,None,1914150,None,-3578030,None,None,None,-161110,None,None,None,None,None,None,None,None,-3660400,None,USD,7060420,None,None,None,8596870,-1536450,None,None,34140,-44251060,None,None,None,14250,8939600,6790100,None,None,54780,7005640,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,40518950,None,6922320,None,None,USD,None,None,-25060,None,None,5099900,-101100,None,-7442750,-1314050,-6388890,None,6550,None,5480000,None,None,None,25060,None,None,None,0.486,0.076
4,2019-03-31,USD,None,None,None,None,None,-3534860,None,None,-3703610,None,1692710,None,-3144660,None,None,None,-558950,None,None,None,None,None,None,None,None,-3600340,None,USD,4355510,None,None,None,9798280,-5442770,None,None,27190,-40591970,None,None,None,14250,10024040,8251220,None,None,35850,4319660,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33025960,None,4204700,None,None,USD,None,None,-2850,None,None,-159190,None,None,-3703610,-4031670,-3869640,None,3270,None,None,None,None,None,2850,None,None,None,0.406,0.486
5,2018-12-31,USD,None,None,None,None,None,-6831810,None,None,-6922260,None,1940880,None,-4720190,None,None,None,None,None,None,None,None,None,None,None,None,-6896010,None,USD,8496430,None,None,None,10811070,-2314640,None,None,27140,-36992910,None,None,None,14250,10972580,None,None,None,36270,8460160,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,32619280,None,8236370,None,None,USD,None,None,-26610,None,None,15501610,-225670,None,-18172820,6687100,-8787910,None,9790,-7100,13734390,None,None,None,26610,None,None,None,nan,0.406
6,2018-09-30,USD,None,2568824,None,None,-2568824,-3246227,1171324,None,-3278658,-90569,1397500,None,-2568824,None,-707714,None,None,None,None,None,None,None,-709834,None,-3278658,-3311124,None,USD,9398185,None,None,119842,5834573,1687233,None,222553,26543,-30096200,None,None,None,9241534,5834573,3256153,3256153,None,36671,9361514,None,1687233,None,None,None,None,1638262,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,31756890,None,9255780,None,None,USD,None,338745,-23464,None,None,-6156,943,36478,-3246227,-1896108,-1866488,None,2639,-7099,13734390,None,None,496029,23464,None,None,None,0.226,nan
7,2018-06-30,USD,None,2738785,None,None,-2738785,-5065340,1148129,None,-5146540,-72054,1590656,None,-2738785,None,-500304,None,None,None,None,None,None,None,-2407755,None,-5146540,-5128963,None,USD,11237092,None,None,84541,4715259,4886643,None,222553,26510,-26524851,None,None,None,11137642,4715259,2750305,2750305,None,12586,11224506,None,4886643,None,None,None,None,1297197,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,529591,-23464,None,None,9209196,-227805,395826,-5065340,7506950,-1702246,None,1802,-7099,None,None,None,2130141,23464,None,None,None,0.35,0.226
8,2018-03-31,USD,None,1943702,None,None,-1943702,-2825369,562535,None,-2825369,-72054,1381167,None,-1943702,None,-500304,None,None,None,None,None,None,None,-881667,None,-2825369,-3414700,None,USD,3758913,None,None,92542,3511077,-1459408,None,None,17509,-21459511,None,None,None,3630692,1261076,None,None,None,14388,3744525,None,-1459408,None,None,2250001,None,767606,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-96799,-23464,None,None,4295573,-113438,-432490,-2825369,2095670,-2199903,None,1803,-7099,None,None,None,847219,23464,None,None,None,0.442,0.35
9,2017-12-31,USD,None,1888434,None,None,-1888434,869844,557476,None,869844,-72054,1330958,None,-1888434,None,-362542,None,None,None,None,None,None,None,2758278,None,869844,309685,None,USD,1639680,None,None,55292,4488037,-3881007,None,973340,14551,-17907611,None,None,None,1535022,2543769,None,None,None,16191,1623489,None,-3881007,None,None,1944268,None,864405,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-127288,-23464,None,None,10640,-113438,366540,869844,-1576434,-1587074,None,1803,-7099,None,None,None,-3045574,23464,None,None,None,0.62,0.442
