,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,915100000,-665300000,1280800000,-365700000,299600000,220700000,None,None,291600000,None,-665300000,None,299600000,None,8000000,70900000,1400000,-7700000,None,None,None,70900000,-300000,None,220700000,220700000,None,USD,8550700000,330600000,None,3741900000,5769300000,2781400000,240800000,4160200000,3600000,1431400000,448700000,1791100000,432000000,905200000,4426900000,5100000,5100000,56500000,407400000,5464600000,10200000,659700000,27200000,790300000,796800000,None,261600000,None,None,3600000,None,1431400000,None,None,546800000,None,3086100000,96900000,796800000,304800000,1342400000,None,None,None,1289900000,8550700000,932400000,None,358800000,USD,444000000,21600000,407500000,-1400000,-46100000,-1208400000,-939700000,-25400000,220700000,-412700000,388200000,242400000,61800000,-222600000,0,None,55000000,7500000,35100000,54900000,None,-412700000,72.28,
1,2020-02-29,USD,1142700000,672600000,340300000,1142700000,470100000,354500000,None,None,464200000,None,672600000,None,470100000,None,5900000,109700000,3100000,-6200000,None,None,None,109700000,300000,None,354500000,354500000,None,USD,9466900000,348000000,None,4688600000,6707100000,2759800000,232700000,5155800000,3600000,1433300000,415600000,1789800000,401400000,780000000,5389700000,51200000,51200000,45200000,403800000,6389400000,10200000,622000000,73800000,847000000,796700000,None,182700000,None,None,3600000,None,1433300000,None,None,525700000,None,3077500000,105100000,796700000,288000000,1317400000,None,None,None,1277700000,9466900000,853800000,None,358700000,USD,-158500000,-12000000,-200800000,-10300000,-100000,365200000,587800000,-24500000,354500000,652500000,488100000,373800000,60400000,-222500000,0,None,53300000,9700000,32000000,56200000,None,652500000,77.48,72.28
2,2019-11-30,USD,990700000,649000000,323400000,990700000,341700000,258700000,None,None,337000000,None,649000000,None,341700000,None,4700000,78300000,3300000,-6800000,None,None,None,78300000,2100000,None,258700000,258700000,None,USD,8701700000,359700000,None,4087300000,6132300000,2569400000,226800000,4574800000,3600000,1301400000,411700000,1785800000,397300000,600600000,4823900000,51300000,51300000,11600000,401700000,5627900000,10100000,423900000,34400000,905600000,796600000,None,197800000,None,None,3600000,None,1301400000,None,None,516500000,None,3073800000,100100000,796600000,285000000,1308400000,None,None,None,1252800000,8701700000,635000000,None,358400000,USD,56500000,25100000,20500000,-2500000,-5200000,-231800000,-4300000,-96900000,258700000,58500000,269800000,210100000,65400000,-222300000,0,None,-43400000,14500000,33500000,-45300000,None,58500000,86.12,77.48
3,2019-08-31,USD,992000000,642900000,325400000,992000000,349100000,264200000,None,None,344300000,None,642900000,None,349100000,None,4800000,80100000,4500000,-5800000,None,None,None,80100000,1000000,None,264200000,264200000,None,USD,8638200000,379500000,None,4067200000,6118900000,2519300000,227600000,4571800000,3600000,1265200000,405100000,1783100000,393200000,586400000,4823500000,56500000,56500000,26500000,403400000,5555900000,10300000,356700000,40900000,861400000,796500000,None,195200000,None,None,3600000,None,1265200000,None,None,506000000,None,3082300000,93800000,796500000,271300000,1295400000,None,None,None,1224000000,8638200000,627300000,None,357900000,USD,572800000,-39600000,544700000,-1700000,56500000,-413200000,-75800000,-37100000,264200000,426300000,294800000,272800000,62900000,-222000000,-171900000,None,-9800000,8200000,26400000,-9500000,None,426300000,81.7,86.12
4,2019-05-31,USD,980400000,665900000,322100000,980400000,314500000,230400000,None,None,310500000,None,665900000,None,314500000,None,4000000,80100000,4200000,-5000000,None,None,None,80100000,-5500000,None,230400000,230400000,None,USD,8676000000,399100000,None,4110900000,6056500000,2619500000,223100000,4622700000,3600000,1409500000,415100000,1782600000,397700000,673600000,4845000000,None,None,100000,408700000,5677700000,10200000,437800000,39000000,854200000,796400000,None,222300000,None,None,3600000,None,1409500000,None,None,397700000,None,2998300000,None,796400000,192000000,1211500000,None,None,None,1206300000,8676000000,712600000,None,359300000,USD,-1044000000,-30900000,-1089700000,-9900000,742700000,-1929300000,-2425000000,-62900000,230400000,-2770300000,248700000,216600000,66000000,-222900000,-24100000,None,-7000000,7700000,35800000,-10700000,None,-2770300000,85.79,81.7
5,2019-02-28,USD,1070400000,641100000,325300000,1070400000,429300000,324600000,0,None,425600000,None,641100000,None,429300000,None,3700000,101000000,3100000,-3600000,None,None,None,101000000,-100000,None,324600000,324600000,None,USD,10363000000,420900000,None,5715300000,7765000000,2598000000,229200000,5581900000,3600000,1425800000,415300000,1781500000,443900000,696400000,6549700000,53600000,53600000,-19300000,404700000,7292000000,20000000,395600000,35600000,844700000,800000000,None,914200000,None,None,3600000,None,1425800000,None,None,443900000,None,3071000000,None,800000000,186100000,1215300000,None,None,None,1187900000,10363000000,732000000,None,359400000,USD,421500000,138600000,-1577400000,-1971700000,-3700000,2304400000,2509300000,-109000000,324600000,1252600000,525600000,345500000,64100000,-201200000,-32800000,None,-38600000,11100000,27200000,-33700000,None,1252600000,77.02,85.79
6,2018-11-30,USD,858900000,551700000,264900000,858900000,307200000,235800000,0,None,309300000,None,551700000,None,307200000,None,-2100000,None,None,None,None,None,None,73500000,2100000,None,235800000,235800000,None,USD,7002400000,128000000,None,3939800000,4577900000,2424500000,161600000,3871000000,3600000,1302600000,271100000,810600000,369800000,510600000,4306800000,57300000,None,-47400000,394000000,5290000000,10000000,1485900000,248400000,591200000,0,0,378500000,0,0,3600000,0,1302600000,0,None,369800000,None,1712400000,None,None,109500000,271100000,None,None,None,1165700000,7002400000,759000000,None,359100000,USD,-65700000,-15000000,120300000,222400000,600000,-273300000,-72600000,-40300000,235800000,70500000,223500000,195000000,50100000,-201300000,0,0,-28600000,21500000,36400000,-28100000,None,70500000,70.76,77.02
7,2018-08-31,USD,862800000,542500000,265500000,862800000,320300000,243600000,0,None,322600000,None,542500000,None,320300000,None,-2300000,None,None,None,None,None,None,79000000,2300000,None,243600000,243600000,None,USD,7050000000,135500000,None,3988900000,4663000000,2387000000,155500000,3943300000,3600000,1268100000,265600000,813300000,371300000,440100000,4397400000,56700000,56700000,-35800000,389100000,5076200000,264600000,1438200000,82900000,564300000,0,0,397400000,0,0,3600000,0,1268100000,0,None,371300000,None,1973800000,None,None,110100000,265600000,None,None,None,1151100000,7050000000,523000000,None,359000000,USD,181200000,-15200000,918500000,761700000,56700000,-1110300000,-932800000,24100000,243600000,81900000,273700000,264600000,50300000,-201400000,-32800000,0,-43000000,13900000,24400000,-39900000,None,81900000,73.25,70.76
8,2018-05-31,USD,871100000,553300000,266300000,871100000,317800000,228500000,0,0,320300000,0,553300000,None,317800000,0,-2500000,None,None,None,0,0,0,91800000,2500000,0,228500000,228500000,None,USD,7463700000,141400000,None,4796600000,5439200000,2024500000,48800000,4892100000,3600000,930300000,152000000,814000000,34900000,358200000,5287200000,None,None,-36200000,393500000,5784400000,295500000,1069100000,66000000,563600000,0,0,395100000,0,0,3600000,0,930300000,0,None,34900000,None,1679300000,None,None,103200000,152000000,None,None,None,1126800000,7463700000,424200000,None,359000000,USD,632000000,-38300000,-703400000,-1303400000,-57700000,450200000,757900000,-1700000,228500000,34300000,287500000,227500000,51000000,-201000000,-49000000,0,19800000,28200000,32000000,19100000,None,34300000,65.58,73.25
9,2018-02-28,USD,866500000,574000000,234100000,866500000,292500000,260400000,0,0,294800000,0,574000000,None,292500000,0,-2300000,None,None,None,0,0,0,34400000,2300000,0,260400000,260400000,None,USD,6842800000,105100000,None,4045500000,4797300000,2045500000,41900000,4137800000,3600000,961400000,131700000,827400000,1396900000,323900000,4623700000,57700000,57700000,-26700000,397200000,5048700000,405400000,1113000000,97300000,582000000,0,0,428200000,0,0,3600000,0,961400000,0,None,59000000,None,1794100000,None,None,131700000,173600000,None,None,None,1107200000,6842800000,421200000,None,359300000,USD,356300000,115200000,775500000,445700000,-75700000,-1178300000,-922800000,40900000,260400000,66700000,469500000,297600000,52900000,-179800000,0,0,50300000,-50200000,26500000,54000000,None,66700000,65.13,65.58
10,2017-11-30,USD,826500000,494300000,214900000,826500000,332200000,217000000,0,0,333900000,0,494300000,None,332200000,0,-1700000,None,None,None,0,0,0,116900000,0,0,217000000,217000000,None,USD,7684600000,77400000,None,5024000000,5715700000,1968900000,85000000,5028700000,3600000,881000000,129000000,698100000,1314500000,257200000,5501700000,133400000,133400000,-9200000,377100000,5993000000,480900000,1193400000,81400000,630400000,0,0,339600000,0,0,3600000,0,881000000,0,None,58100000,None,1691600000,None,None,129000000,214000000,None,None,None,1093500000,7684600000,338600000,None,359200000,USD,139100000,-15100000,-40100000,-101700000,76200000,-112900000,-9300000,-56100000,198800000,22800000,175800000,164100000,50400000,-179800000,0,0,0,20700000,77500000,-44300000,None,22800000,67.31,65.13
11,2017-08-31,USD,816800000,471800000,200000000,816800000,345000000,227800000,0,0,347100000,0,471800000,None,345000000,0,-2100000,None,None,None,0,0,0,119300000,0,0,227800000,227800000,None,USD,7619500000,79200000,None,5034700000,5675700000,1943800000,95400000,5042800000,3600000,843700000,124600000,698000000,1317400000,234400000,5455700000,57200000,57200000,24400000,328600000,5973500000,483200000,1166600000,133800000,570600000,0,0,355700000,0,0,3600000,0,843700000,0,None,57000000,None,1646000000,None,None,124600000,220000000,None,None,None,1072100000,7619500000,368200000,None,358900000,USD,245300000,-19200000,-711000000,-938300000,57200000,417200000,633200000,32700000,210400000,49800000,343600000,256600000,49100000,-179100000,-94100000,0,0,68600000,18000000,-11500000,None,49800000,57.03,67.31
12,2017-05-31,USD,798600000,499700000,195200000,798600000,298900000,195300000,0,0,300500000,0,499700000,None,298900000,0,-1600000,None,None,None,0,0,0,105200000,5200000,0,195300000,195300000,None,USD,6833700000,57600000,None,4405200000,4878400000,1955300000,33900000,4387400000,3600000,901700000,119400000,657100000,1224500000,184600000,4725100000,None,None,20000000,337200000,5272000000,454000000,1240600000,138800000,543400000,0,0,337700000,0,0,3600000,0,901700000,0,None,55800000,None,1561700000,None,None,119400000,153300000,None,None,None,1030000000,6833700000,323400000,None,359400000,USD,-147200000,1600000,522500000,697200000,None,-718900000,-498100000,-49300000,195300000,-5300000,191100000,191000000,53700000,-165400000,0,0,-103700000,27800000,27500000,-83000000,None,-5300000,59.23,57.03
13,2017-02-28,USD,795800000,489200000,205800000,795800000,306600000,202500000,0,0,307800000,0,489200000,None,306600000,0,-1200000,None,None,None,0,0,0,105300000,0,0,202500000,202500000,None,USD,7310300000,62000000,None,4886000000,5413600000,1896700000,17700000,4884300000,3600000,871900000,122200000,657100000,1216900000,189900000,5273700000,55400000,55400000,4600000,341600000,5751800000,440200000,1177600000,214000000,461900000,0,0,334000000,0,0,3600000,0,871900000,0,None,57600000,None,1558500000,None,None,122200000,139900000,None,None,None,1016600000,7310300000,403900000,None,359200000,USD,-946500000,31700000,-1645000000,-678500000,-47700000,1314000000,1527100000,-15100000,202500000,24900000,355900000,187400000,49000000,-165400000,0,0,0,-14400000,20000000,102200000,None,24900000,61.42,59.23
14,2016-11-30,USD,771400000,460300000,196300000,771400000,311100000,202100000,0,0,312000000,0,460300000,None,311100000,0,-900000,None,None,None,0,0,0,109900000,0,0,202100000,202100000,None,USD,5776100000,65200000,None,3358000000,3960500000,1815600000,18500000,3387100000,3600000,834900000,157900000,657100000,1211100000,165000000,3784100000,103100000,103100000,-16800000,349300000,4215700000,432100000,1093300000,128000000,564700000,0,0,293900000,0,0,3600000,0,834900000,0,None,56700000,None,1560400000,None,None,157900000,176400000,None,None,None,993900000,5776100000,293000000,None,358800000,USD,391100000,-55100000,317600000,-47000000,51800000,-401300000,-121700000,-47600000,202100000,35000000,118700000,154500000,48400000,-165200000,-166200000,0,0,19900000,26500000,-49000000,None,35000000,58.95,61.42
15,2016-08-31,USD,785500000,462500000,195400000,785500000,323000000,217400000,0,0,324500000,0,462500000,None,323000000,0,-1500000,None,None,None,0,0,0,107100000,0,0,217400000,217400000,None,USD,6096900000,65000000,None,3506000000,4108800000,1988100000,41200000,3499300000,3600000,958900000,154400000,657100000,1227500000,130000000,3913200000,51300000,51300000,39200000,348400000,4521000000,446300000,1266000000,367700000,517300000,0,0,362600000,0,0,3600000,0,958900000,0,None,59100000,None,1575900000,None,None,154400000,195600000,None,None,None,986400000,6096900000,497700000,None,361700000,USD,143300000,60900000,380300000,257300000,51300000,-676500000,-561500000,17500000,217400000,-1500000,294700000,234900000,48300000,-166300000,0,0,0,24300000,20300000,-73700000,None,-1500000,60.67,58.95
16,2016-05-31,USD,753900000,477600000,190300000,753900000,276300000,178100000,0,0,276100000,0,477600000,None,276300000,0,200000,None,None,None,0,0,0,98000000,4500000,0,178100000,178100000,None,USD,6440800000,69500000,None,4066800000,4529100000,1911700000,22100000,4061400000,3600000,926200000,141100000,657100000,1224200000,131500000,4365900000,None,None,29200000,353000000,4863600000,441100000,1185100000,220600000,444700000,0,0,304500000,0,0,3600000,0,926200000,0,None,56500000,None,1577200000,None,None,141100000,163200000,None,None,None,952700000,6440800000,352100000,None,360400000,USD,-1190600000,34900000,500500000,1718800000,None,-849100000,-697600000,700000,178100000,-121600000,227000000,764300000,48500000,-151500000,0,0,-37500000,18600000,27700000,-60600000,None,-121600000,54.22,60.67
17,2016-02-29,USD,752600000,472600000,195500000,752600000,280000000,180400000,0,0,281700000,0,472600000,None,280000000,0,-1700000,None,None,None,0,0,0,101300000,0,0,180400000,180400000,None,USD,7067500000,73500000,None,4790000000,5193400000,1874100000,18300000,4763900000,3600000,899600000,135900000,656200000,1213900000,253100000,5039200000,None,None,37500000,350000000,5503600000,428600000,1144400000,74100000,386400000,0,0,275300000,0,0,3600000,0,899600000,0,None,55600000,None,1563900000,None,None,135900000,154200000,None,None,None,933400000,7067500000,327200000,None,360100000,USD,-57500000,32600000,-1312300000,-1233300000,None,781800000,978200000,None,180400000,-159200000,371300000,34800000,49200000,-151400000,-45000000,0,24900000,-14500000,21500000,88800000,None,-159200000,51.39,54.22
18,2015-11-30,USD,722400000,428200000,177500000,722400000,294200000,189200000,0,0,295800000,0,428200000,None,294200000,0,-1600000,None,None,None,0,0,0,106600000,0,0,189200000,189200000,None,USD,6016800000,31300000,None,3848300000,4158500000,1858300000,14400000,3752700000,3600000,913900000,134200000,561500000,1061600000,412300000,4009900000,None,None,20300000,352700000,4602500000,436500000,1265500000,64100000,277800000,0,0,257200000,0,0,3600000,0,913900000,0,None,32300000,None,1414300000,None,None,134200000,148600000,None,None,None,920500000,6016800000,476400000,None,360900000,USD,-23700000,-11000000,-11200000,39800000,None,-174000000,-22300000,None,189200000,-43600000,141600000,-60400000,46700000,-151700000,0,0,0,16700000,27300000,-39600000,None,-43600000,54.25,51.39
