,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,8959000,None,None,None,None,1841000,None,None,2267000,292000,3935000,None,None,685000,2874000,439000,10450000,7576000,None,None,None,439000,None,None,1828000,1443000,None,USD,1167024000,141000,None,None,1074417000,92315000,None,None,48000,47660000,9679000,4536000,824518000,45123000,None,None,10158000,-5152000,24623000,None,258993000,87626000,116131000,4973000,80384000,None,276000,None,None,None,None,None,None,None,None,None,None,2587000,None,None,None,None,None,None,None,None,None,None,None,USD,-69102000,0,-69102000,702000,-16040000,54320000,70713000,-101000,1841000,-12456000,2326000,None,401000,-354000,None,None,-1273000,1387000,417000,None,None,None,9.54,
1,2020-03-31,USD,9335000,None,None,None,None,1690000,None,None,2215000,305000,4212000,None,None,808000,3264000,455000,10973000,7709000,None,None,None,455000,None,None,1760000,1323000,None,USD,1107643000,145000,255823000,None,1019332000,88006000,None,None,47000,46174000,9099000,4536000,769717000,57579000,None,None,8138000,-7886000,24653000,None,242347000,83313000,121458000,3700000,98435000,None,407000,None,None,None,None,None,None,None,None,None,None,2618000,15136000,None,None,None,None,None,49659000,None,None,None,5000000,USD,-16759000,0,-16759000,157000,-1688000,16183000,18029000,-1262000,1690000,37419000,37995000,None,144000,-352000,194000,None,12000,37328000,19000,None,None,None,10.7,9.54
2,2019-12-31,USD,8893000,6198000,None,8479000,None,1860000,None,None,2281000,235000,4164000,None,2281000,805000,3476000,415000,11183000,7707000,None,None,None,415000,None,None,1866000,1511000,None,USD,1093807000,149000,286622000,None,1003138000,90434000,None,None,47000,44839000,9276000,4536000,764633000,20160000,None,25138000,25138000,-3826000,25085000,None,234656000,85737000,111134000,3712000,83115000,None,396000,None,None,None,None,None,None,None,None,None,None,2650000,15128000,None,None,None,None,None,49362000,None,None,None,4000000,USD,-56999000,0,-56999000,-512000,13873000,35821000,22290000,-753000,1860000,-19613000,1565000,None,394000,-353000,19787000,None,-399000,648000,675000,None,None,None,13.9,10.7
3,2019-09-30,USD,8301000,6124000,None,7891000,None,1295000,None,None,1609000,229000,4230000,None,1767000,869000,3528000,324000,10670000,7142000,None,None,None,324000,-158000,None,1285000,1012000,None,USD,1056120000,153000,258485000,3313000,966929000,88962000,None,None,47000,43332000,9109000,4536000,744289000,39773000,878430000,18238000,18238000,-3665000,24833000,43234000,234865000,84261000,120002000,3313000,76133000,148000,468000,None,None,None,None,None,None,None,None,None,None,2681000,15119000,None,None,None,None,None,49236000,None,None,None,5000000,USD,-54467000,0,-54467000,700000,-10182000,40421000,50962000,976000,1295000,-10569000,3477000,None,395000,-351000,19769000,None,26000,711000,553000,None,None,None,13.43,13.9
4,2019-06-30,USD,7696000,6153000,None,7315000,None,607000,None,None,776000,239000,4413000,None,1162000,955000,3402000,175000,10034000,6632000,None,None,None,175000,-386000,None,601000,492000,None,USD,1012856000,157000,228900000,3339000,925012000,87605000,None,None,47000,42389000,8563000,4536000,711379000,50342000,838193000,29000000,29000000,-3968000,24705000,54272000,213364000,82900000,117530000,3339000,75545000,591000,446000,None,None,None,None,None,None,None,None,None,None,2711000,15111000,None,None,None,None,None,49125000,None,None,None,4000000,USD,-14083000,0,-14083000,-290000,12572000,34968000,3090000,2546000,607000,25526000,4641000,None,391000,-263000,19769000,None,25000,1001000,1092000,None,None,None,14.55,13.43
5,2019-03-31,USD,7441000,6363000,None,7496000,None,514000,None,None,785000,258000,4728000,None,1133000,654000,3122000,251000,9592000,6547000,None,None,None,251000,-348000,None,534000,514000,None,USD,975072000,161000,254874000,7996000,908892000,66180000,None,None,44000,42133000,7388000,4536000,678826000,24816000,819110000,13000000,13000000,-4462000,24001000,28803000,234657000,61483000,155302000,3364000,15102000,623000,471000,None,None,None,None,None,None,None,None,None,None,2711000,15102000,None,None,None,None,None,29454000,None,None,None,4000000,USD,-37262000,0,-37262000,-35986000,-41100000,37325000,37388000,-2532000,514000,-1500000,-1563000,None,360000,-263000,200000,None,-296000,299000,1276000,None,None,None,13.05,14.55
6,2018-12-31,USD,7190000,5966000,3041000,7190000,0,1097000,0,0,1139000,238000,5245000,None,1224000,721000,0,41000,9255000,6510000,0,0,0,41000,-85000,0,1098000,1097000,None,USD,933115000,181000,254215000,7068000,868656000,64221000,None,None,44000,42114000,7664000,4536000,639256000,22316000,797591000,31227000,31227000,-7076000,20623000,30557000,237962000,59520000,None,None,63401000,1173000,727060000,None,None,None,None,None,None,None,None,None,None,None,15094000,None,None,None,None,None,29139000,None,None,None,4000000,USD,-15718000,0,-22168000,-1548000,38898000,9511000,-29149000,597000,1097000,-9658000,2999000,None,324000,-261000,385000,None,None,1044000,3516000,None,None,None,15.66,13.05
7,2018-09-30,USD,7045000,5760000,2725000,7045000,0,985000,0,0,1133000,243000,5062000,None,1285000,698000,0,157000,8830000,6396000,0,0,0,157000,-152000,0,976000,985000,None,USD,921615000,169000,244603000,7393000,858052000,63320000,None,None,44000,41270000,6801000,4536000,640570000,31496000,758530000,None,None,-6927000,17418000,39157000,219765000,58615000,None,None,92721000,268000,756204000,None,None,None,None,None,-1079000,None,None,None,None,None,15085000,None,None,None,None,None,28933000,None,None,None,4000000,USD,-5316000,0,-20153000,247000,-4467000,18455000,23026000,-983000,985000,-766000,932000,None,276000,-262000,362000,4000,132000,745000,1017000,None,None,None,15.05,15.66
8,2018-06-30,USD,7194000,5992000,2346000,7194000,0,945000,0,0,1067000,252000,5253000,None,1202000,739000,-471000,166000,8516000,6467000,0,0,0,166000,-135000,0,901000,945000,None,USD,903482000,173000,243018000,7090000,840613000,62617000,None,None,43000,40540000,8010000,4536000,626913000,32375000,760024000,99179000,99179000,-6595000,16692000,39562000,215606000,57908000,None,None,72579000,97000,733169000,None,None,None,None,None,-1124000,None,None,None,None,None,15076000,None,None,None,None,None,28629000,None,None,None,4000000,USD,10815000,0,5547000,-5693000,20215000,9332000,-10747000,1856000,945000,18461000,3582000,None,302000,-256000,204000,None,322000,132000,208000,None,None,None,15.97,15.05
9,2018-03-31,USD,6618000,5339000,2429000,6618000,0,1004000,0,0,1216000,30000,3675000,None,2693000,558000,471000,182000,8209000,6393000,0,0,0,182000,-63000,0,1034000,1004000,None,USD,891137000,4714000,235967000,8109000,828699000,62075000,None,743805000,43000,34817000,5938000,4536000,255362000,13170000,764623000,78956000,78956000,-6181000,16790000,21387000,226684000,57361000,None,3000000,58356000,108000,743805000,None,None,None,None,None,-1169000,None,None,None,None,None,15068000,None,None,None,None,None,28384000,None,None,None,4000000,USD,12479000,0,-15251000,434000,-10000000,10070000,20232000,-1208000,1004000,-3712000,1469000,None,307000,-246000,84000,None,47000,1224000,951000,None,None,None,15.45,15.97
