,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,56162000,78049000,63631000,56162000,-21887000,-22216000,None,None,-22275000,-100000,41038000,None,-21887000,35712000,388000,41000,None,-388000,None,1299000,None,41000,-1299000,None,-22316000,-22216000,None,USD,327272000,3404000,None,8448000,292619000,34475000,4303000,38653000,334000,-289638000,4223000,2222000,4303000,29092000,63556000,None,None,None,68492000,43720000,None,28849000,None,3357000,23086000,2823000,24903000,None,None,334000,None,-289638000,-112757000,None,205131000,None,4303000,240407000,23086000,205977000,229063000,None,None,None,436536000,327272000,29092000,None,23898000,USD,-2473000,7325000,-2473000,None,-17138000,-17144000,-6000,7094000,-22316000,-16724000,2893000,12336000,4955000,None,0,422000,-683000,854000,2473000,-683000,None,-16724000,2.28,
1,2020-03-31,USD,87590000,104575000,82364000,87590000,-16985000,-13336000,None,None,-17059000,-14000,53896000,None,-16985000,44658000,74000,-3709000,None,-74000,None,6021000,None,-3709000,-5957000,None,-13350000,-13336000,None,USD,351069000,3404000,None,8454000,294865000,55926000,4032000,29701000,331000,-267422000,3274000,2222000,4032000,45816000,88689000,39786000,39786000,None,73006000,60166000,None,50300000,None,2651000,None,3245000,19202000,None,None,331000,None,-267422000,-112751000,None,208239000,None,4032000,232603000,None,206176000,206176000,None,None,None,435768000,351069000,45816000,None,23684000,USD,-4860000,-4911000,-4860000,None,39786000,39686000,-71000,-15049000,-13350000,27010000,-7816000,2626000,5456000,None,-29000,228000,1620000,515000,4860000,1620000,None,27010000,3.09,2.28
2,2019-12-31,USD,101752000,102614000,85893000,101752000,-862000,-1332000,None,None,-966000,107000,54970000,None,-862000,46681000,104000,259000,None,-104000,None,963000,None,259000,-954000,None,-1225000,-1332000,None,USD,332879000,3404000,None,5687000,263710000,68848000,4010000,29319000,331000,-254081000,3210000,2222000,4010000,18806000,53774000,None,None,None,79032000,32223000,None,63222000,None,4257000,None,3473000,24455000,None,None,331000,None,-254081000,-112680000,None,211988000,None,4010000,236045000,None,209936000,209936000,None,None,None,435278000,332879000,18806000,None,23638000,USD,-4832000,-466000,-4832000,None,-149000,-425000,-56000,-3781000,-1225000,3048000,8305000,3257000,5672000,None,-220000,-156000,827000,396000,4832000,827000,None,3048000,4.22,3.09
3,2019-09-30,USD,104238000,106381000,88094000,104238000,-2143000,-2355000,None,None,-2171000,118000,56960000,None,-2143000,47755000,28000,66000,None,-28000,None,1666000,None,66000,-1650000,None,-2237000,-2355000,None,USD,333563000,3404000,None,7934000,263387000,69811000,3957000,28998000,331000,-252749000,2988000,2222000,3957000,15758000,53203000,None,None,None,79626000,32093000,None,64185000,None,5084000,None,3317000,24205000,None,None,331000,None,-252749000,-112624000,None,212261000,None,3957000,236194000,None,210184000,210184000,None,None,None,434853000,333563000,15758000,None,23607518,USD,-4303000,-1706000,-4303000,None,-40000,-880000,-200000,-9688000,-2237000,-2308000,2875000,1477000,5365000,None,-840000,40000,-539000,475000,4303000,-539000,None,-2308000,4.36,4.22
4,2019-06-30,USD,105630000,107098000,87424000,105630000,-1468000,-1866000,None,None,-1503000,117000,57773000,None,-1468000,49079000,35000,246000,-35000,-35000,None,246000,None,246000,-246000,None,-1749000,-1866000,None,USD,344842000,3404000,None,8182000,271966000,72470000,6898000,29126000,331000,-250394000,6255000,2222000,6898000,18066000,54813000,None,None,None,81628000,34150000,None,66844000,None,4545000,None,3357000,25687000,None,None,331000,None,-250394000,-111874000,None,216540000,None,6898000,240024000,None,217153000,217153000,None,None,None,434407000,344842000,18066000,None,23768375,USD,-2658000,2573000,-2658000,None,39786000,-2468000,-10000,-3414000,-1749000,4235000,9361000,789000,5576000,-177000,-2458000,-64000,1003000,1233000,2658000,1003000,None,4235000,5.09,4.36
5,2019-03-31,USD,98087000,102810000,25978000,98087000,-4723000,-18439000,None,None,-4755000,65000,56827000,None,-4723000,45891000,32000,13619000,-32000,-32000,None,92000,None,13619000,-82000,None,-18374000,-18439000,None,USD,351530000,3404000,None,9920000,275442000,75661000,6963000,28768000,330000,-248528000,6239000,2222000,6963000,13831000,52195000,28768000,28768000,None,84172000,32592000,None,70035000,None,5548000,217008000,3293000,23427000,None,None,330000,None,-248528000,-109541000,None,222177000,None,6963000,245776000,None,223247000,223247000,None,None,None,433400000,351530000,13831000,None,24038211,USD,-2572000,-4472000,-2572000,None,None,-999000,-25000,-10747000,-18374000,-5944000,-2373000,1511000,5545000,None,-974000,189000,-811000,14039000,2572000,-811000,None,-5944000,8.51,5.09
6,2018-12-31,USD,102378000,107748000,73950000,102378000,-5370000,-4363000,0,0,-5403000,44000,24744000,None,-5370000,77677000,33000,-1084000,None,None,0,5327000,0,-1084000,-7017000,0,-4319000,-4363000,None,USD,153215000,3404000,None,11426000,57682000,95171000,22905000,3772000,330000,-229558000,28656000,2222000,20387000,19775000,29026000,None,None,None,87782000,39420000,None,89545000,None,4737000,None,3482000,29026000,None,None,330000,None,-229558000,-108372000,None,None,13385000,7002000,None,None,5751000,28656000,None,None,None,432771000,153215000,19775000,None,24142586,USD,None,2231000,-4673000,None,None,-10598000,-78000,3174000,-4319000,-6936000,8335000,6855000,5620000,-173000,-10520000,-22000,616000,-2646000,4673000,616000,None,-6936000,8.05,8.51
7,2018-09-30,USD,106996000,109693000,75907000,106996000,-2697000,-1961000,0,0,-2751000,119000,55820000,None,-2697000,49378000,54000,None,None,None,0,4495000,0,-909000,-4440000,0,-1842000,-1961000,None,USD,166042000,3404000,None,10980000,55958000,109671000,22998000,23597000,329000,-225195000,28981000,2222000,19676000,26711000,26977000,None,None,None,94237000,46503000,None,104045000,0,5353000,0,3459000,26977000,110084000,432329000,329000,0,-225195000,-97792000,None,None,12612000,7064000,None,None,5983000,28981000,None,None,None,432329000,166042000,26711000,None,25102339,USD,None,-3378000,-5108000,0,None,-7277000,396000,-3592000,-1842000,-7599000,4786000,3536000,5857000,-151000,-7673000,-198000,306000,505000,5108000,306000,None,-7599000,12.3,8.05
8,2018-06-30,USD,110347000,110252000,76036000,110347000,95000,-360000,0,0,67000,125000,73630000,None,95000,34497000,28000,None,None,None,0,2125000,0,302000,-3785000,0,-235000,-360000,None,USD,176274000,3404000,None,13242000,56940000,118909000,22811000,26020000,327000,-223234000,26420000,2222000,14624000,34310000,30520000,None,None,None,99551000,56473000,None,113283000,0,5659000,0,3262000,30520000,119334000,430643000,327000,0,-223234000,-88827000,None,None,9803000,4821000,None,None,3609000,26420000,None,None,None,430643000,176274000,34310000,None,25651953,USD,None,4014000,-6675000,0,None,847000,-256000,1966000,-235000,5374000,11202000,1056000,5867000,-256000,847000,195000,-781000,1086000,6675000,-781000,None,5374000,12.95,12.3
9,2018-03-31,USD,102917000,105547000,72941000,102917000,-2630000,-2194000,0,0,-2657000,41000,70993000,None,-2630000,32462000,27000,None,None,None,0,2092000,0,-504000,-2351000,0,-2153000,-2194000,None,USD,170593000,3404000,None,11251000,53260000,116777000,22964000,176000,321000,-222874000,27178000,2222000,15712000,28936000,26082000,None,None,None,100732000,48523000,None,111151000,0,4879000,0,3457000,26082000,117333000,424771000,321000,0,-222874000,-85441000,None,None,10902000,4810000,None,None,4214000,27178000,None,None,None,424771000,170593000,28936000,None,25286229,USD,None,-593000,-4939000,0,None,1680000,-512000,-145000,-2153000,3406000,6665000,2710000,5835000,0,2192000,68000,-41000,839000,4939000,-41000,None,3406000,12.05,12.95
