,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,21409000,15491000,8946000,-8946000,-24587000,-3652000,7754000,None,-3352000,None,7737000,-150000,-24437000,None,150000,300000,None,-150000,None,None,None,300000,None,None,-3652000,-3652000,None,USD,233696000,5586000,None,23562000,35991000,197705000,None,19497000,5000,-40050000,7078000,2293000,37615000,103441000,21880000,None,None,-1439000,40412000,140734000,None,197705000,None,28666000,None,None,16494000,None,None,5000,None,-40050000,-93968000,None,8093000,None,29522000,8913000,None,1814000,14111000,None,None,None,333157000,233696000,103441000,None,32982000,USD,-1872000,-3231000,-1872000,None,None,-332000,-795000,6869000,-3652000,3046000,5250000,2981000,1708000,None,463000,None,8660000,-1216000,1872000,8660000,None,3071000,19.56,
1,2020-03-31,USD,21158000,16485000,8487000,-8487000,-24992000,-528000,8590000,None,-4007000,None,7895000,-20000,-24972000,None,None,-3479000,-20000,-20000,None,None,None,-3479000,None,None,-528000,-528000,None,USD,239357000,5904000,None,17532000,40888000,198469000,None,16076000,5000,-36398000,6514000,2293000,33407000,100385000,27064000,None,None,-1646000,41009000,149376000,None,196176000,None,62448000,None,None,10988000,None,None,5000,None,-36398000,-93173000,None,15690000,None,58992000,9264000,None,13824000,13824000,None,None,None,329681000,239357000,100385000,None,32795000,USD,-2068000,-697000,-2068000,None,None,-507000,-1478000,-4715000,-528000,2805000,5380000,-1763000,1667000,None,971000,None,3348000,3353000,2068000,3348000,-25000,2780000,11.72,19.56
2,2019-12-31,USD,22562000,14676000,9060000,-72083000,-86790000,-1330000,8754000,None,-1814000,None,6358000,-31000,-86759000,None,-131000,-484000,-31000,-31000,None,None,None,-484000,0,None,-1330000,-1330000,None,USD,239544000,6221000,None,25443000,43387000,196157000,None,21300000,5000,-35870000,7714000,2293000,35047000,97605000,27996000,None,None,-1480000,40798000,147576000,None,196157000,None,75698000,None,None,16719000,None,None,5000,None,-35870000,-91695000,None,9720000,None,40798000,9544000,None,5368000,5368000,None,None,None,325197000,239544000,97605000,None,32503000,USD,-3711000,1576000,-3711000,-50000,None,-609000,-787000,1789000,-1330000,-2741000,1579000,3141000,2039000,None,178000,None,-6027000,2180000,3661000,-6027000,87000,-2654000,16.89,11.72
3,2019-09-30,USD,21914000,14599000,8715000,13199000,-1198000,-687000,8435000,None,-1198000,None,5990000,202000,-1400000,-21740000,-131000,-511000,202000,202000,None,None,None,-511000,202000,None,-687000,-687000,None,USD,229347000,6538000,None,24438000,34360000,194987000,None,19383000,5000,-34540000,6009000,2293000,31125000,100259000,20625000,None,None,-1753000,38969000,142841000,None,194987000,None,57656000,None,None,14977000,None,None,5000,None,-34540000,-90908000,None,8025000,None,46994000,9552000,None,2444000,13735000,None,None,None,322183000,229347000,100259000,None,32350000,USD,-2837000,-1359000,-2837000,-2610000,None,-1670000,-629000,-2492000,-687000,13538000,18045000,-971000,1990000,None,-1041000,None,17757000,1315000,2837000,17757000,-96000,13442000,13.07,16.89
4,2019-06-30,USD,20568000,14406000,7832000,12736000,-1559000,-710000,7312000,None,-1559000,None,6940000,111000,-1670000,-20414000,-131000,-849000,111000,111000,None,None,None,-849000,111000,None,-710000,-710000,None,USD,229671000,6855000,None,8843000,34779000,194892000,None,20096000,5000,-33853000,5308000,2293000,28662000,86817000,21364000,None,None,-1292000,35846000,148041000,None,185744000,None,52381000,None,None,12946000,None,None,5000,None,-33853000,-88324000,None,15258000,21378000,81630000,9982000,None,1737000,1737000,None,None,None,318356000,229671000,86817000,None,32291000,USD,-4307000,113000,-4307000,-2610000,None,-4382000,-918000,680000,-710000,-3572000,5117000,1103000,1639000,None,-3464000,None,830000,2142000,1697000,830000,-26000,-3598000,13.12,13.07
5,2019-03-31,USD,20541000,15457000,7867000,12674000,-2789000,-2691000,8246000,None,-2789000,None,7011000,-6000,-2783000,-20433000,-131000,-98000,-6000,-6000,None,92000,None,-98000,-92000,None,-2691000,-2691000,None,USD,232685000,4812000,None,9862000,35338000,197347000,None,12663000,5000,-33143000,4632000,1923000,28187000,90415000,22242000,1914000,1914000,-1328000,35936000,153488000,None,190612000,None,53211000,8464000,None,9579000,None,None,5000,None,-33143000,-83616000,None,15427000,21099000,79197000,10378000,None,13096000,13096000,None,None,None,315429000,232685000,90415000,None,32346,USD,-2357000,141000,-2357000,None,None,-3174000,-557000,-304000,-2691000,-5682000,-151000,1076000,1544000,None,-2617000,None,-1641000,1420000,2357000,-1641000,8000,-5674000,12.35,13.12
6,2018-12-31,USD,19725000,13717000,52921000,10004000,-3502000,-3114000,6898000,0,-3502000,0,6133000,211000,-3713000,-60947000,-6000,None,None,None,0,576000,0,-388000,-566000,0,-3114000,-3114000,None,USD,225905000,5064000,None,16549000,26110000,199795000,None,9112000,5000,-30452000,6582000,1923000,26016000,96089000,19528000,None,None,-1276000,35681000,157221000,None,199795000,None,77586000,None,None,10416000,None,None,5000,None,-30452000,-79142000,None,None,None,35681000,None,None,6582000,6582000,None,None,None,310660000,225905000,96089000,None,32382000,USD,None,-1849000,-4369000,None,None,-544000,-634000,2782000,-3114000,-618000,4295000,5838000,1531000,None,90000,None,1175000,714000,4369000,1174000,-81000,-699000,8.43,12.35
7,2018-09-30,USD,20213000,12370000,-10683000,9530000,-2617000,-2082000,6755000,0,-2617000,0,5507000,223000,-2840000,108000,-6000,None,None,None,0,0,0,-535000,223000,0,-2082000,-2082000,None,USD,227659000,5317000,None,10890000,26764000,200895000,0,7360000,5000,-27337000,6094000,1923000,25877000,96788000,20670000,None,None,-1119000,34120000,160422000,None,193655000,0,52744000,0,0,13310000,0,0,5000,0,-27337000,-78752000,None,8163000,17714000,67237000,None,None,6094000,6094000,None,None,None,308098000,227659000,96788000,None,35257000,USD,None,-1393000,-3937000,0,None,543000,-335000,-1806000,-2082000,-4070000,-676000,-1470000,1410000,0,878000,0,1174000,1685000,3937000,1175000,-58000,-4128000,9.03,8.43
8,2018-06-30,USD,21119000,13127000,-10917000,10202000,-2535000,-2096000,7100000,0,-2535000,0,5919000,390000,-2925000,108000,-6000,None,None,None,0,0,0,-439000,390000,0,-2096000,-2096000,None,USD,225772000,5569000,None,10583000,25448000,200324000,0,9404000,5000,-25256000,5646000,1923000,26690000,100916000,19802000,None,None,-951000,28095000,163495000,None,194755000,0,53919000,0,0,19802000,0,0,5000,0,-25256000,-78422000,None,8943000,17747000,60354000,None,None,5646000,5646000,None,None,None,304948000,225772000,100916000,None,32075000,USD,None,-126000,-2363000,0,None,-1568000,-820000,2295000,-2096000,2536000,6467000,1778000,1522000,0,-748000,0,4559000,830000,2363000,4559000,-142000,2394000,11.98,9.03
9,2018-03-31,USD,24737000,13729000,11482000,13255000,-805000,-424000,7245000,0,-805000,0,6375000,-331000,-474000,-24628000,-285000,None,None,None,0,0,0,-381000,-331000,0,-424000,-424000,None,USD,226540000,5821000,None,9654000,24481000,202059000,0,8520000,5000,-23160000,5946000,1923000,25648000,98522000,18535000,None,None,-180000,26536000,166612000,None,194315000,0,58436000,0,0,18535000,0,0,5000,0,-23160000,-76473000,None,9752000,15896000,59928000,None,None,5946000,5946000,None,None,None,301867000,226540000,98522000,None,31964000,USD,None,593000,-2447000,0,None,-3633000,-556000,-3195000,-424000,-2828000,3252000,-1385000,1514000,0,-3077000,0,-80000,3034000,2447000,-80000,83000,-2745000,11.66,11.98
10,2017-12-31,USD,26776000,13662000,12280000,14496000,877000,-2633000,7645000,0,877000,0,5910000,43000,834000,107000,-964000,None,None,None,0,0,0,3510000,-161000,0,-2633000,-2633000,None,USD,224176000,7997000,None,13066000,25808000,198368000,0,7981000,5000,-27089000,6171000,1923000,34890000,101267000,19637000,None,None,-705000,25386000,163900000,None,198368000,0,84457000,0,0,11656000,0,0,5000,0,-27089000,-71793000,None,None,None,25386000,None,None,6171000,6171000,None,None,None,297950000,224176000,101267000,None,32112000,USD,None,1687000,-3313000,0,None,-537000,-1054000,2797000,-2634000,434000,4284000,2287000,1491000,0,517000,0,-9581000,6113000,3313000,-4660000,83000,517000,15.7,11.66
11,2017-09-30,USD,26517000,13662000,12431000,14086000,320000,590000,7875000,0,320000,0,5680000,-104000,424000,107000,0,None,None,None,0,0,0,-270000,-131000,0,590000,590000,None,USD,221970000,8248000,None,14828000,23673000,198297000,0,7624000,5000,-24455000,5266000,1923000,38082000,100750000,18407000,None,None,-873000,23604000,160284000,None,198297000,0,82788000,0,0,10783000,0,0,5000,0,-24455000,-70739000,None,None,None,23604000,None,None,5266000,5266000,None,None,None,294359000,221970000,100750000,None,31882000,USD,None,-727000,-5819000,-3841000,None,-7756000,-560000,3247000,591000,-8295000,5280000,3247000,1505000,0,-7196000,0,4921000,-411000,1978000,1075000,38000,-8257000,15.49,15.7
12,2017-06-30,USD,24289000,13563000,11379000,12910000,-626000,189000,7276000,0,-626000,0,6195000,27000,-653000,92000,0,None,None,None,0,0,0,-815000,258000,0,189000,189000,None,USD,227057000,4062000,None,12875000,24957000,202100000,0,8933000,5000,-25046000,5427000,215000,32140000,109007000,19530000,None,None,-1283000,23068000,171849000,None,202100000,0,82107000,0,0,10597000,0,0,5000,0,-25046000,-61532000,None,None,None,23068000,None,None,5427000,5427000,None,None,None,289956000,227057000,109007000,None,32162,USD,None,215000,-2651000,0,None,-4713000,-1035000,314000,189000,-5967000,1397000,314000,1383000,0,-3678000,0,5996000,3361000,2651000,-4065000,48000,-5919000,16.45,15.49
13,2017-03-31,USD,24289000,13273000,11431000,12858000,-645000,517000,7282000,0,-645000,0,5899000,-230000,-415000,92000,0,None,None,None,0,0,0,-1162000,-230000,0,517000,517000,None,USD,227619000,4035000,None,6741000,24363000,203256000,0,9777000,5000,-25235000,5049000,215000,35066000,114926000,19314000,None,None,-1718000,20798000,171755000,None,199006000,0,80904000,0,0,9537000,0,0,5000,0,-25235000,-55726000,None,None,None,25048000,None,None,5049000,5049000,None,None,None,285930000,227619000,114926000,None,32124000,USD,None,695000,-2313000,0,None,782000,-844000,-3372000,517000,-1947000,-416000,-3372000,1279000,0,1626000,0,1931000,2396000,2313000,-1931000,86000,-1861000,22.62,16.45
14,2016-12-31,USD,28433000,13553000,12136000,16297000,3122000,2937000,7171000,0,3122000,0,6290000,378000,2744000,92000,-964000,None,None,None,0,0,0,185000,91000,0,2937000,2937000,None,USD,222329000,4223000,None,5335000,23526000,198803000,0,8189000,5000,-25752000,4364000,215000,32709000,116787000,18522000,None,None,-1991000,19341000,170279000,None,194365000,0,48157000,0,0,13687000,0,0,5000,0,-25752000,-54882000,None,12631000,15640000,52050000,None,None,1650000,1650000,None,None,None,281423000,222329000,116787000,None,31864000,USD,None,1411000,-2422000,0,None,-1428000,-3267000,-11729000,2937000,-1568000,2282000,-4429000,1188000,0,1839000,0,-14620000,5309000,2422000,-4134000,-179000,-1747000,22.55,22.62
15,2016-09-30,USD,27259000,12671000,11452000,15807000,3035000,1890000,7017000,0,3035000,0,5548000,-101000,3136000,106000,0,None,None,None,0,0,0,1145000,186000,0,1890000,1890000,None,USD,210152000,4626000,None,9789000,21202000,188950000,500000,8399000,5000,-33614000,3516000,215000,24240000,118534000,17686000,None,None,-1213000,18192000,167720000,None,188950000,0,54224000,0,0,9944000,188950000,0,5000,0,-33614000,-53726000,None,9413000,None,27605000,None,None,2859000,2859000,None,None,None,277498000,210152000,118534000,None,31482000,USD,None,2489000,-3809000,0,None,1363000,242000,-341000,1890000,-3709000,-1263000,-87000,1152000,0,1121000,0,10486000,2530000,3809000,-9237000,21000,-3688000,18.17,22.55
16,2016-06-30,USD,26688000,12271000,10654000,16034000,3712000,2214000,7060000,0,3712000,0,5094000,-51000,3763000,117000,0,None,None,None,0,0,0,1498000,-287000,0,2214000,2214000,None,USD,202233000,4603000,None,4728000,19517000,182716000,0,5740000,5000,-35504000,2922000,215000,24421000,122222000,16595000,None,None,-1370000,16076000,161736000,None,177898000,0,34786000,0,0,10855000,182716000,0,5000,0,-35504000,-53301000,None,9497000,10106000,40497000,None,None,2922000,2922000,None,None,None,272886000,202233000,122222000,None,31311000,USD,None,1351000,-3271000,0,None,-1194000,378000,-3169000,2214000,-7142000,-2677000,-2770000,1071000,0,-1572000,0,1249000,768000,3271000,-5311000,-34000,-7176000,13.99,18.17
17,2016-03-31,USD,25081000,11552000,10206000,14875000,3087000,2062000,6311000,0,3087000,0,5124000,-236000,3323000,117000,0,None,None,None,0,0,0,1025000,0,0,2062000,2062000,None,USD,198217000,4815000,None,3479000,17562000,180655000,0,6358000,5000,-37718000,2932000,215000,22781000,129398000,14630000,None,None,-1184000,13236000,162200000,None,175625000,0,47074000,0,0,8272000,180655000,180655000,5000,180655000,-37718000,-50392000,None,None,None,18266000,None,None,2932000,2932000,None,None,None,269944000,198217000,129398000,None,31234000,USD,None,-626000,-1780000,0,None,1289000,330000,None,2062000,3167000,3658000,-5390000,978000,0,959000,0,4062000,2572000,1780000,4062000,73000,3240000,13.38,13.99
18,2015-12-31,USD,24072000,10589000,10079000,13993000,3470000,2797000,5398000,0,3418000,0,5084000,66000,3404000,107000,-964000,None,None,None,0,0,0,621000,181000,0,2797000,2797000,None,USD,191769000,5243000,None,8898000,17462000,174307000,0,4702000,5000,-39780000,3006000,215000,17193000,126158000,14456000,None,None,-1543000,11325000,163251000,None,174307000,0,45388000,0,0,9754000,174307000,174307000,5000,174307000,-39780000,-50383000,None,None,None,11325000,None,None,3006000,3006000,None,None,None,266008000,191769000,126158000,None,31111000,USD,None,486000,-1152000,-400000,-347000,-5399000,-627000,-2268000,2797000,-98000,6453000,1636000,930000,0,-4772000,0,4373000,2492000,752000,-1888000,-3000,-101000,10.84,13.38
19,2015-09-30,USD,23878000,10927000,10252000,13626000,2763000,1494000,5173000,0,2763000,0,5665000,64000,2699000,89000,0,None,None,None,0,0,0,1269000,0,0,1494000,1494000,None,USD,192060000,4831000,None,5197000,16782000,175278000,0,5024000,5000,-42577000,2971000,470000,15357000,126259000,13811000,None,None,-1337000,11362000,165341000,None,170447000,0,41529000,0,0,8787000,175278000,175278000,5000,175278000,-42577000,-44718000,None,2882000,None,19075000,None,None,2971000,2971000,None,None,None,263905000,192060000,126259000,None,31387000,USD,None,-1149000,-6796000,-5152000,-347000,-3874000,-319000,None,1494000,-5390000,5280000,712000,851000,0,-3208000,0,6261000,3972000,1644000,-600000,-50000,-5440000,10.0,10.84
