,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,227375000,202131000,76691000,150684000,-27530000,-20740000,58869000,None,-33059000,None,143262000,23917000,-51447000,None,5529000,-12319000,242000,-5287000,None,None,None,-12319000,23675000,None,-20740000,-20740000,None,USD,1496285000,None,None,77889000,940003000,556282000,84770000,214609000,804000,359989000,21426000,78675000,441031000,512111000,356097000,None,None,-11614000,None,969939000,None,477607000,None,379939000,509423000,None,141488000,None,None,804000,None,359989000,None,None,447671000,None,526346000,53057000,509423000,74483000,583906000,None,None,None,207103000,1496285000,512111000,None,80420000,USD,-279000,0,-6842000,-345000,None,-16881000,-2405000,3991000,-20740000,-26599000,-2876000,7958000,17093000,-2405000,-14476000,None,None,-7187000,6563000,None,None,-26599000,101.17,
1,2020-03-31,USD,265591000,210381000,79528000,186063000,-46876000,-25372000,58727000,None,-49182000,None,151654000,-22558000,-24318000,None,2306000,-23810000,607000,-1699000,None,None,None,-23810000,-23165000,None,-25372000,-25372000,None,USD,1474393000,18689000,None,72000000,907782000,566611000,81452000,214808000,801000,383142000,15264000,78498000,332170000,538142000,339491000,None,None,-13642000,54624000,984074000,None,488113000,None,373932000,505108000,None,124683000,None,None,801000,None,383142000,None,None,411821000,None,490319000,47919000,505108000,63183000,568291000,None,None,None,196310000,1474393000,538142000,None,80076000,USD,-66000,0,-12562000,-66000,585473000,502174000,-66427000,-49047000,-25372000,471289000,-18323000,-45195000,15135000,-2388000,-80911000,None,None,37109000,12496000,None,None,471289000,71.23,101.17
2,2019-12-31,USD,276542000,200680000,77607000,198935000,-337000,918000,52408000,None,-337000,None,148272000,1408000,-1745000,None,-15000,-1255000,-15000,-15000,None,None,None,-1255000,1423000,None,918000,918000,None,USD,984812000,19717000,None,57308000,445802000,539010000,85314000,208353000,796000,410919000,15237000,79039000,317302000,68363000,377955000,None,None,-13228000,58273000,505610000,4871000,459971000,0,379939000,None,None,169602000,None,None,796000,None,410919000,None,None,400163000,None,479202000,52610000,None,67847000,67847000,None,None,None,140523000,984812000,68363000,None,79599000,USD,20795000,25670000,16626000,80682000,600000000,-12317000,-42637000,-77676000,918000,-24394000,-28703000,-67586000,726000,-2381000,32701000,None,1088000,10481000,4169000,1088000,None,-24394000,79.65,71.23
3,2019-09-30,USD,216703000,182572000,80898000,135805000,-47858000,-30338000,52492000,None,-47858000,None,130080000,-1091000,-46767000,-216703000,-15000,-17520000,556000,556000,None,None,None,-17520000,-1647000,None,-30338000,-30338000,None,USD,917024000,20720000,None,58204000,388192000,528832000,67182000,175591000,793000,412389000,10393000,78862000,284432000,92104000,320895000,None,None,-13909000,62296000,466131000,4583000,449970000,20465000,295358000,None,None,145304000,None,None,793000,None,412389000,None,None,372031000,None,450893000,56904000,None,67297000,67297000,None,None,None,129559000,917024000,112569000,None,79324000,USD,37808000,0,36238000,-13000,600000000,-17574000,-2375000,9171000,-30338000,-2518000,-21182000,9171000,16834000,-2375000,-15199000,None,1088000,-16849000,1557000,None,None,-2518000,68.05,79.65
4,2019-06-30,USD,205592000,180850000,77080000,128512000,-49634000,-32296000,49714000,None,-49634000,None,131136000,2704000,-52338000,None,-15000,-17338000,544000,544000,None,None,None,-17338000,2160000,None,-32296000,-32296000,None,USD,940617000,21745000,None,77290000,383330000,557287000,6918000,183585000,791000,445108000,17615000,79037000,182898000,95500000,311423000,None,None,-11492000,57772000,536858000,3890000,478250000,59549000,304519000,None,None,127838000,None,None,791000,None,445108000,None,None,324722000,None,403759000,54292000,None,64989000,71907000,None,None,None,122880000,940617000,155049000,None,79144000,USD,31689000,0,18676000,-8131000,600000000,-18780000,-2375000,-13942000,-32296000,-15087000,-14983000,-13942000,15014000,-2367000,-16413000,None,1088000,16241000,4882000,None,None,-15087000,71.21,68.05
5,2019-03-31,USD,212546000,172137000,74437000,138109000,-37017000,-28717000,50596000,None,-37017000,None,121541000,-2989000,-34028000,None,-15000,-8300000,723000,723000,None,None,None,-8300000,-3712000,None,-28717000,-28717000,None,USD,956559000,18309000,None,63731000,368130000,588429000,8319000,193292000,789000,479779000,20658000,72898000,252764000,110367000,302147000,12447000,12447000,-11321000,46464000,562734000,3390000,515531000,91804000,296832000,45325000,None,108855000,None,None,789000,None,479779000,None,None,320927000,None,393825000,45325000,None,57664000,65983000,None,None,None,119182000,956559000,202171000,None,78896000,USD,1324000,0,-1466000,-2790000,None,-25587000,-2375000,9113000,-28717000,-4350000,22703000,9113000,18774000,-2363000,-23224000,None,1088000,23533000,4882000,None,None,-4350000,65.0,71.21
6,2018-12-31,USD,256357000,162993000,77911000,178446000,17945000,16413000,46449000,0,17945000,0,116544000,2492000,15453000,-694802000,0,None,None,None,0,0,0,1532000,2492000,0,16413000,16413000,None,USD,982553000,21235000,None,49684000,361022000,621531000,6939000,185145000,785000,510863000,29213000,72858000,274435000,114422000,331809000,None,None,-13322000,None,610635000,3390000,548673000,93001000,353528000,None,None,146664000,None,None,785000,None,510863000,None,None,299060000,None,371918000,None,None,22274000,29213000,None,None,None,123205000,982553000,207423000,None,78500000,USD,6218000,20798000,1399000,7074000,None,-29796000,-37594000,-57446000,16413000,8871000,37268000,-34563000,25470000,-2365000,10163000,None,25779000,-16629000,11893000,25779000,-644000,8227000,47.83,65.0
7,2018-09-30,USD,203263000,146098000,74423000,128840000,-16176000,-7587000,46504000,0,-16176000,0,99594000,1082000,-17258000,0,0,None,None,None,0,0,0,-8589000,1082000,0,-7587000,-7587000,None,USD,962643000,23378000,None,73464000,341788000,620855000,36166000,158178000,788000,496815000,59537000,72897000,277340000,106195000,282251000,None,None,-11880000,0,586138000,2890000,547958000,99782000,306697000,0,0,124073000,0,0,788000,0,496815000,0,None,303608000,None,376505000,None,None,23371000,59537000,None,None,None,135132000,962643000,205977000,None,78081000,USD,-1872000,0,-3226000,-1354000,None,-25839000,-2367000,-21460000,-7587000,-37409000,-8344000,-21460000,6218000,-2365000,-23474000,0,25779000,14485000,11893000,None,-687000,-38096000,62.6,47.83
8,2018-06-30,USD,196779000,146125000,73817000,122962000,-21290000,-10409000,41972000,0,-21290000,0,104153000,1873000,-23163000,-196779000,0,None,None,None,0,0,0,-10881000,1873000,0,-10409000,-10409000,None,USD,973040000,26217000,None,63864000,333868000,639172000,38208000,163525000,787000,506769000,62359000,72911000,271667000,144291000,271509000,None,None,-9784000,0,600185000,2060000,566261000,99292000,292738000,0,0,107984000,0,0,787000,0,506769000,0,None,299944000,None,372855000,None,None,24151000,62359000,None,None,None,141400000,973040000,243583000,None,78748000,USD,-10640000,0,-15091000,-4451000,None,-22773000,None,10567000,-10409000,-18087000,19777000,10567000,6329000,-2358000,-20415000,0,25779000,13290000,11893000,None,-3412000,-21499000,54.8,62.6
9,2018-03-31,USD,235182000,151632000,75614000,159568000,7978000,12200000,46785000,0,7978000,0,104847000,42000,7936000,0,0,None,None,None,0,0,0,-4222000,42000,0,12200000,12200000,None,USD,1005955000,29080000,None,50692000,343832000,662123000,39932000,175586000,785000,517893000,63700000,73017000,277631000,165790000,280132000,None,None,-2517000,0,624167000,2060000,589106000,89047000,318638000,0,0,104546000,0,0,785000,0,517893000,0,None,308771000,None,381788000,None,None,23768000,63700000,None,None,None,145962000,1005955000,254837000,None,78546000,USD,-29209000,0,-31278000,-2069000,None,-23052000,None,19591000,12200000,1325000,55655000,19591000,6145000,-2344000,-20708000,0,25779000,17719000,11893000,None,2186000,3511000,60.65,54.8
