,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,212074000,189521000,180892000,31182000,28548000,14964000,None,None,14854000,None,8629000,None,22553000,None,4647000,0,None,-4647000,None,None,None,None,-3052000,None,14854000,14649000,None,USD,497129000,2678000,None,3630000,286388000,210741000,None,6707000,55000,-730980000,23382000,None,22086000,29783000,146954000,None,96000000,-2370000,340575000,131790000,None,208062000,None,48871000,95888000,46326000,27721000,None,None,None,None,None,None,None,5586000,None,365339000,23062000,None,23382000,139434000,None,None,None,None,None,None,None,None,USD,18631000,-7713000,18631000,None,-34381000,-34381000,None,-701000,14964000,3004000,18754000,None,9047000,0,None,3429000,3411000,-2404000,1265000,None,None,None,0.71,
1,2020-03-31,USD,311404000,-301772000,324294000,-12890000,-23102000,-25100000,None,None,-27156000,-2056000,10212000,None,-23102000,-311984000,5307000,0,-4634000,-5307000,None,None,None,None,1253000,None,-27156000,-25415000,315000,USD,571109000,2678000,None,74722000,370389000,195511000,None,50253000,56000,-745629000,22200000,None,20777000,26779000,188175000,89896000,86682000,-2370000,324814000,199297000,None,195510000,None,52264000,139339000,45532000,48026000,None,None,56000,1000,-745629000,None,None,46998000,None,371812000,23889000,139339000,42875000,182214000,None,None,None,943453000,571109000,26779000,None,55891,USD,-1245000,-1512000,-1245000,None,-18156000,-17874000,None,8307000,-27156000,7782000,26901000,-1784000,10007000,0,282000,10845000,22024000,14477000,1245000,22024000,None,7782000,0.26,0.71
2,2019-12-31,USD,357617000,-316352000,354421000,3196000,-44436000,-41087000,None,None,-49778000,-8671000,11823000,-6517000,-37919000,-357467000,5192000,-20000,-5192000,-5192000,None,29292000,None,-20000,-35959000,None,-49758000,-41406000,319000,USD,612495000,2678000,None,78160000,385450000,219780000,None,40473000,56000,-720214000,23086000,None,20881000,18997000,160398000,68317000,63000000,-2370000,332526000,232064000,None,219779000,None,74307000,180795000,60600000,51608000,None,None,56000,1000,-720214000,None,None,47905000,None,380431000,24628000,180795000,44257000,225052000,None,None,None,942307000,612495000,18997000,None,55508314,USD,-1137000,3736000,-1137000,None,-2627000,-2627000,-1280000,1846000,-49758000,76000,3840000,40503000,12060000,0,3670000,1909000,-6328000,1718000,1137000,-6328000,None,76000,0.65,0.26
3,2019-09-30,USD,365160000,-356066000,379976000,-14816000,-23503000,-27326000,None,None,-29073000,-1747000,8687000,None,-23503000,-364753000,5163000,0,-5163000,-5163000,None,None,None,None,-407000,None,-29073000,-27645000,319000,USD,652860000,2678000,None,11209000,380345000,256579000,None,7662000,50000,-678808000,13576000,None,6645000,18921000,228431000,155087000,144543000,-2459000,442810000,161936000,None,256578000,None,69297000,98673000,62509000,65682000,None,None,50000,1000,-678808000,None,None,48114000,None,490924000,37248000,98673000,53241000,151914000,None,None,None,937795000,652860000,18921000,None,49783,USD,-608000,2080000,-608000,None,-3252000,4465000,8036000,-4635000,-29073000,2408000,-1449000,-4564000,12505000,-319000,8036000,14981000,-1283000,3905000,608000,-1283000,None,2408000,0.5633,0.65
4,2019-06-30,USD,346301000,-339155000,342330000,3971000,-2737000,-7646000,None,None,-8290000,-644000,6708000,None,-2737000,-345863000,5115000,0,-5115000,-5115000,None,None,None,None,-438000,None,-8290000,-7961000,315000,USD,685820000,2678000,None,11830000,384500000,283637000,None,11194000,50000,-651163000,14554000,None,5972000,16513000,226340000,151335000,143379000,-2459000,462534000,174459000,None,283636000,None,68626000,102747000,77490000,63811000,None,None,50000,1000,-651163000,None,None,48827000,None,511361000,38789000,102747000,55413000,158160000,None,None,None,937208000,685820000,16513000,None,49838,USD,-424000,-8676000,-424000,None,6228000,5913000,8036000,384000,-8290000,-5238000,-10727000,2262000,12105000,-315000,3670000,-14759000,10883000,-4252000,424000,10883000,None,-5238000,0.765,0.5633
5,2019-03-31,USD,355803000,-348667000,358092000,-2289000,-10524000,-12890000,None,None,-14161000,-1271000,8235000,None,-10524000,-356902000,4736000,0,-4736000,-4736000,None,None,None,None,1099000,None,-14161000,-13202000,312000,USD,699021000,2678000,None,13201000,389662000,291032000,None,6993000,49000,-643202000,14627000,None,5072000,21751000,236169000,155872000,143148000,-2459000,472735000,176697000,None,291031000,None,79014000,96433000,62731000,73304000,None,None,49000,1000,-643202000,None,None,49589000,None,522324000,40659000,96433000,57060000,153493000,None,None,None,936643000,699021000,21751000,None,48884,USD,-1112000,273000,-1112000,None,7905000,11263000,8036000,2441000,-14161000,-4876000,-15027000,391000,12439000,-312000,3670000,-4911000,-9970000,912000,1112000,-9970000,None,-4876000,0.98,0.765
6,2018-12-31,USD,334415000,-725190000,355436000,-21021000,-30211000,-32010000,0,0,-34530000,-2521000,9190000,None,-30211000,-734380000,4257000,1000,None,None,0,0,0,1000,-4229000,0,-34531000,-32329000,319000,USD,659981000,2678000,None,16109000,340616000,299767000,None,92004000,46000,-630000000,14570000,None,5842000,26627000,231859000,153103000,146671000,-2459000,482657000,168804000,None,299766000,None,68248000,94109000,57820000,86167000,None,None,46000,1000,-630000000,None,None,8520000,None,491177000,None,84845000,9342000,9342000,None,None,None,932179000,659981000,26627000,None,45771422,USD,None,1798000,-4280000,None,-3313000,-675000,900000,-1426000,-34531000,-29466000,-24511000,3640000,10541000,-319000,2057000,-2704000,7000,-3262000,4280000,7000,None,-29466000,0.861,0.98
7,2018-09-30,USD,370407000,-361528000,366639000,3768000,-5202000,-7514000,0,0,-9304000,-1790000,8970000,None,-5202000,-370498000,4193000,None,None,None,0,0,0,0,-4132000,0,-9304000,-7833000,319000,USD,688547000,2678000,None,13763000,337025000,329403000,0,221350000,45000,-597671000,23497000,0,5012000,56093000,99020000,26519000,20000000,-2234000,488591000,192266000,None,329402000,0,67644000,214419000,54766000,89156000,360261000,929262000,45000,1000,-597671000,0,None,7690000,None,496281000,None,None,None,None,None,None,None,929262000,688547000,56093000,None,44946,USD,None,1304000,-3534000,0,-23806000,-24125000,900000,-1017000,-9304000,-6488000,21171000,-663000,10545000,-319000,0,12539000,4875000,1875000,3534000,4875000,None,-6488000,1.9,0.861
8,2018-06-30,USD,410522000,-401368000,411795000,-1273000,-10171000,-12908000,0,0,-14604000,-1696000,8898000,None,-10171000,-410266000,4177000,None,None,None,0,0,0,563000,-4433000,0,-14604000,-13223000,315000,USD,723232000,2678000,None,18301000,362971000,336352000,0,244338000,45000,-589838000,25457000,0,4575000,62581000,99642000,30420000,20000000,-2234000,495274000,220705000,None,336351000,0,72518000,237771000,67305000,88213000,360261000,0,45000,1000,-589838000,0,None,7253000,None,502527000,None,None,None,None,None,None,None,928378000,723232000,62581000,None,44960,USD,None,-7505000,-2983000,0,12106000,12188000,397000,-2807000,-14604000,5201000,-4004000,-994000,10576000,-315000,0,2957000,1701000,3865000,2983000,1701000,None,5201000,2.6,1.9
9,2018-03-31,USD,400027000,8917000,396665000,3362000,-5953000,-7841000,0,0,-10060000,-1656000,9315000,None,-5953000,-398000,4505000,None,None,None,0,0,0,-563000,-4107000,0,-9497000,-8153000,312000,USD,724479000,2678000,None,12672000,349853000,349021000,0,235580000,44000,-576615000,25261000,0,4725000,57380000,95855000,20086000,16500000,-2234000,502545000,214531000,None,349020000,0,74217000,228625000,70262000,94187000,374626000,0,44000,1000,-576615000,0,None,7403000,None,509948000,None,None,None,None,None,None,None,927825000,724479000,57380000,None,43954,USD,None,8508000,-4357000,0,3319000,3338000,331000,1370000,-9497000,7891000,8910000,1042000,10807000,-312000,0,-8712000,6080000,682000,4357000,6080000,None,7891000,3.0,2.6
