,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,43609000,None,None,None,None,15309000,None,None,21777000,None,10668000,None,None,1363000,9983000,6468000,52164000,42181000,None,None,None,6468000,None,None,15309000,15260000,None,USD,5004457000,None,373859000,None,4515728000,488729000,None,None,212187000,271923000,38703000,None,3941347000,630683000,None,None,None,4619000,28489000,None,327247000,488729000,270667000,20554000,99273000,None,1815000,None,None,None,None,None,None,None,None,None,None,19589000,99273000,None,None,None,None,None,None,None,None,None,None,USD,-107128000,None,None,None,None,259283000,None,None,15309000,171314000,19159000,None,473000,-4476000,0,None,-5983000,None,223000,None,None,None,42.85,
1,2020-03-31,USD,43462000,None,None,None,None,16154000,None,None,22979000,None,11542000,None,None,1231000,13876000,6825000,55667000,41791000,None,None,None,6825000,None,None,16154000,16103000,None,USD,4727634000,None,336682000,None,4253849000,473785000,None,None,210882000,261095000,24186000,None,3881387000,461369000,None,None,None,2599000,28926000,None,293574000,473785000,235097000,14809000,99242000,None,4377000,None,None,None,None,None,-57375000,None,None,None,None,20007000,99242000,None,None,None,None,None,56584000,None,None,None,15000000,USD,-166447000,0,-166447000,-166131000,None,96382000,103183000,-3510000,16154000,-50776000,19289000,None,469000,-4480000,-2321000,None,141000,7083000,316000,None,None,None,33.82,42.85
2,2019-12-31,USD,42289000,13767000,None,41842000,None,19616000,None,None,28072000,None,10452000,None,28075000,-4599000,15074000,8456000,55483000,40409000,None,None,None,8456000,-3000,None,19616000,19452000,None,USD,4628481000,None,358572000,22340000,4158466000,470015000,None,7379000,210882000,255050000,36761000,None,3723596000,498645000,3993997000,None,None,3967000,29339000,563546000,301092000,470015000,240640000,14961000,99211000,None,3324000,None,None,None,None,None,-55054000,None,None,None,None,20497000,99211000,None,None,None,None,None,52350000,None,None,None,15000000,USD,-51363000,0,-51363000,6625000,None,101586000,114339000,-3089000,19616000,70456000,20482000,None,453000,-4519000,-8225000,None,None,3554000,251000,None,None,None,60.09,33.82
3,2019-09-30,USD,43343000,14027000,None,42314000,None,20033000,None,None,28416000,None,10393000,None,28287000,1156000,16482000,8383000,57959000,41477000,None,None,None,8383000,129000,None,20033000,19865000,None,USD,4495484000,None,369413000,24837000,4036404000,459080000,None,16948000,210882000,239914000,24237000,None,3668728000,409189000,3892029000,None,None,4043000,29800000,493875000,289980000,459080000,242655000,14505000,99180000,None,6117000,None,None,None,None,None,-46835000,None,None,None,None,20958000,99180000,None,None,None,None,None,51076000,None,None,None,15000000,USD,-91984000,0,-91984000,-6626000,None,176895000,191947000,4985000,20033000,114068000,29157000,None,393000,-4590000,-10471000,None,1083000,2882000,74000,None,None,None,52.38,60.09
4,2019-06-30,USD,43871000,13930000,None,42226000,None,19979000,None,None,28341000,None,10163000,None,28296000,1407000,15981000,8362000,57822000,41841000,None,None,None,8362000,45000,None,19979000,38388000,None,USD,4294425000,None,355602000,23584000,3842983000,451442000,None,19244000,210882000,224401000,20413000,None,17804000,304121000,3702005000,None,None,2727000,30373000,378290000,287427000,451442000,238589000,15510000,99149000,None,5753000,None,None,None,None,None,-36373000,None,None,None,None,21416000,99149000,None,None,None,None,None,49805000,None,None,None,15000000,USD,-239319000,0,-313757000,-307994000,-1290000,-48672000,37323000,-7478000,19979000,-271881000,16110000,None,269000,-4586000,-1000,None,2779000,4101000,3248000,None,None,None,47.25,52.38
5,2019-03-31,USD,41380000,14303000,0,42271000,0,18743000,None,None,26577000,None,10492000,None,27968000,1319000,14547000,7834000,55457000,40910000,None,None,None,7834000,-1391000,None,18743000,18585000,None,USD,4328270000,None,323350000,24848000,3896138000,432132000,None,20909000,210882000,209012000,24062000,None,3409877000,554002000,3751402000,1293000,1293000,338000,25978000,647850000,232633000,432132000,182280000,15063000,100411000,None,9397000,None,None,None,None,None,-36372000,None,None,None,None,21556000,99118000,None,None,None,None,None,48272000,None,None,None,15000000,USD,-74438000,0,-74438000,-1168000,-9000,73673000,80118000,-470000,18743000,20243000,21008000,None,227000,-4593000,-1843000,None,-1045000,3509000,2515000,None,None,None,44.97,47.25
6,2018-12-31,USD,34438000,7643000,18481000,34438000,0,18654000,0,0,26614000,0,12106000,None,26795000,-4463000,40936000,7960000,54373000,41442000,0,0,0,7960000,-181000,0,18654000,18350000,None,USD,4216435000,None,332275000,24340000,3799784000,416651000,None,10074000,210882000,194855000,32792000,None,3335638000,602759000,3667905000,1307000,1307000,-1982000,7497000,627099000,246201000,416651000,76000000,None,99087000,None,3639685000,None,None,None,None,None,-34529000,None,None,None,None,None,99087000,None,None,None,None,None,47425000,None,None,None,15000000,USD,-9824000,0,-69930000,-1168000,-35000,115038000,120867000,1278000,18654000,71519000,26411000,None,229000,-5091000,1570000,None,None,6696000,2288000,None,None,None,43.35,44.97
7,2018-09-30,USD,39033000,13363000,13035000,39033000,0,18323000,0,0,25449000,0,11895000,None,25670000,1468000,0,None,None,None,0,0,0,7126000,-221000,0,18323000,18011000,None,USD,4076188000,None,None,19642000,3676219000,399969000,None,6256000,210882000,180793000,44394000,None,3276112000,531240000,3531449000,100376000,100376000,-2342000,5438000,554994000,239644000,399969000,None,None,100376000,4112000,3518750000,None,None,None,None,None,-33789000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,-5405000,0,-94018000,225000,-5000000,99682000,108515000,8778000,18323000,37719000,32055000,None,227000,-3833000,None,455000,None,4278000,16000,None,None,None,58.5,43.35
8,2018-06-30,USD,37962000,13698000,10542000,37962000,0,17405000,0,0,24157000,0,12387000,None,24264000,1311000,0,None,None,None,0,0,0,6752000,-107000,0,17405000,17108000,None,USD,3958804000,None,None,68529000,3573578000,385226000,None,8313000,210882000,166302000,45718000,None,3139115000,493521000,3422491000,105369000,105369000,-1745000,5649000,569381000,244659000,385226000,None,3219000,105369000,4112000,3410235000,None,None,None,None,None,-33789000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,986000,0,-88699000,-1081000,-5000000,145187000,148558000,-1634000,17405000,72497000,16009000,None,228000,-3370000,None,448000,None,3018000,166000,None,None,None,61.46,58.5
9,2018-03-31,USD,36208000,13624000,9008000,36208000,0,16611000,0,0,22478000,0,9965000,None,25974000,1703000,0,None,None,None,0,0,0,5867000,-106000,0,16611000,16611000,None,USD,3781924000,None,None,16272000,3410896000,371028000,None,4272000,210882000,151605000,43852000,None,285439000,421024000,3271328000,105367000,105367000,-1123000,5711000,441408000,235772000,371028000,None,None,105367000,4112000,3261677000,None,None,None,None,None,-33789000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,1578000,0,-156833000,-1081000,-5000000,-2002000,-1013000,703000,16611000,-134298000,24537000,None,269000,-3331000,2898000,446000,None,5081000,296000,None,None,None,64.2,61.46
