,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,33785000,31208000,None,None,-3486000,-7199000,None,None,-7448000,None,22166000,None,2577000,9042000,2031000,-249000,6000,-2025000,None,None,None,-249000,-8000000,None,-7199000,-7199000,None,USD,116550000,807000,None,None,81517000,35033000,None,3638000,5000,-46652000,3451000,47372000,1155000,15211000,16481000,None,3359000,None,23569000,43647000,None,-13146000,None,20593000,57561000,None,1397000,None,None,None,None,None,None,None,1155000,None,72903000,6633000,None,3041000,65036000,None,None,None,None,None,None,None,None,USD,-870000,-1722000,-870000,None,-862000,-1026000,None,-2242000,-7199000,6637000,8533000,None,1931000,None,None,None,6683000,8512000,870000,None,None,None,0.65,
1,2020-03-31,USD,45888000,41025000,None,None,-11992000,-12484000,None,None,-16358000,None,28805000,None,4863000,12220000,2227000,-3874000,6000,-2221000,None,None,None,-3874000,-19000000,None,-12484000,-12484000,None,USD,128262000,866000,None,1622000,86514000,41748000,None,4999000,5000,-39453000,2349000,55372000,986000,8574000,21622000,None,3339000,None,24596000,46442000,None,-14490000,None,27276000,58062000,None,3007000,None,None,None,None,None,None,None,986000,None,81820000,7082000,58062000,1839000,64892000,None,None,None,81196000,None,8574000,None,54000000,USD,-1073000,475000,-1073000,None,-863000,-947000,-84000,811000,-12484000,5201000,7221000,None,2139000,None,None,None,-106000,19691000,1073000,None,None,None,0.9,0.65
2,2019-12-31,USD,43823000,38953000,28378000,15445000,192000,-3862000,None,None,-4651000,None,28378000,None,4870000,11661000,2329000,-789000,8000,-2321000,None,None,None,-789000,-7200000,None,-3862000,-3862000,None,USD,138872000,925000,None,1622000,85247000,53625000,None,4532000,5000,-26969000,2271000,74372000,975000,3373000,19430000,3320000,3320000,None,25603000,36997000,None,-21672000,None,27170000,58562000,None,2532000,None,None,None,None,None,None,None,975000,None,101875000,7759000,58562000,1761000,65817000,None,None,None,80589000,None,3373000,None,53000000,USD,-755000,-505000,-755000,None,-738000,-751000,-13000,-1084000,-3862000,-3553000,-2047000,None,2514000,None,34000,None,-6645000,7513000,755000,None,None,None,1.02,0.9
3,2019-09-30,USD,35903000,41719000,28771000,7132000,-3086000,-8070000,None,None,-7971000,None,28771000,None,-5816000,12774000,2166000,99000,11000,-2155000,None,None,None,99000,-2329000,None,-8070000,-8070000,None,USD,145687000,983000,None,1660000,88943000,56744000,None,3575000,5000,-23107000,2824000,81572000,1043000,6888000,20492000,3182000,3182000,None,28242000,33847000,None,-25811000,None,20525000,59061000,None,1862000,None,None,None,None,None,None,None,1043000,None,111840000,9503000,59061000,2272000,68451000,None,None,None,79846000,None,6888000,None,54000000,USD,-1039000,549000,-1039000,None,9400000,9336000,-43000,1392000,-8070000,2576000,-5721000,None,2719000,None,34000,None,-1863000,358000,1039000,None,None,None,1.1,1.02
4,2019-06-30,USD,35830000,40140000,28929000,35830000,-1379000,-6399000,None,None,-6257000,None,28929000,11000,-4310000,11211000,1958000,142000,11000,-1947000,None,None,None,142000,-1947000,None,-6399000,-6399000,None,USD,142252000,1042000,None,1659000,78304000,63948000,53000,3389000,5000,-15037000,3121000,81572000,1043000,4313000,17655000,2677000,2677000,None,29917000,28678000,None,-18666000,None,18662000,50218000,None,1958000,None,None,5000,None,-15037000,None,None,1043000,None,113574000,10190000,50218000,2240000,60649000,None,None,None,78980000,142252000,4313000,None,53000000,USD,-1576000,-879000,-1576000,None,9850000,9536000,-25000,-2748000,-6399000,-51000,-8011000,-247000,2920000,None,34000,None,-785000,-469000,1576000,-785000,None,-51000,1.05,1.1
5,2019-03-31,USD,34876000,42069000,29116000,34876000,-4210000,-8489000,None,None,-8318000,None,29116000,11000,-7193000,12953000,1136000,171000,-1125000,-1125000,None,None,None,171000,-1125000,None,-8489000,-8489000,None,USD,142600000,1101000,None,1659000,73486000,69114000,53000,4572000,5000,-8638000,4022000,81572000,1019000,4364000,20681000,2806000,2806000,None,31202000,27706000,None,-13559000,None,17877000,40755000,None,1989000,None,None,5000,None,-8638000,None,None,1019000,None,114894000,10910000,40755000,2167000,52805000,None,None,None,77747000,142600000,4364000,None,53000000,USD,-1486000,1070000,-1486000,None,9850000,-122000,-156000,598000,-8489000,-1252000,356000,-225000,2312000,None,34000,None,3002000,806000,1486000,3002000,None,-1252000,2.07,1.05
6,2018-12-31,USD,39730000,40091000,27782000,11948000,-361000,-5265000,0,0,-4605000,0,40191000,9000,-361000,12309000,-1165000,660000,None,None,0,2988000,0,660000,-4244000,0,-5265000,-5265000,None,USD,137759000,1160000,None,1813000,60533000,77226000,22000,4702000,5000,-149000,5341000,81572000,1019000,5462000,14087000,2224000,2224000,None,22255000,31753000,None,-5506000,None,21058000,41105000,None,1402000,None,None,5000,None,-149000,None,None,1019000,None,106006000,None,41105000,5319000,60533000,None,None,None,77370000,137759000,7262000,None,52000000,USD,None,-2121000,-710000,616000,2900000,2858000,-27000,-1210000,-5265000,-167000,-2283000,6023000,-4167000,None,1000,None,-6232000,3477000,1326000,-6232000,None,-135000,2.25,2.07
7,2018-09-30,USD,27581000,34681000,24276000,3305000,-7100000,-7609000,0,0,-8317000,0,34781000,6000,-7100000,10405000,-1123000,None,None,None,0,0,0,-708000,-1217000,0,-7609000,-7609000,None,USD,142368000,4306000,None,1788000,60426000,81942000,204000,5548000,5000,5116000,5016000,81572000,1566000,5654000,17556000,2593000,2593000,None,23122000,31802000,None,-3936000,1788000,21003000,37854000,0,2153000,0,0,5000,0,5116000,0,None,1024000,None,542000,None,37854000,4812000,42870000,None,None,None,76821000,142368000,7454000,None,52000000,USD,None,-1241000,-177000,1669000,2900000,-56000,-27000,1795000,-7609000,-2323000,-2090000,-865000,2488000,0,0,0,2635000,297000,1846000,2635000,None,-2323000,2.12,2.25
8,2018-06-30,USD,31336000,34704000,22305000,9031000,-3368000,-3591000,0,0,-4502000,0,34704000,7000,-3368000,12399000,-1141000,None,None,None,0,0,0,-911000,-1134000,0,-3591000,-3591000,None,USD,142702000,4458000,None,1788000,56330000,86372000,396000,6364000,5000,12725000,3514000,81572000,1828000,7977000,14727000,2059000,2059000,None,20667000,34177000,None,342000,1788000,21194000,38089000,0,1634000,0,0,5000,0,12725000,0,None,1013000,None,815000,None,38089000,3118000,41603000,None,None,None,73642000,142702000,9765000,None,52000000,USD,None,769000,-1973000,0,-550000,-772000,-27000,-475000,-3591000,-686000,2060000,-3424000,2537000,0,70000,0,2807000,759000,1973000,2807000,None,-685000,2.15,2.12
9,2018-03-31,USD,57021000,44801000,21781000,57021000,12226000,8455000,0,0,10956000,0,44801000,6000,12220000,14020000,1270000,None,None,None,0,0,0,2501000,-10264000,0,8455000,8455000,None,USD,146279000,4661000,None,3821000,57043000,89236000,578000,5804000,5000,16316000,3450000,81572000,1781000,10451000,15272000,2044000,2044000,None,21071000,37194000,None,3003000,1788000,23222000,38321000,0,7424000,0,0,5000,0,16316000,0,None,1018000,763000,109113000,None,38321000,2872000,41771000,None,None,None,72915000,146279000,10451000,None,53000000,USD,None,363000,-2500000,0,-550000,-733000,-299000,-1169000,8455000,-13068000,-9836000,-18446000,2907000,0,116000,0,-5905000,2790000,2500000,-5905000,None,-13069000,3.0,2.15
10,2017-12-31,USD,33289000,34476000,31969000,33289000,-1183000,521000,0,0,-2472000,0,33395000,4000,-1187000,87370000,1289000,None,None,None,0,1081000,0,-2993000,-8049000,0,521000,521000,None,USD,164436000,4864000,None,12678000,127174000,80325000,0,43063000,5000,7861000,2476000,81572000,87962000,21731000,43080000,2029000,2029000,None,20944000,55530000,None,-49174000,1788000,19333000,38555000,0,14318000,0,0,5000,0,7861000,0,None,1058000,None,468000,None,38555000,2476000,84111000,None,None,None,72459000,164436000,23531000,None,51000000,USD,None,-612000,-1851000,0,-7578000,-7516000,-3000,-528000,521000,-7163000,2204000,-4334000,2854000,0,65000,0,-1010000,3779000,1851000,-4000,None,-7159000,1.65,3.0
