,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3845000,1702000,279000,3566000,1864000,1864000,None,None,1864000,None,1614000,None,1864000,88000,None,None,None,None,None,None,None,None,None,None,1864000,1864000,None,USD,173669000,122065000,None,None,1355000,172314000,None,None,19000,-163957000,1267000,None,13762000,11284000,88000,None,None,None,39386000,11284000,None,50249000,None,None,None,3359000,88000,None,None,19000,None,-163957000,-89000,None,934000,None,162385000,0,None,1267000,1267000,None,None,None,336341000,173669000,11284000,None,19027000,USD,0,0,None,None,None,-2862000,None,None,1864000,-339000,2523000,2523000,None,None,-2862000,None,None,571000,0,None,None,-339000,8.43,
1,2020-03-31,USD,229000,2027000,13000,216000,-1811000,-1811000,None,None,-1811000,None,1925000,None,-1811000,102000,None,None,None,None,None,None,None,None,None,None,-1811000,-1811000,None,USD,174537000,122337000,None,None,1247000,173290000,None,None,19000,-165821000,1078000,None,13937000,11623000,93000,None,None,None,39392000,11623000,None,50953000,None,None,None,3359000,93000,None,None,19000,None,-165821000,-352000,None,1185000,None,162914000,76000,None,1154000,1154000,None,None,None,339444000,174537000,11623000,None,19385000,USD,-42000,0,-42000,24000,None,-3629000,None,None,-1811000,-6546000,-2875000,-2875000,None,None,-3629000,None,None,-1166000,66000,None,None,-6546000,7.78,8.43
2,2019-12-31,USD,10360000,2278000,3501000,6859000,4581000,4581000,None,None,4581000,None,2176000,None,4581000,102000,None,0,None,None,None,None,None,None,-834000,None,4581000,4581000,None,USD,181089000,122343000,None,None,2834000,178255000,None,None,20000,-164010000,2359000,None,13841000,18169000,309000,None,None,None,39398000,18169000,None,55912000,None,None,None,3359000,309000,None,None,20000,None,-164010000,-2989000,None,1179000,None,162920000,166000,None,2525000,2525000,None,None,None,345234000,181089000,18169000,None,19784000,USD,0,-477000,-42000,None,None,-1899000,-5000,4407000,11526000,6622000,8521000,-2722000,58000,None,-1899000,None,None,99000,12000,37000,None,6622000,11.12,7.78
3,2019-09-30,USD,4255000,2170000,706000,3549000,1379000,1379000,None,None,1379000,None,2067000,None,1379000,103000,None,0,None,None,None,None,None,None,None,None,1379000,1379000,None,USD,177808000,122816000,None,None,2256000,175552000,None,None,20000,-168591000,1705000,None,13589000,11547000,295000,None,None,None,42428000,11547000,None,52736000,None,None,None,3359000,295000,None,None,20000,None,-168591000,-70000,None,1017000,None,166261000,256000,None,1961000,1961000,None,None,None,344193000,177808000,11547000,None,19961000,USD,0,0,-42000,None,None,-1034000,-5000,4407000,1379000,1863000,2897000,2897000,103000,None,-1034000,None,None,1415000,12000,None,None,1863000,10.09,11.12
4,2019-06-30,USD,2663000,2075000,1706000,957000,-1118000,-1118000,None,None,-1118000,None,1971000,None,-1118000,104000,None,0,None,None,None,None,None,None,None,None,-1118000,-1118000,None,USD,177101000,123517000,None,None,1916000,175185000,None,None,20000,-169970000,1491000,None,13948000,9684000,80000,None,None,None,42598000,9684000,None,51668000,None,None,None,3522000,80000,None,None,20000,None,-169970000,-55000,None,1302000,None,167417000,345000,None,1836000,1836000,None,None,None,345190000,177101000,9684000,None,20062000,USD,-12000,0,-12000,None,None,-2709000,-5000,4407000,-1118000,-7492000,-4771000,4195000,103000,None,-2709000,None,None,-3756000,12000,None,None,-7492000,11.62,10.09
5,2019-03-31,USD,12120000,2854000,2582000,9538000,6684000,6684000,None,None,6684000,None,2749000,None,6684000,105000,None,0,None,None,None,None,None,None,12120000,None,6684000,6684000,None,USD,182546000,121027000,None,None,3556000,178990000,None,None,20000,-168852000,2818000,None,14295000,17176000,305000,267000,267000,None,42606000,17176000,None,57963000,None,None,166000,3522000,305000,None,None,20000,None,-168852000,-122000,None,1737000,None,165370000,433000,None,3251000,3251000,None,None,None,347944000,182546000,17176000,None,20306000,USD,0,0,-12000,None,None,-4340000,None,4407000,6684000,4626000,8966000,None,105000,None,-4340000,None,None,2177000,12000,None,None,4626000,9.9,11.62
6,2018-12-31,USD,2789000,2119000,788000,2001000,-99000,-99000,0,0,-99000,0,2101000,19000,-118000,18000,0,None,None,None,0,0,0,-19000,-1304000,0,-99000,-99000,None,USD,180211000,121917000,None,None,3587000,176624000,None,None,21000,-175536000,3448000,None,16122000,12550000,139000,None,None,None,44298000,12550000,None,54707000,None,None,None,5207000,139000,None,None,21000,None,-175536000,-1111000,None,1446000,None,167661000,None,None,3448000,3448000,None,None,None,353250000,180211000,12550000,None,20726000,USD,None,816000,-12000,80000,None,-7823000,-55000,4094000,-3329000,-8279000,-456000,2775000,76000,None,-7823000,None,None,-1859000,12000,1065000,None,-8279000,9.14,9.9
7,2018-09-30,USD,-694000,3877000,98000,-792000,-4669000,-4669000,0,0,-4669000,0,3859000,None,-4669000,18000,0,None,None,None,0,0,0,-72000,-1312000,-43000,-4669000,-4669000,None,USD,189112000,122798000,None,None,4610000,184502000,0,None,22000,-175436000,4392000,0,15856000,20829000,218000,None,None,None,44304000,20829000,None,61704000,0,None,0,0,218000,184502000,362651000,22000,0,-175436000,-2735000,None,1181000,None,168283000,None,None,4392000,4392000,None,None,None,362651000,189112000,20829000,None,21461000,USD,-103000,0,-103000,0,None,-6908000,None,4094000,-4669000,-9777000,-2766000,-2766000,18000,0,-6908000,0,0,1885000,12000,None,None,-9777000,12.55,9.14
8,2018-06-30,USD,10612000,2140000,4141000,6471000,4259000,4302000,0,0,4259000,0,2122000,-72000,4331000,18000,0,None,None,None,0,0,0,72000,0,43000,4259000,4302000,None,USD,203095000,122790000,None,None,7121000,195974000,4196000,None,22000,-170767000,2555000,0,16998000,30606000,370000,None,None,None,44311000,30606000,3066000,73184000,0,None,0,0,370000,195974000,366744000,22000,0,-170767000,-25000,None,2322000,None,172489000,None,None,2555000,6751000,None,None,None,366744000,203095000,30606000,None,22020000,USD,183000,0,182000,0,None,-7960000,None,4094000,4302000,752000,8530000,8843000,18000,0,-7960000,0,0,-313000,1000,None,None,752000,11.65,12.55
9,2018-03-31,USD,344000,2988000,219000,125000,-2863000,-2863000,0,0,-2863000,0,2966000,None,-2863000,22000,0,None,None,None,0,0,0,0,0,43000,-2863000,-2863000,None,USD,206897000,126746000,None,None,7441000,199456000,4149000,None,23000,-175069000,2409000,0,17424000,29854000,883000,None,None,None,44496000,29854000,3225000,72710000,0,None,0,0,883000,199456000,375736000,23000,0,-175069000,-1234000,None,2576000,None,177043000,None,None,2409000,6558000,None,None,None,375736000,206897000,29854000,None,22711000,USD,-103000,0,-17000,0,None,-4985000,None,4094000,-2863000,-7274000,-2272000,-2272000,22000,0,-4985000,0,0,569000,17000,None,None,-7274000,11.45,11.65
