,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,-546000,1505000,None,None,None,-2571000,None,None,-2051000,None,1505000,None,None,None,None,520000,159000,None,None,None,None,520000,25000,None,-2571000,-2921000,None,USD,51821000,None,None,None,370000,51451000,None,None,6000,-11904000,76000,None,4000,25638000,None,None,None,None,None,None,19628000,33951000,None,None,None,None,294000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,91000,-93000,91000,None,None,-350000,None,-406000,-2571000,-2030000,-1771000,None,None,-350000,None,None,None,1299000,0,None,None,None,25.3,
1,2020-03-31,USD,-8677000,805000,None,-8677000,-9482000,-8297000,None,None,-9482000,None,805000,None,-9482000,None,None,-1185000,160000,None,None,None,None,-1185000,29000,None,-8297000,-8647000,None,USD,54783000,None,None,None,463000,54320000,None,None,6000,-8983000,57000,None,531000,27668000,406000,None,None,None,None,29492000,20355000,36820000,None,1824000,None,None,406000,None,None,6000,17500000,-8983000,-1009000,None,24771000,None,520000,None,None,57000,57000,None,None,None,46806000,54783000,27668000,None,6068106,USD,0,-529000,91000,None,None,-350000,None,-128000,-8297000,-841000,-491000,-128000,None,-350000,None,None,None,-9611000,0,None,None,-841000,23.75,25.3
2,2019-12-31,USD,-12597000,-16056000,None,-12597000,10525000,8280000,None,None,3459000,None,-11787000,7066000,3459000,None,None,900000,227000,None,5080000,None,None,-690000,None,5080000,2673000,7930000,None,USD,63454000,None,None,None,539000,62915000,106000,None,6000,-336000,139000,None,188000,28509000,400000,None,None,None,None,29774000,29487000,45415000,None,1265000,None,None,400000,None,None,6000,17500000,-336000,-1009000,None,33680000,None,33680000,None,None,33000,139000,None,None,None,46754000,63454000,28509000,None,6065948,USD,23971000,-5608000,6707000,-11293000,None,-357000,-7000,-2081000,8280000,-8057000,-14407000,66000,None,-350000,0,None,None,870000,3000,961000,None,-8057000,27.109,23.75
3,2019-09-30,USD,523000,595000,None,523000,-72000,-3535000,None,None,-72000,None,595000,None,-72000,None,None,-12000,523000,None,-3475000,None,None,-12000,166000,-3475000,-60000,-3885000,None,USD,164088000,None,None,138700000,108405000,55683000,None,104744000,6000,-8266000,3108000,None,19339000,1803000,5596000,None,None,950000,2000,20764000,3994000,38183000,None,18961000,None,None,5596000,None,None,6000,17500000,-8266000,-1009000,None,142948000,None,376000,None,None,102809000,102809000,None,None,None,46502000,164088000,1803000,None,6019816,USD,10314000,907000,10314000,9420000,None,-361000,-11000,-951000,-3535000,3703000,-6250000,-144000,None,-350000,0,None,None,-13530000,3000,196000,None,3703000,25.715,27.109
4,2019-06-30,USD,277000,688000,None,277000,-411000,-4532000,None,None,-411000,None,688000,None,-411000,None,None,-83000,509000,None,-4204000,None,None,-83000,7000,-4204000,-328000,-4882000,None,USD,178716000,None,None,152897000,119115000,59601000,None,114508000,6000,-4381000,4111000,None,19523000,2305000,5676000,None,None,1042000,2000,21462000,3881000,42101000,None,19157000,None,None,5676000,None,None,6000,17500000,-4381000,-1009000,None,156890000,None,364000,None,None,113439000,113439000,None,None,None,46443000,178716000,2305000,None,6012764,USD,8637000,6162000,8637000,3560000,None,-361000,-21000,-951000,-4532000,6571000,-1705000,-14180000,None,-350000,0,None,None,-24000,3000,5634000,None,6571000,24.65,25.715
5,2019-03-31,USD,17394000,17249000,13548000,17394000,145000,98000,None,None,145000,None,12980000,None,145000,4269000,None,-68000,637000,None,527000,None,None,47000,774000,527000,98000,-252000,None,USD,156256000,8234000,None,18745000,92788000,63468000,None,51474000,6000,501000,27810000,None,1033000,26292000,5665000,None,None,78000,286000,52221000,90877000,45968000,7168000,25929000,162000,None,5665000,None,None,6000,17500000,501000,-1009000,None,3605000,None,9267000,387000,162000,86961000,87123000,None,None,None,46392000,156256000,26292000,None,6012764,USD,-5971000,-6025000,-5974000,-5971000,-10000,-360000,-11000,-154000,98000,-4610000,1724000,14137000,33000,-350000,0,None,-6595000,28000,3000,-6547000,None,-4610000,23.985,24.65
6,2018-12-31,USD,15979000,15669000,12111000,15979000,310000,832000,0,0,310000,0,11197000,None,310000,4472000,-33000,None,None,None,3000,0,0,-522000,-645000,527000,832000,-276000,None,USD,147923000,9111000,None,6622000,85176000,62747000,None,55448000,6000,639000,15151000,None,8091000,30902000,6621000,None,None,-729000,315000,51927000,83334000,45247000,474000,21025000,162000,None,6621000,None,None,6000,17500000,639000,-1009000,None,1957000,None,10390000,None,162000,78393000,78555000,None,None,None,46340000,147923000,30902000,None,6012764,USD,-2054000,470000,-2060000,10427000,-10000,-360000,-11000,5275000,832000,878000,3298000,3095000,33000,-350000,13193000,None,-4226000,-551000,6000,419000,None,878000,19.275,23.985
7,2018-09-30,USD,14418000,17103000,12585000,14418000,-2685000,-2114000,0,0,-2685000,0,12174000,None,-2685000,4929000,0,None,None,None,0,0,0,-571000,-1000000,527000,-2114000,-2114000,None,USD,144468000,9566000,None,11007000,82787000,61681000,2599000,53688000,6000,157000,14172000,None,7039000,30024000,6766000,None,None,-1212000,343000,46538000,80918000,44181000,697000,16514000,158000,None,6766000,None,None,6000,17500000,157000,-1009000,None,6562000,None,10106000,None,158000,73264000,76021000,None,None,None,46239000,144468000,30024000,None,5992432,USD,-5628000,4581000,-5624000,None,-9000,-359000,None,4011000,-2114000,-671000,5312000,-10000,33000,-350000,13193000,None,-502000,-79000,4000,2901000,None,-671000,25.142,19.275
8,2018-06-30,USD,14283000,13942000,10476000,14283000,341000,135000,0,0,341000,0,10325000,None,341000,3617000,33000,None,None,None,0,0,0,206000,645000,0,135000,135000,None,USD,141449000,8675000,None,14183000,77272000,64177000,2648000,48828000,6000,2621000,13817000,None,7386000,30695000,6324000,138000,138000,-1079000,381000,47739000,75490000,46677000,1264000,17044000,161000,None,6324000,None,None,6000,17500000,2621000,-1009000,None,8839000,None,9000000,None,161000,68139000,70948000,None,None,None,46138000,141449000,30695000,None,5984766,USD,-10211000,6820000,-10195000,None,-14000,-422000,None,-285000,135000,-5292000,5325000,1819000,34000,-408000,None,None,-912000,215000,16000,-3698000,None,-5292000,25.59,25.142
9,2018-03-31,USD,13540000,11220000,7554000,13540000,2320000,1951000,0,0,2320000,0,7313000,None,2320000,3907000,-33000,None,None,None,0,0,0,369000,-645000,0,1951000,1951000,None,USD,127496000,6766000,None,10943000,62944000,64552000,2746000,41206000,6000,2894000,11454000,None,5183000,35987000,5159000,152000,152000,-886000,432000,47812000,65577000,47052000,161000,11825000,206000,None,5159000,None,None,6000,17500000,2894000,-1009000,None,6512000,None,7163000,None,206000,54833000,57785000,None,None,None,46047000,127496000,35987000,None,5984766,USD,-11302000,551000,-11368000,None,-32000,12921000,-3300000,-465000,1951000,12412000,10859000,-1781000,57000,-240000,16493000,None,8751000,-102000,66000,10183000,None,12412000,24.603,25.59
