,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,11246000,15901000,None,11246000,-5079000,-4950000,11333000,None,-4950000,None,4568000,-424000,-4655000,None,-129000,None,129000,129000,None,None,None,None,-424000,None,-4950000,-4950000,None,USD,117783000,None,None,4102000,71111000,46672000,None,7912000,52000,-182723000,37845000,None,1975000,44302000,18260000,None,None,-1064000,20506000,92028000,None,46672000,32912000,10712000,None,None,10348000,None,None,52000,None,-182723000,None,None,5249000,None,25755000,15887000,None,52851000,52851000,None,None,None,230407000,117783000,77214000,None,52399152,USD,6657000,0,5596000,None,None,416000,None,-6795000,-4950000,-3766000,-9778000,-6838000,530000,None,416000,None,None,1480000,1061000,None,None,-3766000,3.1,
1,2020-03-31,USD,13261000,17117000,None,13261000,-3916000,-3597000,12758000,None,-3597000,None,4359000,-60000,-3856000,None,-319000,None,319000,319000,None,None,None,None,-60000,None,-3597000,-3597000,None,USD,123773000,None,None,4341000,73967000,49806000,None,10044000,55000,-177773000,38560000,None,1887000,47431000,20483000,None,None,-1227000,20344000,98372000,None,49806000,39333000,7267000,None,None,10439000,None,None,55000,None,-177773000,None,None,5057000,None,25401000,15775000,None,53484000,53484000,None,None,None,228751000,123773000,86764000,None,55212477,USD,2341000,0,414000,2341000,None,None,None,-13455000,-3597000,-14717000,-15131000,-13256000,339000,None,None,None,None,1383000,1927000,None,None,-14717000,2.28,3.1
2,2019-12-31,USD,17270000,18600000,None,17270000,-1153000,-771000,14116000,None,-771000,None,4484000,177000,-1330000,None,-382000,0,382000,382000,None,None,None,None,177000,None,-771000,-3601000,None,USD,141097000,None,None,4072000,89745000,51352000,None,11256000,55000,-174176000,47258000,None,3146000,62260000,27003000,None,None,-1995000,19502000,115013000,None,51352000,41894000,6787000,None,None,15747000,None,None,55000,None,-174176000,None,None,6582000,None,26084000,16217000,None,62742000,62742000,None,None,None,227468000,141097000,104154000,None,55212437,USD,-705000,-28181000,-1881000,12300000,None,31665000,369000,18566000,-771000,15810000,-13974000,19035000,233000,None,31712000,None,-4055000,-267000,1176000,-4055000,None,15810000,3.62,2.28
3,2019-09-30,USD,15132000,18046000,None,15132000,-2969000,-2592000,13211000,None,-2592000,None,4835000,-55000,-2914000,None,-377000,0,377000,377000,None,None,None,None,-55000,None,-2592000,-2592000,None,USD,116751000,None,None,4778000,96109000,20642000,None,27242000,49000,-173405000,56261000,None,7770000,46068000,39848000,None,None,-697000,11008000,97973000,None,20642000,40175000,6952000,None,None,12606000,None,None,49000,None,-173405000,None,None,7770000,None,18778000,None,None,56261000,56261000,None,None,None,194695000,116751000,86243000,None,49392706,USD,4355000,0,4123000,13005000,None,221000,178000,-12243000,-2592000,-8308000,-12652000,-11978000,159000,None,221000,None,-4055000,1759000,232000,None,None,-8308000,3.41,3.62
4,2019-06-30,USD,5332000,17562000,None,5332000,-12207000,-11758000,13373000,None,-11758000,None,4189000,23000,-12230000,None,-449000,0,449000,449000,None,None,None,None,23000,None,-11758000,-11758000,None,USD,130840000,None,None,4605000,111355000,19485000,None,28406000,49000,-170813000,70427000,None,11490000,54901000,40928000,None,None,-2707000,7888000,111462000,None,19485000,44782000,7174000,None,None,12522000,None,None,49000,None,-170813000,None,None,11490000,None,19378000,None,None,70427000,70427000,None,None,None,192956000,130840000,99683000,None,49261517,USD,13845000,0,12912000,8650000,None,280000,178000,-1204000,-11758000,2459000,-10733000,-616000,42000,None,280000,None,-4055000,1599000,933000,None,None,2459000,4.7,3.41
5,2019-03-31,USD,8545000,19228000,None,8545000,-10854000,-10348000,14296000,None,-10348000,None,4932000,-171000,-10683000,None,-506000,0,506000,506000,None,None,None,None,-171000,None,-10348000,-10348000,None,USD,131048000,None,None,6379000,100886000,30162000,None,28181000,49000,-159055000,59761000,None,1869000,52094000,41125000,None,None,-2056000,4893000,124286000,None,30162000,58685000,7128000,None,None,12944000,None,None,49000,None,-159055000,None,None,1869000,None,6762000,None,None,59761000,59761000,None,None,None,191224000,131048000,110779000,None,49151219,USD,-5195000,0,-5316000,-5195000,None,0,None,-5918000,-10348000,-20424000,-15108000,-5918000,166000,None,None,None,-4055000,992000,121000,None,None,-20424000,3.35,4.7
6,2018-12-31,USD,4913000,17561000,0,4913000,-12319000,-11684000,12998000,0,-11848000,0,4563000,329000,-12648000,0,-471000,-164000,None,None,0,0,0,-164000,802000,0,-11684000,-11684000,None,USD,141341000,None,None,4574000,101406000,39935000,53303000,35612000,54000,-147066000,53330000,None,910000,74867000,48076000,None,None,-2982000,5049000,135382000,None,39935000,53240000,2701000,None,None,12464000,None,None,54000,None,-147066000,None,None,910000,None,5959000,None,None,27000,53330000,None,None,None,189929000,141341000,128107000,None,54151219,USD,-4652000,13321000,-5217000,-7177000,None,7000,None,-20060000,-11682000,-14268000,-9058000,-23309000,195000,None,7000,None,12511000,-64000,565000,12511000,-347000,-14615000,2.66,3.35
7,2018-09-30,USD,8345000,16149000,16018000,8345000,-6657000,-6153000,11401000,0,-6153000,0,4748000,1147000,-7804000,0,-504000,None,None,None,0,0,0,148000,1651000,0,-6153000,-6153000,None,USD,151657000,0,None,4207000,101396000,50261000,60770000,31920000,54000,-135384000,60802000,0,121000,89482000,40594000,None,None,-3053000,4687000,146849000,None,50261000,47822000,5338000,0,0,8674000,0,0,54000,0,-135384000,0,None,121000,None,4808000,None,None,32000,60802000,None,None,None,188644000,151657000,137304000,None,54149719,USD,53723000,0,53398000,0,None,276000,None,-9214000,-6155000,39315000,-14359000,-9214000,130000,0,276000,0,12511000,880000,325000,None,-409000,38906000,5.6,2.66
8,2018-06-30,USD,11691000,13934000,13793000,11691000,-1013000,-203000,9155000,0,-351000,0,4779000,1230000,-2243000,0,-662000,None,None,None,0,0,0,-148000,1892000,0,-203000,-203000,None,USD,162025000,0,None,3065000,106707000,55318000,54336000,44598000,54000,-129229000,54373000,0,129000,50576000,52334000,None,None,-2574000,4597000,156599000,700000,55318000,100399000,2559000,0,0,7736000,0,0,54000,0,-129229000,0,None,129000,None,5426000,None,None,37000,54373000,None,None,None,187067000,162025000,150975000,None,54008056,USD,-48369000,0,-48763000,0,None,69000,None,-10323000,-203000,-57682000,-8988000,-10323000,141000,0,69000,0,12511000,1397000,394000,None,-1263000,-58945000,5.07,5.6
9,2018-03-31,USD,4152000,12288000,12154000,4152000,-9039000,-8714000,7936000,0,-8714000,0,4352000,-903000,-8136000,0,-325000,None,None,None,0,0,0,0,-578000,0,-8714000,-8714000,None,USD,173239000,0,None,3190000,122546000,50693000,67746000,46251000,54000,-129026000,67783000,0,130000,109521000,54763000,None,None,-5973000,4445000,166081000,2583000,50693000,50061000,3309000,0,0,8512000,0,0,54000,0,-129026000,0,None,130000,None,7158000,None,None,37000,67783000,None,None,None,185638000,173239000,159582000,None,53974184,USD,-7879000,0,-8293000,0,None,48159000,None,38907000,-8714000,71205000,31339000,38907000,134000,0,48159000,0,12511000,1012000,414000,None,438000,71643000,6.82,5.07
