,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,117629000,24759000,78063000,39566000,14604000,10481000,4113000,None,13885000,7000,20871000,-203000,14807000,-225000,719000,3397000,79000,-640000,None,None,None,3397000,-282000,None,10488000,10481000,None,USD,436266000,13786000,None,11420000,163468000,264161000,2879000,2170000,13003000,365443000,21342000,27048000,19961000,36507000,84338000,15191000,15191000,-68573000,124261000,238221000,None,231969000,None,94840000,57657000,95454000,66977000,None,None,13003000,None,365443000,-86097000,None,26675000,None,6275000,10812000,57657000,18594000,79130000,None,None,None,40385000,436266000,36507000,None,4934506,USD,-5823000,7245000,-5823000,None,-1036000,-5015000,None,1972000,10488000,1401000,12239000,1972000,3304000,-998000,-2981000,-1299000,-10521000,1050000,5823000,-10521000,None,1401000,50.01,
1,2020-03-31,USD,102852000,27757000,69942000,32910000,5813000,3698000,4296000,None,5104000,-45000,22339000,660000,5153000,1122000,709000,1451000,111000,-598000,None,None,None,1451000,549000,None,3653000,3698000,None,USD,413257000,13480000,None,12412000,153082000,251512000,2829000,1991000,13003000,355984000,28582000,25814000,32124000,34117000,74451000,13821000,13821000,-74136000,119356000,222483000,None,220893000,None,83441000,58724000,92513000,58639000,None,None,13003000,None,355984000,-83086000,None,26030000,6094000,190774000,10666000,58724000,17078000,78631000,None,None,None,39747000,413257000,34117000,None,4995114,USD,-5997000,-2440000,-5997000,None,10630000,5711000,None,-1516000,3653000,-3341000,-3055000,-1516000,3357000,-1175000,-3744000,-3481000,-5192000,2564000,5997000,-5192000,None,-3341000,49.83,50.01
2,2019-12-31,USD,113649000,28357000,231539000,36180000,7952000,5624000,4379000,None,7423000,-22000,23060000,129000,7823000,918000,529000,1766000,170000,-359000,None,None,None,1821000,-41000,None,5602000,5624000,None,USD,433571000,15116000,None,13811000,156757000,268535000,3116000,2062000,12848000,353292000,21879000,27840000,22169000,38929000,81073000,12050000,12050000,-57353000,124018000,231975000,None,233825000,None,83517000,53722000,95718000,66961000,None,None,12848000,None,353292000,-79106000,None,27058000,7564000,201596000,10308000,53722000,18846000,75684000,None,None,None,38854000,433571000,38929000,None,4992979,USD,-7511000,-6750000,-7511000,6000,883000,-2262000,None,802000,5603000,-3225000,6548000,802000,3904000,-1004000,-2141000,-2564000,3088000,2465000,7517000,3088000,None,-3225000,60.35,49.83
3,2019-09-30,USD,119217000,27700000,79874000,39343000,11992000,7951000,4240000,None,11257000,93000,22685000,349000,11643000,775000,735000,3213000,211000,-524000,None,None,None,3213000,138000,None,8044000,7951000,None,USD,425004000,15216000,None,13687000,156921000,259663000,3619000,2090000,12825000,348710000,20366000,25278000,21387000,41158000,83482000,10117000,10117000,-62733000,117697000,232914000,None,227535000,None,85842000,52888000,92227000,71275000,None,None,12825000,None,348710000,-76781000,None,25679000,8220000,192090000,10456000,52888000,16932000,73439000,None,None,None,37642000,425004000,41158000,None,5016293,USD,-9839000,4495000,-9839000,128000,-2959000,-4687000,None,-2960000,8043000,308000,14834000,-2960000,3305000,-1006000,-722000,-2777000,3297000,1431000,9967000,3297000,None,308000,54.59,60.35
4,2019-06-30,USD,114842000,26692000,-77035000,37807000,11435000,7904000,4428000,None,10850000,-38000,21939000,320000,11115000,325000,585000,2984000,223000,-362000,None,None,None,2984000,97000,None,7866000,7904000,None,USD,425153000,12859000,None,11462000,158533000,257852000,3198000,2142000,12822000,341804000,19670000,28726000,21073000,41260000,83502000,12125000,12125000,-56944000,112263000,237221000,None,225073000,None,91767000,55222000,92732000,69235000,None,None,12822000,None,341804000,-76030000,None,26622000,7462000,187932000,10948000,55222000,16611000,75031000,None,None,None,36200000,425153000,41260000,None,5030181,USD,2309000,8270000,-18388000,-11110000,16162000,13529000,None,2528000,7866000,475000,5334000,2528000,3399000,-1177000,-1456000,-1738000,-16553000,1562000,9587000,-16553000,None,475000,55.52,54.59
5,2019-03-31,USD,97153000,25219000,69888000,27265000,2296000,1824000,4140000,None,1928000,-38000,20731000,250000,2046000,348000,368000,104000,-189000,-189000,None,None,None,104000,71000,None,1824000,1824000,None,USD,387128000,8318000,None,16330000,128546000,250203000,1731000,2005000,12821000,334947000,15658000,25465000,19144000,43457000,70938000,9272000,9272000,-58137000,103186000,220948000,None,224799000,2300000,73604000,41769000,87557000,59661000,None,None,12821000,None,334947000,-74574000,None,22474000,6737000,166180000,10384000,41769000,14108000,57608000,None,None,None,35146000,387128000,43457000,None,5059380,USD,-496000,706000,-13065000,-10173000,14471000,11134000,None,-4565000,1824000,-1430000,501000,-4565000,3140000,-1043000,-2294000,-2376000,391000,1381000,2396000,391000,None,-1430000,53.09,55.52
6,2018-12-31,USD,105411000,24178000,73392000,32019000,8177000,5264000,4094000,0,7879000,-38000,20600000,336000,7841000,-516000,298000,None,None,None,2460000,0,0,2615000,39000,0,5264000,5264000,None,USD,358797000,8458000,None,12256000,109427000,249370000,1711000,2794000,12662000,334170000,14851000,15621000,17500000,43609000,69487000,10490000,1448000,-59583000,102955000,214263000,None,225291000,1648000,73139000,24960000,85259000,58997000,None,None,12662000,None,334170000,-72280000,None,10600000,6900000,144534000,None,24960000,13269000,39940000,None,None,None,34401000,358797000,43609000,None,5020410,USD,-496000,-6992000,-2044000,192000,-2344000,-4274000,None,1501000,5263000,9571000,15889000,1501000,3149000,-967000,-963000,-3791000,12972000,3787000,2236000,12972000,None,9571000,54.25,53.09
7,2018-09-30,USD,108413000,25476000,74922000,33491000,8220000,9054000,3706000,0,7856000,-38000,20620000,205000,8015000,1150000,364000,None,None,None,0,0,0,-1198000,-159000,0,9054000,9054000,None,USD,363969000,8857000,None,12442000,117564000,246405000,1841000,2911000,12643000,329959000,14480000,15882000,18712000,34032000,70403000,5243000,1448000,-57239000,104608000,215910000,None,221666000,1782000,87034000,32681000,82402000,65160000,0,0,12643000,0,329959000,-72242000,None,10882000,7830000,148059000,None,32681000,12639000,47161000,None,None,None,33284000,363969000,34032000,None,5012109,USD,-496000,-3233000,-1719000,-2309000,-3573000,-6046000,None,-6184000,9055000,-8357000,-592000,-844000,2771000,-1056000,-1417000,368000,-9876000,1167000,1719000,-9876000,None,-8357000,70.28,54.25
8,2018-06-30,USD,108915000,25870000,73712000,35203000,9572000,6735000,3646000,0,9224000,0,20759000,239000,9333000,1465000,348000,None,None,None,0,0,0,2489000,-109000,0,6735000,6735000,None,USD,364080000,9093000,None,11705000,124551000,239529000,1833000,3133000,12639000,321954000,22421000,15867000,17792000,41395000,64822000,4170000,1448000,-56792000,105172000,214419000,1737000,214569000,0,78107000,37308000,83212000,60652000,0,0,12639000,0,321954000,-69929000,None,11506000,8023000,149661000,None,37308000,20588000,59729000,None,None,None,31657000,364080000,41395000,None,5036978,USD,2571000,7416000,-3253000,-2950000,-5230000,-7017000,None,277000,6735000,-1564000,8706000,277000,3259000,-1057000,-730000,-5462000,-4960000,1441000,2874000,-4960000,None,-1564000,88.78,70.28
9,2018-03-31,USD,98139000,23773000,66621000,31518000,7909000,5528000,3661000,0,7629000,0,19777000,164000,7745000,335000,280000,None,None,None,0,0,0,2101000,-116000,0,5528000,5528000,None,USD,375961000,9818000,None,11524000,128940000,247021000,2046000,4028000,12635000,316275000,23555000,16622000,17602000,45488000,61592000,3283000,1448000,-43517000,109836000,217775000,4308000,220581000,0,77421000,43793000,83342000,58309000,0,0,12635000,0,316275000,-68948000,None,14002000,7908000,158186000,None,43793000,21509000,67348000,None,None,None,30576000,375961000,45488000,None,5048758,USD,-4308000,-1379000,-7007000,-2953000,10127000,8286000,None,-2787000,5528000,252000,-1027000,-2787000,3265000,-1008000,-833000,-4818000,-2635000,1799000,2699000,-2635000,None,252000,65.09,88.78
