,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,68070000,31415000,62994000,5076000,-26315000,-8656000,9757000,None,-26315000,None,21658000,24000,-26339000,None,13198000,-17659000,None,-13198000,None,None,None,-17659000,13222000,None,-8656000,-8669000,13000,USD,1030314000,38574000,None,31436000,790349000,239965000,None,94289000,3482000,-1391961000,36794000,70402000,191944000,203126000,208354000,50933000,50933000,1271000,334739000,394655000,None,130989000,None,45522000,142704000,114571000,63132000,None,None,3482000,None,-1391961000,-31359000,None,526683000,None,635659000,358348000,142704000,439291000,581995000,None,None,None,1658532000,1030314000,203126000,None,306959462,USD,-50196000,7632000,-50196000,-45286000,250345000,177482000,-82333000,-1023000,-8656000,76054000,-51232000,7368000,6968000,None,9425000,-17402000,-19404000,-27738000,4910000,-19404000,None,76054000,8.21,
1,2020-03-31,USD,40813000,21425000,45284000,-4471000,-37479000,-37479000,10412000,None,-37479000,None,11013000,-11583000,-25896000,None,11583000,0,-11583000,-11583000,None,None,None,None,None,None,-37479000,-37492000,13000,USD,748544000,5296000,None,28500000,638715000,109120000,None,74027000,3222000,-1383299000,22925000,8673000,188129000,131144000,151622000,27819000,27819000,1164000,269393000,277053000,None,95860000,None,24437000,112878000,92972000,49776000,None,None,3222000,None,-1383299000,-31224000,None,457522000,None,471491000,324218000,112878000,374215000,487093000,None,709000,None,1519257000,748544000,131144000,None,306959462,USD,-6355000,-2933000,-6355000,None,-1976000,4083000,7636000,-10794000,-37479000,-62287000,-60015000,-8819000,5741000,None,6104000,-20581000,1011000,3045000,6355000,1011000,None,-62287000,3.54,8.21
2,2019-12-31,USD,98202000,20323000,78882000,19320000,-11737000,-11737000,9341000,None,-11737000,None,10982000,-10734000,-1003000,None,10806000,0,-10734000,-10806000,None,None,None,None,72000,None,-11737000,-11698000,-39000,USD,771184000,5539000,None,21192000,635355000,134679000,None,69741000,3186000,-1300000000,117258000,8842000,183764000,194309000,150791000,26461000,42007000,1400000,259699000,313340000,None,121448000,None,25448000,110246000,72391000,54589000,None,None,3186000,None,-1300000000,-31216000,None,443463000,None,457844000,205313000,110246000,374318000,484564000,None,1150000,None,1507116000,771184000,194309000,None,303378515,USD,-5273000,6586000,-5273000,-544000,13845000,176045000,26419000,-8537000,-11737000,171051000,279000,-11132000,5789000,None,135800000,8210000,-1056000,3619000,4729000,-1056000,None,171051000,3.16,3.54
3,2019-09-30,USD,56376000,18428000,51114000,5262000,-21229000,-21229000,8028000,None,-21229000,None,10400000,-8063000,-13166000,None,8490000,0,-8063000,-8490000,None,None,None,None,427000,None,-21229000,-21242000,13000,USD,556009000,5113000,None,12804000,543960000,-14406000,None,62830000,2540000,-1334057000,22555000,8606000,128474000,78995000,126340000,17202000,17202000,929000,217024000,196792000,None,-1670000,None,24392000,107760000,80601000,46308000,None,None,2540000,None,-1334057000,-31216000,None,345498000,None,359217000,249577000,107760000,309860000,417620000,None,26455000,None,1347398000,556009000,78995000,None,238723533,USD,-2655000,12061000,-2655000,375000,31946000,69029000,31640000,887000,-21229000,63061000,-3313000,3144000,5545000,None,5443000,-7411000,1854000,2723000,2655000,1854000,None,63061000,2.63,3.16
4,2019-06-30,USD,57068000,22560000,46914000,10154000,-18561000,-18561000,8933000,None,-18561000,None,13627000,-6155000,-12406000,None,7861000,0,-6155000,-7861000,None,None,None,None,1706000,None,-18561000,-18587000,26000,USD,456994000,5398000,None,14001000,436014000,-10655000,None,45410000,2470000,-1312815000,25057000,8961000,104924000,39245000,102806000,15928000,15928000,1460000,184683000,153028000,None,6621000,None,26592000,66844000,73190000,41468000,None,None,2470000,None,-1312815000,-30681000,None,289607000,None,303966000,188194000,66844000,266364000,333208000,None,31635000,None,1328911000,456994000,39245000,None,231954736,USD,-4042000,4013000,-4042000,-1485000,11881000,42376000,25609000,-1478000,-18561000,26109000,-12225000,-1105000,4754000,None,4886000,-7716000,4870000,1520000,2557000,4870000,None,26109000,2.25,2.63
5,2019-03-31,USD,18593000,16697000,25363000,-6770000,-33938000,-33938000,7373000,None,-33938000,None,9324000,-10471000,-23467000,None,8345000,0,-10471000,-8345000,None,None,None,None,-2126000,None,-33938000,-33990000,52000,USD,396199000,3677000,None,10296000,365739000,-1180000,None,38004000,2445000,-1294241000,57687000,8886000,61667000,58633000,88760000,12559000,12559000,1374000,155504000,166465000,None,17897000,None,32062000,137701000,65474000,38197000,None,None,2445000,None,-1294241000,-30637000,None,217171000,None,229734000,135192000,137701000,139278000,276979000,None,31640000,None,1319879000,396199000,58633000,None,229534572,USD,-2274000,-2781000,-2274000,None,14074000,37650000,-3000,1018000,-33938000,-887000,-36263000,2692000,5420000,None,23576000,-17564000,4978000,4930000,2274000,4978000,None,-887000,2.4,2.25
6,2018-12-31,USD,58266000,17426000,53759000,4507000,-18483000,-16847000,8430000,0,-18483000,0,8996000,-5564000,-12919000,-174632000,-6542000,None,None,None,0,0,0,-1636000,-5564000,0,-16847000,-16860000,13000,USD,390326000,3890000,None,14357000,355970000,2713000,None,86879000,2342000,-1260290000,59455000,9023000,62178000,56001000,146370000,16803000,16803000,1584000,159620000,155615000,None,21443000,None,37347000,63380000,47910000,42688000,None,None,2342000,None,-1260290000,-30637000,None,221798000,None,234711000,None,63380000,146220000,209600000,None,31643000,None,1289714000,390326000,56001000,None,219157998,USD,None,-7739000,-2044000,-50000,-10372000,66128000,43237000,-5926000,-16847000,48109000,-15975000,1969000,4515000,None,33263000,6487000,-5008000,648000,1994000,-5008000,None,48158000,1.24,2.4
7,2018-09-30,USD,53165000,17054000,48756000,4409000,-17281000,-15565000,8402000,0,-17281000,0,8652000,-4636000,-12645000,0,-6352000,None,None,None,0,0,0,-1716000,-4636000,0,-15565000,-15578000,13000,USD,319278000,4058000,None,16050000,304164000,14405000,0,59948000,2326000,-1243430000,116188000,9157000,39066000,29628000,117095000,11489000,11489000,1762000,143170000,123827000,None,1899000,15803000,24721000,70881000,53428000,45658000,0,0,2326000,709000,-1243430000,-30637000,None,182236000,None,195451000,None,70881000,116188000,187069000,None,709000,None,1284384000,319278000,29628000,None,217508730,USD,None,57000,-1168000,0,-33601000,4274000,32938000,-284000,-15565000,6643000,3537000,1842000,4971000,0,4937000,6066000,6788000,-622000,1168000,6788000,-13000,6630000,1.92,1.24
8,2018-06-30,USD,36006000,20668000,38316000,-2310000,-28780000,-25868000,8427000,0,-28780000,0,12241000,-5802000,-22978000,0,-6136000,None,None,None,0,0,0,-2912000,-3917000,0,-25868000,-25881000,13000,USD,276227000,4250000,None,15661000,249390000,26128000,0,51300000,2297000,-1224365000,64640000,9210000,37742000,28402000,109666000,11461000,11461000,1844000,95621000,117860000,None,13377000,13367000,31509000,75084000,42288000,46905000,0,0,2297000,709000,-1224365000,-30637000,None,49286000,None,158367000,None,75084000,64640000,139724000,None,709000,None,1276989000,276227000,28402000,None,214653162,USD,None,-246000,-12057000,-879000,967000,-257000,-1241000,180000,-25868000,-33465000,-21151000,4101000,5251000,0,17000,5060000,-8523000,-926000,11178000,-8523000,-82000,-33547000,2.02,1.92
9,2018-03-31,USD,27195000,16957000,31179000,-3984000,-22788000,-19835000,8648000,0,-22788000,0,8309000,-1847000,-20941000,0,-3105000,None,None,None,0,0,0,-2953000,-3732000,0,-19835000,-19848000,13000,USD,298306000,3724000,None,14641000,248105000,49492000,0,47779000,2292000,-1198484000,36750000,9714000,40334000,60557000,113341000,14763000,14763000,2606000,88167000,145532000,None,36763000,13811000,22986000,71146000,47348000,50799000,0,0,2292000,709000,-1198484000,-30602000,None,51169000,None,152774000,None,71146000,63618000,134764000,None,709000,None,1273680000,298306000,60557000,None,214207574,USD,None,-2338000,-4303000,0,91408000,49199000,-42259000,1376000,-19835000,20868000,-24028000,3261000,3317000,0,50000,1428000,-7655000,-2206000,4303000,-7655000,46000,20914000,1.89,2.02
