,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3314000,6620000,3566000,-252000,-2399000,-2050000,345000,None,-3345000,None,2709000,None,-3306000,None,None,-1295000,None,None,None,None,None,-1295000,-39000,None,-2050000,-2050000,None,USD,25776000,None,None,None,11852000,13924000,None,None,31000,-6956000,476000,None,920000,3672000,3283000,None,683000,-1633000,15102000,9754000,None,13924000,None,2560000,3789000,None,61000,None,None,None,None,None,None,None,920000,None,16022000,5194000,None,None,8569000,None,None,None,None,None,None,None,None,USD,-344000,-1126000,-344000,None,2012000,2004000,None,-2186000,-2050000,-1659000,-3316000,None,907000,0,None,None,998000,141000,344000,None,None,None,5.55,
1,2020-03-31,USD,7537000,7779000,4809000,2728000,632000,-159000,331000,None,-315000,None,2639000,-73000,-242000,-7537000,None,-156000,-73000,None,None,None,None,-156000,-73000,None,-159000,-159000,None,USD,25210000,None,None,4500000,9402000,15808000,None,2666000,31000,-4906000,495000,None,936000,5331000,4913000,680000,680000,-1647000,13496000,10778000,None,15808000,None,3558000,1780000,None,1234000,None,None,31000,None,-4906000,-10082000,None,936000,None,14432000,3100000,1780000,2214000,4489000,None,None,None,32412000,25210000,5331000,None,6185000,USD,-333000,570000,-333000,-7000,-169000,-1162000,-169000,-2122000,-159000,-1952000,-413000,-1858000,874000,-993000,None,None,222000,202000,466000,222000,-44000,-1952000,6.05,5.55
2,2019-12-31,USD,8715000,9321000,5230000,3485000,89000,-530000,354000,None,-602000,None,3737000,4000,-606000,-8715000,-59000,-72000,4000,None,None,None,None,-72000,4000,None,-530000,-530000,None,USD,27531000,None,None,4663000,10711000,16820000,740000,2914000,31000,-3754000,550000,None,943000,7283000,5835000,678000,678000,-1624000,13737000,12851000,None,16820000,0,3780000,1951000,None,617000,None,None,31000,None,-3754000,-10082000,None,943000,None,14680000,3338000,1951000,2375000,4876000,None,None,None,32249000,27531000,7283000,-16197000,5517000,USD,-565000,-159000,-565000,47000,1313000,321000,-103000,-430000,-530000,791000,948000,-430000,695000,-992000,-33000,None,1391000,-19000,612000,1391000,87000,791000,9.15,6.05
3,2019-09-30,USD,9852000,8518000,5470000,4382000,2052000,677000,393000,None,1340000,None,2655000,6000,1334000,-9852000,-59000,663000,6000,None,None,None,None,663000,6000,None,677000,677000,None,USD,26784000,None,None,1824000,8764000,18020000,817000,1171000,31000,-2232000,817000,None,944000,6492000,4686000,416000,416000,-1696000,12353000,13487000,None,18020000,0,5171000,900000,None,372000,None,None,31000,None,-2232000,-10082000,None,944000,None,13297000,3532000,900000,2361000,4078000,None,None,None,31999000,26784000,6492000,None,6185000,USD,-826000,93000,-826000,-61000,-105000,-1098000,-105000,719000,677000,-605000,1671000,719000,718000,-993000,0,None,-645000,109000,765000,-645000,-352000,-605000,9.11,9.15
4,2019-06-30,USD,9289000,7963000,5120000,4169000,2063000,768000,400000,None,1348000,None,2443000,22000,1326000,-9289000,-59000,580000,22000,None,None,None,None,580000,22000,None,768000,768000,None,USD,25135000,None,None,1700000,6658000,18477000,897000,861000,31000,-1916000,897000,None,893000,7097000,4201000,416000,416000,-1365000,9503000,13323000,None,18477000,0,4526000,1005000,None,704000,None,None,31000,None,-1916000,-10082000,None,893000,None,11812000,1416000,1005000,555000,2457000,None,None,None,31809000,25135000,7097000,None,6185000,USD,3580000,-122000,3580000,-86000,-103000,-1130000,-136000,-908000,768000,3871000,1322000,-908000,737000,-994000,-33000,None,605000,242000,228000,605000,99000,3871000,10.09,9.11
5,2019-03-31,USD,9822000,3464000,5414000,4408000,970000,627000,420000,None,970000,None,3044000,26000,944000,-9822000,-59000,343000,26000,None,None,None,None,343000,26000,None,627000,627000,None,USD,25529000,None,None,1204000,7036000,18493000,None,2708000,31000,-1690000,907000,None,901000,3226000,4371000,416000,416000,-1447000,9556000,13473000,None,18493000,3912000,5131000,1109000,None,3912000,None,None,31000,None,-1690000,-10082000,None,2500000,None,12056000,1599000,1109000,None,2665000,None,None,None,31681000,25529000,7138000,None,6175000,USD,-112000,-306000,-112000,-91000,-104000,-1095000,-104000,-726000,627000,-839000,368000,-470000,764000,-991000,None,None,-302000,55000,21000,-302000,-4000,-843000,14.03,10.09
6,2018-12-31,USD,9936000,3205000,5203000,4733000,1524000,881000,462000,0,1524000,0,2743000,-4000,1528000,-9936000,-106000,643000,None,None,0,0,0,643000,-4000,0,881000,881000,None,USD,24974000,None,None,1067000,6227000,18747000,737000,614000,31000,-1326000,955000,None,927000,4069000,4060000,416000,416000,-1399000,10177000,13870000,None,18747000,3905000,4829000,1212000,None,4599000,None,None,31000,None,-1326000,-10082000,None,927000,None,11104000,None,1212000,None,1212000,None,None,None,31523000,24974000,7974000,-13341000,5507000,USD,-4035000,-317000,-4220000,231000,-1032000,-2023000,-1125000,-633000,881000,-2321000,3922000,-633000,761000,-991000,-93000,None,3243000,-13000,416000,3243000,374000,-1947000,15.87,14.03
7,2018-09-30,USD,11016000,3238000,5658000,5358000,2111000,1275000,372000,0,2111000,0,2866000,-9000,2120000,-11016000,-106000,None,None,None,0,0,0,836000,-9000,0,1275000,1275000,None,USD,26986000,0,None,1359000,8472000,18514000,1091000,3908000,31000,-1216000,1091000,0,900000,6016000,5662000,941000,941000,-1584000,10644000,15442000,None,18514000,0,8067000,1719000,0,4721000,0,0,31000,0,-1216000,-10082000,None,900000,None,11544000,None,1719000,None,2810000,None,None,None,31365000,26986000,6016000,None,5507,USD,-4035000,72000,-604000,-110000,-239000,-1234000,-239000,916000,1275000,-1431000,407000,916000,774000,-994000,-1000,0,-2741000,111000,494000,-2741000,-274000,-1705000,18.81,15.87
8,2018-06-30,USD,10787000,3116000,5615000,5172000,2080000,1177000,358000,0,2080000,0,2758000,24000,2056000,-10787000,-106000,None,None,None,0,0,0,903000,24000,0,1177000,1177000,None,USD,26425000,0,None,1465000,8168000,18257000,1138000,3014000,31000,-1497000,1138000,0,915000,7721000,5088000,957000,957000,-1403000,11129000,14381000,None,18257000,0,5195000,1942000,0,4131000,0,0,31000,0,-1497000,-10082000,None,915000,None,12044000,None,1942000,None,3080000,None,None,None,31208000,26425000,7721000,None,6000000,USD,-4035000,438000,-317000,-180000,-239000,-1319000,-239000,-990000,1177000,558000,2194000,-990000,775000,-988000,-92000,0,718000,76000,137000,718000,-1121000,-563000,19.24,18.81
9,2018-03-31,USD,10935000,3449000,5580000,5355000,1938000,1251000,359000,0,1938000,0,3090000,32000,1906000,-10935000,28000,None,None,None,0,0,0,687000,32000,0,1251000,1251000,None,USD,27729000,0,None,1197000,8558000,19171000,0,2181000,31000,-1685000,1205000,0,897000,8284000,5172000,957000,957000,-250000,11289000,15543000,None,19171000,0,6959000,2181000,0,5420000,0,0,31000,0,-1685000,-10082000,None,None,None,11289000,None,None,None,None,None,None,None,31157000,27729000,8284000,None,6000000,USD,None,-116000,-218000,-74000,-239000,-1063000,-239000,996000,1251000,125000,1406000,996000,753000,-824000,0,0,-1575000,97000,144000,-1575000,-6000,119000,21.36,19.24
