,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,205279000,131605000,None,205279000,73674000,62444000,None,None,73674000,None,131605000,None,73674000,26113000,51081000,11230000,251738000,200657000,None,None,None,11230000,None,None,62444000,62444000,None,USD,33342112000,47131000,6669274000,None,28646465000,4695647000,None,11707876000,75836000,1218367000,179684000,1819811000,23353746000,2693461000,11742792000,None,None,164526000,303819000,6116414000,22623451000,2611073000,3310278000,112675000,717043000,None,34916000,None,None,75836000,217632000,1218367000,None,None,2431486000,None,27225698000,None,717043000,16186630000,16903673000,None,None,None,3019286000,33342112000,6003739000,None,75836000,USD,-2353889000,50911000,-2378114000,-17026000,-475034000,3918619000,4188419000,-8569000,62444000,1669093000,128588000,-59480000,20105000,-12378000,217612000,None,None,54608000,12329000,None,None,1669093000,41.99,
1,2020-03-31,USD,164040000,137349000,None,164040000,26691000,28356000,None,None,26691000,None,137349000,None,26691000,25715000,69517000,-1665000,263069000,193552000,None,None,None,-1665000,None,None,28356000,28356000,None,USD,29264180000,48610000,4783883000,None,24879052000,4385128000,None,8988797000,75800000,1168301000,138348000,1819811000,21266700000,1024368000,9022728000,None,None,125506000,302101000,4137130000,20554154000,2516707000,3030564000,82198000,669658000,None,33931000,None,None,75800000,None,1168301000,None,None,2402374000,None,25127050000,None,669658000,15186666000,15856324000,None,None,None,3015521000,29264180000,4054932000,None,75800000,USD,-863167000,32834000,-878598000,-9097000,235056000,1319649000,1150293000,-81014000,28356000,497661000,56610000,-113848000,17018000,-12442000,-53258000,None,None,92250000,6334000,None,None,497661000,37.54,41.99
2,2019-12-31,USD,248990000,130470000,None,248990000,118520000,96079000,None,None,118520000,None,130470000,None,118520000,17562000,74281000,22441000,268453000,194172000,None,None,None,22441000,-2200000,None,96079000,96079000,None,USD,27805496000,51130000,4060157000,651812000,23449748000,4355748000,None,8425644000,76564000,1184183000,114301000,1819811000,20776605000,526707000,8467827000,622518000,622518000,30534000,273932000,4151164000,20177717000,2484807000,3539995000,84462000,749080000,29487000,42183000,None,None,76564000,None,1184183000,None,None,1220435000,None,23543025000,None,749080000,14232841000,14981921000,None,None,None,3064467000,27805496000,4066702000,None,76564000,USD,-479339000,-12360000,-710120000,-53748000,-143417000,196740000,180470000,9603000,96079000,-393596000,119784000,36659000,1564000,-12413000,-8381000,None,None,-6876000,7963000,None,None,-393596000,64.0,37.54
3,2019-09-30,USD,270165000,132941000,None,270165000,137224000,110521000,None,None,137224000,None,132941000,None,137224000,19100000,79943000,26703000,275749000,195806000,None,None,None,26703000,-3085000,None,110521000,110521000,None,USD,27547834000,39349000,4242572000,333022000,23253204000,4294630000,None,8074183000,76736000,1100517000,118868000,1830652000,20260126000,920303000,8111019000,90000000,90000000,47142000,305032000,4394862000,19803130000,2424629000,3393435000,81124000,750488000,30049000,36836000,None,None,76736000,None,1100517000,None,None,1174809000,None,23152972000,None,750488000,14391697000,15142185000,None,None,None,3070235000,27547834000,4313738000,None,76736000,USD,-492035000,56394000,-552106000,-9973000,371015000,714363000,551423000,27437000,110521000,292716000,130459000,-28957000,7425000,-12438000,-11462000,None,None,-14924000,5504000,None,None,292716000,56.75,64.0
4,2019-06-30,USD,252405000,127686000,None,252405000,124719000,100321000,None,None,124719000,None,127686000,None,124719000,18067000,76933000,24398000,265851000,188918000,None,None,None,24398000,-9494000,None,100321000,100321000,None,USD,26540355000,41578000,3892209000,297321000,22363994000,4176361000,None,7623360000,76929000,1002434000,135083000,1807121000,19746287000,627587000,7653736000,197500000,197500000,20512000,301386000,3969075000,19250167000,2327662000,3256906000,84582000,464144000,26657000,30376000,None,None,76929000,None,1002434000,None,None,1171028000,None,22571280000,None,464144000,14246114000,14710258000,None,None,None,3076486000,26540355000,3884493000,None,76929000,USD,-614045000,-24490000,-706898000,-66277000,-128231000,820234000,969064000,-68478000,100321000,142090000,28754000,-43988000,6528000,-12432000,-8167000,None,None,-9617000,26576000,None,None,142090000,57.48,56.75
5,2019-03-31,USD,231125000,114051000,0,231125000,117074000,93960000,None,None,117074000,None,114051000,None,117074000,16947000,70637000,23114000,257883000,187246000,None,None,None,23114000,-2557000,None,93960000,93960000,None,USD,25557858000,43850000,3729112000,249075000,21501919000,4055939000,None,7488357000,77064000,914545000,139618000,1807121000,19013753000,485497000,7514409000,583500000,583500000,-15028000,277672000,3815097000,18589730000,2204968000,3250006000,79594000,484703000,15077000,26052000,None,None,77064000,None,914545000,None,None,1024388000,None,21742761000,None,484703000,13502807000,13987510000,None,None,None,3079358000,25557858000,3735503000,None,77064000,USD,-576138000,59720000,-649937000,-71689000,672868000,258451000,-368466000,53203000,93960000,-236195000,155291000,-6517000,4777000,-12545000,-33406000,None,None,3351000,2110000,None,None,-236195000,54.7,57.48
6,2018-12-31,USD,238166000,119409000,75199000,238166000,118757000,95318000,0,0,118757000,0,119409000,None,118757000,16945000,65880000,None,None,None,0,0,0,23439000,-3207000,0,95318000,95318000,None,USD,25031044000,46161000,None,524898000,21065104000,3965940000,None,7773068000,77484000,833130000,112960000,1807121000,18458550000,721692000,7796654000,356000000,356000000,-52105000,265560000,3885035000,18073447000,2112658000,3083686000,79657000,485130000,15393000,23586000,None,None,77484000,None,833130000,None,None,938555000,None,21130844000,None,485130000,12783320000,13268450000,None,None,None,3107431000,25031044000,3805378000,None,77484000,USD,-301576000,45991000,-307208000,-371000,-83070000,325563000,441841000,53325000,95318000,170612000,152257000,19099000,2130000,-12550000,-20658000,None,None,-44832000,5261000,None,None,170612000,46.1,54.7
7,2018-09-30,USD,232173000,113990000,67415000,232173000,118183000,93747000,0,0,118183000,0,113990000,None,118183000,17991000,58690000,None,None,None,0,0,0,24436000,-2683000,0,93747000,93747000,None,USD,24557545000,48737000,None,132185000,20660504000,3897041000,0,7672582000,77867000,750363000,86991000,1807121000,18276824000,551080000,7693526000,45000000,45000000,-54512000,285854000,3629028000,17847740000,2041183000,3004582000,73366000,465487000,17700000,20944000,0,0,77867000,0,750363000,0,None,939065000,None,20928517000,None,465487000,12501491000,12966978000,None,None,None,3123323000,24557545000,3555662000,None,77867000,USD,-619088000,8766000,-682812000,-59730000,-59846000,479008000,550461000,-22037000,93747000,-95843000,107961000,-30803000,-3454000,-10979000,-628000,38795000,0,39705000,3994000,None,None,-95843000,60.15,46.1
8,2018-06-30,USD,220773000,110908000,58150000,220773000,109865000,86865000,0,0,109865000,0,110908000,None,109865000,17369000,48748000,None,None,None,0,-5353000,0,23000000,-6384000,0,86865000,86865000,None,USD,23988370000,51353000,None,195044000,20161693000,3826677000,0,7301247000,77855000,667594000,88278000,1807121000,17779905000,646923000,7316851000,231250000,231250000,-38233000,289661000,3672226000,17308399000,1968203000,2960128000,65175000,465433000,20200000,15604000,0,0,77855000,0,667594000,0,None,859610000,None,20316144000,None,465433000,12379409000,12844842000,None,None,None,3119461000,23988370000,3607051000,None,77855000,USD,-712438000,19761000,-791739000,-73623000,-398368000,944917000,1355066000,23398000,86865000,278161000,124983000,3637000,-1733000,-10951000,-830000,8376000,0,16453000,5678000,None,None,278161000,61.35,60.15
9,2018-03-31,USD,211723000,108580000,43988000,211723000,103143000,83510000,0,0,103143000,0,108580000,None,103143000,15575000,37057000,None,None,None,0,5353000,0,19633000,-7227000,0,83510000,83510000,None,USD,22935174000,54012000,None,179774000,19185871000,3749303000,0,7314367000,77853000,591680000,108668000,1808300000,5898321000,368763000,7327959000,660251000,660251000,-36220000,293421000,3390305000,16622050000,1886991000,2960624000,60918000,465550000,142838000,13592000,0,0,77853000,0,591680000,0,None,785711000,None,19563494000,None,465550000,11392362000,11857912000,None,None,None,3115990000,22935174000,3329387000,None,77853000,USD,-1177847000,-13901000,-1187325000,-672000,653519000,690935000,52039000,-18540000,83510000,-410834000,85556000,-4639000,-1406000,-10974000,-3649000,15008000,0,21992000,8806000,None,None,-410834000,64.2,61.35
