,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,15156946,None,None,None,None,15613930,None,None,15913930,None,1165000,None,None,None,8316571,300000,24241804,15925233,None,None,None,300000,None,None,15613930,15613930,None,USD,1391244384,None,None,None,866996630,524247754,None,None,67045,-264011450,None,None,None,51565044,None,None,None,None,None,None,1333348861,524247754,None,None,None,None,13711798,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,-24000000,None,-12068118,-786231,15613930,26449027,62517145,None,None,-12068118,0,None,None,45783254,0,None,None,None,3.51,
1,2020-04-30,USD,15156946,None,None,None,None,15613930,None,None,15913930,None,1165000,None,None,None,8316571,300000,24241804,15925233,None,None,None,300000,None,None,15613930,15613930,None,USD,1391244384,None,None,None,866996630,524247754,None,None,67045,-264011450,None,None,None,51565044,None,None,None,None,None,None,1333348861,524247754,None,None,None,None,13711798,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,-24000000,None,None,-786231,15613930,26449027,62517145,None,None,-12068118,0,None,None,45783254,0,None,None,None,3.23,3.51
2,2020-03-31,USD,-58822302,1170401,15756260,11778630,None,-60292703,None,None,-59992703,None,1170401,None,10608230,None,8962513,300000,26783608,17821095,None,None,None,300000,None,None,-60292703,-60292703,None,USD,1387117808,None,None,None,870438571,516679237,None,None,67045,-271579967,None,None,None,25127515,None,None,None,None,None,None,1354046942,516679237,None,None,846805490,None,16680809,None,None,None,None,None,None,None,None,None,None,None,846805490,None,None,None,None,None,788192160,None,25127520,None,67000000,USD,None,-62528206,None,None,152500000,184276260,-12068118,102099,-60292703,-6866761,-147298642,None,None,-12068119,0,None,None,-24053991,0,None,None,None,2.59,3.23
3,2020-01-31,USD,-58822302,None,None,None,None,-60292703,None,None,-59992703,None,1170401,None,None,None,8962513,300000,26783608,17821095,None,None,None,300000,None,None,-60292703,-60292703,None,USD,1387117808,None,None,None,870438571,516679237,None,None,67045,-271579967,None,None,None,25127515,None,None,None,None,None,None,1354046942,516679237,None,None,None,None,16680809,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-62528206,None,None,152500000,None,None,102099,-60292703,-6866761,-147298642,None,None,-12068119,0,None,None,-24053991,0,None,None,None,6.54,2.59
4,2019-12-31,USD,20667510,1165000,14353610,11650160,19351709,19202510,None,None,19502510,None,1165000,None,10485160,None,8866549,300000,25813847,16947298,None,None,None,300000,150801,None,19202510,19202510,None,USD,1418050163,None,None,None,829010104,589040059,None,12068119,67045,-199219145,None,None,None,32107649,86022327,None,None,None,None,39197204,1378852959,589040059,None,6055204,742987780,None,79884215,None,None,None,None,None,None,None,None,None,None,None,742987780,None,None,None,None,None,788192160,None,32107650,None,67000000,USD,None,62528206,None,None,55912500,43844380,-12068118,2947743,19202510,-27478428,-71322809,None,None,-12068119,0,None,171335,-156918683,0,None,None,None,6.53,6.54
5,2019-10-31,USD,20667510,None,None,None,None,19202510,None,None,19502510,None,1165000,None,None,None,8866549,300000,25813847,16947298,None,None,None,300000,None,None,19202510,19202510,None,USD,1418050163,None,None,None,829010104,589040059,None,None,67045,-199219145,None,None,None,32107649,None,None,None,None,None,None,1378852959,589040059,None,None,None,None,79884215,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,62528206,None,None,55912500,None,None,2947743,19202510,-27478428,-71322809,None,None,-12068119,0,None,None,-156918683,0,None,None,None,6.05,6.53
6,2019-09-30,USD,14104587,5540324,12465750,15460190,22127838,8264263,None,None,8564263,None,1156617,None,17000070,None,7824271,300000,26968323,19144052,None,None,None,300000,-13563575,None,8264263,8264263,None,USD,1285838013,None,None,None,703932345,581905668,None,12068119,67045,-206353536,None,None,None,59516236,20174469,None,None,None,None,66405217,1219432796,581905668,None,6226539,683757880,None,14963814,None,None,None,None,None,None,None,None,None,None,None,683757880,None,None,None,None,None,788192160,None,59516240,None,68000000,USD,None,0,None,None,-13000000,121083370,-2750000,-3406960,8264263,37796006,65614125,None,None,-12068119,0,None,993203,59647947,0,None,None,None,6.27,6.05
7,2019-07-31,USD,14104587,None,None,None,None,8264263,None,None,8564263,None,1156617,None,None,None,7824271,300000,26968323,19144052,None,None,None,300000,None,None,8264263,8264263,None,USD,1285838013,None,None,None,703932345,581905668,None,None,67045,-206353536,None,None,None,59516236,None,None,None,None,None,None,1219432796,581905668,None,None,None,None,14963814,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,0,None,None,-13000000,None,-2750000,-3406960,8264263,37796006,65614125,None,None,-12068119,0,None,None,59647947,0,None,None,None,6.64,6.27
8,2019-06-30,USD,7159154,1230303,14932920,13180040,19757919,5628851,None,None,5928851,None,1230303,None,11949740,300000,7808175,300000,26805097,18996922,None,None,None,300000,-13829068,None,5628851,5628851,None,USD,1304174274,None,None,None,718464750,585709524,None,12068118,67045,-203617030,None,None,None,21744836,23292569,None,None,None,None,29338360,1274835914,585709524,None,7219742,695172180,None,16075861,None,None,None,None,None,None,None,None,None,None,None,695172180,None,None,None,None,None,789259510,None,21744840,None,67000000,USD,None,-4480173,None,None,29000000,148901490,-2750000,3882553,5628851,-8552383,-25484265,None,None,-12068118,0,None,-282404,-30340395,0,None,None,None,6.32,6.64
9,2019-04-30,USD,7159154,None,None,None,None,5628851,None,None,5928851,None,1230303,None,None,None,7808175,300000,26805097,18996922,None,None,None,None,None,None,5628851,None,None,USD,1304174274,None,None,None,718464750,585709524,None,None,None,-203617030,None,None,None,21744836,None,None,None,None,None,None,1274835914,None,None,None,None,None,16075861,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,5628851,-8552383,-25484265,None,None,-12068118,0,None,None,None,0,None,None,None,7.14,6.32
10,2019-03-31,USD,28687750,3921300,16410210,12277540,20781255,-4746500,None,None,-4446500,None,1224800,None,11052730,300000,9194545,300000,-15499240,18476827,None,None,None,300000,-28598288,None,-4746497,-4746500,None,USD,1282187970,None,None,None,690039180,592148790,None,12068119,67050,-197177760,None,None,None,30307030,23787800,None,None,None,None,37515760,1244672213,592148791,None,6937338,666251380,None,18991577,None,None,None,None,None,None,None,None,None,None,None,666251380,None,None,None,None,None,789259510,None,30307030,None,68000000,USD,None,-13691952,None,None,107500000,131969610,-2750000,-5980007,2031690,10800880,-121253650,None,None,-24674670,-14471720,None,-1430774,-56878645,0,None,None,None,6.91,7.14
