,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1126000,3421000,1837000,-711000,-1972000,-2298000,368000,None,-2298000,None,1216000,None,-2295000,None,14000,0,None,-14000,None,None,None,None,11000,None,-2298000,-2298000,None,USD,22513000,None,None,None,6636000,15877000,None,None,1000,-3741000,None,None,748000,727000,2963000,None,315000,None,3656000,18109000,None,15877000,None,766000,2342000,13883000,584000,None,None,None,None,None,None,None,None,None,4404000,1976000,None,None,3673000,None,None,None,None,None,None,None,None,USD,0,11000,None,None,1633000,1633000,None,348000,-2298000,-172000,-1805000,None,312000,None,None,-350000,172000,None,0,None,None,None,4.96,
1,2020-03-31,USD,2860000,5180000,3020000,-160000,-2007000,-201000,451000,None,-2339000,None,1709000,None,-2320000,None,21000,-2138000,-21000,-21000,None,None,None,-2138000,2000,None,-201000,-201000,None,USD,23266000,None,None,None,5091000,18175000,None,None,1000,-1443000,None,None,748000,899000,2896000,None,327000,None,3969000,18549000,None,18175000,None,938000,698000,13533000,573000,None,None,None,None,None,-40000,None,None,None,4716000,2130000,698000,None,2195000,None,None,None,19657000,None,899000,None,None,USD,8000,-2000,8000,8000,-82000,-82000,None,-211000,-201000,-1941000,-1867000,None,311000,None,None,379000,-4000,-655000,0,None,None,None,1.2373,4.96
2,2019-12-31,USD,878490,5554009,3545166,-2666676,-4222532,-4730482,625942,None,-4730482,None,1382901,None,-4675519,None,68946,None,-68950,-68946,None,None,None,None,13983,None,-4730482,-4730482,None,USD,23563215,None,None,None,5186943,18376272,None,None,1014,-1242170,None,None,94001,2840117,2749507,None,328159,None,4286809,19182405,None,18376272,None,933830,777930,13912200,574510,None,None,None,None,None,-39940,None,4380810,None,4380810,2277148,777930,None,2437436,None,None,None,19657370,None,2840120,None,10000000,USD,-26821,-282146,-26821,None,-82384,-122326,None,-280866,-4730482,-826358,-677211,None,439004,None,-39940,-39305,4104472,112112,26821,None,None,None,2.38,1.2373
3,2019-09-30,USD,6939318,6896079,4707412,2231906,377237,48241,546144,None,48241,None,1642523,None,43239,None,13676,None,-13680,-13676,None,None,None,None,18678,None,48241,48241,None,USD,28928896,None,None,1002683,5624312,23304584,None,403268,1014,3488312,None,None,94001,3666475,2946402,329490,329490,None,4581563,24253332,None,23304584,None,5038302,858983,14142895,856656,None,None,None,None,None,None,None,4675564,None,4675564,2408623,858980,None,2677910,None,None,None,19815260,None,3666480,None,10000000,USD,-134886,-510482,-134886,None,-78177,-78177,None,-328163,48241,-1764441,-1551378,None,315320,None,None,-2017833,862595,78944,134886,None,None,None,3.14,2.38
4,2019-06-30,USD,9236548,8663970,6274404,2962144,878886,566787,541380,None,566787,None,1848186,None,572578,None,10012,None,-10010,-10012,None,None,None,None,4221,None,566787,566787,None,USD,29561174,None,None,None,6383775,23177399,None,419101,1014,3440071,None,None,94001,5430916,3573438,278465,278465,None,4608690,24858483,None,23177399,None,5900897,834878,12125062,1367138,None,None,None,None,None,None,None,4702691,None,4702691,2537585,834880,None,2810337,None,None,None,19736310,None,5430920,None,10000000,USD,-97454,-223544,-97454,None,-45418,-45418,None,7198,566787,1896346,2039218,None,302087,None,None,-2008114,3315860,78944,97454,None,None,None,4.16,3.14
5,2019-03-31,USD,7746790,7668561,5354760,2392030,313820,70700,562270,None,70700,None,1751530,None,78230,None,10701,0,-10700,-10701,None,None,None,None,3180,None,70703,70700,None,USD,29261100,None,None,None,6729430,22531670,None,543100,1010,2873280,None,None,94000,3534570,3715770,278745,278745,None,4813320,24353780,None,22531668,None,9216760,880020,10116950,1590682,None,None,None,None,None,None,None,4907324,None,4907324,2676317,880020,None,3013661,None,None,None,19657370,None,3534570,None,10000000,USD,-79029,524267,-79030,None,-49166,-49170,None,-233098,70700,-2105510,-1977310,None,143260,None,None,-1645179,-1489838,78944,79030,None,None,None,4.51,4.16
6,2018-12-31,USD,8297509,8543284,5941867,2355642,-245775,4226,535829,0,-210774,0,2092029,None,-245775,0,-11989,-215000,None,None,0,0,0,-215000,35001,0,4226,4226,None,USD,25240106,None,None,1002683,2858085,22382021,None,254184,1014,2802581,None,None,94001,4637395,1933546,283388,283388,None,2122757,23023348,None,22382021,None,8442835,924539,8471769,1066415,None,None,None,None,None,None,None,None,None,None,None,924540,None,None,None,None,None,19578430,None,5640080,None,10000000,USD,None,276867,-365992,None,-56033,-56033,None,82790,4226,-4967377,-4545352,None,115857,None,None,-1058154,-3975762,95424,365992,None,None,None,4.83,4.51
7,2018-09-30,USD,5061158,5825114,3530847,1530311,-763956,-757117,571300,0,-757117,0,1714070,None,-763956,0,-2777,None,None,None,0,0,0,0,6839,0,-757117,-757117,None,USD,24775394,0,None,1002304,2493023,22282371,0,377324,1014,2798355,None,0,111701,9605151,1871910,196323,196323,None,1426098,23237595,None,22282371,1002000,4380473,621113,7413615,789548,0,0,0,0,0,0,None,None,None,None,None,621110,None,None,None,None,None,19483000,None,10607460,None,10000000,USD,None,378792,-70177,0,-27791,-27791,None,-201084,-757117,-1106581,-1008613,None,114779,0,0,-1128570,480923,103664,70177,None,None,None,5.12,4.83
8,2018-06-30,USD,5815775,5577515,3753586,2062189,238260,223441,336580,0,223441,0,1478536,None,238260,-8731,-2394,None,None,None,0,0,0,0,-14819,0,223441,223441,None,USD,24980978,0,None,1001925,2045154,22935824,0,373163,1014,3555472,None,0,114201,10712111,1419747,219820,219820,None,1470700,23396077,None,22935824,1002000,4861396,625407,6285045,410756,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,None,-43431,-83759,0,-27344,-27344,None,35148,223441,2864,113967,None,78597,0,0,-855297,571845,103664,83759,None,None,None,6.11,5.12
9,2018-03-31,USD,4871912,5199229,3388274,1483638,-327317,-318802,464101,0,-318802,0,1338123,None,-327317,8731,-3010,None,None,None,0,0,0,0,8515,0,-318802,-318802,None,USD,23993275,0,None,1001551,1384556,22608719,0,281596,1014,3332031,None,0,88496,10709621,1277218,102483,102483,None,802789,23101990,None,22608719,1002000,5433241,107338,5429747,454187,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,10000000,USD,None,-303566,-55062,0,-27234,-27234,None,-198042,-318802,-2489991,-2407695,None,76350,0,0,57305,-1745659,24719,55062,None,None,None,4.9913,6.11
