,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,-23445000,115970000,None,-23445000,-139415000,-99091000,None,None,-139415000,None,115970000,None,-139415000,8820000,13830000,-40324000,144122000,130292000,None,None,None,-40324000,None,None,-99091000,-99091000,None,USD,20517074000,94550000,None,None,17862427000,2654647000,None,16976693000,930000,247078000,41953000,901200000,15498370000,1341730000,17320046000,None,None,58224000,76542000,16220751000,2369630000,1658897000,2336066000,14879021000,501375000,None,343353000,None,None,930000,None,247078000,None,None,748190000,None,105859000,None,501375000,41006000,542381000,None,None,None,2348415000,20517074000,1341730000,None,94350902,USD,-642428000,75400000,345942000,984326000,-542641000,409854000,967366000,75400000,-99091000,807698000,51902000,5158000,1398000,-14992000,121000,None,-55063000,124100000,4044000,-55063000,None,807698000,21.68,
1,2020-03-31,USD,98196000,66631000,None,98196000,31565000,25740000,None,None,31565000,None,66631000,None,31565000,9123000,14614000,5825000,123789000,109175000,None,None,None,5825000,None,None,25740000,25740000,None,USD,11976209000,79349000,1904699000,None,9973292000,2002917000,None,9093072000,586000,361242000,None,808322000,8966990000,534032000,9237006000,None,None,44409000,61615000,9211773000,1372425000,1115246000,1337761000,8677741000,215269000,None,143934000,None,None,586000,None,361242000,None,None,427035000,None,15249000,None,215269000,521017000,736286000,None,None,None,1596680000,11976209000,534032000,None,59975281,USD,-39082000,-5058000,-22315000,22009000,9000000,183576000,188555000,-5058000,25740000,207182000,45921000,-5695000,-1786000,-14882000,903000,None,8953000,23767000,5242000,8953000,None,207182000,18.84,21.68
2,2019-12-31,USD,117119000,62704000,None,120821000,None,41098000,None,None,54207000,None,41702000,None,58117000,8855000,16927000,13109000,129846000,112919000,None,None,None,13109000,-3910000,None,41098000,40671000,None,USD,11776012000,83312000,1696769000,41114000,9763418000,2012594000,None,9776000,586000,396051000,23809000,808322000,8899762000,329558000,9462221000,None,None,21523000,102178000,373216000,1406222000,1120960000,1368384000,39442000,732171000,441000,8898509000,None,None,None,None,None,None,None,None,None,None,None,215145000,None,None,None,None,None,1594434000,None,None,None,61000000,USD,-89719000,0,-89719000,-75000,-90593000,-62803000,39221000,-1410000,41098000,-100865000,51657000,None,7055000,-13060000,-656000,None,-2512000,7426000,13819000,None,None,None,32.6,18.84
3,2019-09-30,USD,122203000,65336000,None,122203000,56867000,41375000,None,None,56867000,None,65336000,None,56867000,8750000,20269000,15492000,132604000,112335000,None,None,None,15492000,-4545000,None,41375000,41375000,None,USD,11811497000,87560000,1664207000,45695000,9822499000,1988998000,301000,8859288000,584000,368051000,301000,808322000,8985225000,427715000,8999815000,566500000,566500000,30195000,62851000,466318000,10026656000,1093116000,1256655000,38603000,217825000,126000,140527000,None,None,584000,None,368051000,None,None,359664000,None,11345053000,None,217825000,604558000,822684000,None,None,None,1590168000,11811497000,427715000,None,59364340,USD,31894000,6460000,53180000,32339000,17535000,-32383000,-2634000,6460000,41375000,52331000,31534000,-2955000,-28864000,-13266000,-34018000,None,8320000,7198000,11053000,8320000,None,52331000,31.19,32.6
4,2019-06-30,USD,116631000,63936000,None,116631000,52695000,38527000,None,None,52695000,None,63936000,None,52695000,8167000,21773000,14168000,132414000,110641000,None,None,None,14168000,-5088000,None,38527000,38527000,None,USD,11783781000,91840000,1641360000,48949000,9799325000,1984456000,None,8861922000,595000,343366000,None,808322000,2266000,375384000,8994806000,530500000,530500000,22358000,54218000,415804000,10046817000,1084294000,1258379000,40420000,232944000,35000,132884000,None,None,595000,None,343366000,None,None,364479000,None,2266000,None,232944000,571575000,804519000,None,None,None,1618137000,11783781000,375384000,None,60509994,USD,-33517000,641000,-121000,36692000,89453000,149908000,140166000,641000,38527000,197002000,47215000,2513000,10045000,-13792000,-65919000,None,-13083000,8572000,3296000,-13083000,None,197002000,30.88,31.19
5,2019-03-31,USD,117561000,63577000,None,117561000,53984000,38718000,None,None,53984000,None,63577000,None,53984000,8125000,19837000,15266000,131243000,111406000,None,None,None,15266000,-5894000,None,38718000,38718000,None,USD,11580495000,96120000,1384125000,51973000,9573431000,2007064000,None,8715175000,617000,325363000,None,808726000,9068010000,178382000,8853459000,565500000,565500000,5060000,61523000,218684000,10054974000,1102218000,1171410000,40302000,110381000,193000,138284000,None,None,617000,None,325363000,None,None,331013000,None,9275000,None,110381000,609591000,719972000,None,None,None,1676024000,11580495000,178382000,None,62773299,USD,-92370000,-11956000,-61591000,32584000,-53075000,-15717000,50776000,-11956000,38718000,-25024000,52284000,1567000,9435000,-13749000,331000,None,12621000,1899000,1805000,12621000,None,-25024000,26.53,30.88
6,2018-12-31,USD,122954000,67935000,20733000,122954000,55019000,39643000,0,0,55019000,0,67935000,None,55019000,8362000,18475000,None,None,None,3239000,0,0,15376000,-7908000,0,39643000,39643000,None,USD,11487387000,100556000,None,43556000,9517690000,1969697000,None,8658351000,617000,300407000,10900000,808726000,9004836000,203406000,8739696000,110000000,110000000,-5600000,64691000,241243000,9954897000,1060415000,6143000,37837000,110313000,160000,81345000,None,None,617000,None,300407000,None,None,301500000,None,15627000,None,110313000,667681000,777994000,None,None,None,1674274000,11487387000,203406000,None,62480755,USD,-198615000,-18616000,-168168000,31377000,-194275000,-38139000,157792000,-18616000,39643000,-59806000,146501000,38419000,17742000,-13749000,-1656000,None,None,93346000,930000,15610000,None,-59806000,25.52,26.53
7,2018-09-30,USD,118276000,82086000,18144000,118276000,36190000,28392000,0,0,36190000,0,82086000,None,36190000,6758000,16163000,None,None,None,0,0,0,7798000,-19331000,0,28392000,28392000,None,USD,11503881000,105187000,None,90563000,9587504000,1916377000,0,8502145000,617000,260764000,113143000,807892000,9011133000,263212000,8615288000,808050000,808050000,-16677000,66103000,300895000,9880040000,1003298000,6386000,37683000,110244000,485000,113143000,0,0,617000,0,260764000,0,None,316560000,None,26848000,None,110244000,861972000,972216000,None,None,None,1671673000,11503881000,263212000,None,62472721,USD,-32185000,-950000,166097000,202984000,232888000,-79921000,-314703000,-950000,28392000,131744000,45568000,28917000,8668000,-13749000,1894000,18258000,0,26061000,4702000,-17128000,None,131744000,37.2,25.52
8,2018-06-30,USD,87561000,50076000,13289000,87561000,37485000,27303000,0,0,37485000,0,50076000,None,37485000,5205000,11528000,None,None,None,0,-2775000,0,10182000,-3522000,0,27303000,27303000,None,USD,8158131000,37938000,None,41299000,6869606000,1288525000,0,6308350000,459000,232372000,76903000,494672000,6470632000,131468000,6385253000,304462000,304462000,-12213000,54049000,158888000,7166383000,755915000,6633000,27420000,105253000,403000,76903000,0,0,459000,0,232372000,0,None,228798000,None,17183000,None,105253000,379100000,484353000,None,None,None,1067907000,8158131000,131468000,None,46629118,USD,-95969000,32259000,-77770000,21215000,-104398000,12050000,115977000,32259000,27303000,5372000,71092000,24636000,3917000,-13749000,471000,21524000,0,14752000,3016000,-4472000,None,5372000,38.15,37.2
9,2018-03-31,USD,86694000,49808000,11799000,86694000,36886000,28002000,0,0,36886000,0,49808000,None,36886000,5181000,9546000,None,None,None,0,2775000,0,8884000,-3822000,0,28002000,28002000,None,USD,8086816000,40740000,None,56107000,6824908000,1261908000,0,6192273000,472000,205069000,43922000,493785000,1660402000,128996000,6236195000,401476000,401476000,-8851000,53146000,1019312000,6264932000,727383000,863243000,27073000,105188000,29240000,43922000,0,0,472000,0,205069000,0,None,200754000,None,13941000,None,105188000,483525000,588713000,None,None,None,1065218000,8086816000,992239000,None,46527566,USD,-184592000,-11305000,-159849000,26390000,-42279000,53254000,95987000,-11305000,28002000,-71068000,35527000,26840000,2164000,0,-454000,9585000,0,16739000,1647000,1089000,None,-71068000,40.2,38.15
