,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,100383000,60815000,14259000,86124000,25060000,16968000,21787000,None,22462000,None,34156000,-249000,25309000,4177000,2598000,5494000,122000,-2476000,None,695000,None,5494000,-1066000,None,16968000,16968000,None,USD,895602000,87774000,None,33226000,516004000,339961000,None,160167000,304282000,73923000,26111000,431869000,32187000,193222000,225172000,14480000,14480000,-38244000,27693000,291398000,None,-140045000,10423000,54527000,276762000,None,50525000,None,None,304282000,None,73923000,None,None,38873000,None,17995000,26514000,276762000,14070000,290832000,None,None,None,None,895602000,203645000,None,45033417,USD,5534000,2796000,4925000,9042000,-1880000,-8201000,-1946000,1238000,16968000,34681000,37957000,-2330000,7572000,-7438000,3063000,None,8559000,4392000,609000,8559000,None,34681000,40.4,
1,2020-03-31,USD,100383000,74379000,14259000,86124000,32632000,16968000,21787000,None,22462000,None,34156000,None,26004000,None,2598000,5494000,122000,-2476000,None,None,None,5494000,-1066000,None,16968000,16968000,None,USD,895602000,87774000,None,20686000,555641000,339961000,None,None,450000,73923000,26111000,431869000,32187000,193222000,225172000,None,14480000,-38244000,52374000,291398000,None,-179682000,10423000,54527000,276762000,None,8815000,None,None,None,None,None,None,None,3998000,None,604204000,26514000,None,14070000,330469000,None,None,None,None,None,None,None,None,USD,4925000,-4879000,4925000,None,-1880000,-8201000,None,1238000,16968000,32128000,37957000,None,7572000,-7438000,0,None,8559000,7932000,609000,None,None,None,32.0,40.4
2,2020-02-29,USD,109683000,64085000,14886000,94797000,30107000,21116000,21654000,None,27315000,None,36946000,-605000,30712000,4131000,2792000,6199000,211000,-2581000,None,1354000,None,6199000,-2170000,None,21116000,21116000,None,USD,890182000,93615000,None,35499000,521427000,327957000,3000,167650000,296699000,64475000,25172000,432789000,33983000,161094000,230722000,12599000,12599000,-33217000,29150000,274738000,None,-157649000,15961000,62184000,280382000,None,50473000,None,None,296699000,None,64475000,None,None,42556000,None,17334000,27650000,280382000,10320000,290705000,None,None,None,None,890182000,177055000,None,44769310,USD,3508000,-20520000,2360000,3508000,-1882000,-27054000,-1949000,-346000,21116000,8322000,33016000,8986000,7669000,-7468000,-15755000,None,9810000,5955000,1148000,9810000,None,8322000,37.29,32.0
3,2019-12-31,USD,109683000,77617000,14886000,94797000,37776000,21116000,21654000,None,27315000,None,36946000,None,32066000,None,2792000,6199000,211000,-2581000,None,None,None,6199000,-2170000,None,21116000,21116000,None,USD,890182000,93615000,None,24591000,562225000,327957000,None,None,448000,64475000,25172000,432789000,33983000,161094000,230722000,None,12599000,-33217000,55057000,274738000,None,-198447000,15961000,62184000,280382000,None,10215000,None,None,None,None,None,None,None,3857000,None,615444000,27650000,None,10320000,331503000,None,None,None,None,None,None,None,None,USD,2360000,-17004000,2360000,None,-1882000,-27054000,None,-346000,21116000,6835000,33016000,None,7669000,-7468000,-20000000,None,9810000,11398000,1148000,None,None,None,41.55,37.29
4,2019-11-30,USD,117038000,96332000,20766000,96272000,9935000,-4740000,23868000,None,-9577000,None,44284000,None,20706000,None,2993000,-4837000,193000,-2800000,None,None,None,-4837000,-27483000,None,-4740000,-4740000,None,USD,881271000,99392000,None,27280000,550989000,330282000,None,None,450000,64303000,24002000,432824000,34625000,154259000,240885000,10717000,10717000,-29974000,29765000,284665000,None,-201934000,19426000,72820000,284002000,None,10603000,None,None,None,None,None,None,None,3532000,None,596606000,None,284002000,6347000,310104000,None,None,None,295503000,None,173685000,None,45000000,USD,-278000,29173000,-278000,-204382000,-1881000,-8545000,-5889000,-7936000,-4740000,30239000,36601000,None,16519000,-6941000,0,None,None,21744000,2168000,None,None,None,42.01,41.55
5,2019-09-30,USD,117038000,96332000,20766000,96272000,9935000,-4740000,23868000,None,-9577000,None,44284000,None,20706000,None,2993000,-4837000,193000,-2800000,None,None,None,-4837000,-27483000,None,-4740000,-4740000,None,USD,881271000,99392000,None,27280000,550989000,330282000,None,None,450000,64303000,24002000,432824000,34625000,154259000,240885000,None,10717000,-29974000,29765000,284665000,None,-201934000,19426000,72820000,284002000,None,10603000,None,None,None,None,None,None,None,3532000,None,596606000,None,None,6347000,310104000,None,None,None,None,None,None,None,None,USD,-278000,29173000,-278000,None,-1881000,-8545000,None,-7936000,-4740000,30239000,36601000,None,16519000,-6941000,0,None,None,21744000,2168000,None,None,None,38.06,42.01
6,2019-08-31,USD,106716000,69931000,20825000,85891000,15563000,13557000,23126000,None,12242000,None,38683000,-397000,15960000,7068000,3321000,-1315000,377000,-2944000,None,1054000,None,-1315000,-1828000,None,13557000,13557000,None,USD,859925000,136381000,None,27280000,510419000,332952000,89000,143972000,289488000,76486000,20671000,432598000,23079000,124020000,215332000,8836000,8836000,-33022000,31573000,236294000,None,-219473000,21377000,63617000,287622000,None,62524000,None,None,289488000,None,76486000,None,None,12920000,None,10159000,None,287622000,7376000,295087000,None,None,None,None,859925000,145397000,None,44785586,USD,3921000,469000,3171000,-206272000,-1880000,-6769000,-3248000,-1688000,13557000,23167000,26765000,9148000,16822000,-6933000,2044000,None,-19463000,6232000,750000,-19463000,None,24495000,37.78,38.06
7,2019-06-30,USD,106716000,89702000,20825000,85891000,32385000,13557000,23126000,None,12242000,None,38683000,None,17014000,None,3321000,-1315000,377000,-2944000,None,None,None,-1315000,-1828000,None,13557000,13557000,None,USD,859925000,136381000,None,19904000,526973000,332952000,None,None,448000,76486000,20671000,432598000,23079000,124020000,215332000,None,8836000,-33022000,31573000,236294000,None,-236027000,21377000,63617000,287622000,None,6882000,None,None,None,None,None,None,None,2933000,None,623631000,None,None,7376000,311641000,None,None,None,None,None,None,None,None,USD,3171000,11588000,3171000,None,-1880000,-6769000,None,-1688000,13557000,20771000,26765000,None,16822000,-6933000,0,None,-19463000,6232000,750000,None,None,None,43.62,37.78
8,2019-05-31,USD,99995000,67643000,17611000,82384000,14634000,8181000,21688000,None,12424000,None,37486000,-107000,14741000,4585000,2210000,4243000,344000,-1866000,None,3884000,None,4243000,-4335000,None,8181000,8181000,None,USD,829905000,150907000,None,23713000,500082000,315347000,70000,135929000,282193000,61744000,19165000,432623000,9098000,103249000,204199000,7002000,7002000,-28590000,32971000,204306000,None,-253707000,25304000,52040000,291194000,None,61268000,None,None,282193000,None,61744000,None,None,7221000,None,1877000,None,291194000,4619000,295883000,None,None,None,None,829905000,128553000,None,44723199,USD,1554000,10684000,-218432000,-219152000,183373000,177251000,-1637000,2575000,8181000,-507000,40674000,-546000,12852000,-6894000,2409000,None,6998000,2505000,834000,6998000,-2760000,-3267000,40.96,43.62
9,2019-02-28,USD,89549000,58101000,16039000,73510000,14795000,9402000,19890000,None,13406000,None,34608000,-614000,15409000,3188000,1389000,4004000,229000,-1160000,None,415000,None,4004000,-1258000,None,9402000,9402000,None,USD,615891000,50297000,None,27654000,297575000,306702000,2665000,130569000,272854000,60462000,19119000,315010000,5549000,106516000,182028000,6593000,6593000,-26614000,29351000,215684000,None,-46991000,26942000,54572000,108042000,None,44866000,None,None,272854000,None,60462000,None,None,4660000,None,889000,None,108042000,4840000,115547000,None,None,None,None,615891000,133458000,None,44473947,USD,7405000,-13374000,7159000,7405000,-1547000,-31645000,-1611000,5147000,9402000,-42000,24444000,11090000,10486000,-6992000,-23106000,None,3861000,2979000,246000,3861000,1432000,1390000,36.78,40.96
