,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,50000000,40119000,None,None,10389000,10810000,20318000,None,10810000,None,19801000,None,9881000,None,None,None,730000,730000,None,None,None,None,199000,None,10810000,10810000,None,USD,385954000,None,None,None,34514000,351440000,None,None,3000,-207432000,None,None,1047000,170486000,21713000,None,None,331000,15485000,369422000,0,351440000,146047000,None,None,None,1240000,None,None,None,None,None,None,None,1047000,None,16532000,14697000,None,None,12801000,None,None,None,None,None,None,None,None,USD,136044000,-383000,136044000,None,None,1969000,None,-44692000,10810000,111059000,-26954000,None,508000,None,None,None,None,6803000,147000,None,None,None,59.79,
1,2020-03-31,USD,0,34111000,None,None,-33609000,-32499000,26742000,None,-32499000,None,7369000,None,-34111000,None,None,None,1612000,1612000,None,None,None,None,None,None,-32499000,-32499000,None,USD,362775000,None,None,None,31327000,331448000,None,None,3000,-218242000,None,None,1047000,59427000,18021000,None,None,65000,15987000,316096000,29645000,331448000,252042000,None,None,None,1623000,None,None,None,None,None,None,None,1047000,None,46679000,15135000,None,None,13306000,None,None,None,549622000,None,311469000,None,33000000,USD,46838000,-227000,46838000,47016000,None,524000,None,579000,-32499000,19890000,-27472000,None,502000,None,524000,None,None,4173000,178000,None,None,None,59.38,59.79
2,2019-12-31,USD,0,26611000,None,None,-21143000,-24924000,13310000,None,-24924000,None,13301000,None,-26611000,None,None,None,1649000,1649000,None,None,None,None,38000,None,-24924000,-24924000,None,USD,382736000,None,None,None,23758000,358978000,None,1181000,3000,-185743000,7619000,None,1047000,39537000,16139000,None,None,9000,9687000,319745000,52257000,358978000,276043000,1272000,None,None,1850000,None,None,None,None,None,None,None,567000,None,62991000,None,None,None,7619000,None,None,None,544709000,None,315580000,None,26000000,USD,-196242000,-473000,-196242000,-180452000,None,228047000,None,584000,-24924000,10126000,-21679000,None,495000,None,230135000,None,None,2639000,17000,None,None,None,54.78,59.38
3,2019-09-30,USD,0,23333000,None,None,-22831000,-22296000,11864000,None,-22296000,None,11469000,None,-23333000,None,None,None,1034000,1034000,None,None,None,None,3000,None,-22296000,-22296000,None,USD,174087000,None,None,None,21412000,152675000,None,1156000,2000,-160819000,7916000,None,1047000,29411000,13496000,None,None,78000,10165000,152362000,10513000,152675000,121293000,701000,None,None,2323000,None,None,None,None,None,None,None,1047000,None,21725000,None,None,None,7916000,None,None,None,313414000,None,150704000,None,24000000,USD,5647000,-1557000,5647000,15773000,None,1074000,None,2252000,-22296000,-11662000,-18383000,None,502000,None,2088000,None,None,2716000,241000,None,None,None,28.24,54.78
4,2019-06-30,USD,30000000,23951000,18718000,30000000,6538000,7115000,12631000,None,7115000,None,11320000,None,6049000,None,None,None,1108000,1108000,None,None,None,None,-42000,None,7115000,7115000,None,USD,192339000,None,None,None,21661000,170678000,None,1132000,2000,-138523000,8213000,None,1047000,41073000,13448000,None,None,111000,10598000,171722000,8972000,170678000,128492000,740000,None,None,4052000,None,None,None,None,None,None,None,1047000,None,20617000,None,None,None,8213000,None,None,None,309088000,None,169565000,None,26000000,USD,11474000,-17000,11474000,9885000,None,1007000,None,3547000,7115000,26403000,13922000,None,489000,None,1014000,None,None,2788000,537000,None,None,None,33.19,28.24
5,2019-03-31,USD,5160000,20031000,8718000,-3558000,-14525000,-13687000,10617000,None,-13687000,None,4508000,None,-14871000,None,None,None,1183000,1183000,None,None,None,None,1000,None,-13687000,-13687000,None,USD,178631000,None,None,None,19641000,158990000,None,1105000,2000,-145638000,8492000,None,1047000,14670000,11149000,None,None,21000,10671000,166913000,0,158990000,148949000,829000,None,None,4182000,None,None,None,None,None,None,None,1047000,None,11718000,None,None,None,8492000,None,None,None,304605000,None,163619000,None,24000000,USD,-3502000,-5195000,-3502000,-2126000,None,7000,None,-21000,-13687000,-19901000,-16406000,None,346000,None,7000,None,None,2151000,1376000,None,None,None,34.0,33.19
6,2018-12-31,USD,26137000,17875000,0,26137000,8262000,9377000,13678000,0,9377000,0,4197000,None,8262000,0,0,None,None,None,0,0,0,800,1115000,0,9377000,4917000,None,USD,195521000,None,None,82000,25661000,169860000,None,5616000,2000,-132407000,8781000,None,9371000,34489000,16880000,None,None,-128000,1666000,180772000,3712000,169860000,142436000,2104000,None,None,4439000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,302393000,None,176925000,None,9000000,USD,-106615000,-16447000,-107227000,-145799000,None,-1561000,None,353000,9377000,-114097000,-5309000,None,76000,None,161941000,None,None,1332000,612000,None,None,None,27.39,34.0
7,2018-09-30,USD,18564000,12087000,12018000,18564000,6477000,6683000,9200000,0,6683000,0,2887000,None,6477000,0,0,None,None,None,0,0,0,0,206000,0,9377000,4917000,None,USD,200573000,0,None,82000,41487000,159086000,1116000,20637000,2000,-141784000,9943000,0,9141000,149053000,31544000,None,None,-100000,552000,190880000,None,159086000,39239000,1596000,0,0,4749000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6000000,USD,-30699000,-12060000,-30786000,0,None,163576000,385000,575000,6683000,139214000,6424000,None,69000,0,1253000,0,10000000,1157000,87000,None,None,None,29.22,27.39
8,2018-06-30,USD,12218000,11016500,21926000,12218000,1201500,1053500,8827500,0,1053500,0,2189000,None,1201500,0,0,None,None,None,0,0,0,0,-148000,0,9377000,4917000,None,USD,32445000,None,None,182000,42135000,-140306000,1271000,32701000,1000,-148467000,2616000,None,2088000,9839000,39519000,None,None,-90000,470000,29887000,None,-140306000,8485000,10507000,None,None,3245000,None,None,None,128531000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,-4242500,-7298000,-4426500,None,None,-37000,-192500,-576500,1053500,-15607500,-11144000,None,53500,None,None,None,-5000000,623500,184000,None,None,None,nan,29.22
9,2018-03-31,USD,11449000,10917000,5920000,5529000,532000,310000,2841000,0,310000,0,2156000,None,532000,0,0,None,None,None,0,0,0,0,-222000,0,9377000,4917000,None,USD,32445000,None,None,182000,42135000,-143462000,1271000,32701000,1000,-148467000,2616000,None,2088000,9839000,39519000,None,None,-90000,470000,29887000,None,-143462000,8485000,10507000,None,None,3245000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,-30699000,-12430000,-153000,None,None,126000,385000,361000,310000,-11052000,-11025000,None,46000,None,None,None,10000000,688000,153000,None,None,None,nan,nan
