,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,165096000,165968000,83465000,81631000,-37788000,-1981000,1580000,None,-41250000,-1626000,48100000,None,-872000,None,1424000,-35428000,None,-1424000,None,None,None,-35428000,-38954000,None,-5822000,-1981000,None,USD,303395000,None,None,5195000,285926000,19095000,None,1959000,6000,-1495000,136044000,None,101168000,95402000,111218000,None,None,None,38285000,161622000,None,16775000,None,19029000,38190000,39821000,51424000,None,None,None,None,None,None,None,525000,None,141773000,None,None,89560000,174708000,None,None,None,None,None,None,None,None,USD,-3597000,18920000,-3597000,None,-3000,8000,None,13207000,-1981000,69024000,72613000,None,2038000,None,None,2291000,4241000,26323000,3597000,None,None,None,18.0,
1,2020-03-31,USD,122375000,114870000,69193000,53182000,22884000,8835000,1445000,None,19717000,8668000,44232000,None,7505000,None,1389000,-284000,12244000,-1389000,None,None,None,-284000,13601000,None,20001000,8835000,None,USD,137910000,2813000,None,5687000,122796000,6446000,None,5767000,5000,486000,17337000,None,525000,26378000,68200000,None,None,None,36092000,98480000,None,3633000,None,23270000,36774000,42112000,37163000,None,None,None,None,None,None,None,525000,None,39430000,None,36774000,9833000,54596000,None,None,None,5955000,None,26378000,None,26000000,USD,-6848000,-15937000,-6848000,None,-3000,9000,None,-2756000,8835000,-7100000,-261000,None,1778000,None,12000,5516000,5422000,-720000,6848000,None,None,None,5.68,18.0
2,2019-12-31,USD,124300000,121535000,65064000,59236000,-9134000,-4153000,860000,None,-12329000,-2378000,55611000,None,2765000,None,1379000,400000,-1379000,-1379000,None,None,None,400000,-13715000,None,-12729000,-4153000,None,USD,147724000,1101000,None,3442000,152456000,-2354000,None,6162000,5000,-8349000,29791000,None,525000,33478000,86865000,None,None,None,31979000,114119000,None,-3455000,None,28692000,35399000,47628000,50240000,None,None,None,None,None,None,None,525000,None,33605000,87000,35399000,8570000,65591000,None,None,None,5990000,None,33478000,None,10000000,USD,-4876000,12596000,-4876000,None,-10000,-10000,-758000,4741000,-4153000,2185000,7071000,None,1816000,None,-97000,-12810000,-2005000,6508000,4876000,None,None,None,8.71,5.68
3,2019-09-30,USD,117406000,106393000,64523000,52883000,10685000,1594000,1070000,None,8411000,6426000,40800000,None,11013000,None,1356000,None,-2740000,-1356000,None,None,None,None,-1246000,None,8411000,1594000,None,USD,125517000,1679000,None,3590000,117534000,1557000,None,6825000,5000,-4196000,14943000,None,284000,31293000,67646000,None,None,None,25816000,97738000,None,-122000,None,26687000,34525000,34818000,35622000,None,None,None,None,None,None,None,284000,None,27779000,70000,34525000,7127000,49888000,None,None,None,5748000,None,31293000,None,53000000,USD,-2646000,9110000,-2646000,None,-11000,-11000,-758000,3371000,1594000,11038000,13695000,None,918000,None,-97000,-9761000,-1842000,12009000,2646000,None,None,None,7.53,8.71
4,2019-06-30,USD,103004000,105365000,60221000,42783000,-5188000,-1338000,1244000,None,-7341000,-7942000,43900000,None,-2361000,None,1301000,None,-4986000,-1301000,None,None,None,None,-3679000,None,-7341000,-1338000,None,USD,99736000,1574000,None,2591000,103099000,4579000,None,3718000,5000,-5790000,13130000,None,46000,20255000,55904000,None,None,None,24485000,73631000,None,3005000,None,24845000,33653000,25057000,29457000,None,None,None,None,None,None,None,46000,None,26105000,48000,33653000,6690000,47195000,None,None,None,10364000,None,20255000,None,8000000,USD,-2261000,4170000,-2261000,None,-8000,-105000,-97000,6927000,-1338000,8073000,10439000,None,852000,None,-97000,284000,-5156000,5248000,2261000,None,None,None,6.75,7.53
5,2019-03-31,USD,83648000,78851000,49579000,34069000,1146000,-130000,690000,None,-720000,-1939000,28582000,None,-1502000,None,1144000,None,553000,-1144000,None,None,None,None,-4373000,None,-720000,-130000,None,USD,84440000,1538000,None,2375000,85159000,-719000,None,1753000,5000,-4452000,7374000,None,5000,12182000,46824000,None,None,None,22718000,60179000,None,-2257000,None,19689000,32821000,25341000,25982000,None,None,None,None,None,None,None,5000,None,24261000,32000,32821000,4287000,40274000,None,None,None,3728000,None,12182000,None,8000000,USD,-996000,-2008000,-996000,None,9994000,9236000,-758000,841000,-720000,-50000,-8290000,None,722000,None,None,-2401000,-9448000,4817000,996000,None,None,None,4.64,6.75
6,2018-12-31,USD,78457000,83640000,51614000,26843000,-5183000,-979000,451000,0,-5415000,-1349000,31575000,None,-5183000,0,-1061000,None,None,None,0,0,0,0,-232000,0,-5415000,-979000,None,USD,71709000,1493000,None,2284000,73720000,-662000,None,13872000,5000,-4322000,3647000,None,5000,12232000,48577000,None,None,None,22514000,47697000,None,-2155000,None,10241000,21411000,22940000,24828000,None,None,None,None,None,None,None,None,None,None,None,21411000,None,None,None,None,None,3655000,None,12232000,None,8000000,USD,None,4581000,-1601000,None,-7000,425000,432000,1101000,-979000,4567000,5743000,None,653000,None,26344000,5561000,-1757000,-3425000,1447000,None,None,None,5.89,4.64
7,2018-09-30,USD,70806000,74254000,42684000,28122000,-3448000,-789000,578000,0,-4364000,2922000,30992000,None,-3448000,0,-999000,None,None,None,0,0,0,0,-916000,0,-4364000,-789000,None,USD,70524000,1408000,None,2563000,67294000,308000,0,13468000,5000,-3343000,3493000,0,5000,7665000,43106000,31000,31000,None,21719000,47392000,None,-1100000,0,8484000,20695000,28680000,20443000,-13919000,3646000,0,0,-3343000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000,USD,None,347000,-2966000,0,-8000,-8000,432000,-498000,-789000,-2766000,208000,None,533000,0,0,6653000,-1246000,-4451000,2910000,None,None,None,5.8,5.89
8,2018-06-30,USD,75397000,78849000,42358000,33039000,-3452000,-785000,555000,0,-4341000,8617000,35936000,None,-3452000,0,-971000,None,None,None,0,0,0,0,-889000,0,-4341000,-785000,None,USD,76949000,1352000,None,5146000,66971000,1361000,0,13412000,5000,-2213000,3004000,0,5000,10431000,43948000,31000,31000,None,19536000,56056000,None,9000,0,7238000,20019000,33241000,20660000,-12996000,3569000,0,0,-2213000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000,USD,None,563000,-4372000,0,-7000,-7000,432000,618000,-785000,-16412000,-12033000,None,545000,0,0,-7342000,-3327000,-2151000,4323000,None,None,None,8.5,5.8
9,2018-03-31,USD,60980000,63898000,34580000,26400000,-2918000,-1428000,511000,0,-3601000,12173000,28807000,None,-2918000,0,-702000,None,None,None,0,0,0,0,-683000,0,-3601000,-1428000,None,USD,79250000,1319000,None,4466000,65244000,1833000,0,12883000,5000,-1428000,2646000,0,5000,26843000,43517000,30000,30000,None,16127000,61799000,None,514000,0,3911000,19081000,26579000,19790000,-12996000,3256000,0,0,-1428000,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,8000000,USD,None,2601000,-2713000,0,15993000,41538000,25545000,-469000,-1428000,23250000,-15575000,None,456000,0,0,-14987000,271000,-2173000,2645000,None,None,None,8.22,8.5
