,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,118930000,116754000,78101000,40829000,3838000,1568000,None,None,1686000,None,None,None,2176000,None,493000,118000,None,-493000,None,None,None,118000,3000,None,1568000,1535000,None,USD,136913000,None,None,6552000,116537000,20376000,None,4169000,45000,-167358000,2688000,None,1985000,24860000,93457000,None,None,142000,32855000,102073000,None,20376000,None,5278000,None,65383000,68953000,None,None,None,None,None,None,None,1985000,None,34840000,22919000,None,2688000,23080000,None,None,None,None,None,None,None,None,USD,-1790000,14033000,-1790000,None,-137000,1635000,None,124000,1568000,10712000,10869000,None,1659000,0,None,-8023000,-247000,1751000,1790000,None,None,None,8.66,
1,2020-03-31,USD,87818000,30132000,58039000,29779000,-282000,-978000,None,None,-942000,None,None,71000,-353000,-87818000,660000,36000,None,-660000,None,None,None,36000,71000,None,-978000,-978000,None,USD,112574000,None,None,19809000,97413000,15161000,None,6249000,41000,-168893000,2514000,None,1881000,14148000,78164000,None,None,113000,10194000,82200000,None,15158000,None,5031000,None,57360000,71915000,None,None,41000,3000,-168893000,-7146000,None,20158000,None,22000,18918000,8638000,19249000,19249000,None,None,None,191043000,112574000,14148000,None,38672000,USD,-2050000,18831000,-2050000,None,-1226000,-368000,-262000,-98000,-978000,11881000,14299000,-882000,1903000,0,1120000,-4860000,-2362000,2647000,2050000,-2362000,-6000,11875000,1.75,8.66
2,2019-12-31,USD,62959000,23329000,41770000,21188000,-2147000,-25086000,1618000,None,-2631000,None,16021000,-6000,-2141000,-273349000,484000,22455000,None,-486000,None,None,None,22455000,-5000,None,-25086000,-25086000,None,USD,87946000,None,None,4931000,75566000,12380000,None,5265000,38000,-167876000,2514000,None,2368000,2273000,59946000,729000,729000,214000,9650000,62373000,None,12377000,None,2669000,1060000,52500000,53952000,None,None,38000,3000,-167876000,-7146000,None,15923000,None,25573000,14054000,1060000,14560000,15620000,None,None,None,187147000,87946000,2273000,None,36167000,USD,-1474000,6287000,-1474000,None,-705000,97000,441000,-1195000,-25087000,1173000,2550000,-1378000,1679000,0,361000,-4801000,1680000,24170000,1474000,1680000,-8000,1165000,2.2,1.75
3,2019-09-30,USD,69273000,70731000,48130000,21143000,98000,-1424000,1206000,None,-1976000,None,22576000,-1000,-1458000,6293000,517000,-552000,None,-517000,None,None,None,-552000,-1000,None,-1424000,-1464000,None,USD,105570000,None,None,4224000,69832000,35738000,None,3078000,38000,-142750000,2155000,None,24245000,1108000,54286000,606000,606000,601000,23942000,57383000,None,35735000,3000,4349000,1078000,47699000,35777000,None,None,38000,3000,-142750000,-7146000,None,1782000,None,48187000,14572000,1078000,2155000,15546000,None,None,None,184992000,105570000,3000,None,35924000,USD,-1255000,-4599000,-1255000,None,8000,106000,-155000,1117000,-1424000,225000,1377000,1738000,1557000,0,99000,4853000,-309000,181000,1255000,-309000,-3000,225000,1.55,2.2
4,2019-06-30,USD,73687000,74892000,51924000,21763000,377000,-1457000,1157000,None,-1643000,None,22943000,46000,-1205000,5844000,484000,-186000,None,-484000,None,None,None,-186000,46000,None,-1457000,-1457000,None,USD,108966000,None,None,4908000,72739000,36227000,None,3275000,38000,-141286000,2137000,None,23941000,883000,58506000,None,None,581000,8557000,62390000,None,36224000,7000,4040000,None,52552000,40344000,None,None,38000,3000,-141286000,-7146000,None,2095000,None,46576000,14320000,8070000,2137000,14233000,None,None,None,184037000,108966000,7000,None,35784000,USD,-1844000,-2689000,-1844000,None,-150000,-191000,-152000,-970000,-1457000,-3952000,-1925000,-536000,1536000,-39000,None,-846000,1706000,385000,1844000,1706000,8000,-3952000,1.25,1.55
5,2019-03-31,USD,74739000,23575000,54610000,20129000,-3449000,-3581000,1362000,None,-3861000,None,17974000,-3000,-3446000,5601000,412000,-280000,None,-412000,None,None,None,-280000,-3000,None,-3581000,-3581000,None,USD,108078000,None,None,3799000,70988000,37090000,None,5643000,38000,-139788000,1977000,None,24222000,4835000,60596000,779000,779000,574000,8051000,66088000,None,37087000,2000,5746000,192000,51706000,54953000,None,None,38000,3000,-139788000,-7146000,None,12324000,None,21615000,9811000,8223000,10392000,10392000,None,None,None,183409000,108078000,4837000,None,35433000,USD,-1587000,11641000,-1587000,None,-149000,-477000,-436000,21000,-3581000,2811000,4875000,-842000,1530000,-41000,None,-2080000,-2019000,226000,1587000,-2019000,-7000,2804000,1.01,1.25
6,2018-12-31,USD,64646000,21255000,49914000,14732000,-6532000,-5577000,1067000,0,-6912000,0,16176000,-9000,-6523000,-284388000,380000,None,None,None,0,0,0,-1336000,-390000,0,-5576000,-5577000,None,USD,97965000,465000,None,3400000,59143000,38822000,None,3439000,38000,-137791000,2265000,None,23531000,2031000,48319000,594000,None,579000,15184000,58785000,None,38819000,1000,3727000,None,49626000,44286000,None,None,38000,3000,-137791000,-7146000,None,2163000,None,21833000,8559000,8559000,2265000,10824000,None,None,None,183139000,97965000,2032000,None,34992000,USD,None,-4826000,-1362000,-1000,-153000,-188000,-100000,604000,-5577000,-6272000,-4722000,865000,1251000,-41000,6000,3736000,-695000,523000,1361000,-695000,4000,-6269000,0.91,1.01
7,2018-09-30,USD,69463000,19624000,50418000,19045000,823000,438000,1035000,0,459000,0,14544000,1402000,-579000,5080000,364000,None,None,None,0,0,0,21000,1038000,0,438000,438000,None,USD,106369000,511000,None,4200000,63812000,42557000,0,3377000,37000,-132174000,2385000,0,22029000,8300000,52712000,591000,None,612000,14930000,68899000,None,42043000,5000,3032000,8715000,53362000,48744000,0,0,37000,3000,-132174000,-7146000,None,1567000,None,20462000,8715000,8715000,2385000,11100000,None,None,None,181225000,106369000,8305000,None,34984000,USD,None,743000,-1387000,1000,-152000,-192000,None,-777000,438000,1483000,3062000,-588000,1466000,-40000,0,825000,-399000,577000,1388000,-399000,-7000,1476000,1.55,0.91
8,2018-06-30,USD,76973000,20998000,55488000,21485000,480000,-485000,998000,0,59000,0,15557000,-7000,487000,5441000,421000,None,None,None,0,0,0,544000,-428000,0,-485000,-485000,None,USD,104744000,557000,None,3639000,63176000,41568000,0,3645000,37000,-132571000,2314000,0,22012000,6824000,51993000,588000,9457000,604000,14887000,67288000,None,41008000,5000,2633000,8869000,54187000,47760000,0,0,37000,3000,-132571000,-7146000,None,1545000,None,20467000,8869000,8869000,2314000,11183000,None,None,None,180641000,104744000,6829000,None,34973000,USD,None,-6250000,-1450000,-1000,-149000,-223000,-35000,-1318000,-485000,-2392000,-719000,-847000,1537000,-39000,0,3933000,724000,669000,1450000,724000,-6000,-2398000,1.5,1.55
9,2018-03-31,USD,78385000,21850000,54926000,23459000,1610000,735000,1088000,0,1177000,0,15955000,1000,1609000,5895000,433000,None,None,None,0,0,0,442000,-432000,0,735000,735000,None,USD,111733000,604000,None,3009000,69700000,42033000,0,4213000,37000,-131957000,2275000,0,22390000,9222000,58405000,586000,9606000,579000,15021000,73718000,None,41426000,10000,3357000,9020000,58120000,53606000,0,0,37000,3000,-131957000,-7146000,None,1328000,None,21062000,9020000,9020000,2275000,11295000,None,None,None,180517000,111733000,9232000,None,34939000,USD,None,10076000,-1490000,-1000,-144000,-680000,-495000,-685000,735000,6390000,8560000,-422000,1552000,-41000,0,-3889000,-887000,1395000,1490000,-887000,-18000,6372000,2.05,1.5
