,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,None,262512000,None,None,-175964000,-181427000,176525000,None,-181343000,None,61339000,11309000,-187273000,-50591000,5379000,None,None,None,None,None,None,84000,None,None,-181427000,-181427000,None,USD,1476637000,708814000,None,34116000,904143000,572494000,130862000,19134000,67000,-1484831000,357730000,82341000,24177000,158461000,201843000,18333000,None,-10016000,26806000,605024000,None,-218661000,340430000,53644000,297029000,18373000,164376000,None,None,67000,None,-1484831000,None,None,53652000,None,871613000,None,297029000,274409000,702300000,None,None,None,2067274000,1476637000,498891000,None,None,USD,135205000,-8893000,142057000,9012000,-5000000,-32918000,-50829000,-9646000,-181427000,34329000,-74810000,86740000,10162000,None,22911000,841000,None,18253000,2160000,-486000,None,34329000,50.74,
1,2020-03-31,USD,68259000,161250000,4085000,64174000,-106823000,-112687000,90107000,None,-112465000,None,59109000,-13832000,-92991000,-56225000,5642000,222000,-5642000,-5642000,None,None,None,222000,-14732000,None,-112687000,-112687000,None,USD,1545592000,705294000,None,24307000,1016858000,528734000,130862000,52282000,62000,-1303404000,489971000,82341000,22195000,123287000,217668000,20000000,20000000,-1985000,26169000,691922000,None,-258901000,472572000,52623000,294574000,19133000,145386000,None,None,62000,None,-1303404000,None,None,39866000,None,853670000,None,294574000,373754000,799190000,None,None,None,1834061000,1545592000,595859000,None,62758520,USD,-73817000,-2736000,-101274000,-21434000,-5000000,18490000,-35829000,-11230000,-112687000,-164338000,-81554000,-9565000,9158000,None,23490000,102000,2346000,31828000,6023000,2346000,None,-164338000,44.61,50.74
2,2019-12-31,USD,96459000,169244000,3542000,92917000,-61570000,-77677000,81831000,None,-67033000,None,75898000,11215000,-72785000,-84967000,5463000,10644000,-5463000,-5463000,None,None,None,11796000,-1186000,None,-78829000,-77677000,None,USD,1623782000,710500000,None,17898000,1029452000,594330000,130862000,56581000,62000,-1190499000,490718000,82341000,16415000,288028000,235857000,20000000,20000000,-10584000,21549000,779284000,None,-198511000,398535000,55538000,293859000,19285000,159276000,None,None,62000,None,-1190499000,None,None,30108000,None,844498000,None,293859000,368874000,793595000,None,None,None,1795351000,1623782000,686563000,None,61935870,USD,-212912000,27256000,-228997000,-31682000,-5304000,2284000,-35829000,875000,-77677000,-236919000,-10206000,500000,8989000,None,7588000,-1882000,5646000,26962000,15597000,5646000,-928000,-238222000,48.03,44.61
3,2019-09-30,USD,71416000,131891000,3006000,68410000,-57675000,-59997000,63076000,None,-60341000,None,58784000,2800000,-60475000,-61385000,2666000,-344000,-2666000,-2666000,None,None,None,-344000,-6700000,None,-59997000,-59997000,None,USD,1641486000,702910000,None,20723000,977832000,663654000,122032000,35350000,61000,-1112822000,491728000,82341000,17181000,523577000,183500000,20000000,20000000,616000,18484000,806862000,None,-121597000,185072000,60383000,293149000,17107000,128150000,None,None,61000,None,-1112822000,None,None,30889000,None,834624000,None,293149000,379151000,794332000,None,None,None,1775799000,1641486000,708649000,None,61578992,USD,42951000,12143000,30429000,-149136000,274571000,382354000,-35829000,-5710000,-59997000,397281000,-15502000,-10542000,7830000,None,107783000,-722000,15581000,20205000,12522000,15581000,None,397656000,33.82,48.03
4,2019-06-30,USD,85522000,124280000,3211000,82311000,-38941000,-41789000,59979000,None,-41015000,None,54515000,-183000,-38758000,-75736000,2074000,774000,-2074000,-2074000,None,None,None,774000,-5483000,None,-41789000,-41789000,None,USD,1291572000,702729000,None,17424000,802887000,488685000,122032000,31584000,58000,-1052825000,484829000,82341000,5758000,136094000,173959000,20000000,20000000,1922000,15391000,474966000,None,-296385000,227447000,77104000,135683000,16897000,122375000,None,None,58000,None,-1052825000,None,None,16145000,None,816606000,None,135683000,371213000,628928000,None,None,None,1539530000,1291572000,363541000,None,57707185,USD,-24204000,21693000,-38171000,-183818000,-1667000,2849000,None,-5375000,-41789000,-65844000,-30522000,-4024000,7192000,None,4516000,-518000,-30488000,17412000,13967000,-30488000,794000,-65050000,45.0,33.82
5,2019-03-31,USD,53583000,122723000,2376000,51207000,-69249000,-72113000,52566000,None,-71537000,None,61704000,-109000,-69140000,-45107000,2288000,576000,-2288000,-2288000,None,None,None,-576000,-21269000,None,-70961000,-72113000,None,USD,1283911000,694955000,None,9348000,770969000,512942000,122032000,27929000,58000,-1011036000,480685000,82341000,2296000,201144000,143046000,16667000,16667000,805000,14540000,479079000,None,-264354000,206018000,46350000,138468000,16219000,98450000,None,None,58000,None,-1011036000,None,None,12996000,None,804832000,None,138468000,367423000,627923000,None,None,None,1523115000,1283911000,407162000,None,58418790,USD,-147633000,-20588000,-150498000,-147633000,-1667000,225722000,None,-2880000,-72113000,32815000,-42409000,-10371000,6941000,None,225722000,-334000,20786000,33270000,2865000,20786000,-1169000,31646000,37.64,45.0
6,2018-12-31,USD,86338000,131476000,57408000,28930000,-46074000,-48329000,53646000,0,-49323000,0,68006000,-936000,-45138000,-132583000,3249000,None,None,None,0,0,0,-994000,-23725000,0,-48329000,-48329000,None,USD,1119222000,701031000,None,9247000,768495000,350727000,122032000,26930000,51000,-938923000,460352000,82341000,2299000,169498000,166796000,11667000,11667000,1462000,12694000,320857000,None,-432645000,58088000,67907000,141347000,16117000,128199000,None,None,51000,None,-938923000,None,None,2299000,None,798365000,None,141347000,338320000,601699000,None,None,None,1288137000,1119222000,227586000,None,50606147,USD,-15458000,25586000,-24596000,-8433000,-1667000,3726000,None,-701000,-48330000,-36013000,-15143000,-435000,6826000,None,3726000,-2571000,-26908000,30689000,705000,-26908000,-1402000,-37415000,34.32,37.64
7,2018-09-30,USD,53591000,101821000,57660000,-4069000,-47496000,-50969000,54368000,0,-50614000,0,38368000,734000,-48230000,-44499000,3118000,None,None,None,0,0,0,355000,-3884000,0,-50969000,-50969000,None,USD,1028627000,604612000,None,8020000,642537000,386090000,115200000,5467000,51000,-890600000,383357000,100309000,1620000,206913000,114922000,6667000,6667000,1628000,8805000,313281000,None,-318831000,42491000,42197000,144258000,13660000,102788000,0,0,51000,0,-890600000,0,None,1620000,None,715346000,None,144258000,268157000,527615000,None,None,None,1275004000,1028627000,249404000,None,50432655,USD,29984000,17513000,-24113000,-48892000,-1667000,5080000,None,-389000,-50969000,-15656000,3377000,1208000,7083000,0,5080000,141000,17748000,10653000,5205000,17748000,-1219000,-16875000,47.0,34.32
8,2018-06-30,USD,68743000,74317000,35179000,33564000,-6247000,-9520000,32607000,0,-9131000,0,33545000,-673000,-5574000,-60578000,2884000,None,None,None,0,0,0,389000,-3557000,0,-9520000,-9520000,None,USD,511773000,126290000,None,6305000,244371000,267402000,0,2274000,47000,-839624000,10693000,0,1620000,223788000,86474000,1666000,1666000,1855000,8217000,375646000,None,141112000,72318000,59383000,147204000,13852000,82534000,0,0,47000,0,-839624000,0,None,1620000,None,136127000,None,147204000,10693000,157897000,None,None,None,1105124000,511773000,296106000,None,46680482,USD,8452000,8586000,7744000,0,None,121629000,None,145000,-9519000,129376000,3000,2389000,6217000,0,121629000,-1947000,-16206000,10483000,708000,-16206000,-3263000,126113000,33.73,47.0
9,2018-03-31,USD,56062000,72805000,34408000,56062000,-15739000,-19263000,31363000,0,-19042000,0,32969000,1004000,-16743000,8473000,3303000,None,None,None,0,0,0,221000,-2299000,0,-19263000,-19263000,None,USD,379411000,127565000,None,5760000,229103000,150308000,9300000,1279000,42000,-830100000,9509000,0,1548000,97675000,72716000,146878000,146878000,4953000,8302000,241996000,None,22743000,80595000,45611000,146878000,12355000,71437000,0,0,42000,0,-830100000,0,None,1548000,None,137415000,None,146878000,209000,156387000,None,None,None,975418000,379411000,178270000,None,41809398,USD,-1169000,-5876000,-1648000,0,None,1136000,None,175000,-19263000,-16390000,-15878000,650000,6052000,0,1136000,-1446000,-4223000,8228000,479000,-4223000,2273000,-14117000,27.06,33.73
