,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,116613000,102406000,None,None,None,11367000,None,None,14207000,None,34198000,None,None,34198000,None,2840000,None,None,None,None,None,2840000,None,None,11367000,11367000,None,USD,1600268000,None,None,None,1264230000,336038000,None,None,607000,273846000,None,None,112623000,107925000,None,None,20000000,7893000,65000,None,866403000,336038000,1000000,506982000,None,None,168679000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,5795000,0,5795000,None,None,-1432000,None,None,11367000,17574000,12990000,None,None,-1432000,0,None,None,1623000,343000,None,None,None,15.07,
1,2020-03-31,USD,90802000,115941000,None,None,None,-22156000,None,None,-25139000,None,34110000,None,-25139000,34110000,None,-2983000,None,None,None,None,None,-2983000,None,None,-22156000,-22156000,None,USD,1552095000,None,None,None,1246712000,305383000,None,None,606000,263911000,None,None,126988000,89318000,None,20000000,20000000,-12179000,94000,None,826157000,305383000,1000000,504531000,None,None,154427000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53045000,None,None,None,14000000,USD,16450000,0,16450000,16819000,None,-3208000,None,None,-22156000,11243000,-1312000,None,None,-1426000,-1782000,None,None,20844000,369000,None,None,None,13.75,15.07
2,2019-12-31,USD,124430000,120202000,227841000,-103411000,4228000,3771000,None,None,4228000,None,-81707000,None,4228000,-107639000,None,457000,None,None,None,None,None,457000,None,None,3771000,3771000,None,USD,1634360000,8496000,None,457986000,1270044000,364316000,None,74810000,610000,300988000,642423000,None,52824000,67851000,627608000,20000000,20000000,9369000,42669000,649297000,896642000,364316000,1000000,543829000,None,None,186911000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53349000,None,None,None,15000000,USD,-41254000,0,-41254000,-149937000,None,-2646000,None,91181000,3771000,-19299000,24358000,None,6052000,-1428000,-1218000,None,-3835000,-128613000,294000,None,None,None,16.09,13.75
3,2019-09-30,USD,119832000,120851000,84781000,35051000,-1019000,-707000,None,None,-1019000,None,36070000,None,-1019000,36070000,None,-312000,None,None,None,None,None,-312000,None,None,-707000,-707000,None,USD,1596767000,None,None,440441000,1233337000,363430000,None,76329000,613000,299553000,None,None,120573000,85777000,1233127000,20000000,20000000,9594000,210000,637286000,854323000,363430000,1000000,523832000,None,None,176313000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,53670000,None,None,None,14000000,USD,-7417000,0,-7417000,-108977000,None,-5238000,None,91181000,-707000,11082000,23926000,None,6052000,-1442000,-3796000,None,-3835000,24633000,313000,None,None,None,17.45,16.09
4,2019-06-30,USD,126998000,125048000,90433000,36565000,1950000,1535000,None,None,1950000,None,34615000,None,1950000,34615000,None,415000,None,None,None,None,None,415000,None,None,1535000,1535000,None,USD,1571026000,None,None,426778000,1203610000,367416000,None,79429000,621000,304513000,None,None,114840000,80772000,1203310000,20000000,20000000,8217000,300000,624722000,848238000,367416000,1000000,522018000,None,None,170718000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54065000,None,None,None,15000000,USD,-55963000,0,-55963000,-101873000,None,-7513000,None,91181000,1535000,-36201000,26991000,None,6052000,-1494000,-6019000,None,-3835000,25456000,549000,None,None,None,17.37,17.45
5,2019-03-31,USD,124337000,120823000,87122000,37215000,3514000,2748000,None,None,3514000,None,33701000,None,3514000,33701000,None,766000,None,None,None,None,None,766000,None,None,2748000,2748000,None,USD,1539791000,None,None,420312000,1173721000,366070000,None,80332000,634000,308971000,None,None,19366000,117418000,1173321000,20000000,20000000,-832000,400000,653729000,780168000,366070000,1000000,513398000,400000,None,179168000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,55049000,None,None,None,15000000,USD,-47256000,0,-47256000,-46459000,None,-1961000,None,91181000,2748000,-37505000,11405000,None,6052000,-1493000,-468000,None,-3835000,8657000,797000,None,None,None,18.52,17.37
6,2018-12-31,USD,107057000,135578000,226280000,-119223000,-28521000,-24567000,0,0,-31673000,0,0,None,-28521000,-90702000,0,None,None,None,0,0,0,-7106000,-3152000,0,-24567000,-24567000,None,USD,1490131000,6568000,None,403609000,1134049000,356082000,None,71625000,634000,308075000,562612000,None,37694000,163996000,571437000,None,None,-7347000,46645000,685113000,714111000,356082000,1000000,110413000,None,None,479812000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,54720000,None,None,None,15000000,USD,29871000,0,22122000,10000000,None,-6159000,None,125988000,-24567000,55680000,40338000,None,6102000,-4183000,-4596000,None,-3904000,-118262000,1079000,None,None,None,16.65,18.52
7,2018-09-30,USD,108171000,123740000,94540000,13631000,-15569000,-12325000,0,0,-15569000,0,0,None,-15569000,29200000,0,None,None,None,0,0,0,-3244000,0,0,-12325000,-12325000,None,USD,1447030000,0,None,356785000,1058985000,388045000,0,68108000,638000,338448000,1087000,0,94906000,108993000,1057898000,None,None,-6156000,0,587695000,764429000,388045000,1000000,120917000,0,0,969790000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,3633000,0,1964000,10000000,None,-5536000,None,125988000,-12325000,32326000,35696000,None,6102000,-4196000,0,0,-3904000,48021000,1669000,None,None,None,22.95,16.65
8,2018-06-30,USD,116564000,113507000,77488000,39076000,3057000,2487000,0,0,3057000,0,0,None,3057000,36019000,0,None,None,None,0,0,0,570000,0,0,2487000,2487000,None,USD,1389895000,0,None,333199000,982660000,407235000,0,65535000,640000,356057000,2232000,0,102736000,75952000,980428000,20000000,20000000,-5207000,0,519922000,767237000,407235000,1000000,109771000,0,0,894893000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,-10146000,0,-11615000,-5429000,None,-5272000,None,125988000,2487000,-428000,16647000,None,6102000,-4227000,0,0,-3904000,14160000,1473000,None,None,None,24.4,22.95
9,2018-03-31,USD,107379000,107065000,72298000,35081000,314000,330000,0,0,314000,0,0,None,314000,34767000,0,None,None,None,0,0,0,-16000,0,0,330000,330000,None,USD,1367250000,0,None,326079000,955439000,411811000,0,65200000,642000,358651000,5378000,0,95039000,79209000,950061000,20000000,20000000,-2993000,0,510665000,761546000,411811000,1000000,104377000,0,0,864861000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,15000000,USD,22394000,0,11180000,-10000000,None,-4464000,None,125988000,330000,14520000,8027000,None,6102000,-4229000,0,0,-3904000,7697000,1218000,None,None,None,22.0,24.4
