,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,210493000,202683000,98176000,112317000,18738000,-8251000,51796000,None,-6215000,None,52711000,None,7810000,None,5498000,2036000,98000,-5400000,None,None,None,2036000,-8625000,None,-8251000,-8251000,None,USD,1428062000,449263000,None,52121000,883285000,544777000,None,None,14000,-1308488000,98620000,416892000,41152000,80992000,342637000,None,14850000,-10123000,111942000,408813000,None,-321378000,None,204601000,377302000,58047000,73066000,None,None,None,None,None,None,None,34736000,None,1019249000,71422000,None,68660000,540648000,None,None,None,None,None,None,None,None,USD,-8874000,-18283000,-8874000,None,-3980000,-3978000,None,1561000,-8251000,-16024000,-3220000,None,19455000,None,None,-3695000,-734000,6027000,8874000,None,None,None,3.93,
1,2020-03-31,USD,157982000,172263000,76412000,81570000,-11471000,-33170000,42295000,None,-32979000,None,53556000,None,-14281000,None,3700000,191000,300000,-3400000,None,None,None,191000,-15303000,None,-33170000,-33170000,None,USD,1472489000,452930000,None,45904000,918785000,553704000,None,None,14000,-1300237000,99718000,414389000,63140000,96830000,370742000,None,13500000,-6223000,113198000,428832000,None,-313615000,None,205793000,381743000,67067000,89323000,None,None,None,None,None,None,None,56915000,None,1043657000,74058000,383179000,67089000,548043000,None,None,None,1860150000,None,96830000,None,121000000,USD,-309369000,-22678000,-309369000,-303352000,346412000,335052000,-10573000,21832000,-33170000,65425000,39932000,None,17808000,None,5000,4468000,46156000,3662000,6017000,None,None,None,3.03,3.93
2,2019-12-31,USD,161109000,139588000,60164000,100945000,-132362000,-150363000,35604000,None,-149031000,None,43820000,None,21521000,None,1148000,1332000,-525000,-548000,None,None,None,1332000,-170027000,None,-150363000,-150363000,None,USD,814908000,213366000,None,27146000,331653000,483255000,None,115604000,11000,-1267067000,39575000,224896000,31721000,44643000,206737000,8000000,10500000,2527000,65630000,279295000,None,44993000,0,192706000,45995000,14800000,31412000,None,None,None,None,None,None,None,26762000,None,535613000,44921000,48139000,16589000,124916000,None,None,None,1747784000,None,44643000,None,110000000,USD,-2230000,22756000,-2230000,7295000,-26840000,-26592000,-10573000,5750000,-150363000,4246000,33054000,None,15521000,None,0,-611000,-29534000,169535000,2230000,None,None,None,3.1,3.03
3,2019-09-30,USD,137653000,130898000,58776000,78877000,17372000,1650000,34222000,None,1453000,None,37900000,None,6755000,None,726000,-197000,-726000,-726000,None,None,None,-197000,-4576000,None,1650000,1650000,None,USD,957081000,225762000,None,29880000,326066000,631015000,None,85123000,11000,-1116704000,35511000,389196000,30624000,40397000,205254000,34000000,36500000,4619000,64155000,247344000,None,16057000,0,162964000,46605000,14103000,25113000,None,None,None,None,None,None,None,25161000,None,709737000,45168000,47701000,13055000,120812000,None,None,None,1743089000,None,40397000,None,111000000,USD,-2441000,-17446000,-2441000,7295000,-1823000,-1789000,-7000,-3797000,1650000,-10789000,-6488000,None,15193000,None,0,2228000,-7523000,3207000,2441000,None,None,None,5.84,3.1
4,2019-06-30,USD,145421000,141408000,64748000,80673000,71382000,49470000,35301000,None,54503000,None,41359000,None,4013000,None,1262000,5033000,-1262000,-1262000,None,None,None,5033000,51752000,None,49470000,49470000,None,USD,976944000,238022000,None,27484000,350375000,626569000,None,98644000,11000,-1118354000,31610000,389196000,30806000,51186000,230436000,35000000,37500000,4349000,68326000,250594000,None,-649000,0,155415000,47215000,16509000,33499000,None,None,None,None,None,None,None,25021000,None,726350000,48047000,48082000,12331000,119939000,None,None,None,1740563000,None,51186000,None,111000000,USD,-387000,-18780000,-387000,7295000,2784000,-1973000,-805000,-24211000,49470000,7248000,9540000,None,15617000,None,-3840000,2467000,-20733000,5710000,2387000,None,None,None,4.89,5.84
5,2019-03-31,USD,118928000,147025000,62339000,56589000,-13611000,-30832000,35933000,None,-29818000,None,46476000,None,-28128000,None,1364000,1014000,-1364000,-1364000,None,None,None,1014000,-357000,None,-30832000,-30832000,None,USD,946049000,250669000,None,20444000,366986000,579063000,None,110983000,11000,-1167824000,32072000,389196000,16337000,43938000,269940000,57000000,57000000,3740000,69796000,220051000,None,-60802000,1998000,134801000,24716000,18870000,37989000,None,None,None,None,None,None,None,7368000,None,725998000,46365000,25823000,12525000,97046000,None,None,None,1743136000,None,45936000,None,108000000,USD,1529000,-4923000,1529000,5295000,2000000,-20923000,-22923000,-13769000,-30832000,244000,19579000,None,2921000,None,None,3692000,53854000,-3286000,3766000,None,None,None,5.15,4.89
6,2018-12-31,USD,166896000,159177000,71182000,95714000,7719000,-1826000,36406000,0,-1013000,0,51589000,None,7719000,0,-1576000,None,None,None,0,0,0,813000,-8732000,0,-1826000,-1826000,None,USD,957159000,251391000,None,17002000,366861000,590298000,None,120087000,11000,-1136992000,51744000,383655000,16636000,43694000,289654000,None,None,3703000,27042000,278435000,None,-44748000,7284000,187853000,24100000,22602000,45304000,None,None,None,None,None,None,None,None,None,None,None,24100000,None,None,None,None,None,1723576000,None,50978000,None,104000000,USD,5295000,25598000,-1957000,-27470000,-3216000,-4380000,-21955000,8851000,-1826000,7710000,13946000,None,5411000,None,73000,-1790000,-37567000,5748000,1957000,None,None,None,4.82,5.15
7,2018-09-30,USD,152468000,149067000,70234000,82234000,3401000,-10158000,34403000,0,-10240000,0,44430000,None,3401000,0,-1520000,None,None,None,0,0,0,-82000,-13641000,0,-10158000,-10158000,None,USD,924053000,263393000,None,19830000,333691000,590362000,0,97489000,11000,-1134957000,51877000,382493000,16708000,35984000,258314000,None,None,3192000,25960000,235499000,None,-55524000,7284000,150677000,23500000,21724000,43215000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,105000000,USD,14641000,-4484000,-34206000,0,37857000,37776000,-21955000,-1759000,-10158000,2573000,-850000,None,5807000,0,0,706000,-4202000,2647000,2458000,None,None,None,6.83,4.82
8,2018-06-30,USD,137361000,141620000,62250000,75111000,-4259000,-19922000,35604000,0,-19423000,0,43766000,None,-4259000,0,-835000,None,None,None,0,0,0,499000,-15164000,0,-19922000,-19922000,None,USD,827702000,220141000,None,22014000,260452000,567250000,0,87935000,10000,-1124799000,34420000,335716000,15230000,33411000,203110000,42922000,42922000,3073000,23835000,232780000,None,11393000,21924000,136395000,22922000,19036000,34172000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,102000000,USD,4033000,-16387000,2368000,0,-175000,-1123000,-602000,-476000,-19922000,-25178000,-26083000,None,5505000,0,0,2489000,-11011000,4449000,1665000,None,None,None,7.12,6.83
9,2018-03-31,USD,121180000,150483000,65907000,55273000,-29303000,-44904000,39049000,0,-42734000,0,45527000,None,-29303000,0,-699000,None,None,None,0,0,0,2170000,-13431000,0,-44904000,-44904000,None,USD,861078000,232105000,None,22192000,276043000,585035000,14218000,103162000,10000,-1105366000,30513000,335716000,15599000,58589000,223030000,42500000,42500000,3160000,24002000,251431000,2225000,17214000,23724000,125504000,22500000,21422000,37119000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,102000000,USD,245000,5779000,-1582000,0,-118000,-500000,-22000,-15002000,-44904000,1516000,3392000,None,5224000,0,0,-412000,39763000,3352000,1827000,None,None,None,5.1,7.12
