,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,213665000,218091000,167626000,46039000,-388000,-6611000,17961000,None,-6611000,None,32504000,None,-4426000,None,2665000,None,437000,-2228000,None,None,None,None,43000,None,-6611000,-7895000,None,USD,715340000,2074000,None,4555000,320279000,395061000,None,None,99000,-318514000,3668000,9186000,9430000,325352000,139365000,None,47781000,441000,89111000,586747000,18792000,344000000,128056000,34182000,122884000,9437000,3389000,None,None,None,None,None,None,None,9430000,None,128593000,65976000,None,None,180914000,None,None,None,None,None,None,None,None,USD,-47794000,526000,-47794000,None,-3721000,125340000,15368000,-5150000,-6611000,129742000,52193000,None,3558000,None,None,61212000,-12361000,9272000,2666000,None,None,None,41.91,
1,2020-03-31,USD,190995000,248425000,178116000,12879000,-54366000,-60117000,20274000,None,-60117000,None,50035000,None,-57430000,None,2444000,None,1103000,-1341000,None,None,None,None,-1346000,None,-60117000,-60117000,None,USD,594834000,2196000,None,5243000,314648000,280186000,None,None,94000,-311904000,None,9186000,8923000,213940000,136102000,51487000,51487000,575000,90468000,457350000,26711000,268804000,75049000,21821000,121292000,70649000,2909000,None,None,None,None,None,None,None,137484000,None,137484000,68787000,121292000,None,178546000,None,None,None,591421000,None,288989000,None,93000000,USD,-3468000,514000,-3468000,-62000,25726000,30206000,3684000,-122000,-60117000,-16736000,-43449000,None,3307000,None,4103000,3941000,-2598000,9896000,3406000,None,None,None,15.42,41.91
2,2019-12-31,USD,233191000,240002000,193566000,39625000,-2554000,-7782000,19344000,None,-7782000,None,27092000,None,-6811000,None,2364000,None,1342000,-1022000,None,None,None,None,51000,None,-7782000,-7782000,None,USD,596213000,2318000,None,3496000,264767000,331446000,None,7927000,93000,-251786000,None,9186000,10557000,234679000,85182000,25746000,25746000,42000,91581000,451593000,30978000,319942000,70029000,19223000,119716000,74590000,2122000,None,None,None,None,None,None,None,144620000,None,144620000,71277000,119716000,None,179585000,None,None,None,583097000,None,304708000,None,92000000,USD,-2933000,-973000,-2933000,-100379000,3687000,6131000,-524000,-16845000,-7782000,28230000,25028000,None,2864000,None,16107000,30870000,5210000,9973000,2712000,None,None,None,21.14,15.42
3,2019-09-30,USD,238683000,231247000,185306000,53377000,11613000,6782000,18801000,None,6782000,None,27140000,None,7436000,None,2274000,None,1576000,-698000,None,None,None,None,44000,None,6782000,6782000,None,USD,591985000,2440000,None,5763000,264264000,327721000,None,7289000,92000,-244004000,None,9186000,11240000,209234000,93047000,21987000,21987000,26000,83073000,447566000,38480000,316095000,62054000,24434000,118158000,105460000,3173000,None,None,None,None,None,None,None,144419000,None,144419000,62790000,118158000,None,171217000,None,None,None,571607000,None,271288000,None,97000000,USD,-33263000,-771000,-33263000,-100158000,-7440000,-17717000,-11117000,-2678000,6782000,-40019000,10971000,None,2557000,None,10869000,-19806000,14252000,8993000,3317000,None,None,None,16.84,21.14
4,2019-06-30,USD,197780000,210201000,149434000,48346000,-8300000,-12625000,16063000,None,-12625000,None,44704000,None,-12421000,None,2153000,None,1913000,-240000,None,None,None,None,36000,None,-12625000,-12625000,None,USD,599568000,2562000,None,5860000,287323000,312245000,None,18286000,92000,-250785000,None,9186000,10627000,241104000,118072000,29427000,29427000,44000,80505000,461734000,34954000,300497000,35365000,38686000,116617000,85654000,4217000,None,None,None,None,None,None,None,137834000,None,137834000,61353000,116617000,None,169251000,None,None,None,562894000,None,276469000,None,91000000,USD,-76565000,-13498000,-76565000,-70212000,14234000,26127000,7634000,-11748000,-12625000,-146852000,-96452000,None,2172000,None,8965000,-47348000,-22433000,7503000,6353000,None,None,None,17.98,16.84
5,2019-03-31,USD,110141000,177593000,107388000,2753000,-63585000,-67180000,15556000,None,-67180000,None,70205000,None,-67452000,None,1958000,None,180000,180000,None,None,None,None,92000,None,-67180000,-67180000,None,USD,574610000,2684000,None,10471000,260261000,314349000,None,10442000,91000,-238160000,None,9186000,9403000,395618000,103600000,15193000,15193000,None,63355000,489982000,None,302479000,None,16253000,115094000,38306000,17533000,None,None,None,None,None,None,None,84628000,None,84628000,47935000,115094000,None,156661000,None,None,None,552418000,None,395618000,None,91000000,USD,-3151000,14848000,-3151000,None,10460000,17342000,3150000,10911000,-67180000,-32966000,-47157000,None,1637000,None,3732000,-15612000,-890000,7622000,3151000,None,None,None,20.27,17.98
6,2018-12-31,USD,124129000,136635000,97920000,26209000,-12506000,-12222000,13692000,0,-12222000,0,25023000,None,-12506000,0,-2071000,None,None,None,0,0,0,0,284000,0,-12222000,-12222000,None,USD,542821000,2806000,None,13412000,170883000,371938000,None,8132000,90000,-170981000,11079000,9186000,9395000,432608000,46218000,None,None,None,25187000,496247000,None,359946000,None,15363000,113586000,22694000,2516000,None,None,None,None,None,None,None,None,None,None,None,113586000,None,None,None,None,None,542829000,None,432608000,None,86000000,USD,-2000000,-85000,-4775000,-2000000,-1058000,-1212000,-5526000,-13709000,-12222000,-21881000,-15894000,None,2342000,None,23407000,2467000,-2109000,5966000,2775000,None,None,None,14.4,20.27
7,2018-09-30,USD,140255000,136966000,97950000,42305000,3289000,3475000,14310000,0,3475000,0,24706000,None,3289000,0,-1610000,None,None,None,0,0,0,0,186000,0,3475000,3475000,None,USD,554917000,2928000,None,18758000,182169000,372748000,0,13858000,89000,-158759000,10258000,9186000,7248000,448968000,59781000,None,None,None,23361000,512194000,None,360634000,11968000,13254000,112130000,25161000,2601000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,95000000,USD,-2000000,-1232000,-1483000,0,141253000,245341000,-5947000,-664000,3475000,249291000,5433000,None,2221000,0,17314000,-10642000,5648000,5498000,1483000,None,None,None,18.7,14.4
8,2018-06-30,USD,142642000,140185000,97429000,45213000,2457000,3207000,13033000,0,3207000,0,29723000,None,2457000,0,-1610000,None,None,None,0,0,0,0,750000,0,3207000,3207000,None,USD,296983000,3050000,None,22700000,71370000,225613000,0,19167000,84000,-162235000,10811000,9186000,7077000,194237000,60559000,3492000,3492000,None,23855000,253815000,None,213377000,17408000,18902000,0,14519000,3855000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,91000000,USD,-2000000,905000,-1740000,0,2134000,17237000,6823000,1408000,3207000,9748000,-5749000,None,1899000,0,14394000,-11137000,-6809000,4778000,1740000,None,None,None,23.09,18.7
9,2018-03-31,USD,79893000,117067000,74197000,5696000,-37174000,-36439000,12762000,0,-36439000,0,30108000,None,-37174000,0,-1610000,None,None,None,0,0,0,0,735000,0,-36439000,-36439000,None,USD,269950000,3172000,None,19939000,60695000,209255000,0,12208000,83000,-165442000,10335000,9186000,7053000,190773000,50360000,1357000,1357000,None,22879000,227660000,None,196897000,11124000,12093000,0,0,2929000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,82000000,USD,-2000000,1029000,-2305000,0,-659000,12036000,6808000,7478000,-36439000,-10761000,-20492000,None,2003000,0,0,-11137000,1241000,4196000,2305000,None,None,None,22.83,23.09
