,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,3073000,53667000,None,None,-50310000,-67581000,36783000,None,-67584000,None,16600000,None,-50594000,None,None,-3000,None,None,None,None,None,-3000,-16990000,None,-67581000,-67581000,None,USD,652404000,None,None,None,420777000,231627000,None,14545000,34000,-827013000,368380000,None,17000,610419000,47185000,None,None,None,11920000,640467000,None,231627000,None,None,None,None,11263000,None,None,None,None,None,None,None,7670000,None,11937000,None,None,301174000,373592000,None,None,None,None,None,None,None,None,USD,-299000,-2482000,-299000,None,-167170000,182164000,293571000,-156473000,-67581000,-14069000,-195934000,None,284000,None,None,None,None,26644000,299000,None,None,None,156.02,
1,2020-03-31,USD,1353000,68718000,None,None,-67087000,-48939000,47653000,None,-71179000,None,20787000,None,-67365000,None,None,-22240000,-3814000,None,None,None,None,-22240000,-3814000,None,-48939000,-48939000,None,USD,664197000,None,None,None,435550000,228647000,None,13606000,33000,-759432000,73097000,None,74000,624488000,200840000,None,None,None,12267000,651856000,None,228647000,None,None,155506000,None,12627000,None,None,None,None,None,None,None,8443000,None,12341000,None,223946000,7245000,234710000,None,None,None,988046000,None,624488000,None,33000000,USD,-85000,9499000,-85000,None,-167170000,1422000,293571000,411000,-48939000,-39836000,-41173000,None,278000,None,1422000,None,None,19307000,85000,None,None,None,144.34,156.02
2,2019-12-31,USD,2671000,187103000,124398000,-121726000,-188978000,-186942000,40161000,None,-186994000,None,22271000,None,-184432000,None,-3998000,-52000,-2562000,None,None,None,None,-52000,-9761000,None,-186942000,-186942000,None,USD,682420000,None,None,None,425563000,256857000,None,11631000,33000,-710493000,71550000,None,1080000,664324000,192014000,None,None,None,12064000,669276000,None,256857000,None,None,155017000,None,1908000,None,None,None,None,None,None,None,10148000,None,13144000,None,221879000,6982000,233549000,None,None,None,967317000,None,664324000,None,30000000,USD,-253000,-194569000,-253000,None,75000000,573803000,-647000,219215000,-186942000,424175000,-149375000,None,273000,None,506005000,None,None,12291000,253000,None,None,None,204.43,144.34
3,2019-09-30,USD,8242000,46820000,32279000,-24037000,-37009000,-39694000,32279000,None,-39656000,None,14283000,None,-38578000,-344000,2389000,38000,-1078000,-2389000,None,None,None,38000,1311000,None,-39694000,-39694000,None,USD,259123000,None,None,None,326546000,-67423000,None,14398000,31000,-523551000,170863000,None,1471000,240149000,74562000,5313000,5313000,None,11121000,246531000,None,-67423000,None,None,74923000,None,3582000,None,None,None,None,None,None,None,9733000,None,12592000,None,74923000,6198000,251984000,None,None,None,456097000,None,240149000,None,30000000,USD,-328000,-8650000,-328000,None,75000000,363000,-647000,2965000,-39694000,-40300000,-40335000,None,258000,None,6555000,None,-933000,5380000,328000,None,None,None,80.29,204.43
4,2019-06-30,USD,7833000,41492000,29554000,-21741000,-31715000,-34380000,29554000,None,-34360000,None,11706000,None,-33659000,-20000,2413000,20000,-708000,-2413000,None,None,None,20000,1712000,None,-34380000,-34380000,None,USD,300488000,None,None,None,333961000,-33473000,None,11056000,30000,-483857000,179261000,None,1482000,280449000,67709000,None,None,None,11795000,287211000,None,-33473000,None,None,79897000,None,4361000,None,None,None,None,None,None,None,10463000,None,13277000,None,79897000,7594000,266252000,None,None,None,450354000,None,280449000,None,30000000,USD,-932000,-6979000,-932000,None,75000000,1034000,-647000,3237000,-34380000,-32607000,-32709000,None,231000,None,6192000,None,360000,4483000,932000,None,None,None,94.35,80.29
5,2019-03-31,USD,7770000,36322000,26114000,-18388000,-26585000,-29154000,26114000,None,-29152000,None,10038000,None,-28552000,-20000,2397000,2000,-600000,-2397000,None,None,None,2000,1797000,None,-29154000,-29154000,None,USD,331285000,None,None,None,335895000,-4610000,None,10107000,30000,-449477000,187160000,None,1484000,313056000,61205000,2149000,2149000,None,12329000,317472000,None,-4610000,None,None,79558000,None,3500000,None,None,None,None,None,None,None,11120000,None,13813000,None,79558000,8472000,274690000,None,None,None,444837000,None,313056000,None,30000000,USD,-1160000,-8248000,-1160000,None,75000000,5158000,-647000,3934000,-29154000,-24734000,-28732000,None,170000,None,5158000,None,573000,4227000,1160000,None,None,None,85.47,94.35
6,2018-12-31,USD,7899000,32822000,25309000,-17410000,-24923000,-25583000,97288000,0,-25572000,0,7946000,None,-24923000,-553000,-2403000,11000,None,None,0,0,0,11000,-649000,0,-25583000,-25583000,None,USD,345208000,None,None,None,330049000,15159000,None,36031000,30000,-420323000,194910000,None,1490000,337790000,55920000,None,None,None,1445000,342273000,None,15159000,None,None,79219000,None,4473000,None,None,None,None,None,None,None,None,None,None,None,79219000,None,None,None,None,None,435452000,None,337790000,None,28000000,USD,None,-8877000,-309000,None,60000000,411000,-628000,-6263000,-25583000,-37395000,-37497000,None,120000,None,235381000,None,573000,2767000,309000,None,None,None,56.1,85.47
7,2018-09-30,USD,4766000,34326000,27144000,-22378000,-29560000,-30835000,97288000,0,-30826000,0,7486000,None,-29560000,-409000,-2360000,None,None,None,0,0,0,9000,-1266000,0,-30835000,-30835000,None,USD,382109000,0,None,4633000,344564000,37545000,0,39418000,30000,-394758000,202816000,0,1496000,375185000,62867000,None,None,None,795000,379818000,None,37545000,0,None,78881000,0,5000000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,29000000,USD,None,-879000,-102000,0,None,233469000,-49000,2227000,-30835000,236509000,3142000,None,105000,0,232846000,0,29438000,2746000,102000,None,None,None,81.76,56.1
8,2018-06-30,USD,7519000,34171000,23429000,-15910000,-26652000,-28211000,97288000,0,-28205000,0,10689000,None,-26652000,-52000,-903000,None,None,None,0,0,0,6000,-1553000,0,-28211000,-28211000,None,USD,174719000,0,None,3284000,342593000,-167874000,0,38287000,26000,-363913000,208268000,0,1497000,138676000,55734000,78591000,78591000,None,810000,172412000,None,-167874000,0,30452000,78591000,0,2113000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,26000000,USD,None,-1464000,-117000,0,60000000,58263000,-2237000,29891000,-28211000,32739000,-25407000,None,105000,0,0,0,-29438000,3559000,117000,None,None,None,34.97,81.76
9,2018-03-31,USD,32168000,27912000,21407000,10761000,4256000,4082000,97288000,0,4082000,0,6628000,None,4256000,-224000,-509000,None,None,None,0,0,0,0,-174000,0,4082000,4082000,None,USD,136813000,0,None,2489000,279514000,-142701000,211125000,33841000,27000,-335688000,211171000,0,1237000,105937000,51366000,2693000,2693000,-2000,829000,134747000,None,-142701000,0,26321000,16977000,0,1002000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,27000000,USD,None,-8176000,-151000,0,60000000,329000,-3000,-22572000,4082000,-23843000,-24021000,None,101000,0,0,0,-29438000,2485000,151000,None,None,None,20.51,34.97
