,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,11071918,2515923,7220332,3851586,2593793,1206578,None,None,1607590,None,527418,1258130,1335663,1988505,986203,401012,None,-986203,None,None,None,401012,1258130,None,1206578,1206578,None,USD,273340758,None,None,4795744,183089606,90251152,11604142,6030788,40737185,37446071,49855043,None,11888571,1201205,15070172,531698,None,-3518865,194049965,12545512,54856710,90251152,None,3296251,116346967,4453517,8507686,None,None,40737185,None,37446071,None,None,66745281,None,260795246,None,116346967,51672467,168019434,None,None,None,15586761,273340758,None,None,8147437,USD,-7152721,0,-7152721,-619109,4093130,2891730,None,-271402,1206578,-2603023,1657968,-271402,2047695,-1424192,222792,None,None,-1365595,6533612,None,None,-2603023,24.17,
1,2020-04-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,527418,None,None,None,None,None,None,None,401012,None,None,None,1206578,None,USD,273340758,None,None,3594539,183089606,90251152,11604142,1349135,40737185,37446071,49855043,None,11888571,1201205,15070172,None,None,-3518865,194049965,12545512,54856710,90251152,None,3296251,116346967,4453517,4150305,None,None,None,None,None,None,None,284429,None,260795246,None,None,None,168019434,None,None,None,None,None,None,None,None,USD,None,0,-7152721,None,4093130,None,None,-271402,None,None,1657968,None,None,None,None,None,None,-1324903,0,None,None,None,24.87,24.17
2,2020-03-31,USD,22437731,2576089,12862026,9575705,8506101,5680316,None,None,7467808,None,587873,1506485,6999616,1988216,1038293,1787492,150300,-1038293,None,None,None,1787492,1506485,None,5680316,5680316,None,USD,270588176,None,None,8342866,180270829,90317347,11698969,7698076,40684725,37665741,49150132,None,12026302,3804228,17172195,461519,None,-3408856,189667211,16603503,52291160,90317347,None,5455204,112231649,2805433,9012600,None,None,40684725,None,37665741,None,None,64317462,None,253984673,None,112231649,50866985,163098634,None,None,None,15375737,270588176,3804230,None,8136945,USD,-5477605,0,-5477605,-891118,-1563317,-2080682,-8552,4143910,5680316,2791881,10350168,4143910,2047695,-1419236,901871,None,None,-1521753,4586487,None,None,2791881,28.93,24.87
3,2020-01-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,587873,None,None,None,None,None,None,None,1787492,None,None,None,5680316,None,USD,270588176,None,None,4538638,180270829,90317347,11698969,3448310,40684725,37665741,49150132,None,12026302,3804228,17172195,None,None,-3408856,189667211,16603503,52291160,90317347,None,5455204,112231649,2805433,4146719,None,None,None,None,None,None,None,327333,None,253984673,None,None,None,163098634,None,None,None,None,None,None,None,None,USD,None,0,-5477605,None,-1554765,None,-8552,4143910,None,None,10350168,None,None,None,None,None,None,-1521753,0,None,None,None,25.32,28.93
4,2019-12-31,USD,19785453,2531742,12171732,7613721,6333708,4006936,None,None,5248523,None,543237,1251729,5081979,1988505,1085185,1241587,8900,-1085185,None,None,None,1241587,1251729,None,4006936,4006936,None,USD,268182613,None,None,4171213,68050699,86359135,13856458,8832713,40456585,33409617,50094432,None,12176460,1012347,17503920,87761,87761,-2209073,185391008,21239364,49375781,200131914,None,10084224,113772779,6983927,8583446,None,None,40456585,None,33409617,None,None,12176460,None,61552241,None,113772779,36690321,50546779,None,None,None,14702006,268182613,1012350,None,8091317,USD,-10875736,0,-10875736,-5026276,10383094,9438772,-62198,-3972358,4006936,-619001,817963,-3972358,2047695,-1339521,395199,None,None,-1264310,5849460,None,None,-619001,28.58,25.32
5,2019-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,543237,None,None,None,None,None,None,None,1241587,None,None,None,4006936,None,USD,268182613,None,None,3029974,181823478,86359135,11807353,5657493,40456585,33409617,50094432,None,12176460,1012347,17503920,None,None,-2209073,185391008,21239364,49375781,86359135,None,10084224,113772779,6983927,4730021,None,None,None,None,None,None,None,369107,None,246943249,None,None,None,164319558,None,None,None,None,None,None,None,None,USD,None,0,-10875736,None,10445292,None,-62198,-3972358,None,None,817963,None,None,None,None,None,None,-1264310,0,None,None,None,29.17,28.58
6,2019-09-30,USD,9851869,9361167,7115707,2736162,3362322,455605,None,None,599465,None,507611,1092185,490702,507611,983422,143860,-1490,-983422,None,None,None,143860,1092185,None,455605,455605,None,USD,258353696,None,None,2255464,175257304,83096392,12178853,5025159,40366320,30821917,49506097,None,12590089,1631348,21633064,147556,147556,-2488917,182002956,16385192,47375459,83096392,None,3870211,103371358,7470189,4483233,None,None,40366320,None,30821917,None,None,411236,None,241968504,None,103371360,36527574,153624240,None,None,None,14397070,258353696,1631350,None,8000000,USD,-9533902,-2745377,-9533902,-20945690,12882473,11815718,-248,-2359409,455605,393003,-1888813,None,1779435,-1330738,1746660,1070896,-122165,32202,5237339,None,None,393003,29.24,29.17
7,2019-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,507611,None,None,None,None,None,None,None,143860,None,None,None,455605,None,USD,258353696,None,None,2255464,175257304,83096392,12178853,5025159,40366320,30821917,49506097,None,12590089,1631348,21633064,None,None,-2488917,182002956,16385192,47375459,83096392,None,3870211,103371358,7470189,4483233,None,None,None,None,None,None,None,411236,None,241968504,None,None,None,153624240,None,None,None,None,None,None,None,None,USD,None,-2745377,-9533902,None,12882473,None,-248,-2359409,None,None,-1888813,None,None,None,None,None,None,32202,0,None,None,None,28.78,29.24
8,2019-06-30,USD,11682950,2400433,7645460,4037490,2408283,1138555,None,None,1482585,None,494958,771226,1637057,1905475,925698,344030,-148510,-925698,None,None,None,344030,771226,None,1138555,1138555,None,USD,244423038,None,None,2724038,69215297,84736935,12519978,12445938,40319785,31698604,45239493,None,9147678,1238345,23546484,82832,82832,-1460830,177816330,13256420,44202610,175207741,None,5307038,90470806,5225344,11017714,None,None,40319785,None,31698604,None,None,9147678,None,53350288,None,90470806,33148835,45668813,None,None,None,14179376,244423038,1238350,None,8063957,USD,-9017063,0,-9017063,-16649130,3580000,2634451,-32513,3513812,1138555,-729218,5653394,3513812,1940472,-1327450,1482430,1070896,-122165,-939445,5670982,None,None,-729218,30.52,28.78
9,2019-03-31,USD,25058750,19071476,12895580,8665294,8963840,4670090,None,None,6130720,None,556336,819884,6203480,1905475,892649,1460630,-194470,-892649,None,None,None,1460628,819884,None,4670090,4670090,None,USD,238008010,None,None,1717640,153033490,84974520,11953317,5460334,40216360,31890790,44746077,None,9372220,1967560,21382450,None,None,-1001020,173936238,18423000,36276548,171879482,None,11872960,86904970,2864840,5326625,None,None,40216360,None,31890788,None,None,515632,None,219585003,None,86904970,32792760,131651042,None,None,None,13868390,238008007,1967560,None,8000000,USD,-8445512,0,-24279040,-13303040,-2166798,15066070,-60340,7394053,7104250,1720150,10933120,7394053,3880950,-2559590,1068020,1070896,-122165,-771319,10976000,None,None,1956754,26.51,30.52
