,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,87462000,-56400000,36863000,-36863000,19024000,15861000,4336000,None,16020000,None,26726000,-513000,19537000,-87462000,3004000,159000,None,-3004000,None,None,None,159000,-513000,None,15861000,15861000,None,USD,1442045000,204741000,None,7568000,342018000,1100027000,29948000,3970000,525000,31519000,33171000,468725000,5141000,560364000,44401000,None,None,-14113000,52451000,687157000,None,426561000,None,49296000,238183000,69929000,40431000,None,None,525000,None,31519000,None,None,24140000,None,4831000,30233000,238183000,29486000,297617000,None,None,None,1082096000,1442045000,560364000,None,52494884,USD,-4480000,2287000,-4480000,-1315000,None,3813000,None,-2764000,15861000,16068000,16735000,-1458000,9203000,None,3813000,-7773000,-3578000,2193000,3165000,-3578000,5730000,21798000,123.61,
1,2020-03-31,USD,76090000,-43888000,31982000,-31982000,13652000,9815000,4702000,None,10676000,None,27500000,1746000,11906000,-76090000,2976000,861000,-1612000,-2976000,None,None,None,861000,1746000,None,9815000,9815000,None,USD,1406481000,208526000,None,5819000,336723000,1069758000,29868000,3747000,523000,15658000,32374000,468382000,3134000,538566000,41853000,None,None,-20606000,50373000,651378000,None,392850000,None,45212000,235458000,61781000,38106000,None,None,523000,None,15658000,None,None,24918000,2904000,755103000,30785000,235458000,29544000,294870000,None,None,None,1074183000,1406481000,538566000,None,52278083,USD,-5037000,-5518000,-5037000,-911000,None,1589000,-10000,-3520000,9815000,6082000,9530000,1289000,9081000,None,1599000,-7191000,-2251000,4305000,4126000,-2251000,-4923000,1159000,96.54,123.61
2,2019-12-31,USD,69474000,-36015000,30121000,-30121000,7311000,3604000,5172000,None,4345000,None,28287000,1417000,5894000,-69474000,2966000,741000,-1258000,-2966000,None,None,None,741000,1417000,None,3604000,3604000,None,USD,1400113000,212552000,None,5917000,340345000,1059768000,29944000,3557000,521000,5843000,32270000,468413000,3158000,537407000,48313000,None,None,-15027000,48455000,641828000,None,378803000,None,43672000,232767000,54832000,44756000,None,None,521000,None,5843000,None,None,25945000,2920000,758285000,30552000,232767000,29321000,292032000,None,None,None,1068431000,1400113000,537407000,None,52078258,USD,-7111000,-3312000,-7111000,182134000,-89000,-180000,-200000,-3669000,3604000,10383000,17674000,1184000,8750000,None,109000,-4423000,-1122000,12993000,7091000,-1122000,4595000,14978000,92.5,96.54
3,2019-09-30,USD,69445000,-39389000,31425000,-31425000,4528000,1659000,5427000,None,1671000,None,24629000,-3436000,7964000,-69445000,2857000,12000,-959000,-2857000,None,None,None,12000,-3436000,None,1659000,1659000,None,USD,1378708000,216289000,None,4941000,333590000,1045118000,38059000,3044000,521000,2239000,38587000,468845000,4155000,522429000,38765000,None,None,-21794000,43034000,621540000,None,359984000,None,42591000,230182000,51579000,35721000,None,None,521000,None,2239000,None,None,25083000,3917000,757168000,29100000,230182000,26584000,294825000,None,None,None,1064152000,1378708000,522429000,None,52052581,USD,-6892000,14922000,-6892000,-1326000,163583000,294875000,-290000,15197000,1659000,309948000,21965000,-1095000,8370000,None,131582000,-754000,495000,-1632000,5566000,495000,-5336000,304612000,76.69,92.5
4,2019-06-30,USD,70692000,-41762000,30708000,-30708000,11362000,8095000,5231000,None,9619000,None,23699000,308000,11054000,-70692000,1743000,1524000,-738000,-1743000,None,None,None,1524000,308000,None,8095000,8095000,None,USD,1068267000,220481000,None,713345000,189299000,878968000,27690000,3287000,481000,580000,28177000,469510000,4156000,217817000,140913000,105704000,105704000,-15053000,38125000,316494000,None,878968000,None,47705000,None,51275000,31922000,None,None,481000,None,580000,None,None,239000,None,38125000,23496000,None,20696000,48386000,None,None,None,892960000,1068267000,217817000,None,48086422,USD,-187477000,4560000,-187477000,-183718000,-17000,190128000,None,3375000,8095000,20440000,17789000,-580000,5964000,None,190145000,-2659000,-623000,3032000,3759000,-623000,1242000,21682000,85.95,76.69
5,2019-03-31,USD,60634000,-38016000,26845000,-26845000,12242000,8053000,3620000,None,10516000,None,18998000,1071000,11171000,-60634000,1726000,2463000,-1013000,-1726000,None,None,None,2463000,1071000,None,8053000,8053000,None,USD,797921000,132648000,None,478888000,172896000,625025000,None,20188000,441000,-7515000,25530000,326395000,4090000,196135000,130278000,104595000,104595000,-13784000,34526000,284077000,None,625025000,None,43279000,17088000,44920000,48113000,None,None,441000,None,-7515000,None,None,173000,None,34699000,20188000,None,433000,42618000,None,None,None,645883000,797921000,196135000,None,44073998,USD,-3828000,-2431000,-3828000,-1740000,-17000,44000,None,-1702000,8053000,6004000,9788000,2761000,5320000,None,44000,-1478000,-6580000,4143000,2088000,-6580000,-3691000,2313000,59.08,85.95
6,2018-12-31,USD,51942000,-76275000,23592000,-68422000,8571000,5637000,3152000,0,6870000,0,17345000,718000,7853000,-96772000,1701000,None,None,None,0,0,0,1233000,-982000,0,5637000,5637000,None,USD,774621000,135438000,None,466074000,159053000,615568000,None,2860000,439000,-15568000,29211000,326735000,4529000,193822000,129842000,103488000,103488000,-11893000,32180000,275739000,None,615568000,None,40282000,None,42263000,55565000,None,None,439000,None,-15568000,None,None,None,None,32180000,None,None,None,None,None,None,None,642590000,774621000,193822000,None,43917378,USD,None,-1997000,-5457000,-3402000,-17000,1044000,None,256000,5638000,1142000,5555000,-1586000,5091000,None,1044000,763000,-7113000,2008000,2055000,-4362000,2376000,3518000,52.74,59.08
7,2018-09-30,USD,49529000,-30069000,22183000,-22183000,8310000,4794000,3601000,0,6623000,0,15859000,424000,7886000,-49529000,1687000,None,None,None,0,0,0,1829000,-1263000,0,4794000,4794000,None,USD,762125000,136534000,None,3830000,155638000,606487000,21120000,6286000,439000,-21206000,25792000,326977000,2007000,190304000,129846000,102400000,102400000,-11773000,29359000,267248000,None,142976000,0,30830000,0,42284000,27446000,0,0,439000,0,-21206000,0,None,2007000,None,494877000,None,None,4672000,25792000,None,None,None,639027000,762125000,190304000,None,43853389,USD,None,7014000,-4168000,0,-17000,884000,None,1350000,4794000,16396000,19680000,-1400000,4952000,0,884000,-1709000,3205000,3033000,4168000,2996000,-1703000,14693000,55.46,52.74
8,2018-06-30,USD,47731000,-25361000,21088000,-21088000,5036000,2738000,5780000,0,3367000,0,16590000,763000,4273000,-47731000,1669000,None,None,None,0,0,0,629000,-906000,0,2738000,2738000,None,USD,745081000,139182000,None,4620000,146422000,598659000,20643000,2112000,438000,-26000000,25303000,327095000,1902000,175611000,121119000,101329000,101329000,-11143000,23993000,252909000,None,132382000,0,31730000,0,40948000,19790000,0,0,438000,0,-26000000,0,None,1902000,None,492172000,None,None,4660000,25303000,None,None,None,635364000,745081000,175611000,None,43798572,USD,None,749000,-2848000,0,None,1146000,None,56000,2737000,4261000,5963000,223000,4987000,0,1146000,-1908000,-3259000,2501000,2848000,-3326000,-2526000,1735000,47.04,55.46
9,2018-03-31,USD,44830000,19186000,19668000,25162000,6228000,3448000,3288000,0,4576000,0,15898000,252000,5976000,0,1652000,None,None,None,0,0,0,1128000,-2055000,0,3448000,3448000,None,USD,743248000,142273000,None,4939000,146065000,597183000,20858000,3596000,437000,-28737000,25468000,327989000,1990000,173876000,20321000,100276000,100276000,-6112000,22674000,248322000,None,126921000,0,29383000,100276000,40124000,20321000,0,0,437000,0,-28737000,0,None,1990000,None,494926000,None,100276000,4610000,125744000,None,None,None,631595000,743248000,173876000,None,43692303,USD,None,-5392000,-1564000,0,-11000,333000,None,-5323000,3448000,341000,1572000,-1608000,4996000,0,344000,-1188000,-1529000,2718000,1564000,-1402000,-224000,117000,36.18,47.04
