,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,6496000,None,None,-6364000,-6947000,4242000,None,-6947000,None,2254000,None,-6496000,None,461000,0,10000,-451000,None,None,None,None,None,None,-6947000,-6947000,None,USD,29782000,None,None,None,21198000,8584000,None,3295000,36000,-424199000,217000,None,387000,23419000,20981000,None,14642000,None,684000,28589000,None,8460000,None,674000,None,None,1024000,None,None,None,None,None,None,None,387000,None,1193000,None,None,217000,217000,None,None,None,None,None,None,None,None,USD,0,-6000,None,None,593000,593000,None,937000,-6947000,-4633000,-5226000,None,122000,None,None,None,None,667000,0,None,None,None,0.68,
1,2020-03-31,USD,6000,5541000,None,6000,-5456000,-5937000,3119000,None,-5945000,None,2422000,79000,-5535000,None,489000,-8000,79000,-410000,None,None,None,-8000,None,None,-5937000,-5937000,None,USD,35006000,159000,None,4879000,20104000,14902000,None,2728000,22000,-417252000,None,None,439000,28052000,19786000,14636000,14636000,None,801000,33607000,None,14740000,None,676000,None,None,2422000,None,None,22000,3000,-417252000,None,None,439000,None,1399000,None,None,318000,318000,None,None,None,432129000,35006000,28052000,None,27608783,USD,0,-1892000,None,None,-68000,-67000,-68000,-1288000,-5937000,-6069000,-6002000,307000,126000,None,1000,None,None,928000,0,466000,None,-6069000,0.461,0.68
2,2019-12-31,USD,18000,4453000,2090000,18000,-4395000,-4893000,2090000,None,-4893000,None,2363000,40000,-4435000,None,498000,0,42000,-458000,None,None,None,None,-458000,None,-4893000,-4893000,None,USD,42081000,266000,None,5145000,22066000,20015000,None,3053000,21000,-411315000,468000,None,23000,34121000,21598000,14631000,14631000,None,921000,40407000,None,19745000,None,1141000,None,3924000,3914000,None,None,21000,4000,-411315000,None,None,487000,None,1674000,None,56000,468000,468000,None,None,None,431305000,42081000,34121000,None,21018663,USD,-59000,654000,-59000,295000,-67000,24511000,-67000,40000,-4893000,19475000,-4977000,-930000,131000,None,24578000,-98000,-442000,503000,59000,-442000,None,19475000,0.89,0.461
3,2019-09-30,USD,18000,5011000,2440000,18000,-4906000,-5423000,2440000,None,-5423000,None,2571000,87000,-4993000,None,517000,0,87000,-430000,None,None,None,None,-430000,None,-5423000,-5423000,None,USD,21410000,303000,None,4184000,21553000,-143000,None,2720000,21000,-406422000,549000,None,26000,14646000,21004000,14626000,14626000,None,1042000,19529000,None,-446000,None,699000,None,3826000,3658000,None,None,21000,None,-406422000,None,None,536000,None,1881000,None,114000,549000,549000,None,None,None,406258000,21410000,14646000,None,20927053,USD,-141000,-99000,-141000,295000,-66000,-64000,15505000,394000,-5423000,-4925000,-4720000,-329000,127000,None,2090000,-98000,-368000,649000,177000,-368000,None,-4925000,0.72,0.89
4,2019-06-30,USD,18000,4686000,1836000,18000,-4477000,-5016000,1836000,None,-5015000,None,2850000,191000,-4668000,None,538000,1000,191000,-347000,None,None,None,1000,-347000,None,-5016000,-5016000,None,USD,25691000,406000,None,4382000,20948000,4743000,None,2283000,21000,-400999000,265000,None,27000,19571000,20487000,14621000,14621000,None,974000,24284000,None,4337000,None,331000,None,3826000,3583000,None,None,21000,None,-400999000,None,None,27000,None,1407000,None,200000,461000,461000,None,None,None,405721000,25691000,19571000,None,20824388,USD,113000,-1066000,113000,274000,-678000,14829000,15505000,-3094000,-5016000,9251000,-5691000,855000,171000,None,2088000,-98000,2461000,853000,6000,2461000,None,9251000,1.25,0.72
5,2019-03-31,USD,6778000,9516000,5983000,6778000,-2682000,-3260000,5983000,None,-3260000,None,3533000,56000,-2738000,None,578000,0,-522000,-522000,None,None,None,None,-522000,None,-3260000,-3260000,None,USD,19877000,407000,None,4627000,25946000,-6069000,None,3245000,11000,-395983000,861000,None,133000,10320000,24840000,15225000,15225000,None,1598000,17739000,None,-6476000,None,2792000,None,3826000,6310000,None,None,11000,None,-395983000,None,None,133000,None,2138000,None,245000,1106000,1106000,None,None,None,389903000,19877000,10320000,None,10000000,USD,161000,294000,161000,161000,-1429000,657000,-65000,-110000,-3260000,-3615000,-4433000,-301000,502000,None,2086000,368000,-2766000,1098000,162000,-2766000,None,-3615000,1.02,1.25
6,2018-12-31,USD,18000,8000000,5255000,18000,-8006000,-8564000,5255000,0,-8503000,0,2745000,-24000,-7982000,0,497000,62000,None,None,0,0,0,61000,-519000,0,-8564000,-8564000,None,USD,27927000,500000,None,5334000,33781000,-5854000,None,2572000,9000,-392723000,7135000,None,326000,13935000,26646000,16575000,16575000,None,7806000,19295000,None,-6354000,None,26000,None,None,7499000,None,None,9000,None,-392723000,None,None,326000,None,8632000,None,None,7135000,7135000,None,None,None,386860000,27927000,13935000,None,8818019,USD,6440000,557000,6440000,46541000,-2509000,-2572000,-62000,-235000,-8563000,-149000,-4017000,1715000,646000,None,-1000,-455000,-13000,1641000,162000,-13000,None,-149000,0.9306,1.02
7,2018-09-30,USD,18000,9872000,6848000,18000,-9653000,-10273000,6879000,0,-10273000,0,2993000,201000,-9854000,0,620000,None,None,None,0,0,0,0,-735000,0,-10273000,-10273000,None,USD,34768000,676000,None,4911000,33190000,1578000,0,2202000,9000,-384161000,7536000,0,327000,14084000,25654000,19069000,19069000,-63000,8324000,25441000,None,902000,6433000,13000,0,0,4383000,0,0,9000,0,-384161000,0,None,327000,None,9327000,None,None,7536000,7536000,None,None,None,385793000,34768000,20517000,None,8750343,USD,12950000,-4376000,12928000,0,-833000,-884000,-63000,428000,-10273000,599000,-11445000,1014000,556000,0,12000,461000,171000,1463000,328000,171000,None,599000,0.1976,0.9306
8,2018-06-30,USD,18000,13362000,10013000,18000,-13226000,-13847000,10013000,0,-13847000,0,3349000,118000,-13344000,0,621000,None,None,None,0,0,0,-1000,-503000,0,-13847000,-13847000,None,USD,49170000,705000,None,6191000,38737000,10433000,0,2130000,104000,-373887000,7938000,0,328000,13485000,30799000,19888000,19888000,-80000,8906000,39231000,None,9728000,19371000,184000,0,0,8781000,0,0,104000,0,-373887000,0,None,328000,None,9939000,None,None,7938000,7938000,None,None,None,384296000,49170000,32856000,None,104424492,USD,15712000,-126000,15712000,0,-75000,-75000,-75000,-1371000,-13848000,3428000,-12209000,-210000,598000,0,208000,461000,4000,1373000,115000,4000,None,3428000,0.6592,0.1976
9,2018-03-31,USD,18000,15601000,11828000,18000,-15419000,-16025000,11828000,0,-16024000,0,3773000,164000,-15583000,0,605000,None,None,None,0,0,0,1000,-441000,0,-16025000,-16025000,None,USD,62079000,726000,None,6106000,39203000,22876000,7832000,2176000,104000,-360040000,8270000,0,620000,10057000,30933000,19874000,19874000,-127000,9305000,51428000,None,22150000,35077000,188000,0,0,8883000,0,0,104000,0,-360040000,0,None,620000,None,10651000,None,None,438000,8270000,None,None,None,382939000,62079000,45134000,None,104319552,USD,11439000,-1838000,11439000,0,492000,701000,492000,-873000,-16025000,-3462000,-15602000,-254000,610000,0,209000,128000,185000,1720000,191000,185000,None,-3462000,0.7175,0.6592
10,2017-12-31,USD,18000,13724000,13142000,18000,-13512000,-14448000,10465000,0,-14506000,0,3259000,194000,-13706000,0,994000,None,None,None,0,0,0,-58000,-3251000,0,-14448000,-14448000,None,USD,77809000,775000,None,6289000,42593000,35216000,9993000,72000,104000,-345858000,9993000,0,1365000,13519000,32600000,19859000,19859000,-134000,9708000,66736000,None,34441000,46555000,373000,0,0,12669000,0,0,104000,0,-345858000,0,None,590000,None,11073000,None,None,None,9993000,None,None,None,381104000,77809000,60074000,None,103955147,USD,4484000,954000,4398000,0,None,43415000,None,476000,-14448000,-6703000,-11101000,68000,660000,0,43411000,394000,1284000,1505000,86000,160000,None,-6703000,1.04,0.7175
