,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,98912000,114644000,29081000,69831000,-9738000,-21466000,26120000,None,-21231000,None,59443000,None,-15732000,None,5917000,235000,208000,-5709000,None,None,None,235000,210000,None,-21466000,-21466000,None,USD,860411000,47706000,None,None,769723000,90688000,35815000,None,509000,-562820000,41484000,213686000,41119000,279343000,279997000,None,None,85000,120909000,431626000,5365000,-170704000,36313000,76823000,368161000,None,7078000,None,None,None,None,None,None,None,5304000,None,428785000,89517000,None,8204000,489726000,None,None,None,None,None,None,None,None,USD,-120756000,802000,-120756000,None,230000000,196247000,-34003000,6369000,-21466000,76192000,442000,None,5576000,None,None,None,-11773000,16670000,2673000,None,None,None,51.02,
1,2020-03-31,USD,94340000,114160000,27714000,66626000,-14623000,-22924000,24202000,None,-22681000,None,62244000,None,-19820000,None,3215000,243000,1048000,-2414000,None,None,None,243000,-447000,None,-22924000,-22924000,None,USD,633677000,27867000,None,17486000,557377000,76300000,34289000,35000,504000,-541354000,32966000,97866000,39807000,204434000,264881000,None,None,-78000,113017000,342316000,12804000,-49433000,36384000,64388000,187944000,None,10062000,None,None,None,None,None,-4764000,None,5518000,None,291361000,80452000,187944000,1325000,292496000,None,None,None,621992000,None,240818000,None,50000000,USD,85422000,-12661000,85422000,89652000,230000000,3374000,-34003000,-16007000,-22924000,81021000,-7215000,None,4843000,None,1561000,None,22608000,14183000,4230000,None,None,None,43.33,51.02
2,2019-12-31,USD,91648000,103963000,25362000,66286000,-5507000,-14346000,21719000,None,-14217000,None,56882000,None,-12315000,None,4151000,129000,1253000,-2197000,None,None,None,129000,294000,None,-14346000,-14346000,None,USD,664913000,28561000,None,17047000,581745000,83168000,34213000,119000,499000,-518430000,37578000,97866000,39349000,123413000,286673000,None,None,213000,111654000,364596000,22887000,-43259000,116158000,87927000,185200000,None,6836000,None,None,None,None,None,-4764000,None,5136000,None,300317000,79473000,185200000,1352000,295072000,None,None,None,605650000,None,239571000,None,49000000,USD,78000,29770000,78000,52326000,230000000,269000,-34003000,-409000,-14346000,8488000,7824000,None,4559000,None,10219000,None,-25660000,11180000,3776000,None,None,None,56.02,43.33
3,2019-09-30,USD,83155000,94911000,23630000,59525000,-6445000,-14406000,20154000,None,-14199000,None,51127000,None,-11756000,None,3156000,207000,1448000,-1950000,None,None,None,207000,-492000,None,-14406000,-14406000,None,USD,626594000,29183000,None,14905000,540419000,86175000,30452000,285000,493000,-504084000,37900000,97866000,35918000,114925000,246782000,None,None,304000,112736000,339894000,10997000,-40874000,131815000,62422000,182471000,None,6549000,None,None,None,None,None,-4764000,None,5466000,None,286700000,79726000,182471000,1280000,293637000,None,None,None,594226000,None,246740000,None,49000000,USD,-15652000,-8110000,-15652000,48472000,230000000,2666000,-34003000,-122000,-14406000,-11644000,1839000,None,4598000,None,7924000,None,6311000,10889000,10875000,None,None,None,45.39,56.02
4,2019-06-30,USD,78959000,91139000,22181000,56778000,-6916000,-13420000,19626000,None,-13939000,None,49332000,None,-12180000,None,3079000,-519000,1582000,-1730000,None,None,None,-519000,-29000,None,-13420000,-13420000,None,USD,636279000,29726000,None,13851000,548755000,87524000,29275000,126000,488000,-489678000,45967000,97866000,34467000,126569000,251275000,None,None,351000,111277000,344263000,18680000,-40068000,119138000,69289000,179791000,None,12975000,None,None,None,None,None,-4764000,None,5192000,None,292016000,77779000,179791000,1023000,297480000,None,None,None,581127000,None,245707000,None,48000000,USD,32740000,9156000,32740000,53249000,None,1480000,-205000,430000,-13420000,36700000,2483000,None,3944000,None,6058000,None,-10180000,9959000,10800000,None,None,None,57.84,45.39
5,2019-03-31,USD,73185000,82929000,19973000,53212000,-4792000,-11673000,17865000,None,-11448000,None,43711000,None,-9744000,None,3229000,225000,-1704000,-1498000,None,None,None,225000,-206000,None,-11673000,-11673000,None,USD,563906000,23979000,None,12994000,475055000,88851000,28054000,7385000,482000,-476258000,53035000,88420000,29292000,89869000,228428000,5231000,5231000,162000,48659000,339943000,33613000,-23548000,161600000,60107000,177198000,None,6297000,None,None,None,None,None,-4764000,None,1238000,None,223963000,21625000,177198000,1021000,246627000,None,None,None,569229000,None,251469000,None,48000000,USD,-355000,-12038000,-355000,9709000,None,4373000,1655000,-19119000,-11673000,-9696000,-13566000,None,3427000,None,2718000,None,14729000,8598000,10064000,None,None,None,50.61,57.84
6,2018-12-31,USD,68770000,79267000,19286000,49484000,-10497000,-13020000,17828000,0,-12625000,0,42153000,None,-10497000,0,-3253000,None,None,None,0,0,0,395000,-2128000,0,-13020000,-13020000,None,USD,559369000,23955000,None,12321000,472050000,87319000,27634000,190562000,476000,-464585000,62376000,88420000,28802000,99565000,234986000,None,None,-31000,17523000,355777000,44892000,-25056000,159210000,75735000,174688000,None,7048000,None,None,None,None,None,-4764000,None,None,None,None,None,174688000,None,None,None,None,None,556223000,None,258775000,None,46000000,USD,-23826000,28293000,-43455000,-177655000,230000000,192000,-408000,4923000,-13020000,-31595000,11934000,None,3360000,None,38513000,None,-20972000,6815000,4409000,None,None,None,31.16,50.61
7,2018-09-30,USD,62365000,73666000,17810000,44555000,-11301000,-11831000,17111000,0,-11986000,0,38745000,None,-11301000,0,-1679000,None,None,None,0,0,0,-155000,-685000,0,-11831000,-11831000,None,USD,521957000,16023000,None,10376000,428856000,93101000,23174000,160246000,473000,-451565000,66287000,83164000,24080000,131160000,190404000,None,None,-144000,11859000,347556000,39275000,-6086000,140633000,54371000,172165000,0,2766000,0,0,0,0,0,-4764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,47000000,USD,-161842000,-3138000,-165688000,0,230000000,199781000,-33381000,4993000,-11831000,29929000,-4050000,None,2660000,0,30900000,0,-5299000,7269000,2754000,None,None,None,36.92,31.16
8,2018-06-30,USD,58441000,72716000,17393000,41048000,-14275000,-14333000,16082000,0,-14202000,0,39241000,None,-14275000,0,-1679000,None,None,None,0,0,0,131000,73000,0,-14333000,-14333000,None,USD,323771000,16002000,None,9481000,254228000,69543000,22214000,154713000,467000,-439734000,73071000,83164000,23609000,100731000,181157000,None,None,-24000,11184000,185883000,3929000,-29623000,13983000,49176000,0,0,4612000,0,0,0,0,0,-4764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,46000000,USD,12871000,4666000,8648000,0,230000000,1829000,-324000,56000,-14333000,1085000,-9114000,None,2678000,0,30900000,0,-10136000,7955000,3503000,None,None,None,28.22,36.92
9,2018-03-31,USD,54515000,70700000,16594000,37921000,-16185000,-16361000,16722000,0,-16266000,0,37384000,None,-16185000,0,-1679000,None,None,None,0,0,0,95000,-81000,0,-16361000,-16361000,None,USD,320470000,16316000,None,8583000,246548000,73922000,20295000,142150000,462000,-425401000,80357000,83164000,21847000,99646000,166191000,None,None,-44000,9238000,188809000,1096000,-25558000,29630000,39218000,0,0,5669000,0,0,0,0,0,-4764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,45000000,USD,9602000,-3276000,6762000,0,230000000,34362000,-284000,-16664000,-16361000,48384000,7296000,None,2399000,0,30900000,0,34722000,6476000,2147000,None,None,None,25.57,28.22
10,2017-12-31,USD,57731000,363871000,15990000,107876000,-39875000,-35186000,14102000,0,-35097000,0,52802000,None,-35585000,0,-98000,None,None,None,0,0,0,89000,921000,0,-38462000,-38462000,None,USD,284136000,99804000,None,8877000,259983000,24153000,68689000,187245000,441000,-434913000,70498000,83164000,102269000,51562000,189485000,None,None,-39000,8589000,173278000,1102000,-75651000,39178000,73961000,0,0,2240000,0,0,0,0,0,-4764000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43000000,USD,-1518000,4501000,-22221000,-200000,230000000,7268000,-796000,5734000,-45470000,-1386000,13286000,None,7593000,0,0,0,-25217000,17431000,4824000,None,None,None,18.66,25.57
11,2017-09-30,USD,50521000,-173564000,13299000,1790000,-28183000,1353000,13570000,0,-1159000,0,48110000,None,-1145000,0,11000,None,None,None,0,0,0,-2512000,0,0,-27006000,-27006000,None,USD,251440000,100378000,None,8747000,219674000,31766000,55526000,158248000,439000,-421909000,57859000,83170000,102128000,49055000,161815000,None,None,-23000,7995000,141317000,None,-68612000,34825000,48690000,0,0,3567000,0,0,0,0,0,-4645000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43000000,USD,4061000,481000,-16141000,0,None,6645000,-284000,2968000,-32466000,-4013000,5084000,None,0,0,0,0,130000,2554000,3506000,None,None,None,17.6,18.66
12,2017-06-30,USD,47443000,59260000,12421000,1383000,29847000,-1092000,11873000,0,-1034000,0,45226000,None,-1427000,0,70000,None,None,None,0,0,0,187000,0,0,30543000,30543000,None,USD,241853000,83404000,None,8892000,207226000,34627000,54344000,148086000,435000,-411625000,56883000,75110000,92833000,53068000,150343000,None,None,-46000,8287000,140733000,None,-48777000,31213000,47560000,0,0,2257000,0,0,0,0,0,-4531000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,43000000,USD,5278000,11369000,-4117000,0,None,4553000,-888000,3487000,-22182000,2406000,-660000,None,0,0,0,0,1240000,5129000,2578000,None,None,None,16.83,17.6
13,2017-03-31,USD,45245000,0,11603000,32981000,-10416000,-10545000,11393000,0,-10416000,0,42488000,None,-10470000,0,0,None,None,None,0,0,0,129000,0,0,-10545000,-10545000,None,USD,229771000,83570000,None,7742000,191914000,37857000,51083000,134149000,428000,-399988000,54270000,75110000,101093000,50662000,137644000,None,None,-39000,8010000,120668000,None,-45713000,28561000,33703000,0,0,3495000,0,0,0,0,0,-4457000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,42000000,USD,-6501000,-9142000,-7836000,0,None,2105000,-169000,1466000,-10545000,-2486000,3321000,None,0,0,0,0,15182000,4736000,1335000,None,None,None,14.98,16.83
14,2016-12-31,USD,45034000,202686000,11069000,115386000,-28720000,-52258000,11065000,0,-52206000,0,42515000,None,-48326000,0,-211000,None,None,None,0,0,0,-97000,-1178000,0,-32422000,-32422000,None,USD,243303000,84056000,None,9152000,201265000,42038000,0,141597000,426000,-389338000,55656000,75110000,104982000,53148000,145609000,None,None,-19000,8088000,130233000,20162000,-42018000,18779000,49154000,0,0,4012000,0,0,0,0,0,-4391000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-38976000,3197000,-43475000,-200000,-68000,1161000,-1305000,-1387000,-49000000,-33405000,9112000,None,6725000,0,0,0,-6195000,18602000,4499000,None,None,None,12.17,14.98
15,2016-09-30,USD,40339000,0,9390000,435000,-49540000,1130000,11616000,0,1044000,0,39242000,None,739000,0,0,None,None,None,0,0,0,70000,0,0,-49866000,-49866000,None,USD,226035000,84560000,None,6705000,178389000,47646000,44601000,128241000,425000,-379564000,47473000,75110000,85320000,87715000,130916000,None,None,-19000,8009000,132706000,None,-36914000,0,38286000,0,0,2675000,0,0,0,0,0,-4154000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-38976000,5281000,-3307000,0,None,2348000,-66000,325000,-10194000,2960000,2061000,None,0,0,0,0,5134000,4278000,3307000,None,None,None,17.65,12.17
16,2016-06-30,USD,37268000,0,8653000,-24193000,48449000,17708000,12932000,0,17573000,0,40188000,None,17957000,0,0,None,None,None,0,0,0,149000,0,0,48868000,48868000,None,USD,223852000,85267000,None,7183000,172706000,51146000,45362000,120205000,421000,-369370000,48301000,75048000,85865000,84755000,124405000,None,None,-19000,7386000,130601000,None,-34121000,0,38663000,0,0,4200000,0,0,0,0,0,-4154000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-38976000,19328000,-1842000,0,None,-301000,-673000,-685000,-13452000,1247000,271000,None,0,0,0,0,4945000,4067000,1842000,None,None,None,12.58,17.65
17,2016-03-31,USD,34796000,0,8084000,26084000,-15438000,-15580000,12342000,0,-15438000,0,40620000,None,-15619000,0,0,None,None,None,0,0,0,142000,0,0,-15580000,-15580000,None,USD,213780000,85745000,None,6618000,153165000,60615000,41776000,105272000,419000,-355918000,46236000,74943000,86226000,83508000,106929000,None,None,-19000,7611000,119943000,None,-25130000,0,29817000,0,0,1657000,0,0,0,0,0,-3526000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,41000000,USD,-38976000,-6553000,-1092000,0,-68000,-512000,-3087000,-716000,-15580000,-3045000,-1592000,None,0,0,0,0,14048000,5498000,1092000,None,None,None,13.07,12.58
18,2015-12-31,USD,32853000,155261000,8326000,23891000,-44735000,-21106000,14256000,0,-20992000,0,43371000,None,-19046000,0,34000,None,None,None,0,0,0,114000,-4626000,0,-49857000,-99079000,None,USD,230561000,85950000,None,6148000,162486000,68075000,42400000,113661000,415000,-340338000,46719000,74565000,86164000,86553000,115767000,300000,300000,-19000,7532000,136865000,None,-17875000,0,44164000,0,0,2038000,0,0,0,0,0,-3526000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,25000000,USD,-38976000,4400000,-42947000,-200000,-18793000,94786000,-3097000,4796000,-49857000,49730000,-1907000,None,5352000,0,0,0,-18370000,12477000,4136000,None,None,None,15.13,13.07
19,2015-09-30,USD,28312000,0,6596000,21249000,0,-11825000,9945000,0,-11614000,0,29841000,None,-10498000,0,267000,None,None,None,0,0,0,211000,0,0,0,0,None,USD,186538000,18329000,None,4165000,134080000,52458000,35805000,91102000,394000,-319232000,40110000,15847000,19064000,123984000,93970000,None,None,None,7356000,160118000,None,None,0,None,0,0,2868000,0,0,0,0,0,-3526000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,33000000,USD,None,None,-6183000,0,None,95464000,None,None,-28751000,None,-1980000,None,0,0,0,0,6649000,None,2839000,None,None,None,22.75,15.13
