,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,8047406,8049913,5508392,2539014,33133,11946,536238,None,12507,None,1999773,None,-2507,None,8650,561,None,None,None,None,None,561,15014,None,11946,11946,None,USD,14358034,None,None,None,9589699,4768335,None,None,26035,-21176240,None,None,6132,8249260,9589699,None,None,-126287,117605,14234297,None,4768335,None,5111493,None,None,None,None,None,None,None,None,None,None,123737,None,123737,112775,None,None,0,None,None,None,26044830,None,8249260,None,26000000,USD,0,746769,None,None,None,1805837,None,-289400,11946,1480132,-313520,None,35640,None,-69163,None,-960713,142238,0,None,None,None,2.99,
1,2020-01-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,561,None,None,None,11946,None,USD,None,None,None,None,None,None,None,None,26035,-21176240,None,None,6132,None,None,None,None,-126287,117605,None,None,4768335,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,746769,None,None,None,None,None,-289400,None,None,-313520,None,None,None,None,None,None,142238,0,None,None,None,3.48,2.99
2,2019-12-31,USD,7530438,8245041,5256638,2273800,-677944,-592172,548719,None,-682620,None,2432844,None,-714603,None,-5460,806,None,None,91250,None,None,806,31983,91254,-683426,-592172,None,USD,11698661,None,None,None,8875670,2822991,None,2873415,24476,-21188186,None,None,6327,6769128,8864226,None,None,-111610,155542,11536792,None,2822991,None,4150780,None,None,5856740,None,None,None,None,None,None,None,161869,None,161869,145515,None,None,11444,None,None,None,24098310,None,6769130,None,24000000,USD,0,1424636,None,None,None,-127499,None,-219609,-592172,1181295,1307919,None,36659,None,-127499,None,226027,432378,0,None,None,None,3.6,3.48
3,2019-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,806,None,91254,None,-592172,None,USD,None,None,None,None,None,None,None,None,24476,-21188186,None,None,6327,None,None,None,None,-111610,155542,None,None,2822991,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,1424636,None,None,None,None,None,-219609,None,None,1307919,None,None,None,None,None,None,432378,0,None,None,None,2.46,3.6
4,2019-09-30,USD,7595113,7709693,5278578,2316535,-77509,-81457,499191,None,-101154,None,1924366,None,-114580,None,12120,6494,None,None,26190,None,None,6494,13426,26191,-107648,-81457,None,USD,10500173,None,None,None,7482686,3017487,None,2418795,24442,-20596014,None,None,14382,5587833,7437136,None,None,-113153,191572,10294219,None,3017487,None,4376807,None,None,4886724,None,None,None,None,None,None,None,205954,None,205954,177167,None,None,45550,None,None,None,23702210,None,5587830,None,24000000,USD,0,132418,None,None,None,-71875,None,-11143,-81457,234743,309732,None,37071,None,-71875,None,116362,116481,0,None,None,None,2.45,2.46
5,2019-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,6494,None,26191,None,-81457,None,USD,None,None,None,None,None,None,None,None,24442,-20596014,None,None,14382,None,None,None,None,-113153,191572,None,None,3017487,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,132418,None,None,None,None,None,-11143,None,None,309732,None,None,None,None,None,None,116481,0,None,None,None,2.75,2.45
6,2019-06-30,USD,7474602,7650826,5246997,2227605,-113673,-71853,549198,None,-151233,None,1846280,None,-176224,None,0,4895,None,0,84280,None,None,4895,24991,84275,-156128,-71853,None,USD,10413329,None,None,None,7381614,3031715,None,2310206,24376,-20514557,None,None,14406,5353090,7302288,None,None,-109585,229073,10169850,None,3031715,None,4493169,None,None,4862895,None,None,None,None,None,None,None,243479,None,243479,208513,None,None,79326,None,None,None,23631480,None,5353090,None,24000000,USD,-6721,-630566,-6721,None,None,59175,None,749741,-71853,50006,1316,None,37560,None,-40825,None,-126194,42628,6721,None,None,None,2.78,2.75
7,2019-04-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,4895,None,84275,None,-71853,None,USD,None,None,None,None,None,None,None,None,24376,-20514557,None,None,14406,None,None,None,None,-109585,229073,None,None,3031715,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-630566,-6721,None,None,None,None,749741,None,None,1316,None,None,None,None,None,None,42628,0,None,None,None,2.25,2.78
8,2019-03-31,USD,7377960,7548772,5198300,2179660,-106715,-117680,537685,None,-145240,None,2343160,None,-173110,None,0,5480,None,0,33040,None,None,5482,25573,33044,-150724,-117680,None,USD,10964340,None,None,None,8043220,2921110,None,2069455,24230,-20442700,None,None,14400,5303080,7930450,126780,126780,-105960,259780,10690160,None,2921114,None,4366980,112775,None,5734212,None,None,None,None,None,None,None,274178,None,274178,239555,None,None,112775,None,None,None,23445550,None,5303080,None,24000000,USD,-4953,1116810,-9110,None,None,-159200,None,-138458,-888110,394900,575130,None,30470,None,-159200,None,-399378,98028,9110,None,None,None,2.15,2.25
9,2018-12-31,USD,6988842,7653399,5000603,1988239,-664557,-592537,None,None,-640793,None,2643063,None,-664557,None,None,None,None,None,None,None,None,7442,23764,55698,-648235,-592537,None,USD,9915638,None,None,None,6956780,2958858,None,2024235,24239,-20325024,None,None,14386,4761528,6811266,124409,124409,-100745,293162,9608090,None,2958858,None,3967597,145514,None,4662622,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,24000000,USD,None,684788,-4154,None,None,-38078,None,-334431,-592537,234501,277404,None,38355,None,None,None,83639,397590,4154,None,None,None,2.45,2.15
