,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1089000,140056000,110000,1089000,-139033000,-136347000,73320000,None,-136347000,None,38224000,-66000,-138967000,110000,-2686000,None,2686000,2686000,None,28402000,None,None,-28468000,None,-136347000,-136347000,None,USD,827242000,None,None,28862000,87327000,739915000,None,8577000,5000,-1906654000,374000,None,5782000,258228000,64292000,None,None,1309000,8077000,785384000,None,739915000,498294000,None,None,None,55715000,None,None,5000,None,-1906654000,None,None,33781000,None,41858000,31238000,None,23035000,23035000,None,None,None,2645255000,827242000,756522000,None,51934979,USD,177452000,-4199000,177382000,None,None,386000,None,-1891000,-136347000,58784000,-118984000,-3200000,984000,None,386000,None,None,23778000,70000,None,None,58784000,41.58,
1,2020-03-31,USD,2286000,133910000,170000,2286000,-131469000,-126740000,63610000,None,-126740000,None,70130000,155000,-131624000,170000,-4729000,None,4729000,4729000,None,None,None,None,155000,None,-126740000,-126740000,None,USD,944973000,None,None,25479000,95767000,849206000,None,10270000,5000,-1770307000,456000,None,6061000,199444000,70360000,None,None,-1192000,8684000,898236000,None,849206000,673313000,None,None,None,60090000,None,None,5000,None,-1770307000,-400000,None,38053000,None,46737000,35221000,None,25407000,25407000,None,None,None,2620700000,944973000,872757000,None,51917819,USD,206546000,-42698000,206270000,206546000,None,3160000,None,-34165000,-126740000,72739000,-136691000,1226000,651000,None,3160000,None,None,30870000,276000,None,None,72739000,28.72,41.58
2,2019-12-31,USD,1960000,176598000,219000,1960000,-174568000,-168653000,91250000,None,-168653000,None,85129000,70000,-174638000,219000,-5915000,None,5915000,5915000,None,None,None,None,70000,None,-168653000,-168653000,None,USD,1084150000,None,None,26700000,139495000,944655000,None,10244000,5000,-1643567000,519000,None,6160000,126705000,112128000,None,None,895000,9126000,1035093000,None,944655000,881688000,None,None,None,101884000,None,None,5000,None,-1643567000,-400000,None,39931000,None,49057000,37092000,None,27367000,27367000,None,None,None,2587322000,1084150000,1008393000,None,51877194,USD,-17543000,18484000,-17916000,-137405000,None,2166000,-2503000,11970000,-168653000,-132476000,-116726000,3658000,128000,None,2166000,None,None,29657000,373000,None,None,-132476000,72.19,28.72
3,2019-09-30,USD,3570000,190747000,137000,3570000,-187185000,-179958000,102108000,None,-179958000,None,88502000,-8000,-187177000,137000,-7227000,None,7227000,7227000,None,None,None,None,-8000,None,-179958000,-179958000,None,USD,1203727000,None,None,30413000,122656000,1081071000,None,7788000,5000,-1474914000,340000,None,6185000,259181000,90956000,None,None,1377000,9365000,1152663000,None,1081071000,863069000,None,None,None,83168000,None,None,5000,None,-1474914000,-400000,None,41699000,None,51064000,31360000,None,31700000,31700000,None,None,None,2554603000,1203727000,1122250000,None,51815992,USD,209719000,12373000,207779000,-119862000,None,13919000,-1483000,16259000,-179958000,92996000,-128702000,-3263000,-758000,None,15402000,None,None,42904000,1940000,None,None,92996000,140.29,72.19
4,2019-06-30,USD,873000,177330000,44000,873000,-176441000,-168221000,89059000,None,-168221000,None,88227000,16000,-176457000,44000,-8220000,None,8220000,8220000,None,None,None,None,16000,None,-168221000,-168221000,None,USD,1315547000,None,None,27021000,112672000,1202875000,None,7610000,5000,-1294956000,410000,None,6390000,166185000,78953000,None,None,1175000,8363000,1263570000,None,1202875000,1070364000,None,None,None,71343000,None,None,5000,None,-1294956000,-400000,None,43614000,None,51977000,33309000,None,33719000,33719000,None,None,None,2496651000,1315547000,1236549000,None,51469104,USD,-55928000,12863000,-58109000,-329581000,-258000,15343000,-258000,4703000,-168221000,-176110000,-133344000,-9459000,-2146000,None,15601000,None,None,33619000,2181000,None,None,-176110000,183.09,140.29
5,2019-03-31,USD,465000,170317000,86398000,465000,-169848000,-163406000,86398000,None,-163406000,None,83919000,4000,-169852000,None,-6442000,None,6442000,6442000,None,None,None,None,4000,None,-163406000,-163406000,None,USD,1422914000,None,None,20281000,103380000,1319534000,None,7169000,5000,-1126735000,476000,None,6745000,342295000,68376000,7149000,7149000,-506000,6513000,1371532000,None,1319534000,1008956000,None,34528000,None,61207000,None,None,5000,None,-1126735000,-400000,None,44869000,None,51382000,34528000,None,35004000,35004000,None,None,None,2446770000,1422914000,1351251000,None,51034172,USD,-273653000,-28699000,-274910000,-273653000,-70000,576196000,-692000,-7491000,-163406000,151352000,-149934000,701000,-1907000,None,576958000,None,None,43377000,1257000,None,None,151352000,159.05,183.09
6,2018-12-31,USD,273000,320738000,88805000,273000,-164239000,-158388000,187345000,0,-158388000,0,133393000,-12000,-164227000,0,-5851000,None,None,None,0,0,0,0,5839000,0,-158388000,-158388000,None,USD,952705000,None,None,21919000,89734000,862971000,None,None,5000,-963329000,3704000,None,2367000,190943000,86030000,None,None,-726000,5643000,944695000,None,862971000,731833000,None,None,None,86030000,None,None,5000,None,-963329000,-211000,None,2367000,None,8010000,None,None,3704000,3704000,None,None,None,1827021000,952705000,922776000,None,46888263,USD,39226000,30839000,38418000,-509601000,None,1628000,-70000,-266000,-158388000,-61732000,-101778000,-3191000,-2628000,None,1628000,None,None,31590000,808000,None,None,-61732000,95.79,159.05
7,2018-09-30,USD,90000000,128745000,75052000,-75052000,-128735000,-122918000,75052000,0,-122918000,0,53693000,10000,-128745000,0,-5817000,None,None,None,0,0,0,0,5827000,0,-122918000,-122918000,None,USD,1046999000,0,None,18511000,58494000,988505000,0,48647000,5000,-804941000,3968000,0,1919000,253123000,54526000,None,None,-468000,5168000,1039912000,None,988505000,768278000,None,0,0,54526000,0,0,5000,0,-804941000,-211000,None,1919000,None,7087000,None,None,3968000,3968000,None,None,None,1793909000,1046999000,1021401000,None,46830589,USD,1050000,6983000,52000,0,None,8078000,-70000,22270000,-122918000,-72057000,-80187000,12820000,-2460000,0,8078000,0,0,25388000,998000,None,None,-72057000,141.25,95.79
8,2018-06-30,USD,90000000,112147000,68980000,90000000,-22115000,-16978000,68980000,0,-16978000,0,43167000,32000,-22147000,0,-5137000,None,None,None,0,0,0,0,5169000,0,-16978000,-16978000,None,USD,1129483000,0,None,12958000,51720000,1077763000,0,39581000,5000,-682023000,3801000,0,1269000,325830000,47919000,None,None,-356000,4445000,1123769000,None,1077763000,766603000,18378000,0,0,47919000,0,0,5000,0,-682023000,-211000,None,1269000,None,5714000,None,None,3801000,3801000,None,None,None,1760137000,1129483000,1092433000,None,46603839,USD,-237728000,10189000,-238130000,0,-105000,6540000,-105000,-9528000,-16978000,-231725000,-135000,-19743000,-2560000,0,6645000,0,0,28957000,402000,None,None,-231725000,156.53,141.25
9,2018-03-31,USD,0,-78119000,77872000,0,-78127000,-74598000,-49270000,0,-74598000,0,-28849000,-8000,-78119000,0,-3529000,None,None,None,0,0,0,0,3521000,0,-74598000,-74598000,None,USD,1100652000,0,None,11575000,41376000,1059276000,0,29522000,5000,-665045000,3504000,0,1269000,557555000,37872000,None,None,-396000,4295000,1095088000,None,1059276000,525958000,None,0,0,37872000,0,0,5000,0,-665045000,-211000,None,1269000,None,5564000,None,None,3504000,3504000,None,None,None,1724712000,1100652000,1083513000,None,46458298,USD,-312149000,-13337000,-312801000,0,-235000,643112000,-904000,-17808000,-74598000,251740000,-78571000,-5348000,-1101000,0,644251000,0,0,15813000,652000,None,None,251740000,161.07,156.53
