,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,1409000,None,None,-1403000,-1136000,591000,None,-1136000,None,818000,None,-1409000,None,None,None,27000,27000,None,None,None,None,246000,None,-1136000,-1136000,None,USD,25498000,None,None,186000,1314000,24184000,None,14000,25000,-170873000,None,None,None,25254000,1314000,None,None,None,58000,25440000,None,24184000,None,None,None,None,416000,None,None,None,None,None,None,None,None,None,58000,45000,None,None,0,None,None,None,None,None,None,None,None,USD,260000,-192000,260000,None,None,236000,None,474000,-1136000,-346000,-842000,None,6000,None,None,None,None,6000,0,None,None,None,3.08,
1,2020-03-31,USD,0,1222000,None,None,-1150000,-1150000,544000,None,-1150000,None,778000,72000,-1222000,544000,None,None,72000,72000,None,-100000,None,None,100000,None,-1150000,-1150000,None,USD,25977000,None,None,277000,1145000,24832000,None,78000,25000,-169737000,None,None,None,25600000,1145000,None,None,None,33000,25877000,None,24832000,None,None,None,None,1067000,None,None,25000,None,-169737000,None,None,67000,None,100000,67000,None,None,0,None,None,None,194544000,25977000,25600000,None,24729902,USD,100000,-219000,100000,100000,None,3613000,None,-383000,-1150000,2519000,-1194000,-9000,14000,None,3613000,None,None,170000,0,None,None,2519000,4.11,3.08
2,2019-12-31,USD,0,1576000,738000,-738000,-1516000,-1516000,738000,None,-1516000,None,838000,60000,-1576000,1620000,None,None,60000,60000,None,None,None,None,60000,None,-1516000,-1516000,None,USD,23486000,None,None,268000,1387000,22099000,None,99000,22000,-168587000,None,None,None,23081000,1387000,None,None,None,47000,23349000,None,22099000,None,None,None,None,1288000,None,None,22000,None,-168587000,None,None,90000,None,137000,90000,None,None,0,None,None,None,190664000,23486000,23081000,None,21841810,USD,0,480000,100000,None,None,5866000,-60000,496000,-1516000,5277000,-589000,129000,14000,None,5866000,None,None,304000,18000,None,None,5277000,5.2,4.11
3,2019-09-30,USD,0,779000,-52000,52000,-697000,-697000,-52000,None,-697000,None,831000,82000,-779000,-52000,None,None,82000,82000,None,None,None,None,82000,None,-697000,-697000,None,USD,18375000,None,None,385000,930000,17445000,None,97000,17000,-167071000,None,None,12000,17804000,907000,None,None,None,61000,18189000,None,17445000,None,None,None,None,810000,None,None,17000,None,-167071000,None,None,125000,None,186000,113000,None,23000,23000,None,None,None,184499000,18375000,17804000,None,17219300,USD,0,-30000,100000,None,None,0,-60000,-112000,-697000,-730000,-730000,-336000,14000,None,None,None,None,319000,18000,None,None,-730000,1.2,5.2
4,2019-06-30,USD,0,1153000,308000,-308000,-1059000,-1059000,308000,None,-1059000,None,845000,94000,-1153000,None,None,None,94000,94000,None,None,None,None,94000,None,-1059000,-1059000,None,USD,18805000,None,None,49000,982000,17823000,None,104000,17000,-166374000,None,None,12000,18534000,937000,None,None,None,75000,18583000,None,17823000,None,None,None,None,833000,None,None,17000,None,-166374000,None,None,147000,None,222000,135000,None,45000,45000,None,None,None,184180000,18805000,18534000,None,17219300,USD,0,35000,100000,None,None,0,-60000,27000,-1059000,-591000,-591000,91000,13000,None,None,None,None,329000,18000,None,None,-591000,1.21,1.2
5,2019-03-31,USD,0,1451000,574000,-574000,-1359000,-1359000,574000,None,-1359000,None,877000,92000,-1451000,None,None,None,92000,92000,None,None,None,None,92000,None,-1359000,-1359000,None,USD,19523000,None,None,140000,970000,18553000,None,90000,17000,-165315000,None,None,12000,19125000,902000,90000,90000,None,88000,19265000,None,18553000,None,None,68000,None,812000,None,None,17000,None,-165315000,None,None,170000,None,258000,158000,None,68000,68000,None,None,None,183851000,19523000,19125000,None,17219300,USD,-18000,301000,-18000,None,None,-60000,-60000,193000,-1359000,-682000,-604000,93000,17000,None,-60000,None,None,344000,18000,None,None,-682000,1.29,1.21
6,2018-12-31,USD,0,750000,2000,-2000,-678000,-678000,2000,None,-678000,None,748000,72000,-750000,None,None,None,None,None,None,None,None,0,73000,None,-678000,-678000,None,USD,20139000,None,None,233000,511000,19628000,None,None,17000,-163956000,None,None,12000,19807000,511000,None,None,None,87000,20040000,None,19628000,None,None,None,None,511000,None,None,17000,None,-163956000,None,None,12000,None,99000,None,None,None,None,None,None,None,183567000,20139000,19807000,None,17219300,USD,None,-351000,-18000,None,None,-72000,-60000,-53000,-677000,-637000,-565000,43000,17000,None,-72000,None,None,403000,18000,None,None,-637000,0.85,1.29
7,2018-09-30,USD,0,1284000,436000,-436000,-1267000,-1267000,436000,None,-1267000,None,848000,17000,-1284000,None,None,None,None,None,None,None,None,0,17000,None,-1267000,-1267000,None,USD,20836000,None,None,276000,862000,19974000,None,8000,17000,-163279000,None,None,12000,20444000,862000,None,None,None,104000,20720000,None,19974000,None,None,None,None,862000,None,None,17000,None,-163279000,None,None,12000,None,116000,None,None,None,None,None,None,None,183236000,20836000,20444000,None,17219300,USD,None,-425000,-18000,None,None,12272000,-60000,-258000,-1267000,10836000,-1436000,-246000,18000,None,12272000,None,None,484000,18000,None,None,10836000,1.01,0.85
8,2018-06-30,USD,0,2461000,1463000,-1463000,-2452000,-2452000,1463000,None,-2452000,None,998000,9000,-2461000,None,None,None,None,None,None,None,None,0,9000,None,-2452000,-2452000,None,USD,9833000,None,None,91000,1287000,8546000,None,12000,7000,-162012000,None,None,12000,9608000,1287000,None,None,None,122000,9699000,None,8546000,None,None,None,None,1287000,None,None,7000,None,-162012000,None,None,12000,None,134000,None,None,None,None,None,None,None,170551000,9833000,9608000,None,6895509,USD,None,529000,-18000,None,None,12272000,-60000,70000,-2453000,-1126000,-1126000,82000,17000,None,1898000,None,None,699000,18000,None,None,-1126000,2.06,1.01
9,2018-03-31,USD,0,2167000,1068000,-1068000,-2160000,-2160000,1068000,None,-2160000,None,1099000,7000,-2167000,None,None,None,None,None,None,None,None,0,7000,None,-2160000,-2160000,None,USD,11058000,None,None,155000,758000,10300000,None,10000,7000,-159559000,None,None,30000,10734000,758000,None,None,None,139000,10889000,None,10300000,None,None,None,None,758000,None,None,7000,None,-159559000,None,None,30000,None,169000,None,None,None,None,None,None,None,169852000,11058000,10734000,None,6895509,USD,None,-374000,None,None,None,1898000,None,-299000,-2160000,255000,-1643000,72000,17000,None,1898000,None,None,802000,0,None,None,255000,7.09,2.06
10,2017-12-31,USD,None,2423000,None,None,-2418000,-2418000,1545000,None,-2418000,None,878000,5000,-2423000,None,None,None,None,None,None,None,None,None,None,None,-2418000,-2418000,None,USD,10831000,None,None,184000,1132000,9699000,None,None,7000,-157399000,None,None,None,10479000,1132000,None,None,None,156000,10663000,None,9699000,None,None,None,None,1132000,None,None,7000,None,-157399000,None,None,12000,None,168000,None,None,None,None,None,None,None,167091000,10831000,10479000,None,6595509,USD,None,122000,None,None,None,None,None,None,-2418000,-1437000,-1437000,92000,17000,None,None,None,None,750000,0,None,None,-1437000,4.0,7.09
11,2017-09-30,USD,None,2596000,None,None,-2590000,-2590000,1619000,None,-2590000,None,977000,6000,-2596000,None,None,None,None,None,None,None,None,None,None,None,-2590000,-2590000,None,USD,12377000,None,None,288000,1010000,11367000,None,None,7000,-154982000,None,None,None,11916000,1010000,None,None,None,173000,12204000,None,11367000,None,None,None,None,1010000,None,None,7000,None,-154982000,None,None,None,None,173000,None,None,None,None,None,None,None,166342000,12377000,11916000,None,6595509,USD,None,11000,None,None,None,None,None,None,-2590000,-2151000,-2151000,-276000,17000,None,None,None,None,687000,0,None,None,-2151000,4.07,4.0
12,2017-06-30,USD,None,4166000,None,None,-4160000,-4160000,3063000,None,-4160000,None,1103000,6000,-4166000,None,None,None,None,None,None,None,None,None,None,None,-4160000,-4160000,None,USD,14269000,None,None,12000,999000,13270000,None,None,7000,-152391000,None,None,None,14067000,999000,None,None,None,190000,14079000,None,13270000,None,None,None,None,999000,None,None,7000,None,-152391000,None,None,None,None,190000,None,None,None,None,None,None,None,165654000,14269000,14067000,None,6595509,USD,None,124000,None,None,None,None,None,None,-4160000,-3197000,-3197000,114000,16000,None,None,None,None,709000,0,None,None,-3197000,4.15,4.07
13,2017-03-31,USD,None,2764000,None,None,-2743000,-2743000,1388000,None,-2743000,None,1376000,21000,-2764000,None,None,None,None,None,None,None,None,None,None,None,-2743000,-2743000,None,USD,17604000,None,None,126000,883000,16721000,None,None,46000,-148231000,None,None,None,17264000,883000,None,None,None,214000,17390000,None,16721000,None,None,None,None,883000,None,None,46000,None,-148231000,None,None,None,None,214000,None,None,None,None,None,None,None,164906000,17604000,17264000,None,46141935,USD,2101000,218000,2101000,None,None,None,None,None,-2743000,649000,-1452000,230000,18000,None,None,None,None,825000,0,None,None,649000,0.8933,4.15
14,2016-12-31,USD,None,2543000,None,None,-2522000,-2522000,1335000,None,-2522000,None,1208000,21000,-2543000,None,None,None,None,None,None,None,None,None,None,None,-2522000,-2522000,None,USD,19302000,None,None,356000,665000,18637000,None,None,46000,-145488000,None,None,None,16615000,665000,None,None,None,232000,19070000,None,18637000,2099000,None,None,None,665000,None,None,46000,None,-145488000,None,None,None,None,232000,None,None,None,None,None,None,None,164079000,19302000,18714000,None,46141935,USD,-1545000,-1482000,-1544000,None,-24000,-24000,None,None,-2522000,-4599000,-3031000,116000,17000,None,None,None,None,840000,1000,None,None,-4599000,0.5702,0.8933
