,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,507226000,330268000,19904000,487322000,120977000,22813000,None,None,22953000,305000,49088000,-36077000,157054000,274938000,98024000,-165000,699000,-102513000,None,6242000,None,-165000,-42464000,None,23118000,22813000,None,USD,9390539000,3174567000,None,57767000,13681182000,-4304992000,4781000,386305000,1119000,-5972657000,183834000,None,441299000,249171000,552659000,24000000,24000000,-867877000,2658889000,624086000,None,-7465210000,225853000,91295000,10555568000,None,142354000,None,None,1119000,None,-5972657000,None,None,2932997000,None,8766453000,2343452000,10555568000,2572955000,13128523000,None,14349000,None,2534423000,9390539000,475024000,None,111918000,USD,-225014000,13479000,-281958000,-29256000,6690000,-8786000,38047000,30268000,23117000,23932000,314676000,7884000,183895000,-51970000,-1553000,None,None,54163000,27688000,32138000,None,23932000,297.92,
1,2020-03-31,USD,517067000,346149000,19715000,497352000,-96214000,-127058000,None,None,-194471000,-875000,49617000,-247417000,151203000,282177000,98257000,-66538000,885000,-102511000,None,14355000,None,-66538000,-261317000,None,-127933000,-127058000,None,USD,9359502000,3294369000,None,60709000,13662254000,-4317230000,5059000,383050000,1116000,-5943386000,179533000,None,437210000,227149000,1019552000,522691000,522691000,-846846000,2697778000,395058000,None,-7597121000,None,107200000,10050737000,None,113811000,None,None,1116000,None,-5943386000,None,None,2972297000,None,8964444000,2385302000,10050737000,2591965000,12642702000,None,14478000,None,2471886000,9359502000,227149000,None,111559000,USD,-12000,11286000,-132012000,-92709000,224373000,-43335000,-51046000,1640000,-127933000,102395000,277742000,3826000,187718000,-52201000,-164461000,None,None,201330000,39291000,1515000,None,102395000,269.97,297.92
2,2019-12-31,USD,513658000,333267000,26475000,487183000,182942000,67350000,None,None,84348000,206000,43962000,29026000,153916000,279833000,98594000,16792000,808000,-104919000,None,9472000,None,16792000,20318000,None,67556000,67350000,None,USD,9759941000,3626773000,None,63594000,13410896000,-3667007000,4865000,377470000,1118000,-5560695000,180587000,None,384495000,138552000,1048293000,522090000,522090000,-568765000,2794602000,334271000,47583000,-7277728000,None,132125000,9812335000,None,148733000,None,None,1118000,None,-5560695000,None,None,3004295000,None,9425670000,2526415000,9812335000,2550268000,12362603000,None,16052000,None,2461335000,9759941000,138552000,None,111775000,USD,202000,158000,-532092000,-489439000,483422000,245267000,-486000,19685000,67557000,-21764000,265061000,-272000,199846000,-41514000,-196155000,None,1763000,-18219000,42855000,15991000,None,-21764000,240.99,269.97
3,2019-09-30,USD,507547000,323184000,30516000,477031000,115993000,21679000,None,None,18764000,87000,42272000,-37854000,153847000,272672000,97229000,-3002000,1311000,-101075000,None,8240000,None,-3002000,-46940000,None,21766000,21679000,None,USD,9201138000,3261885000,None,21946000,12747435000,-3560374000,4342000,353378000,1126000,-5387091000,178869000,None,397011000,156280000,510152000,24000000,24000000,-620778000,2763055000,329254000,656000,-6808182000,656000,151028000,9821502000,None,132774000,None,None,1126000,None,-5387091000,None,None,2846944000,None,8871884000,2404709000,9821502000,2415781000,12237283000,None,14077000,None,2446369000,9201138000,156280000,None,112604000,USD,16684000,17415000,-159591000,-137679000,147036000,-43118000,-307000,2758000,21765000,36169000,238878000,-4290000,174988000,-41873000,-147974000,None,-9363000,53104000,38596000,-24104000,None,36169000,241.15,240.99
4,2019-06-30,USD,500147000,332707000,30988000,469159000,145679000,31973000,None,None,47581000,14077000,55524000,9227000,136452000,267563000,98098000,15608000,1581000,-101633000,None,9620000,None,15608000,603000,None,31973000,31973000,None,USD,9269415000,3238031000,None,48252000,12608761000,-3339346000,4258000,335989000,1131000,-5193942000,144049000,None,451474000,124426000,1428138000,943161000,943161000,-554920000,2761580000,315729000,25537000,-6577377000,25537000,143051000,8749450000,None,148988000,None,None,1131000,None,-5193942000,None,None,2954075000,None,8953686000,2467205000,8749450000,2431173000,11180623000,None,None,None,2408385000,9269415000,124426000,None,113090000,USD,-30546000,-12951000,-170499000,-103542000,-42000000,-106416000,5710000,-592000,31973000,-33474000,243441000,5086000,171564000,-41873000,-70126000,None,-6477000,40070000,36411000,7699000,None,-33474000,224.84,241.15
5,2019-03-31,USD,493293000,322919000,31101000,462192000,135504000,25989000,None,None,36196000,14077000,50959000,-3769000,139273000,266189000,99308000,10207000,-102569000,-102569000,None,5771000,None,10207000,-8716000,None,25989000,25989000,None,USD,9312759000,3258952000,None,22574000,12615540000,-3302781000,4054000,339074000,1132000,-5131347000,132177000,None,61411000,141496000,1404654000,942442000,942442000,-531761000,2761325000,300569000,None,-6561733000,None,136499000,8780606000,None,123138000,None,None,1132000,None,-5131347000,None,None,2991913000,None,9012190000,2511579000,8780606000,2430280000,11210886000,None,None,None,2359195000,9312759000,141496000,None,113205000,USD,504000,-3946000,-84976000,-49106000,-215000000,-158047000,-6522000,-8225000,25989000,-20358000,222665000,4334000,171038000,-41873000,63475000,None,1931000,36982000,36374000,-11732000,None,-20358000,199.66,224.84
6,2018-12-31,USD,483849000,211225000,122303000,361546000,171607000,57153000,0,0,73032000,14077000,35626000,21286000,150321000,171243000,98575000,None,None,None,6040000,4356000,0,15879000,-81213000,0,57153000,57153000,None,USD,7213707000,3331465000,None,63126000,10590530000,-3376823000,27020000,117856000,1124000,-5136368000,387426000,None,722033000,175908000,1206279000,941728000,941728000,-511905000,2786355000,373854000,None,-6708288000,None,134820000,8996825000,23785000,146695000,None,None,1124000,None,-5136368000,None,None,722033000,None,6839853000,None,8996825000,387426000,9384251000,None,None,None,2270326000,7213707000,175908000,None,112433000,USD,-2160000,12718000,-98030000,-51024000,198941000,-117348000,25753000,18077000,57153000,11097000,226475000,-9979000,174478000,-41873000,-342042000,None,-24772000,2064000,44846000,-9959000,None,11097000,161.89,199.66
7,2018-09-30,USD,467221000,212474000,116741000,350480000,110514000,16144000,0,0,14165000,0,34908000,-27492000,138006000,170698000,96349000,None,None,None,0,6868000,0,-1979000,-130311000,0,16144000,16144000,None,USD,7213823000,3387955000,None,59641000,10358906000,-3145083000,26682000,107110000,1142000,-4851501000,383249000,0,710491000,160921000,265512000,24000000,24000000,-528517000,2787714000,327663000,None,-6533038000,24700000,107101000,9710145000,17799000,134402000,0,0,1142000,0,-4851501000,0,None,710491000,None,6886160000,None,9710145000,383249000,10093394000,None,None,None,2233793000,7213823000,160921000,None,116000000,USD,-3933000,8088000,-150162000,-109877000,28989000,-57906000,21120000,-25347000,16144000,-8981000,199087000,-12459000,172683000,0,-108015000,0,-7483000,37692000,36352000,-23061000,None,-8981000,160.63,161.89
8,2018-06-30,USD,456323000,216038000,114414000,341909000,18637000,-57391000,0,0,-75640000,0,35943000,-107234000,125871000,172691000,94277000,None,None,None,0,7404000,0,-18249000,-208407000,0,-57391000,-57391000,None,USD,7289378000,3459866000,None,66227000,10331513000,-3042135000,27101000,111027000,1148000,-4759637000,377965000,0,724264000,159493000,277810000,24000000,24000000,-500919000,2778372000,326876000,None,-6502001000,24842000,101156000,9675738000,13763000,142783000,0,0,1148000,0,-4759637000,0,None,724264000,None,6962502000,None,9675738000,377965000,10053703000,None,None,None,2217273000,7289378000,159493000,None,115000000,USD,-3933000,12425000,-218558000,-181040000,296906000,-7332000,2741000,15560000,-57391000,20589000,246479000,-6325000,174455000,0,-306979000,0,8026000,99387000,37518000,23928000,None,20589000,165.12,160.63
9,2018-03-31,USD,458302000,212997000,115337000,342965000,129783000,31545000,0,0,40127000,0,36049000,-185000,129968000,168442000,89656000,None,None,None,0,8506000,0,8582000,-97697000,0,31545000,31545000,None,USD,7405082000,3600640000,None,50916000,9993323000,-2588241000,27519000,107289000,1165000,-4395286000,378709000,0,698184000,137722000,250928000,20000000,20000000,-379109000,2803478000,302780000,None,-6188881000,28372000,114142000,9363686000,13039000,123639000,0,0,1165000,0,-4395286000,0,None,698184000,None,7102302000,None,9363686000,378709000,9742395000,None,None,None,2184989000,7405082000,137722000,None,118000000,USD,-3933000,-12671000,-151597000,-120501000,66848000,34049000,5746000,-22749000,31545000,61029000,178577000,-9277000,170786000,0,-38545000,0,-5198000,18529000,31096000,-20335000,None,61029000,170.92,165.12
