,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,74667000,42399000,None,74667000,32268000,25080000,None,None,32268000,None,42399000,None,32268000,3933000,5950000,7188000,73222000,67272000,None,None,None,7188000,None,None,25080000,25080000,None,USD,8084013000,17950000,None,None,7053410000,1030603000,None,6666783000,5299000,204719000,88277000,212146000,5911553000,524320000,6666783000,None,None,1025304000,69041000,6205122000,1218964000,800507000,976025000,5680802000,71225000,None,None,None,None,5299000,None,None,None,None,284443000,None,21404000,None,71225000,315402000,386627000,None,None,None,None,8084013000,524320000,None,52990655,USD,-43179000,15544000,-472658000,-429479000,-117598000,676364000,794283000,-662000,25080000,209446000,5740000,94372000,2277000,0,-321000,None,None,-131533000,310000,None,None,209446000,20.4,
1,2020-03-31,USD,48352000,47798000,None,48352000,554000,709000,None,None,554000,None,47798000,None,554000,3740000,9815000,-155000,72992000,63177000,None,None,None,-155000,None,None,709000,709000,None,USD,7352894000,19461000,1428470000,None,6361107000,991787000,None,5887499000,5271000,179646000,72730000,212085000,5498881000,314874000,5887499000,None,None,986516000,71540000,5546671000,1177324000,760241000,910311000,5231797000,71155000,None,None,None,None,5271000,None,None,-7422000,None,276766000,None,19766000,None,71155000,402453000,473608000,None,None,None,809533000,7352894000,314874000,None,52708726,USD,105894000,3595000,109060000,3166000,-191398000,56597000,249005000,-2650000,709000,190343000,24686000,59624000,2500000,0,-1010000,None,None,-41742000,570000,None,None,190343000,18.31,20.4
2,2019-12-31,USD,73336000,38057000,None,73336000,35279000,27176000,None,None,35279000,None,38057000,None,35279000,4022000,10526000,8103000,72286000,61760000,None,None,None,8103000,-1459000,None,27176000,27176000,None,USD,7108511000,20066000,1266683000,20029000,6122872000,985639000,None,5584753000,5151000,195813000,35815000,205286000,5370771000,124531000,5584753000,315000000,315000000,4465000,66615000,124531000,6403893000,760287000,946855000,None,71085000,12390000,5584753000,None,None,5151000,None,195813000,-6032000,None,271663000,None,16457000,None,71085000,467034000,538119000,None,None,None,786242000,7108511000,124531000,None,51513733,USD,-240070000,2515000,-242647000,-2577000,215707000,192480000,-25523000,-1514000,27176000,-7729000,42438000,102809000,2194000,0,None,None,None,-92256000,269000,None,None,-7729000,30.57,18.31
3,2019-09-30,USD,74891000,38583000,None,72640000,34057000,25605000,None,None,34057000,None,26916000,None,34057000,3405000,11877000,8452000,72825000,60948000,None,None,None,8452000,-818000,None,25605000,25605000,None,USD,6890645000,21318000,1251713000,26768000,5927967000,962678000,None,5673141000,5148000,168637000,33017000,205286000,5158758000,136839000,5723141000,50000000,50000000,10311000,94228000,132260000,1194455000,736074000,920811000,None,121014000,13593000,5673141000,None,None,5148000,None,None,None,None,259240000,None,17168000,None,71014000,133812000,204826000,None,None,None,None,6890645000,132260000,None,51482029,USD,-83778000,0,-83778000,5608000,-101601000,30378000,131979000,1338000,25605000,-27519000,25881000,112130000,2618000,0,742000,None,None,-3398000,769000,None,None,-159811000,25.31,30.57
4,2019-06-30,USD,73713000,41000000,None,71162000,30162000,23253000,None,None,30162000,None,28932000,None,30162000,3468000,12101000,6909000,72237000,60136000,None,None,None,6909000,-2719000,None,23253000,23253000,None,USD,6824886000,22672000,1286397000,17513000,5894647000,930239000,None,5541209000,5146000,143032000,29338000,205260000,19353000,164759000,5681209000,140000000,140000000,925093000,68738000,159779000,1201917000,702307000,914615000,None,210944000,11043000,5541209000,None,None,5146000,None,None,None,None,263977000,None,19353000,None,70944000,142494000,213438000,None,None,None,None,6824886000,159779000,None,51460617,USD,-79392000,0,5084000,6569000,71010000,5817000,-10682000,-1119000,23253000,-44232000,29343000,None,2655000,0,None,None,None,5376000,636000,None,None,None,25.44,25.31
5,2019-03-31,USD,72213000,43099000,None,72213000,29114000,22705000,None,None,29114000,None,43099000,None,29114000,4282000,11701000,6409000,72475000,60774000,None,None,None,6409000,-1906000,None,22705000,22705000,None,USD,6783389000,23959000,1300849000,13900000,5886965000,896424000,None,5605578000,5141000,119779000,27238000,205260000,5038383000,204011000,5608578000,3000000,3000000,891283000,70412000,204011000,5994474000,667205000,877549000,None,70874000,11921000,5605578000,None,None,5141000,None,None,None,None,260626000,None,24647000,None,70874000,207513000,278387000,None,None,None,None,6783389000,204011000,None,51413988,USD,71306000,-10594000,84476000,13170000,-443318000,-16499000,428338000,-8525000,22705000,88060000,20083000,57097000,2294000,0,-1519000,None,None,-51419000,849000,None,None,88060000,26.35,25.44
6,2018-12-31,USD,70356000,49464000,12416000,70356000,20892000,15962000,0,0,20892000,0,49464000,None,20892000,8865000,10074000,None,None,None,0,0,0,4930000,-3694000,0,15962000,15962000,None,USD,6747659000,25977000,None,11873000,5883392000,864267000,None,5177240000,5136000,97074000,41025000,204753000,5022551000,115951000,5557240000,380000000,380000000,-13060000,71024000,115951000,6041246000,633537000,8243000,None,70804000,12802000,5177240000,None,None,5136000,None,97074000,-3384000,None,259754000,None,28954000,None,70804000,255348000,326152000,None,None,None,778501000,6747659000,115951000,None,51361079,USD,-14053000,5183000,10743000,24796000,7288000,-23308000,-30559000,-2047000,15962000,10857000,23422000,78439000,2291000,None,-37000,None,None,-78453000,462000,None,None,10857000,26.02,26.35
7,2018-09-30,USD,58079000,37399000,13366000,58079000,20680000,16322000,0,0,20680000,0,37399000,None,20680000,3910000,7592000,None,None,None,0,0,0,4358000,-1299000,0,16322000,16322000,None,USD,5930934000,16508000,None,16172000,5198103000,732831000,0,4643510000,4727000,62247000,33824000,148555000,4232308000,105094000,4904510000,261000000,261000000,728104000,63531000,105094000,5336938000,567768000,9813000,None,70734000,4715000,4643510000,0,0,4727000,0,0,-2854000,None,234486000,None,25822000,None,70734000,222859000,293593000,None,None,None,None,5930934000,105094000,None,47269692,USD,-45361000,460000,-41618000,3743000,44985000,-8058000,-53930000,-1489000,16322000,-26427000,23249000,63942000,2392000,0,887000,13387000,0,-59867000,1082000,None,None,-26427000,29.2,26.02
8,2018-06-30,USD,60399000,38246000,9031000,60399000,22153000,16964000,0,0,22153000,0,38246000,None,22153000,4314000,12217000,None,None,None,0,0,0,5189000,-2004000,0,16964000,16964000,None,USD,5922681000,17319000,None,14707000,5206518000,716163000,0,4697440000,4716000,48446000,33364000,148555000,4149373000,131521000,4902440000,205000000,205000000,711447000,63991000,131521000,5305259000,550289000,10562000,None,70664000,8417000,4697440000,0,0,4716000,0,0,-2884000,None,230015000,None,26021000,None,70664000,233414000,304078000,None,None,None,None,5922681000,131521000,None,47163109,USD,-37177000,3457000,-34489000,2688000,23801000,1101000,-22103000,-880000,16964000,-4338000,29050000,85814000,2962000,0,-597000,13394000,0,-80147000,1187000,None,None,-4338000,31.58,29.2
9,2018-03-31,USD,60973000,37164000,6800000,60973000,23809000,18027000,0,0,23809000,0,37164000,None,23809000,4833000,0,None,None,None,0,0,0,5782000,-1779000,0,18027000,18027000,None,USD,5903101000,18246000,None,20887000,5201240000,701861000,0,4719543000,4698000,35715000,29857000,148555000,1789930000,135859000,4927543000,208000000,208000000,697163000,64577000,135859000,5283787000,535060000,12553000,None,70591000,31175000,4719543000,0,0,4698000,0,0,-2279000,None,227650000,None,24427000,None,70591000,203106000,273697000,None,None,None,None,5903101000,135859000,None,46983165,USD,-115480000,-273000,-109236000,6244000,-45845000,81704000,126823000,23294000,18027000,26355000,53887000,107026000,1904000,0,726000,5303000,0,-72797000,1288000,None,None,26355000,26.47,31.58
