,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,1283000000,791000000,383000000,1283000000,492000000,252000000,None,None,327000000,21000000,218000000,None,492000000,601000000,165000000,54000000,None,-165000000,None,-28000000,None,54000000,28000000,None,273000000,252000000,None,USD,16769000000,7827000000,None,875000000,14448000000,1609000000,455000000,210000000,1000000,832000000,1006000000,4716000000,605000000,622000000,903000000,120000000,71000000,-11000000,809000000,2592000000,None,-10424000000,None,1095000000,31000000,None,573000000,None,None,1000000,None,832000000,None,None,825000000,None,14177000000,252000000,12328000000,731000000,13514000000,None,510000000,None,787000000,16769000000,622000000,None,None,USD,-23000000,200000000,-48000000,26000000,-908000000,-1045000000,-7000000,83000000,273000000,-720000000,373000000,-450000000,176000000,17000000,85000000,None,114000000,60000000,51000000,114000000,None,-720000000,18.46,
1,2020-03-31,USD,1609000000,1282000000,828000000,1609000000,319000000,123000000,None,None,139000000,28000000,259000000,-8000000,327000000,1055000000,180000000,-12000000,-186000000,-180000000,None,-32000000,None,-12000000,24000000,None,151000000,123000000,None,USD,17360000000,7972000000,None,490000000,15182000000,1459000000,429000000,174000000,1000000,596000000,895000000,4716000000,591000000,1342000000,840000000,140000000,71000000,-2000000,786000000,3069000000,None,-10707000000,None,1237000000,35000000,None,526000000,None,None,1000000,None,596000000,None,None,817000000,None,14291000000,257000000,13231000000,647000000,14307000000,None,522000000,None,864000000,17360000000,1342000000,None,91000000,USD,-25000000,-274000000,-23000000,48000000,873000000,71000000,-9000000,21000000,151000000,9000000,-39000000,-209000000,174000000,18000000,176000000,None,34000000,85000000,46000000,34000000,None,9000000,16.08,18.46
2,2019-12-31,USD,1622178000,-6194225000,858000000,1622178000,264156000,43031000,None,None,79460000,44815000,292941000,-12247000,276403000,1087937000,184696000,-8000000,-182000000,-185000000,None,-35103000,None,-8386000,22000000,None,87846000,43031000,None,USD,17370000000,8140000000,None,345000000,14598000000,1502000000,407000000,193000000,1000000,492000000,880000000,4716000000,128000000,1333000000,1134000000,159000000,71000000,-2000000,765000000,2913000000,511000000,-10276000000,None,1235000000,39000000,None,782000000,None,None,1000000,None,492000000,None,None,836000000,None,14457000000,255000000,39000000,13018000000,13464000000,None,1078000000,None,1011000000,17370000000,1333000000,None,93000000,USD,-29000000,70000000,-53000000,36000000,-932000000,-435000000,615000000,33000000,87000000,-66000000,422000000,-28000000,172000000,-128000000,-302000000,None,7000000,114000000,60000000,7000000,None,-66000000,33.34,16.08
3,2019-09-30,USD,1125000000,1131000000,560000000,1125000000,-15000000,-60000000,None,None,-144000000,11000000,422000000,-9000000,-6000000,744000000,129000000,-95000000,-141000000,-129000000,None,-35000000,None,-95000000,26000000,None,-49000000,-60000000,None,USD,17779000000,9268000000,None,317000000,14742000000,1495000000,361000000,285000000,1000000,467000000,1044000000,4048000000,598000000,1399000000,1093000000,178000000,71000000,-1000000,740000000,2903000000,346000000,-10459000000,None,1187000000,43000000,None,630000000,None,None,1000000,None,467000000,None,None,820000000,None,14876000000,251000000,12392000000,853000000,13606000000,None,1362000000,None,1028000000,17779000000,1399000000,None,93000000,USD,-382432000,144337000,-9395551000,-8978714000,9452491000,9594534000,3690000,-8836000,-48154000,470292000,271309000,28457000,119674000,18235000,-34000,None,57514000,-30519000,34405000,57514000,None,470292000,42.74,33.34
4,2019-06-30,USD,770719000,664720000,335162000,770719000,99688000,42297000,None,None,46010000,1086000,216410000,-6311000,105999000,462298000,53678000,2627000,-134000000,-53678000,None,-13988000,None,2627000,7677000,None,43383000,42297000,None,USD,6553666000,1706371000,None,108428000,5024667000,1569115000,415579000,22662000,920000,544824000,541390000,2123902000,195868000,929038000,526224000,78982000,25207000,-784000,699505000,1635630000,None,-2261158000,None,598164000,40894000,None,424580000,None,None,920000,None,544824000,None,None,388258000,None,4918036000,216921000,3762794000,279176000,4457549000,None,None,None,1024155000,6553666000,929038000,None,93000000,USD,-15538000,8881000,-34294000,13831000,-10553000,-135031000,410000,-26480000,43383000,-46309000,123016000,-6327000,65842000,18409000,20049000,None,-10501000,21738000,32587000,-10501000,None,-46309000,53.63,42.74
5,2019-03-31,USD,722103000,628505000,319044000,722103000,82156000,21672000,None,None,27530000,1099000,187649000,-11442000,93598000,448765000,54626000,4759000,-68263000,-54626000,None,-7909000,None,4759000,-3533000,None,22771000,21672000,None,USD,6634208000,1751754000,None,126429000,5115055000,1559401000,414873000,22779000,917000,520936000,540553000,2123902000,194541000,975347000,539580000,115776000,42193000,-784000,687217000,1683002000,None,-2316255000,None,581226000,45445000,None,401025000,None,None,917000,None,520936000,None,None,388333000,None,4951206000,216749000,3840952000,274205000,4530030000,None,None,None,1038332000,6634208000,975347000,None,93000000,USD,-25030000,-16218000,-47155000,6883000,11062000,-137503000,-3100000,-47684000,22771000,-84983000,99675000,-18130000,66484000,18356000,104985000,None,15987000,28781000,29008000,15987000,None,-84983000,38.48,53.63
6,2018-12-31,USD,893326000,-4160469000,360355000,893326000,247703000,134652000,0,0,193493000,1493000,200112000,-15252000,262955000,459494000,54210000,None,None,None,4300000,-29235000,0,57348000,-66177000,0,136145000,206202000,None,USD,6572092000,1796319000,None,124979000,4971772000,1638836000,413253000,279749000,946000,517620000,549296000,2123902000,102480000,1060330000,572585000,136044000,35524000,-784000,683134000,1783906000,116996000,-2281385000,None,598597000,50060000,None,436541000,None,None,946000,None,517620000,None,None,184831000,None,4788186000,None,3849891000,85983000,4349127000,None,None,None,1121054000,6572092000,1060330000,None,102000000,USD,-10880000,-21655000,-31723000,6600000,-166733000,-206942000,1923000,93409000,207694000,35848000,274513000,-110742000,204611000,-129771000,-236661000,None,11243000,-16638000,27443000,11243000,None,35848000,26.34,38.48
7,2018-09-30,USD,766260000,608450000,360740000,766260000,138105000,63875000,0,0,62352000,1125000,188903000,-19705000,157810000,430375000,75753000,None,None,None,0,-10828000,0,-2648000,-95930000,0,65000000,63875000,None,USD,6627414000,1841642000,None,158019000,5041860000,1623533000,444940000,128435000,1007000,330780000,582698000,2125402000,120295000,1022974000,600604000,157813000,41798000,-1423000,674440000,1790735000,74900000,-2343511000,None,609742000,54691000,None,442791000,None,None,1007000,None,330780000,None,None,195195000,None,4836679000,None,3858558000,83067000,4386565000,None,None,None,1293169000,6627414000,1022974000,None,103000000,USD,15905000,-38610000,-29073000,-19628000,1327000,-78876000,-367000,-11602000,65000000,8258000,116207000,32013000,75477000,18410000,3355000,None,-44952000,27279000,25350000,-44952000,None,8258000,28.35,26.34
8,2018-06-30,USD,730143000,598561000,356589000,730143000,118283000,28041000,0,0,26012000,1268000,180479000,-13299000,131582000,418082000,92271000,None,None,None,0,0,0,-3297000,-106029000,0,29309000,28041000,None,USD,6581543000,1844507000,None,97871000,4996125000,1621167000,441707000,68363000,1023000,285316000,564060000,2022073000,278268000,1014718000,568017000,90631000,42191000,-1423000,666636000,1678759000,91300000,-2245413000,0,566170000,33847000,0,477386000,1585418000,1336251000,1023000,0,285316000,0,None,369568000,None,4902784000,None,3864048000,88506000,4394261000,None,None,None,1336251000,6581543000,1014718000,None,103000000,USD,-10246000,140866000,-36465000,3830000,1653000,-141361000,4032000,-73359000,29310000,-22071000,155755000,59942000,66234000,18403000,3516000,0,-29475000,-44888000,30049000,-29475000,None,-22071000,32.15,28.35
9,2018-03-31,USD,665352000,558038000,336722000,665352000,98108000,43123000,0,0,28366000,871000,171495000,-9206000,107314000,386543000,69742000,None,None,None,0,0,0,-15628000,-57839000,0,43994000,43123000,None,USD,6663411000,1888370000,None,338078000,5091868000,1607707000,498719000,92155000,1022000,275676000,612952000,2021970000,280548000,810232000,591681000,232386000,153244000,-1423000,654432000,1714691000,103400000,-2302633000,226558000,566381000,37170000,0,359295000,1571543000,1332432000,1022000,0,275676000,0,None,383948000,None,4948720000,None,3875025000,89273000,4463017000,None,None,None,1332432000,6663411000,810232000,None,103000000,USD,-7750000,-8232000,-20950000,9019000,363000,-37638000,-2659000,-18353000,43994000,42355000,100943000,43304000,70930000,18392000,0,0,26504000,-4627000,22219000,26504000,None,42355000,31.3,32.15
