,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,147495000,54725000,116031000,31464000,-23172000,-16190000,None,None,-23228000,None,54725000,89000,-23261000,-2000000,56000,-7038000,89000,33000,None,None,None,-7038000,None,None,-16190000,-16190000,None,USD,629550000,None,None,14186000,350092000,279458000,12646000,49078000,205000,378352000,13561000,None,16703000,13084000,151635000,None,None,279458000,64928000,337574000,None,279458000,None,6316000,None,303988000,102557000,None,None,205000,None,378352000,-176009000,None,219799000,None,7249000,233974000,None,185811000,198457000,None,None,None,76910000,629550000,13084000,None,14000000,USD,-2995000,23508000,-2995000,194000,None,-2957000,-1700000,-18839000,-16190000,-48815000,-42863000,-8589000,3831000,-1320000,-1637000,-44493000,-3592000,2662000,3189000,-3592000,None,-48815000,25.99,
1,2020-03-31,USD,147495000,170756000,116031000,31464000,-19341000,-16190000,None,None,-23228000,None,54725000,None,-23261000,-2000000,56000,-7038000,89000,33000,None,None,None,-7038000,None,None,-16190000,-16190000,None,USD,629550000,None,None,14186000,350092000,279458000,None,None,205000,378352000,13561000,None,16703000,13084000,151635000,None,None,None,275273000,337574000,None,279458000,None,6316000,None,303988000,90040000,None,None,None,None,None,None,None,9454000,None,291976000,233974000,None,915000,198457000,None,None,None,None,None,None,None,None,USD,-2995000,23508000,-2995000,194000,None,-2957000,None,-18839000,-16190000,-48815000,-42863000,None,3831000,-1320000,0,-44493000,-3592000,12912000,3189000,None,None,None,20.77,25.99
2,2020-02-29,USD,239875000,65123000,169975000,69900000,4927000,3483000,None,None,4891000,None,65123000,150000,4777000,-2000000,36000,-7038000,89000,33000,None,None,None,1408000,114000,None,3483000,3483000,None,USD,628374000,None,None,5529000,331011000,297363000,13345000,43146000,205000,395761000,14397000,None,15939000,61899000,122506000,None,None,None,67781000,329647000,None,297363000,None,2724000,None,259495000,79360000,None,None,205000,None,395761000,-178517000,None,223113000,7833000,298727000,233974000,None,195160000,208505000,None,None,None,79914000,628374000,61899000,None,15000000,USD,-2995000,-7705000,-2678000,742000,None,-8044000,-11060000,-13620000,3483000,28192000,38914000,-2230000,4298000,-1205000,-6839000,38507000,-3592000,2815000,3420000,-254000,None,28192000,29.91,20.77
3,2019-12-31,USD,239875000,235098000,169975000,69900000,9225000,3483000,None,None,4891000,None,65123000,None,4777000,-2000000,36000,1408000,150000,114000,None,None,None,1408000,None,None,3483000,3486000,None,USD,628374000,None,None,5529000,331011000,297363000,None,None,205000,395761000,14397000,None,15939000,61899000,122506000,None,None,None,282788000,329647000,None,297363000,None,2724000,None,259495000,60665000,None,None,None,None,None,None,None,8106000,None,298727000,237254000,None,1052000,208505000,None,None,None,None,None,None,None,None,USD,-2678000,-7705000,-2678000,742000,None,-8044000,None,-13620000,3483000,28192000,38914000,None,4298000,-1205000,-6853000,38507000,-254000,14205000,3420000,None,None,None,37.28,29.91
4,2019-11-30,USD,274645000,66584000,189911000,84734000,18313000,13726000,None,None,18279000,None,66584000,163000,18150000,-2000000,34000,1408000,150000,114000,None,None,None,4553000,-1071000,None,13726000,13726000,None,USD,647712000,None,None,10868000,346964000,300748000,13220000,42481000,205000,393497000,14204000,None,11370000,33707000,130622000,None,None,None,69147000,345047000,None,300748000,None,2470000,None,298002000,88141000,None,None,205000,None,393497000,-171813000,None,225840000,7678000,302665000,237254000,None,203122000,216342000,None,None,None,78859000,647712000,33707000,None,15000000,USD,-2678000,-42392000,-3591000,8000,None,-18175000,-11040000,-8155000,13726000,-3751000,18015000,2425000,4257000,-1216000,-16959000,38917000,-254000,1139000,3591000,-57000,None,-3751000,35.5,37.28
5,2019-09-30,USD,274645000,256495000,189911000,84734000,22570000,13726000,None,None,18279000,None,66584000,None,18150000,-2000000,34000,4553000,163000,129000,None,None,None,4553000,None,None,13726000,13714000,None,USD,647712000,None,None,10868000,346964000,300748000,None,None,205000,393497000,14204000,None,11370000,33707000,130622000,None,None,None,291295000,345047000,None,300748000,None,2470000,None,298002000,66089000,None,None,None,None,None,None,None,3692000,None,302665000,244619000,None,984000,216342000,None,None,None,None,None,None,None,None,USD,-3591000,-42392000,-3591000,8000,None,-18175000,None,-8155000,13726000,-3751000,18015000,None,4257000,-1216000,-16903000,38917000,-57000,11719000,3591000,None,None,None,32.41,35.5
6,2019-08-31,USD,268221000,66421000,186126000,82095000,15760000,11832000,None,None,15675000,None,66421000,86000,15674000,-2000000,85000,4553000,163000,129000,None,None,None,3843000,-131000,None,11832000,11832000,None,USD,693373000,None,None,10887000,389813000,303560000,13751000,46783000,205000,381012000,14849000,None,11304000,37458000,175372000,None,None,None,70855000,387678000,None,303560000,None,2414000,None,336919000,128589000,None,None,205000,None,381012000,-155031000,None,227820000,7020000,305695000,244619000,None,200690000,214441000,None,None,None,77374000,693373000,37458000,None,15000000,USD,-3591000,55554000,-2286000,5000,None,-1203000,-1244000,-16585000,11832000,15842000,19331000,-8504000,4118000,-1244000,41000,-47563000,-57000,4305000,2291000,-411000,None,15842000,30.74,32.41
7,2019-06-30,USD,268221000,252547000,186126000,82095000,19878000,11832000,None,None,15675000,None,66421000,None,15674000,-2000000,85000,3843000,86000,1000,None,None,None,3843000,None,None,11832000,11821000,None,USD,693373000,None,None,10887000,389813000,303560000,None,None,205000,381012000,14849000,None,11304000,37458000,175372000,None,None,None,294391000,387678000,None,303560000,None,2414000,None,336919000,108410000,None,None,None,None,None,None,None,4284000,None,305695000,246375000,None,1098000,214441000,None,None,None,None,None,None,None,None,USD,-2286000,55554000,-2286000,8000,None,-1203000,-1244000,-16585000,11832000,15842000,19331000,None,4118000,-1244000,0,-47563000,-411000,12386000,2291000,None,None,None,27.6,30.74
8,2019-05-31,USD,253810000,59532000,178670000,75140000,15939000,13873000,None,None,15903000,None,59532000,331000,15608000,None,36000,3843000,86000,1000,None,None,None,2030000,255000,None,13873000,13873000,None,USD,628618000,None,None,9769000,337115000,291503000,13386000,47089000,205000,370453000,13410000,None,8919000,21616000,121188000,47089000,47089000,None,72313000,322744000,None,291503000,None,2003000,202517000,289356000,74099000,None,None,205000,None,370453000,-155437000,None,225402000,8159000,305874000,246375000,None,202541000,215927000,None,None,None,76282000,628618000,21616000,None,15000000,USD,-2286000,4011000,-9196000,3000,None,-26895000,-10940000,-14731000,13873000,-45405000,-9314000,-2460000,4277000,-2006000,-24889000,-31817000,-411000,3585000,9199000,-783000,None,-45405000,25.69,27.6
9,2019-02-28,USD,234658000,65169000,167992000,66666000,1852000,1359000,None,None,1815000,None,65169000,355000,1497000,None,37000,None,None,None,None,None,None,456000,None,None,1359000,1359000,None,USD,417999000,None,None,11534000,113566000,304433000,34279000,None,205000,360443000,None,None,None,67021000,70784000,None,None,None,70605000,337313000,None,304433000,None,1219000,None,257539000,70784000,None,None,205000,None,360443000,-131846000,None,459000,9622000,80686000,None,None,8503000,42782000,None,None,None,75631000,417999000,67021000,None,None,USD,None,-10642000,-883000,1509000,None,-8156000,None,None,1359000,27322000,36361000,-2488000,5292000,-1170000,-6986000,42971000,None,182000,2392000,-313000,None,27322000,38.14,25.69
10,2019-01-31,USD,234658000,65169000,167992000,66666000,7144000,1359000,0,0,1815000,0,65169000,355000,1497000,0,37000,456000,None,None,0,0,0,456000,2218000,0,1359000,1359000,None,USD,417999000,None,None,11534000,113566000,304433000,34279000,6720000,205000,360443000,42782000,None,10081000,67021000,70784000,None,None,None,70605000,337313000,None,304433000,None,1219000,None,257539000,48715000,None,None,205000,None,360443000,-131846000,None,80686000,9622000,459000,None,None,67000,42782000,None,None,None,75631000,417999000,67021000,None,15000000,USD,-883000,-10642000,-4415000,2998000,None,-50959000,-327000,-2824000,38135000,18767000,74141000,-2488000,21843000,-4763000,-45869000,42971000,-313000,182000,7413000,-313000,None,27322000,36.88,38.14
11,2018-11-30,USD,269181000,65202000,187963000,81218000,16289000,12046000,0,0,16252000,0,65202000,273000,16016000,0,37000,None,None,None,0,0,0,4206000,567000,0,12046000,12046000,None,USD,438019000,0,None,11762000,129267000,308752000,35289000,706000,205000,360335000,44903000,0,9255000,39699000,84364000,None,None,None,74471000,354293000,None,308752000,0,11577000,0,300510000,84364000,0,0,205000,0,360335000,-124891000,None,None,None,74471000,None,None,9614000,44903000,None,None,None,73103000,438019000,39699000,None,None,USD,None,-35232000,-1154000,1206000,None,-21199000,-1244000,3116000,12046000,1294000,23647000,3244000,5332000,-1200000,-19999000,36397000,1631000,229000,2360000,1631000,None,1294000,37.93,36.88
12,2018-08-31,USD,268366000,68850000,184585000,83781000,15048000,11775000,0,0,15012000,0,68850000,117000,14931000,0,36000,None,None,None,0,0,0,3237000,-541000,0,11775000,11775000,None,USD,477305000,0,None,12094000,163541000,313764000,37080000,706000,205000,349549000,46954000,0,8727000,38405000,116587000,None,None,None,77254000,391324000,None,313764000,0,12645000,26700000,336907000,116587000,0,0,205000,0,349549000,-104882000,None,None,None,77254000,None,None,9874000,46954000,None,None,None,68892000,477305000,38405000,None,None,USD,None,33078000,-1415000,283000,None,-1182000,-1200000,-2764000,11775000,3058000,5655000,-2604000,5586000,-1224000,42000,-40986000,-484000,-710000,1698000,-484000,None,3058000,44.46,37.93
13,2018-05-31,USD,257445000,60011000,180118000,77327000,17318000,12955000,0,0,17278000,0,60011000,2000,17316000,0,40000,None,None,None,0,0,0,4323000,-205000,0,12955000,12955000,None,USD,437915000,0,None,13175000,136405000,301510000,38722000,706000,205000,339073000,49577000,0,8629000,35347000,86828000,None,None,None,81644000,347642000,None,301510000,0,11828000,0,295921000,86828000,0,0,205000,0,339073000,-105178000,None,None,None,81644000,None,None,10855000,49577000,None,None,None,67410000,437915000,35347000,None,None,USD,None,25484000,-963000,283000,None,-20422000,-1200000,-2361000,12955000,-12907000,8478000,-2351000,5633000,-1169000,-19253000,-35421000,3071000,-893000,963000,3071000,None,-12907000,32.21,44.46
14,2018-02-28,USD,243232000,70049000,173013000,70219000,171000,-3891000,0,0,127000,0,70049000,1000,170000,0,44000,None,None,None,0,0,0,4018000,-4688000,0,-3891000,-3891000,None,USD,415580000,0,None,5562000,108278000,307302000,40396000,15045000,205000,326738000,51494000,0,8718000,48254000,56784000,None,None,None,86276000,320586000,None,307302000,0,6806000,0,260500000,56784000,0,0,205000,0,326738000,-85099000,None,None,None,8182000,None,None,11098000,51494000,None,None,None,65458000,415580000,48254000,None,None,USD,None,-21686000,-2945000,0,None,-1235000,None,-223000,-3891000,27204000,31384000,140000,5860000,-1216000,-19000,42435000,-951000,7430000,2945000,1096000,None,27204000,23.36,32.21
15,2017-08-31,USD,287469000,67787000,201802000,85667000,17881000,10697000,0,0,17824000,0,67787000,1000,17880000,0,57000,None,None,None,0,0,0,7127000,0,0,10697000,10697000,None,USD,442706000,0,None,6883000,133132000,309574000,40271000,21933000,205000,331898000,51844000,0,11432000,21050000,81288000,None,None,None,93041000,338233000,None,309574000,0,18797000,0,302935000,81288000,0,0,205000,0,331898000,-85138000,None,None,None,93041000,None,None,11573000,51844000,None,None,None,62609000,442706000,21050000,None,16000000,USD,None,-35802000,-3971000,0,-26700000,-28974000,None,3269000,10697000,2519000,35464000,5224000,5983000,-1214000,-1060000,54532000,1409000,-1497000,3971000,-3673000,None,2519000,20.1,23.36
16,2017-05-31,USD,235064000,61803000,166837000,68227000,6425000,3896000,0,0,6276000,0,61803000,1000,6424000,0,149000,None,None,None,0,0,0,2380000,0,0,3896000,3896000,None,USD,492812000,0,None,7029000,192609000,300203000,40050000,20367000,206000,322473000,51713000,0,10941000,18531000,114196000,26700000,26700000,None,96046000,385825000,None,300203000,0,13739000,26700000,357467000,114196000,0,0,206000,0,322473000,-84114000,None,None,None,96046000,None,26700000,11663000,78413000,None,None,None,61638000,492812000,18531000,None,16000000,USD,None,26212000,-5260000,0,26700000,15317000,None,-5303000,3896000,-6730000,-16787000,-4210000,6126000,-1220000,-10163000,-47866000,1626000,-26000,5260000,-919000,None,-6730000,20.45,20.1
17,2017-02-28,USD,253389000,58929000,181233000,72156000,13228000,8231000,0,0,13186000,0,58929000,1000,13227000,0,42000,None,None,None,0,0,0,4955000,0,0,8231000,8231000,None,USD,451355000,0,None,6711000,144748000,306607000,40222000,21855000,206000,319856000,52321000,0,10581000,25261000,92427000,None,None,None,97323000,343451000,None,306607000,0,12459000,0,309601000,92427000,0,0,206000,0,319856000,-74332000,None,None,None,97323000,None,None,12099000,52321000,None,None,None,60877000,451355000,25261000,None,17000000,USD,None,1144000,-7477000,0,26700000,-20493000,None,2974000,8231000,-37683000,-9713000,3441000,5835000,-1169000,-19324000,-29955000,2545000,-954000,7477000,2545000,None,-37683000,25.34,20.45
18,2016-11-30,USD,234201000,65924000,169762000,64439000,-1485000,-920000,0,0,-1527000,0,65924000,None,-1485000,0,42000,None,None,None,0,0,0,-607000,-5763000,0,-920000,-920000,None,USD,458478000,0,None,4737000,139596000,318882000,41216000,18488000,206000,312641000,53300000,0,10511000,62944000,86296000,None,None,None,96216000,351751000,None,318882000,0,5335000,0,279646000,86296000,0,0,206000,0,312641000,-59237000,None,None,None,9600000,None,None,12084000,53300000,None,None,None,65272000,458478000,62944000,None,18000000,USD,None,-982000,-21832000,0,None,-47827000,3000,175000,-920000,58822000,2065000,None,23699000,-5028000,223000,13232000,-2293000,2616000,21832000,None,None,58822000,26.11,25.34
19,2016-08-31,USD,274524000,66558000,192514000,82010000,15453000,9672000,0,0,15410000,0,66558000,1000,15452000,0,43000,None,None,None,0,0,0,5738000,0,0,9672000,9672000,None,USD,469669000,0,None,5630000,141645000,328024000,40491000,18936000,206000,314851000,52723000,0,9133000,33509000,88922000,None,None,None,102932000,357604000,None,328024000,0,12673000,0,314925000,88922000,0,0,206000,0,314851000,-51990000,None,None,None,102932000,None,None,12232000,52723000,None,None,None,64957000,469669000,33509000,None,18000000,USD,None,-50527000,-5516000,0,26700000,-11384000,None,4684000,9672000,-8040000,8860000,5624000,5925000,-1247000,-10137000,36294000,1409000,2227000,5516000,-355000,None,-8040000,29.66,26.11
