,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-03-31,USD,1088000,2814000.0,551000,537000,-1726000,683000,394000,None,622000,None,1439000,None,-1726000,None,None,-61000,3148000,3148000,None,None,None,-61000,-800000,None,683000,683000,None,USD,15038000,4353000,None,22000,11204000,3834000,None,3422000,None,-62004000,1144000,6077000,127000,2870000,9750000,None,4431000,12835000,665000,3816000,None,-6596000,None,559000,None,None,165000,None,None,None,None,None,None,None,80000,None,11222000,484000,310000,115000,1454000,None,None,None,53003000,None,2870000,None,1000000,USD,None,0,None,None,None,None,None,None,683000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,1.66,
1,2019-12-31,USD,1114000,4197000.0,869000,245000,-6656000,-11292000,549000,None,-11237000,None,2843000,None,-3083000,None,None,55000,-7599000,-4577000,None,None,None,55000,-1002000,None,-11292000,-11292000,None,USD,17837000,4607000,None,29000,15060000,2777000,None,3815000,None,-62687000,1230000,6877000,126000,4341000,13506000,4000,7155000,13070000,707000,5520000,None,-8707000,None,680000,None,None,237000,None,None,None,None,None,None,None,12317000,None,12317000,508000,324000,108000,1554000,None,None,None,52394000,None,4341000,None,14000000,USD,None,0,None,None,None,None,None,None,-11292000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,3.025,1.66
2,2019-09-30,USD,1349000,3268000.0,604000,745000,-1919000,804000,563000,None,775000,None,1878000,None,-1919000,None,None,-29000,2694000,2694000,None,None,None,-29000,2471000,None,804000,804000,None,USD,16263000,5193000,None,110000,8221000,8042000,None,2261000,None,-51395000,1218000,7879000,None,973000,4964000,14000,14000,12013000,751000,2440000,None,-5030000,None,678000,1699000,None,441000,None,None,None,None,None,None,None,13823000,None,13823000,531000,2039000,101000,3257000,None,None,None,47424000,None,973000,None,None,USD,None,0,None,None,None,None,None,None,804000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,0.5559,3.025
3,2019-06-30,USD,394000,2493000.0,239000,155000,-185000,-226000,559000,None,-229000,None,1695000,None,-2099000,None,44000,-3000,1914000,1870000,None,None,None,-3000,1870000,None,-226000,-226000,None,USD,17768000,5510000,None,107000,11345000,6423000,None,2038000,None,-52199000,2628000,8112000,None,943000,5823000,24000,24000,12018000,864000,3282000,None,-7199000,None,781000,2527000,None,1602000,None,None,None,None,None,None,None,14486000,None,14486000,586000,2894000,94000,5522000,None,None,None,46604000,None,943000,None,None,USD,None,0,None,None,None,None,None,None,-226000,None,None,None,None,None,None,None,None,None,0.0,None,None,None,1.67,0.5559
4,2019-03-31,USD,427000,2561000.0,177000,250000,-2134000,-2284000,814000,0,-2284000,0,1570000,0,-2134000,0,-150000,None,-150000,-150000,0,0,0,0,-150000,0,-2284000,-2284000,0,USD,4685000,722000,None,105000,2103000,2582000,0,27000,0,-40052000,313000,523000,0,1950000,1742000,0,94000,11921000,273000,3167000,0,1337000,0,893000,48000,0,111000,0,0,0,0,0,0,0,1518000,0,1518000,142000,48000,88000,361000,0,0,0,42634000,0,1950000,0,None,USD,0,0,0,0,0,0,0,0,-2284000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,2.58,1.67
5,2018-12-31,USD,463000,2789000.0,184000,279000,-2326000,-3231000,777000,0,-3225000,0,1828000,0,-2326000,0,-974000,6000,None,None,0,0,0,6000,-899000,0,-3231000,-3231000,0,USD,6368000,796000,None,104000,2658000,3710000,0,544000,0,-49689000,1060000,523000,0,3717000,1598000,0,0,11805000,143000,4906000,0,2391000,0,1085000,0,0,103000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41594000,0,3717000,0,2000000,USD,0,0,-19.36,-0.89,0,491.13,1.52,4.04,-3231000,10.65,-458.29,0,3.78,0,102000,0,-11.02,122.34,2.31,0,0,0,2.97,2.58
6,2018-09-30,USD,248000,2344000.0,178000,70000,-2096000,-4610000,603000,0,-4610000,0,1563000,0,-2096000,0,-2541000,None,None,None,0,0,0,0,-2514000,0,-4610000,-4610000,0,USD,8553000,872000,None,94000,5156000,3397000,0,460000,0,-46458000,3700000,523000,109.70,6121000,1456000,0,0,11962000,150000,7008000,0,2002000,7.39,793000,0,0,270000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37893000,0,6121000,0,None,USD,0,0,0,0,0,0,0,0,-4610000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,10.2,2.97
7,2018-06-30,USD,297000,6280.28,206000,91000,-2455000,-2308000,547000,0,-2308000,0,1999000,0,-2455000,0,-67000,None,None,None,0,0,0,0,147000,0,-2308000,-2308000,0,USD,4550000,640000,None,93000,2657000,1893000,206000,798000,0,-41848000,760000,523000,206000,1995000,1897000,0,0,12156000,167000,3014000,0,730000,6.70,926000,0,0,194000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0,0,0,0,0,0,0,0,-2308000,0,0,0,0,0,0,0,0,0,0.0,0,0,0,nan,10.2
8,2018-03-31,USD,458000,2787000.0,223000,235000,-2329000,-1604000,487000,0,-1604000,0,2077000,None,-2329000,0,-18000,None,None,None,0,0,0,0,725000,0,-1604000,-1604000,None,USD,4291000,703000,None,296000,2474000,1817000,None,848000,None,-39540000,418000,523000,132000,1609000,2056000,None,None,12117000,176000,2757000,None,591000,97000,852000,None,None,195000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,318000,-24000,None,None,-8000,-92000,100000,-1604000,-1905000,-1857000,None,74000,None,None,None,-208000,-537000,24000.0,None,None,None,nan,nan
9,2017-12-31,USD,377000,6135000.0,173000,321000,-5358000,-4371000,517000,0,-4369000,0,2467000,None,-5358000,0,37000,None,None,None,0,0,0,1000,989000,0,-4371000,-4371000,None,USD,5927000,1287000,None,93000,2786000,3141000,61000,1393000,None,-37936000,1215000,523000,1287000,3514000,1571000,None,None,12583000,165000,4414000,None,1854000,93000,807000,None,None,178000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,134000,-153000,-36000,-63000,7511000,-87000,180000,-5313000,2203000,-5345000,None,33000,None,None,None,-138000,-919000,132000.0,None,None,None,nan,nan
