,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,26846000,None,None,None,None,6901000,None,None,8762000,None,None,None,None,14967000,5483000,1861000,27263000,21780000,None,None,None,1861000,None,None,6901000,6901000,None,USD,2542157000,21789000,None,None,2283810000,258347000,None,None,258347000,None,None,None,2210196000,55219000,None,None,None,None,65106000,None,176524000,236558000,176524000,None,85166000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,6901000,None,None,None,None,None,None,None,None,None,0,None,None,None,24.3,
1,2020-03-31,USD,26220,-17046,None,26220,43266,5099,None,None,50068,None,-14196,None,43266,-2850,-6802,1129000,26220000,19418000,None,None,None,-1129,None,None,51197,5099,None,USD,2374448,7484,233714000,None,2250956,249853,None,1971647,93,160177,11469000,14089,2011268000,64806,2124595,None,None,1508,64705,255152,1967820,101919,180592,9754,3000,None,9716,None,None,93,None,160177,-6937000,None,63252,None,2117350,None,3000,123361,126361,None,None,None,95012,2374448,245398,None,9000000,USD,77165001,-852443,92562250,-154724,4371624,-80546915,1997,919000,-15524356,-5622295,-17637630,781310,-1867159,-1381000,2808229,None,1538000,506245,2650409,1103435,None,-5622295,24.27,24.3
2,2020-01-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,2474000,None,None,None,None,None,None,None,1129000,None,None,None,5099000,None,USD,2374448000,7484000,None,None,2124595000,249853000,None,None,93000,160177000,None,14089000,2011268000,57078000,None,None,None,1508000,64705000,None,180592000,229267000,180592000,9754000,141479000,None,11469000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,-290000,-57038000,-4456000,8689000,None,57045000,919000,None,None,10704000,None,None,None,None,None,None,2027000,0,None,None,None,35.62,24.27
3,2019-12-31,USD,26646000,-14073000,None,26646000,40719000,7717000,None,None,47988000,None,-13685000,None,40719000,-388000,-7269000,1921000,26646000,19377000,None,None,None,-1921000,-441000,None,49909000,7717000,None,USD,2311849000,8334000,228184000,11292000,2180626000,248869000,None,1914614000,93000,156459000,None,14089000,1965982000,49215000,2062980000,None,None,1647000,65006000,236350000,1922785000,108800000,175843000,11292000,3000000,3694000,13702000,None,None,93000,None,156459000,3980000,None,65285000,None,2075499000,None,3000000,114646000,117646000,None,None,None,94650000,2311849000,225058000,None,9000000,USD,-105761000,577000,-54859000,142000,11288000,52022000,-1000,1882000,7717000,9620000,12457000,-3419000,950000,-1381000,0,None,356000,-761000,4334000,-2562000,None,9620000,38.36,35.62
4,2019-10-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,2257000,None,None,None,None,None,None,None,1921000,None,None,None,7717000,None,USD,2311849000,8334000,None,None,2062980000,248869000,None,None,93000,156459000,None,14089000,1965982000,42015000,None,None,None,1647000,65006000,None,175843000,227846000,175843000,11292000,132739000,None,15627000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,584000,-54859000,-304000,11288000,None,42115000,1882000,None,None,12457000,None,None,None,None,None,None,527000,0,None,None,None,36.41,38.36
5,2019-09-30,USD,23044000,-13857000,None,26922000,40779000,7828000,None,None,9804000,None,7617000,None,40779000,1831000,7362000,1976000,26922000,19560000,None,None,None,1976000,-441000,None,7828000,7828000,None,USD,2251207000,8800000,222653000,11648000,2008945000,242262000,None,1872520000,93000,150123000,None,14089000,1917440000,32394000,2008945000,None,None,1454000,65480000,221810000,171006000,220773000,171006000,11648000,121395000,3891000,15030000,None,None,93000,None,150123000,-3980000,None,64589000,None,2027455000,None,3000000,103327000,106327000,None,None,None,94572000,2251207000,210162000,None,9000000,USD,-37853000,282000,-37853000,-2235000,54012000,28667000,-21149000,-2837000,7828000,-3977000,5209000,2638000,1361000,-1382000,-2814000,None,-1459000,34000,1687000,1459000,None,-3977000,36.43,36.41
6,2019-07-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,1831000,None,None,None,None,None,None,None,1976000,None,None,None,7828000,None,USD,2251207000,8800000,None,None,2008945000,242262000,None,None,93000,150123000,None,14089000,1917440000,32394000,None,None,None,1454000,65480000,None,171006000,220773000,171006000,11648000,121395000,None,15030000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,282000,-37853000,-2235000,54012000,None,-21149000,-2837000,None,None,5209000,None,None,None,None,None,None,34000,0,None,None,None,34.85,36.43
7,2019-06-30,USD,22138000,12117000,None,22372000,None,7556000,None,None,9409000,None,7403000,None,10255000,1951000,7054000,1853000,26047000,18993000,None,None,None,1853000,-846000,None,7556000,7556000,None,USD,2214402000,9239000,214424000,10189000,1983386000,238392000,None,1893695000,93000,143677000,None,14089000,1889092000,40633000,1976010000,1193000,1193000,1247000,62727000,216357000,1846405000,207688000,165535000,10189000,3000000,3752000,12889000,None,None,93000,None,143677000,-1166000,None,63647000,None,1996107000,None,3000000,4376000,7376000,None,None,None,94541000,2214402000,206168000,None,9000000,USD,-27833000,5352000,-112992000,-105296000,6161000,23397000,93794000,-4121000,7556000,4014000,8450000,None,1337000,-1212000,-1166000,None,-1079000,-595000,1146000,None,None,None,34.83,34.85
8,2019-03-31,USD,29132,13681,None,29132,15451,7094,None,None,27373,None,13190,None,15451,491,-11922,1725000,25186000,18554000,None,None,None,1725000,-434000,None,27373,7094,None,USD,2176447,9902,209779000,9110000,1945068,231379,None,1874114,93,137333,9845000,14089,1865878000,36259,1945068,61109,None,-572,62508,206879,1823449,207388,161510,9110,15018000,3619000,9845,None,None,93,None,137333,None,None,57686,None,1967634,None,15018000,None,None,None,None,None,94525,2176447,197769,None,9000000,USD,19991000,1396000,-85159000,-78609000,-117133000,60068000,68019000,2068000,21348000,5060000,30151000,None,2505000,-3551000,None,None,1691000,-391000,6550000,None,None,None,30.8,34.83
9,2018-12-31,USD,54585000,24922000,4925000,49660000,24738000,7454000,0,None,35727000,None,24234000,None,24738000,688000,-10989000,None,None,None,None,None,None,1802000,-173000,None,35727000,7454000,None,USD,2206279000,10340000,None,10801000,1982250000,224029000,None,1796006000,93000,131451000,8060000,14089000,1842888000,47723000,1982250000,178184000,None,-1808000,62253000,2057873000,207211000,199600000,197872000,1812278000,173759000,3948000,8060000,None,None,93000,None,131451000,None,None,58302000,None,144984000,None,14994000,None,None,None,None,None,94293000,2206279000,245595000,None,9000000,USD,2786000,196000,-41898000,1039000,15137000,48184000,34216000,1285000,7454000,16254000,9968000,None,1211000,-1169000,None,None,None,-727000,4759000,None,None,None,33.9,30.8
