,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,5293907.0,16723563.0,10502648.0,-5208741.0,-6564805.0,-14935702.0,None,None,-16277708.0,-3550361.0,1227808.0,None,-11429656.0,None,4719796.0,23362,72001,-4647795,None,None,None,23362.0,-200257.0,None,-16301070.0,-17124612.0,None,USD,472131704.0,None,None,None,404395818.0,71286247.0,None,None,148812.0,-105129724.0,1559496,None,None,18520897.0,35065696,None,None,-109106675,436890062.0,35241642,None,2011968.0,None,2348015.0,367770626.0,None,30788625.0,None,None,None,None,None,None,None,None,None,436890062,None,None,None,369330122,None,None,None,None,None,None,None,None,USD,-1212446.0,None,None,None,None,10458105.0,None,None,-14935702.0,2847009.0,-6398650.0,None,4993107.0,0.0,None,-410227,2165724.0,None,0.0,None,None,None,8.88,
1,2020-03-31,USD,37208465.0,39011968.0,32148967.0,5059498.0,1666545.0,-12134789.0,None,None,-7878171.0,-2217509.0,1880125.0,None,-1803503.0,None,4561840.0,5454034,60365,-4501475,None,None,None,5454034.0,-1573193.0,None,-13332205.0,-14319968.0,None,USD,474762831.0,None,None,None,390700698.0,86279642.0,None,None,148235.0,-90134337.0,2070309,None,7339710,14736207.0,31315802,None,None,-94170645,440610440.0,34152391,None,-16047277.0,None,4513739.0,357314587.0,None,27098417.0,None,None,None,None,None,None,None,None,None,440610440,None,357314590,None,359384896,None,None,None,180258410,None,14736210,None,None,USD,-1784223.0,0,-1784220,12440,None,-5643846.0,-84500,None,-12134789.0,-5908316.0,1519753.0,None,4982876.0,-4189328.0,None,-1943351,400511.0,None,1796660.0,None,None,None,6.49,8.88
2,2019-12-31,USD,44304951.0,42367459.0,35025357.0,9279594.0,7831447.0,-1230057.0,None,None,-2341094.0,-1198732.0,1822064.0,None,1937492.0,None,4652503.0,-688803,86883,-4565620,None,None,None,-688803.0,287034.0,None,-1652291.0,-3418953.0,None,USD,487226790.0,None,None,9894942,385819619.0,102605903.0,None,4210494,142723.0,-73990690.0,2785338,None,5412084,23738066.0,24400397,None,None,-78096327,443267448.0,38547258,None,278984.0,None,4914250.0,358633884.0,None,20189903.0,None,None,None,None,None,None,None,448679532,None,448679532,None,358633880,None,361419222,None,None,None,180515860,None,23738070,None,None,USD,-1813212.0,0,-18709080,298470,None,-6026670.0,-106950,None,-1230057.0,-7268191.0,571691.0,None,5520038.0,-4054169.0,33066670,1232836,1470532.0,None,19007550.0,None,None,None,26.24,6.49
3,2019-09-30,USD,42552175.0,40397091.0,33648011.0,8904164.0,11077180.0,2082083.0,None,None,1374556.0,-554520.0,1768912.0,None,2155084.0,None,4722456.0,-694190,102768,-4619688,None,None,None,-694190.0,3839160.0,None,2068746.0,-106827.0,None,USD,498649964.0,None,None,10686895,391466409.0,107738075.0,None,4210494,142223.0,-68687461.0,2397095,None,4679010,30059697.0,28519424,None,None,-72863025,446839580.0,47131374,None,10098277.0,None,6384782.0,360549890.0,None,24308930.0,None,None,None,None,None,None,None,451518590,None,451518590,None,360549890,None,362946985,None,None,None,180415230,None,30059700,None,None,USD,-8212321.0,0,-16895870,296840,None,-1327856.0,-106950,None,2082083.0,-2086375.0,7453802.0,None,4980168.0,-4544799.0,33238530,299354,3320929.0,None,17192700.0,None,None,None,25.45,26.24
4,2019-06-30,USD,51540701.0,42622064.0,35958755.0,15581946.0,12161167.0,1240671.0,0,0,1964671.0,-310025.0,1554934.0,0,8918637.0,0,5088121.0,815356,155512,-4932609,0,0,0,815356.0,-2021357.0,0,1149315.0,-731711.0,0,USD,493124437.0,0,None,10530652,388758381.0,104676081.0,0,3993966,142223.0,-66820158.0,2000943,0,3976235,32402174.0,24694456,0,0,-71065506,436509664.0,52638538,0,7038308.0,0,9705712.0,362062982.0,0,20700490.0,0,0,0,0,0,0,0,440485899,0,440485899,0,362062980,0,364063925,0,0,0,175557740,0,32402170,0,0,USD,-3396162.0,527803,-3396162,166240,-26856312,-1561796.0,-106950,-1112193,1240671.0,3927175.0,8885133.0,0,5108375.0,-2976053.0,28377520,-761164,878795.0,1999014,8849790.0,0,0,0,25.43,25.45
5,2019-03-31,USD,47390300.0,41931266.0,16828410.0,30561890.0,11261800.0,-183260.0,0,0,-72050.0,12489.0,19074120.0,0,5624380.0,0,5305114.0,318160,-5696430,-5205818,0,0,0,318156.0,-325269.0,0,-390205.0,-1653760.0,0,USD,495791740.0,0,None,10095588,417154290.0,78637450.0,0,3414285,142220.0,-64406090.0,2351972,0,9254060,29004070.0,27128541,0,36978903.58,-68718595,441261070.0,49684164,0,9377194.0,0,10584510.0,387661290.0,0,23714256.0,0,0,0,0,0,0,0,446107572,0,446107572,0,387661290,0,390013258,0,0,0,147184200,0,29004070,0,0,USD,-5287384.0,4101739,-5287380,165700,-1332608,-4719450.0,-106950,-1396958,-390210.0,-4456650.0,5550180.0,0,6028740.0,-3386850.0,0,-933647,-3555238.0,278601,5453080.0,0,0,0,24.9116,25.43
6,2018-12-31,USD,42665977.0,39935486.0,33219313.0,9446664.0,2730491.0,-2297655.0,0,0,-3183146.0,441706.0,1614704.0,0,2730491.0,0,-5382604.0,-412700,None,None,0,0,0,-412696.0,-5913637.0,0,-2770450.0,-3768162.0,0,USD,493482847.0,2465421,None,9338392,411216475.0,12564412.0,0,3409593,142093.0,-61052420.0,2815283,0,7596600,33792773.0,19677689,0,0,-65432160,435725814.0,50160433,0,12564412.0,0,7029268.0,388723503.0,0,16268096.0,0,0,0,0,0,0,0,0,0,0,0,388723500,0,0,0,0,0,147085110,0,33792770,0,0,USD,0.0,-2288316,-3574670,19202,-1886594,-4795300.0,-147656,1029166,-2297655.0,-4172450.0,4197520.0,0,5101469.0,-2574560.0,1579240,0,1196663.0,1033939,101837490.0,0,0,0,24.76,24.9116
7,2018-09-30,USD,41418062.0,38306474.0,32243023.0,9175039.0,3111588.0,-1596164.0,0,0,-2728704.0,269346.0,1516408.0,0,3111588.0,0,-5306641.0,None,None,None,0,0,0,-746924.0,-5840292.0,0,-1981780.0,-3065883.0,0,USD,501942162.0,0,None,11914543,413439349.0,19977771.0,0,3412239,142093.0,0.0,2361234,0,7260624,37015264.0,20736446,0,0,-60078890,437525800.0,57155738,0,19977771.0,0,8225931.0,390341669.0,0,17324207.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,USD,0.0,-675985,-7250284,676012,12855751,9813227.0,-1471924,531172,-1596164.0,8303892.0,5740949.0,0,4547044.0,-3336327.0,0,0,2496544.0,302669,0.0,0,0,0,25.43,24.76
8,2018-06-30,USD,51553527.0,908417.02,35170080.0,16383447.0,9277958.0,2797258.0,0,0,4290603.0,877230.0,1503549.0,0,9277958.0,-474667.37,-5087482.0,None,None,None,0,0,0,1323014.0,-4987355.0,0,2967589.0,1352414.0,0,USD,492699023.0,0,None,11995015,400606004.0,22960598.0,0,3302095,141211.0,0.0,1861704,0,6584257,28435806.0,20579672,0,31859487.53,-55322815,434285458.0,51829308,0,22960598.0,0,11398487.0,378164628.0,0,17277577.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,0.0,1730946,-4614593,-648188,-2758036,-6140305.0,-191247,-992629,2797258.0,-1838109.0,8916789.0,0,5601940.0,-3191022.0,0,0,-696737.0,200236,0.0,0,0,0,25.3,25.43
9,2018-03-31,USD,41735556.0,37037530.0,29857040.0,11878516.0,4698026.0,1206501.0,0,0,1482443.0,920276.0,1546300.0,None,4698026.0,5634190,-4177019.0,None,None,None,0,0,0,305955.0,-3215583.0,0,1176488.0,-238343.0,None,USD,495355198.0,None,None,11109018,403035352.0,23144379.0,None,3229002,141211.0,-50558067.0,2570635,None,5190855,30673556.0,19763535,380701182,380701182,-55131009,438649721.0,51514622,None,23144379.0,None,9732048.0,380701182.0,None,16534533.0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-5851104.0,2702163,-85459500,870741,85350988,80297293.0,-2006021,2073902,1206501.0,2145906.0,7308113.0,None,5634190.0,-3047674.0,None,None,-3750945.0,-744392,80479137.0,None,None,None,24.9939,25.3
