,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,203400000,247500000,216800000,-13400000,-40000000,-39100000,None,None,-53200000,-1300000,22800000,None,-44100000,127100000,5300000,-13400000,100000,-5200000,None,None,None,-13400000,-3900000,None,-39800000,-39100000,None,USD,1255400000,140700000,None,None,989700000,267000000,None,None,None,84300000,62900000,585800000,74000000,18100000,310300000,None,16200000,-5600000,310300000,134500000,10100000,-459500000,None,93300000,350200000,None,99100000,None,None,None,None,None,None,None,31000000,None,1120900000,364100000,None,62900000,679400000,None,None,None,None,None,None,None,None,USD,-4300000,-22300000,-4300000,None,-16800000,-17200000,-400000,-18300000,-39100000,-3800000,17800000,None,7600000,None,0,None,None,36900000,4000000,None,None,None,20.71,
1,2020-03-31,USD,409700000,468100000,439900000,-30200000,-50500000,-46100000,None,None,-62400000,-200000,20700000,None,-58400000,127100000,4400000,-16800000,100000,-4300000,None,None,None,-16800000,300000,None,-45600000,-46100000,None,USD,1395100000,148300000,None,None,1088500000,306800000,None,None,None,123400000,53900000,585700000,80500000,21600000,366000000,None,18800000,-5700000,375300000,195100000,10200000,-427200000,None,148600000,362900000,None,121500000,None,None,None,None,None,-70600000,None,28300000,None,1200000000,414200000,362900000,53900000,722500000,None,None,None,259700000,None,21900000,None,21000000,USD,-4300000,6100000,-4300000,400000,9900000,-5900000,-500000,2900000,-46100000,-2200000,8200000,None,7500000,None,-15300000,None,None,34400000,4000000,None,None,None,20.75,20.71
2,2019-12-31,USD,421500000,403000000,367200000,54300000,26100000,8800000,None,None,14300000,-200000,28200000,None,18500000,127100000,4200000,4800000,0,-4200000,None,None,None,4800000,-4200000,None,9500000,8800000,None,USD,1479600000,152200000,None,None,1105700000,374100000,4300000,21600000,None,169500000,57100000,586000000,40500000,23600000,369800000,17900000,17900000,-2700000,479600000,211100000,10200000,-364100000,None,151300000,351100000,None,115300000,None,None,None,None,None,-55300000,None,21600000,None,1268500000,442900000,351100000,57100000,735900000,None,None,None,262600000,None,24100000,None,22000000,USD,-4300000,12800000,-4300000,300000,-6100000,-22500000,-800000,-900000,8800000,-5500000,21200000,None,7500000,None,-15600000,None,-12900000,5700000,3800000,None,None,None,42.43,20.75
3,2019-09-30,USD,418600000,393200000,359900000,58700000,32800000,14200000,None,None,20700000,-200000,26000000,None,25400000,127100000,4800000,5700000,100000,-4700000,None,None,None,5700000,-4700000,None,15000000,14200000,None,USD,1475800000,154600000,None,None,1097500000,378300000,4500000,16500000,None,160600000,59300000,585700000,42100000,29200000,344100000,14400000,14400000,-3300000,487700000,195300000,10400000,-362000000,None,139700000,355700000,None,102500000,None,None,None,None,None,-39800000,None,20300000,None,1280500000,455500000,355700000,59300000,753400000,None,None,None,260800000,None,29600000,None,22000000,USD,-2800000,-4900000,-2800000,300000,-4000000,-23400000,-1000000,2200000,14200000,7300000,33500000,None,6700000,None,-18400000,None,12000000,3000000,2200000,None,None,None,37.0,42.43
4,2019-06-30,USD,414200000,387300000,352300000,61900000,34700000,15200000,None,None,22100000,100000,27700000,None,26900000,None,4900000,5800000,100000,-4800000,None,None,None,5800000,-5100000,None,16300000,15200000,None,USD,1491800000,158400000,None,None,1109900000,381800000,4400000,15300000,None,146500000,59200000,585800000,42300000,22100000,344000000,14000000,14000000,-3100000,496500000,198500000,10300000,-362400000,None,150300000,358300000,None,107400000,None,None,None,None,None,-21100000,None,19900000,None,1293300000,466000000,358300000,59200000,765900000,None,None,None,259500000,None,22300000,None,23000000,USD,-2200000,4100000,-2200000,200000,-15200000,-27200000,-700000,2900000,15200000,-1400000,28200000,None,7700000,None,-11300000,None,-6100000,2800000,2100000,None,None,None,31.93,37.0
5,2019-03-31,USD,409400000,390500000,356200000,53200000,26400000,10600000,None,None,14000000,-300000,26100000,None,18900000,None,5000000,3100000,-4900000,-4900000,None,None,None,3100000,-5900000,None,10900000,10600000,None,USD,1515200000,162200000,None,None,1137900000,377300000,4700000,15500000,None,131300000,58400000,585700000,37200000,23700000,339400000,13300000,13300000,-2200000,521200000,194300000,9900000,-370600000,None,156200000,358300000,None,103300000,None,None,None,None,None,-9800000,None,19000000,None,1320900000,492700000,370700000,58400000,798800000,None,None,None,258000000,None,23700000,None,23000000,USD,-3200000,-6800000,-3200000,100000,-3300000,-6300000,-700000,-12400000,10900000,-16200000,-6900000,None,7400000,None,-2300000,None,-5700000,1200000,3300000,None,None,None,34.12,31.93
6,2018-12-31,USD,199000000,178800000,150600000,48400000,20200000,9100000,0,0,12500000,100000,23000000,None,20200000,0,-3100000,None,None,None,1500000,0,0,2700000,-7700000,0,9800000,9100000,None,USD,1072300000,183600000,None,None,703700000,368500000,9700000,22200000,None,120700000,83300000,585500000,45300000,39900000,246900000,13200000,13200000,-2400000,40300000,207800000,9800000,-400600000,None,150700000,373500000,None,110100000,None,None,None,None,None,-7500000,None,None,None,None,None,373500000,None,None,None,None,None,257700000,None,39900000,None,23000000,USD,None,10000000,-280400000,-258400000,268800000,265000000,-3800000,9300000,9100000,19700000,35300000,None,4800000,None,None,None,-2300000,4200000,2200000,None,None,None,29.54,34.12
7,2018-09-30,USD,187300000,164600000,142300000,45000000,22700000,13500000,0,0,20100000,100000,18100000,None,22700000,0,-2100000,None,None,None,0,0,0,5600000,-2600000,0,14500000,13500000,None,USD,753400000,68600000,None,13100000,394700000,358700000,8700000,18100000,0,111100000,89800000,431600000,47300000,20200000,218000000,20900000,20900000,-1600000,26300000,169700000,9900000,-141500000,0,136400000,86900000,0,93500000,358700000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,None,-1300000,-2700000,0,-19100000,-20100000,-1000000,-1200000,13500000,-12300000,10300000,None,3700000,0,0,0,-5700000,1000000,2700000,None,None,None,36.5,29.54
8,2018-06-30,USD,195100000,169200000,144000000,51100000,25900000,15300000,0,0,22200000,100000,20700000,None,25900000,-4000000,-2200000,None,None,None,0,0,0,6000000,-3700000,0,16200000,15300000,None,USD,761000000,71000000,None,12300000,415800000,345100000,9300000,17300000,0,97600000,91700000,431500000,47200000,32500000,218400000,20700000,20700000,-1800000,26000000,175700000,9600000,-157400000,0,130900000,105700000,0,94900000,345200000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,None,-2800000,-1800000,0,-20100000,-20900000,-800000,2100000,15300000,4000000,26900000,None,4000000,0,0,0,5500000,2300000,1400000,None,None,None,37.2,36.5
9,2018-03-31,USD,193900000,179600000,154500000,39400000,14300000,15300000,0,0,21200000,100000,21100000,None,14300000,4000000,-2100000,None,None,None,0,0,0,5300000,6900000,0,15900000,15300000,None,USD,765400000,81900000,None,11300000,437100000,328300000,0,18100000,0,82200000,94500000,431600000,38800000,28500000,217100000,20600000,20600000,-1600000,27100000,176300000,9700000,-185200000,0,136500000,125500000,0,97600000,328300000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,19300000,-5100000,16500000,0,-7900000,-8800000,-900000,5900000,15300000,5700000,-1600000,None,5200000,0,0,0,-14200000,-8900000,2600000,None,None,None,35.6,37.2
10,2017-12-31,USD,392400000,1029900000,351000000,139400000,111000000,7800000,0,0,14900000,700000,19600000,None,17100000,19100000,2100000,None,None,None,0,0,0,6400000,-8300000,0,61300000,7800000,None,USD,762900000,518000000,None,15500000,449800000,312900000,0,96600000,0,65800000,96600000,431700000,574900000,22800000,220000000,20600000,20600000,-1200000,27400000,160600000,18600000,-205100000,0,122300000,133200000,0,102800000,313100000,254600000,0,0,67000000,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,8400000,-7200000,2300000,9100000,-44000000,-47200000,-3200000,-7400000,7800000,600000,45200000,None,19500000,0,0,0,-2600000,500000,6800000,None,None,None,37.1,35.6
11,2017-09-30,USD,392700000,-404900000,346800000,-11600000,-34400000,11200000,0,0,19300000,800000,19500000,None,21500000,10300000,2200000,None,None,None,0,0,0,7300000,100000,0,-22500000,11200000,None,USD,765900000,521000000,None,10200000,460400000,305100000,0,94200000,0,57900000,96900000,431700000,580900000,23400000,210500000,20400000,20400000,-1200000,26500000,158500000,None,-215900000,0,124900000,153000000,0,95900000,305500000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,19300000,-12100000,4400000,9300000,4100000,-24900000,-1000000,-7200000,11200000,-4100000,21400000,None,0,0,0,0,0,2400000,4900000,None,None,None,39.5,37.1
12,2017-06-30,USD,403500000,203700000,346000000,17000000,-6600000,16200000,0,0,28000000,1100000,21500000,None,31200000,-15000000,2300000,None,None,None,0,0,0,10700000,500000,0,-100000,16200000,None,USD,769700000,524400000,None,10600000,476600000,292500000,0,99000000,0,46400000,100400000,431600000,583500000,27500000,227400000,169200000,169200000,-1400000,28100000,158100000,None,-231900000,0,120000000,148800000,0,108000000,293100000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,8400000,-6000000,5800000,9300000,-23000000,-28000000,-800000,10200000,16200000,5900000,27400000,None,0,0,0,0,500000,-7900000,3500000,None,None,None,30.55,39.5
13,2017-03-31,USD,401900000,0,361400000,40500000,12600000,6000000,0,0,10000000,700000,21100000,None,12800000,6600000,2600000,None,None,None,0,0,0,3300000,-2700000,0,5800000,6000000,None,USD,773900000,528400000,None,11800000,498500000,275200000,0,89300000,0,30100000,103500000,431400000,586400000,21600000,223600000,20400000,20400000,-1500000,29100000,158400000,None,-214300000,0,125000000,171400000,0,113900000,275400000,0,0,0,0,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000,USD,8400000,-6100000,-1400000,0,-3500000,-4200000,None,1200000,6000000,-600000,5000000,None,0,0,0,0,0,300000,1100000,None,None,None,33.75,30.55
14,2016-12-31,USD,394300000,829900000,347200000,132500000,61900000,9600000,0,0,15200000,700000,19600000,None,20600000,33700000,2400000,None,None,None,0,0,0,4900000,-17100000,0,26000000,9600000,None,USD,778600000,534100000,None,13700000,510200000,268200000,0,98600000,0,24500000,106600000,431400000,591100000,22200000,228900000,20400000,20400000,-1400000,30900000,156600000,18600000,-265900000,0,120700000,174700000,0,109900000,268400000,251200000,0,0,25900000,-7500000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,8400000,16000000,-13800000,0,-31300000,-42100000,-3300000,-800000,9600000,3500000,59700000,None,32400000,0,0,0,-15900000,4800000,13000000,None,None,None,28.15,33.75
15,2016-09-30,USD,397200000,0,353300000,-3100000,0,7000000,0,0,12800000,700000,19300000,None,16800000,0,2700000,None,None,None,0,0,0,5100000,-200000,0,0,7000000,None,USD,778900000,539000000,None,23500000,518600000,260100000,0,96200000,0,15000000,111300000,431500000,583600000,19300000,212300000,None,None,None,31800000,163500000,None,None,0,None,195000000,0,97000000,260300000,0,0,0,0,-5400000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,22000000,USD,None,2400000,-9900000,900000,None,-20000000,None,None,7000000,None,30600000,None,0,0,0,0,0,None,10800000,None,None,None,25.57,28.15
16,2016-06-30,USD,379300000,0,332300000,8600000,0,6500000,0,0,12300000,900000,22000000,None,16600000,0,2600000,None,None,None,0,0,0,4900000,300000,0,0,6500000,None,USD,785600000,543800000,None,30000000,528700000,256900000,0,95100000,0,7900000,113800000,431600000,586200000,22100000,216100000,None,None,None,33100000,166300000,None,None,0,None,198800000,0,103200000,256900000,0,0,0,0,-900000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,None,7300000,-6100000,2500000,None,-11800000,None,None,6500000,None,21300000,None,0,0,0,0,0,None,8600000,None,None,None,22.58,25.57
17,2016-03-31,USD,397600000,0,359200000,38400000,0,0,0,0,1500000,600000,22300000,None,7900000,0,2800000,None,None,None,0,0,0,900000,-3100000,0,0,0,None,USD,796300000,550100000,None,34800000,546700000,250000000,0,97100000,0,1600000,115200000,431500000,591700000,30800000,213700000,None,None,None,32400000,0,None,None,0,None,217800000,0,100100000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,None,5700000,0,2500000,None,7200000,None,None,0,None,4800000,None,0,0,0,0,0,None,2500000,None,None,None,24.06,22.58
18,2015-12-31,USD,405368000,875400000,365729000,127264000,45800000,2594000,0,0,3814000,886000,18410000,None,12603000,34000000,2641000,None,None,None,0,0,0,334000,-17892000,0,20300000,2594000,None,USD,784100000,557200000,None,26200000,534000000,249600000,0,97300000,0,1700000,116500000,431300000,599500000,18700000,207600000,15200000,15200000,-1100000,34600000,137700000,19200000,-307600000,0,105100000,209900000,0,95100000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,8400000,-11400000,-11800000,0,-26300000,-30600000,-4300000,-800000,2594000,500000,43600000,None,33200000,0,0,0,3500000,-1200000,9600000,None,None,None,23.9,24.06
19,2015-09-30,USD,400763000,0,357927000,-3599000,0,3707000,0,0,8001000,778000,22090000,None,12471000,0,2954000,None,None,None,0,0,0,3516000,567000,0,0,3707000,None,USD,800751000,563778000,None,27706000,553981000,246055000,0,93281000,22000,0,122475000,431457000,608974000,18992000,200488000,None,None,None,38001000,0,None,None,0,None,231018000,0,91233000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,23000000,USD,None,None,-7893000,0,None,-9820000,None,None,3707000,None,19131000,None,0,0,0,0,0,None,6558000,None,None,None,23.15,23.9
