,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-07-31,USD,491658000,731117000,132052000,359606000,-207770000,-261322000,197297000,None,-260109000,None,401768000,None,-239459000,None,30148000,1213000,3581000,-26567000,None,None,None,1213000,5917000,None,-261322000,-261322000,None,USD,5646492000,209124000,None,None,3977011000,1669481000,74498000,None,160000,-2128372000,145197000,1292840000,473721000,1467895000,1233667000,None,None,-4730000,572760000,3080394000,17653000,167517000,588773000,793081000,2248396000,None,40804000,None,None,None,None,None,None,None,68888000,None,2566098000,349751000,None,1889000,2743344000,None,None,None,None,None,None,None,None,USD,227746000,-2656000,227746000,-511000,577615000,485703000,-137379000,24504000,-261322000,545388000,-170076000,None,22191000,None,None,None,-142838000,131481000,14645000,None,None,None,209.82,
1,2020-04-30,USD,434077000,594072000,128617000,305460000,-282811000,-305579000,192124000,None,-307248000,None,401948000,5801000,-288612000,6716000,24437000,-1669000,6475000,-17962000,None,None,None,-1669000,-674000,None,-305579000,-305579000,None,USD,5224268000,223684000,None,1761122000,3414213000,1810055000,153141000,769044000,158000,-1867050000,154286000,1292840000,494548000,922507000,1160044000,None,None,-1948000,168221000,2629181000,335427000,1810055000,834067000,720886000,1735046000,None,391000000,None,None,158000,None,-1867050000,None,None,398652000,None,83386000,364837000,1735046000,365982000,2254169000,None,None,None,3678895000,5224268000,1756574000,None,158841311,USD,167688000,-86755000,147009000,-2375000,577615000,-47810000,-49228000,-134837000,-305579000,145243000,46044000,-332640000,67096000,None,1418000,None,327099000,60208000,14756000,327099000,None,145243000,140.36,209.82
2,2020-01-31,USD,791182000,671113000,127838000,663344000,1000,-22728000,197513000,None,-24721000,None,473600000,7770000,-7769000,3946000,24722000,-1993000,8769000,-15953000,None,None,None,-1993000,-999000,None,-22728000,-22728000,None,USD,5439471000,238415000,None,228911000,3440042000,1999429000,88990000,829377000,157000,-1561471000,177485000,1292840000,626017000,778653000,1312296000,None,None,-5312000,156928000,2822815000,504304000,468174000,976508000,838743000,1714630000,None,482919000,None,None,157000,None,-1561471000,None,None,335179000,None,88990000,235631000,1714630000,413116000,2127746000,None,None,None,3566055000,5439471000,1755161000,None,157787548,USD,4061000,127144000,-64697000,-21163000,577615000,28820000,-103777000,99056000,-22728000,-94708000,-58831000,23762000,69952000,None,28820000,None,-514156000,234467000,47595000,-514156000,-618000,-96369000,155.26,140.36
3,2019-10-31,USD,626336000,566002000,107819000,518517000,-35088000,-57639000,158887000,None,-59494000,None,407115000,12397000,-47485000,2152000,24406000,-1855000,12612000,-11794000,None,None,None,-1855000,-215000,None,-57639000,-57639000,None,USD,5069797000,248997000,None,1782154000,3243680000,1826117000,165723000,689877000,155000,-1538743000,166104000,1278456000,423884000,873470000,1136648000,None,None,-3161000,125626000,2647640000,66933000,1826117000,948352000,994092000,1693951000,None,446771000,None,None,155000,None,-1538743000,None,None,278261000,None,67842000,246977000,1693951000,247358000,2107032000,None,None,None,3367866000,5069797000,1821822000,None,155900867,USD,-14086000,35972000,-617472000,-576296000,577615000,-46399000,-46467000,-75970000,-57639000,-798734000,-134863000,-168574000,58192000,None,68000,None,-226485000,166032000,27090000,-226485000,None,-798734000,119.96,155.26
4,2019-07-31,USD,516558000,505147000,98308000,418250000,-71136000,-100872000,134110000,None,-95240000,None,371037000,15761000,-86897000,2875000,24104000,5632000,16415000,-7689000,None,None,None,5632000,-654000,None,-100872000,-100872000,None,USD,4487570000,77417000,None,835463000,3053730000,1433840000,160888000,645370000,151000,-1481104000,161475000,503388000,357233000,1672005000,1027215000,None,None,-3484000,94869000,3145426000,94009000,1433840000,903864000,701436000,1673569000,None,381845000,None,None,151000,None,-1481104000,None,None,215228000,None,64705000,191471000,1673569000,192058000,2026515000,None,None,None,2918277000,4487570000,2575869000,None,151344012,USD,-8003000,23429000,-19537000,-875000,None,-14008000,-48686000,-85138000,-100872000,-162516000,-128971000,-223083000,54880000,None,34678000,None,-123608000,139411000,11534000,-123608000,None,-161473000,135.31,119.96
5,2019-04-30,USD,424850000,474013000,95823000,329027000,-129179000,-155429000,129290000,None,-152196000,None,344723000,15807000,-144986000,6156000,23017000,3233000,-6671000,-6671000,None,None,None,3233000,-539000,None,-155429000,-155429000,None,USD,4406744000,84497000,None,888122000,2980718000,1426026000,173999000,631732000,150000,-1380232000,174444000,503388000,266588000,1835229000,973568000,39140000,39140000,-3165000,89615000,3114822000,146159000,1426026000,840215000,490455000,1653479000,None,341836000,None,None,150000,None,-1380232000,None,None,201675000,None,61433000,179227000,1653479000,179672000,2007150000,None,None,None,2809273000,4406744000,2675444000,None,150170702,USD,8625000,-72407000,-6275000,8625000,None,-68647000,-69007000,-107245000,-155429000,-39893000,35029000,-196781000,59593000,None,360000,None,184358000,60266000,14900000,184358000,-1043000,-40936000,138.04,135.31
6,2019-01-31,USD,622085000,504195000,93733000,528352000,46188000,2126000,131151000,0,13875000,0,373044000,22031000,24157000,2409000,32313000,11749000,None,None,0,0,0,11749000,-856000,0,2126000,2126000,None,USD,4500243000,91622000,None,151420000,2979786000,1520457000,64766000,673018000,149000,-1232044000,250874000,503388000,257906000,1876165000,1045138000,None,None,-2506000,158276000,3378463000,110588000,925447000,881220000,469658000,1634474000,None,372120000,None,None,149000,None,-1232044000,None,None,193140000,None,64766000,None,1634474000,300174000,1934648000,None,None,None,2754858000,4500243000,2757385000,None,149167298,USD,-70951000,198090000,-78934000,-375000,-1589000,-41780000,-62590000,-70597000,2126000,6654000,127368000,-133360000,53396000,None,22399000,None,-166342000,175584000,7983000,-166342000,1395000,8049000,124.84,138.04
7,2018-10-31,USD,480983000,441764000,89225000,391758000,-41621000,-55705000,117722000,0,-53891000,0,324042000,8385000,-50006000,2477000,12270000,None,None,None,0,0,0,1814000,-3885000,0,-55705000,-55705000,None,USD,4139674000,98738000,None,849127000,2717807000,1421867000,197992000,504587000,148000,-1234170000,231238000,503388000,159231000,1868116000,809396000,None,None,-4583000,156502000,3108068000,113747000,1421867000,803382000,410544000,1614945000,0,304809000,0,0,148000,0,-1234170000,0,None,None,None,52003000,None,1614945000,95474000,1908411000,None,None,None,2660472000,4139674000,2671498000,None,147783032,USD,-434427000,49013000,-441746000,-744000,2105581000,1831647000,-274275000,-25554000,-55705000,1448976000,59075000,-133908000,43670000,0,341000,0,-55489000,155789000,7319000,-55489000,-541000,1448435000,99.84,124.84
8,2018-07-31,USD,388303000,408413000,83748000,304555000,-104194000,-103499000,106739000,0,-102688000,0,301674000,-336000,-103858000,2882000,-1506000,None,None,None,0,0,0,811000,-1560000,0,-103499000,-103499000,None,USD,2151517000,105865000,None,742259000,1004681000,1146836000,166976000,494610000,146000,-1178465000,201107000,503388000,113439000,419681000,741346000,68516000,68516000,-2730000,156409000,1262666000,9750000,1146836000,471902000,317831000,0,0,246736000,0,0,146000,0,-1178465000,0,None,None,None,43435000,None,None,96359000,263335000,None,None,None,2327885000,2151517000,891583000,None,146611514,USD,-2705000,36281000,-119007000,-110740000,-629000,23813000,-274275000,25919000,-103499000,-61670000,33524000,-130781000,29479000,0,24442000,0,-39214000,137759000,5562000,-39214000,-475000,-62145000,96.1,99.84
9,2018-04-30,USD,311639000,355135000,77970000,233669000,-121601000,-118499000,86357000,0,-120487000,0,268778000,-135000,-121466000,5548000,-1114000,None,None,None,0,0,0,-1988000,-2325000,0,-118499000,-118499000,None,USD,2050282000,87537000,None,653785000,931742000,1118540000,176076000,472313000,144000,-1074966000,211042000,413881000,82763000,481826000,658472000,71660000,71660000,-1538000,155674000,1300677000,9750000,1118540000,468321000,253922000,0,0,186159000,0,0,144000,0,-1074966000,0,None,None,None,36754000,None,None,97194000,273270000,None,None,None,2194900000,2050282000,950147000,None,144985870,USD,146875000,-39550000,-139591000,-284170000,-589000,-255000,-779000,-96790000,-118499000,-63359000,76487000,-156514000,27028000,0,1113000,0,195576000,49947000,2296000,195576000,-762000,-64121000,102.65,96.1
