,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,246835000,75219000,172061000,74774000,-445000,-1130000,None,None,-1979000,None,75219000,None,-445000,None,1534000,-849000,None,-1534000,None,None,None,-849000,None,None,-1130000,-1130000,None,USD,662329000,213000,None,14939000,553144000,109185000,None,35081000,436000,21899000,3524000,1496000,None,22090000,314391000,120402000,133554000,None,95924000,343025000,None,107476000,None,5145000,23760000,300851000,158908000,None,None,436000,None,21899000,None,None,221671000,None,319304000,246550000,23760000,238753000,238753000,None,None,None,86850000,662329000,22090000,None,43551000,USD,-5857000,48983000,-5857000,-1024000,-4330000,-5019000,-689000,-3501000,-1130000,20405000,31281000,-3515000,5417000,None,None,-23298000,323000,4501000,4833000,323000,None,20405000,11.17,
1,2020-03-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-849000,None,None,None,-1130000,None,USD,662329000,213000,None,None,553144000,109185000,None,None,436000,21899000,3524000,1496000,None,22090000,314391000,None,133554000,None,317595000,343025000,None,107476000,None,581000,23760000,300851000,86111000,None,None,None,None,None,None,None,None,None,319304000,246550000,None,None,238753000,None,None,None,None,None,None,None,None,USD,-5857000,46645000,-5857000,None,-4330000,-5019000,None,-3501000,-1130000,20405000,31281000,None,5333000,None,None,-23298000,323000,10577000,4833000,None,None,None,6.16,11.17
2,2020-02-29,USD,258152000,71843000,173124000,85028000,13185000,9683000,None,None,11742000,None,71843000,None,13185000,-1430000,1443000,-849000,None,-1534000,None,None,None,2059000,-1443000,None,9683000,9683000,None,USD,616641000,220000,None,12732000,506373000,110268000,None,34487000,433000,23029000,562000,1496000,None,1685000,264776000,122014000,133554000,None,98767000,291638000,None,108552000,None,1716000,23760000,275505000,108275000,None,None,433000,None,23029000,None,None,224520000,None,325003000,246550000,23781000,241597000,241597000,None,None,None,86806000,616641000,1685000,None,43296000,USD,-5857000,-55916000,-7387000,71000,-12913000,-12684000,229000,-2214000,9683000,-52000,20019000,-2662000,5317000,None,403000,62389000,323000,1492000,7458000,-284000,None,-52000,6.0,6.16
3,2019-12-31,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,-1430000,None,None,None,None,None,None,None,2059000,None,None,None,9683000,None,USD,616641000,220000,None,None,506373000,110268000,None,10869000,433000,23029000,562000,1496000,None,1685000,264776000,None,137841000,None,323287000,291638000,None,108552000,None,904000,23781000,275505000,38157000,None,None,None,None,None,None,None,None,None,325003000,251741000,None,None,241597000,None,None,None,None,None,None,None,None,USD,-7387000,-57561000,-7387000,9533000,-12913000,-12684000,None,-2214000,9683000,-52000,20019000,None,5230000,None,None,62389000,-284000,28940000,7458000,None,None,None,8.03,6.0
4,2019-11-30,USD,242466000,68336000,158256000,84210000,15874000,10493000,None,None,13780000,None,68336000,None,15874000,-1430000,2094000,2059000,None,-1443000,None,None,None,3287000,-2481000,None,10493000,10493000,None,USD,673012000,226000,None,11062000,573193000,99819000,None,35451000,432000,13346000,None,1749000,140000,1737000,346724000,138680000,137841000,None,107627000,351313000,None,97844000,None,620000,21781000,337894000,172593000,None,None,432000,None,13346000,None,None,211957000,None,140000,251741000,21781000,204688000,226469000,None,None,None,86041000,673012000,1737000,None,43230000,USD,-7387000,36767000,-27227000,-19074000,5076000,5076000,-369000,-6556000,10493000,262000,22413000,-15000,4914000,None,174000,-29432000,-284000,67000,8153000,-381000,None,262000,7.31,8.03
5,2019-09-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,-1430000,None,None,None,None,None,None,None,3287000,None,None,None,10493000,None,USD,673012000,226000,None,None,573193000,99819000,None,None,432000,13346000,None,1749000,140000,1737000,346724000,None,152733000,None,319584000,351313000,None,97844000,None,620000,21781000,337894000,105527000,None,None,None,None,None,None,None,None,None,321699000,240139000,None,None,226469000,None,None,None,None,None,None,None,None,USD,-27227000,31230000,-27227000,9533000,5076000,5076000,None,-6556000,10493000,262000,22413000,None,4832000,None,None,-29432000,-381000,-372000,8153000,None,None,None,5.18,7.31
6,2019-08-31,USD,211766000,63460000,138544000,73222000,9762000,5498000,None,None,7409000,None,63460000,None,9762000,-1430000,2353000,3287000,None,-2094000,None,None,None,1911000,-2353000,None,5498000,5498000,None,USD,584461000,233000,None,10653000,495754000,88707000,412000,32483000,432000,2853000,412000,1749000,None,1475000,290465000,135041000,152733000,None,97984000,302758000,None,88474000,None,1319000,23760000,289311000,122941000,None,None,432000,None,2853000,None,None,183486000,None,281703000,240139000,23760000,181117000,205289000,None,None,None,85422000,584461000,1475000,None,43230000,USD,-27227000,20331000,-11359000,9533000,-21046000,-20872000,174000,-420000,5498000,-240000,31991000,-1142000,4731000,None,174000,2152000,-381000,371000,11359000,50000,None,-240000,4.22,5.18
7,2019-06-30,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,-1430000,None,None,None,None,None,None,None,1911000,None,None,None,5498000,None,USD,584461000,233000,None,None,495754000,88707000,None,None,432000,2853000,412000,None,None,1475000,290465000,None,145657000,None,281470000,302758000,None,88474000,None,239000,23760000,289311000,64891000,None,None,None,None,None,None,None,None,None,281704000,213600000,None,None,205289000,None,None,None,None,None,None,None,None,USD,-11359000,13700000,-11359000,9533000,-21046000,-20872000,None,-420000,5498000,-240000,31991000,None,4645000,None,None,2152000,50000,-7239000,11359000,None,None,None,3.78,4.22
8,2019-05-31,USD,174017000,59530000,119844000,54173000,-5357000,-5459000,None,None,-7462000,None,59530000,None,-5357000,-1430000,2105000,1911000,None,-2353000,None,None,None,-2003000,-2105000,None,-5459000,-5459000,None,USD,584348000,239000,None,9566000,501808000,82540000,535000,31967000,432000,-2645000,535000,None,None,1715000,287964000,149487000,145657000,None,91049000,303629000,None,82301000,None,886000,25739000,291462000,106510000,None,None,432000,None,-2645000,None,None,189431000,None,280719000,213600000,25739000,187570000,213844000,None,None,None,84753000,584348000,1715000,None,43174000,USD,-11359000,17651000,-3091000,311000,185000,-184000,-369000,-11981000,-5459000,168000,3443000,883000,4697000,None,None,-14862000,50000,573000,3402000,-40000,None,168000,3.68,3.78
9,2019-02-28,USD,242683000,62537000,163177000,79506000,16969000,10629000,None,None,14287000,None,62537000,None,16969000,None,2682000,None,None,None,None,None,None,3658000,None,None,10629000,10629000,None,USD,388897000,246000,None,15174000,310237000,78660000,41854000,5270000,430000,-6441000,None,None,None,1547000,240666000,152221000,None,None,92084000,293570000,None,78414000,None,249000,27717000,276600000,83175000,None,None,430000,None,-6441000,None,None,None,2997000,95327000,None,27717000,None,69571000,None,None,None,84671000,388897000,1547000,None,42978000,USD,None,-58014000,-2753000,None,-44331000,-44186000,145000,None,10629000,-345000,46594000,-2864000,5302000,None,None,92457000,None,-1086000,2753000,170000,None,-345000,6.29,3.68
