,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,16449000,None,None,-16391000,-16462000,10189000,None,-16473000,None,6260000,None,-16449000,None,None,-11000,None,None,None,None,None,-11000,-24000,None,-16462000,-16462000,None,USD,125893000,None,None,511000,9242000,116651000,None,67000,10000,-814061000,None,None,667000,123233000,8981000,None,None,None,601000,124625000,None,116651000,None,None,None,None,1983000,None,None,None,None,None,None,None,667000,None,1268000,446000,None,None,261000,None,None,None,None,None,None,None,None,USD,-12000,919000,-12000,None,None,0,None,1519000,-16462000,-10301000,-10277000,None,58000,None,None,None,None,3689000,0,None,None,None,12.1,
1,2020-03-31,USD,0,16135000,None,None,-16080000,-31912000,11591000,None,-31834000,None,4544000,None,-16135000,None,None,78000,-16240000,None,None,None,None,78000,-15699000,None,-31912000,-31912000,None,USD,136791000,None,None,617000,7295000,129496000,None,115000,10000,-797599000,None,None,662000,133534000,6997000,None,None,None,659000,135470000,None,129496000,None,None,None,None,1357000,None,None,None,None,None,None,None,662000,None,1321000,473000,None,None,298000,None,None,None,927085000,None,133534000,None,10000000,USD,0,357000,-12000,None,None,0,None,-1093000,-31912000,-13994000,-13948000,None,55000,None,None,None,None,18645000,0,None,None,None,9.82,12.1
2,2019-12-31,USD,0,25019000,None,None,-25019000,-47462000,21271000,None,-47423000,None,3748000,None,-25019000,None,-500000,39000,-20926000,None,None,None,None,39000,-22404000,None,-47462000,-47462000,None,USD,151328000,None,None,401000,64983000,86345000,None,56498000,74000,-765687000,None,None,729000,147528000,64609000,None,None,None,702000,149897000,None,86344000,None,197000,None,None,1019000,None,None,None,None,None,None,None,729000,None,1431000,561000,None,None,374000,None,None,None,851957000,None,147528000,None,3000000,USD,-6000,-299000,-6000,None,-5438000,92293000,None,1063000,-47462000,79834000,-12455000,None,-105000,None,98176000,None,None,33069000,6000,None,None,None,0.3424,9.82
3,2019-09-30,USD,0,13264000,None,None,-13202000,-12903000,10113000,None,-12976000,None,3151000,None,-13264000,None,-100000,-73000,None,None,None,None,None,-73000,288000,None,-12903000,-12903000,None,USD,72317000,None,None,716000,13469000,58848000,None,119000,74000,-718225000,None,None,738000,67694000,9213000,1171000,1171000,None,767000,70812000,None,58848000,None,135000,3841000,None,1304000,None,None,None,None,None,None,None,738000,None,1505000,595000,3841000,None,4256000,None,None,None,776999000,None,67694000,None,2000000,USD,-14000,106000,-14000,None,-5438000,0,None,446000,-12903000,-11137000,-11106000,None,62000,None,445000,None,None,1183000,14000,None,None,None,0.3905,0.3424
4,2019-06-30,USD,0,15207000,None,None,-15143000,-14878000,11728000,None,-14859000,None,3479000,None,-15207000,None,-100000,19000,None,None,None,None,None,19000,348000,None,-14878000,-14878000,None,USD,84175000,None,None,459000,13704000,70471000,None,289000,74000,-705322000,None,None,778000,78831000,8935000,668000,668000,None,805000,82592000,None,70471000,None,1572000,4303000,None,1203000,None,None,None,None,None,None,None,778000,None,1583000,643000,4303000,None,4769000,None,None,None,775719000,None,78831000,None,2000000,USD,-5000,583000,-5000,None,-5438000,0,None,395000,-14878000,-12077000,-12056000,None,64000,None,445000,None,None,1780000,5000,None,None,None,0.56,0.3905
5,2019-03-31,USD,0,13502000,None,None,-13440000,-13032000,10137000,None,-13177000,None,3365000,None,-13502000,None,-100000,-145000,None,None,None,None,None,-145000,325000,None,-13032000,-13032000,None,USD,96095000,None,None,653000,12504000,83591000,None,348000,74000,-690444000,None,None,622000,90238000,7238000,168000,168000,None,866000,94607000,None,83591000,None,1625000,4763000,None,619000,None,None,None,None,None,None,None,622000,None,1488000,674000,4763000,None,5266000,None,None,None,773961000,None,90908000,None,2000000,USD,-14000,-667000,-14000,None,-5438000,445000,None,-3602000,-13032000,-15138000,-15566000,None,62000,None,445000,None,None,1673000,14000,None,None,None,1.71,0.56
6,2018-12-31,USD,0,14738000,0,0,-14738000,-14283000,11135000,0,-14202000,0,3603000,None,-14738000,0,-200000,None,None,None,0,0,0,81000,536000,0,-14283000,-14283000,None,USD,109469000,None,None,1237000,14990000,94479000,None,33000,74000,-677412000,None,None,549000,106046000,10099000,None,None,None,168000,108752000,None,94479000,None,914000,4891000,None,1287000,None,None,None,None,None,None,None,None,None,None,None,4891000,None,None,None,None,None,771817000,None,106046000,None,2000000,USD,None,323000,-59000,None,None,2000,None,2168000,-14283000,-10082000,-9973000,None,26000,None,46176000,None,None,1793000,59000,None,None,None,1.32,1.71
7,2018-09-30,USD,0,16061000,0,0,-16061000,-15567000,12923000,0,-15572000,0,3138000,None,-16061000,0,-200000,None,None,None,0,0,0,-5000,489000,0,-15567000,-15567000,None,USD,120052000,0,None,1687000,12986000,107066000,0,71000,74000,-663129000,None,0,596000,116128000,8130000,None,None,None,125000,119331000,None,107066000,0,701000,4856000,0,962000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,None,-159000,-29000,0,4955000,5000000,None,-389000,-15567000,-9297000,-14265000,None,26000,0,45996000,0,0,1824000,29000,None,None,None,1.7,1.32
8,2018-06-30,USD,0,12963000,0,0,-12963000,-11960000,8785000,0,-12381000,0,4178000,None,-12963000,0,-200000,None,None,None,0,0,0,-421000,582000,0,-11960000,-11960000,None,USD,128547000,0,None,1603000,7896000,120651000,0,86000,74000,-647562000,None,0,578000,125425000,7896000,None,None,None,121000,127848000,None,120651000,0,721000,0,0,1122000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,2000000,USD,None,385000,-30000,0,4955000,32000,None,1706000,-11960000,-8279000,-8268000,None,30000,0,45996000,0,0,1571000,30000,None,None,None,2.96,1.7
9,2018-03-31,USD,0,11754000,0,0,-11754000,-11525000,8334000,0,-11482000,0,3420000,None,-11754000,0,-200000,None,None,None,0,0,0,43000,272000,0,-11525000,-11525000,None,USD,136435000,0,None,1555000,5638000,130797000,0,99000,74000,-635602000,None,0,303000,133829000,5638000,None,None,None,144000,135988000,None,130797000,0,328000,0,0,740000,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,None,-597000,-30000,0,4955000,46097000,None,-2056000,-11525000,33468000,-12609000,None,29000,0,45996000,0,0,1540000,30000,None,None,None,2.07,2.96
