,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,357576000,27671000,329381000,28195000,-2000,-30542000,None,None,-24027000,None,1026000,-1552000,1550000,26645000,22999000,-6515000,None,-22999000,None,None,None,6515000,-4106000,-4531000,-30542000,-30542000,None,USD,3547845000,1033334000,None,170522000,2572649000,864429000,29395000,47361000,1630000,-163092000,329000000,1226222000,32688000,98933000,291602000,103552000,10612000,-97176000,369869000,616577000,13357000,-1284360000,None,347122000,1952047000,None,140689000,None,None,1630000,None,-163092000,None,None,275152000,None,13334000,111582000,1952047000,299605000,2281047000,None,None,None,1123067000,3547845000,98933000,None,None,USD,-2274000,None,-4655000,8359000,-127653000,-136694000,-4890000,None,-22043000,-80791000,60558000,44916000,26075000,-4151000,None,None,29073000,2468000,10740000,None,None,-80791000,8.75,
1,2020-03-31,USD,429473000,28941000,386878000,42595000,15794000,-11809000,None,None,-11030000,None,1026000,1114000,14680000,27915000,25798000,779000,-25798000,-25798000,None,None,None,779000,-6255000,-4611000,-11809000,-11809000,None,USD,3695675000,1047791000,None,89774000,2688408000,886134000,34575000,35297000,1628000,-136898000,335905000,1275327000,31671000,179627000,274271000,85616000,10612000,-98081000,377317000,670810000,11434000,-1315851000,None,401409000,2078232000,None,153358000,None,None,1628000,None,-136898000,None,None,301394000,None,11602000,121947000,2078232000,301330000,2414137000,None,None,None,1119485000,3695675000,179627000,None,81000000,USD,-3087000,10926000,-16330000,2967000,172347000,149399000,-18840000,-10934000,-11809000,146770000,13701000,-17838000,27915000,-4108000,None,None,12158000,15433000,16210000,None,None,146770000,7.54,8.75
2,2019-12-31,USD,446399000,28462000,376956000,69443000,42253000,10731000,None,None,13387000,None,1746000,-474000,42727000,26716000,27120000,2822000,-27120000,-27120000,None,None,None,2822000,-4970000,-4611000,10565000,10731000,None,USD,3561353000,1061791000,None,163877000,2539679000,1895669000,19833000,55356000,1620000,-120981000,335781000,1271855000,30910000,32968000,299480000,107294000,10612000,897935000,375904000,577444000,8553000,-1311972000,None,413567000,1904418000,None,136830000,None,None,1620000,None,-120981000,None,None,254004000,11802000,2983909000,123739000,1904418000,315948000,2240199000,None,None,None,1117095000,3561353000,32968000,None,81000000,USD,-418000,-10854000,-10097000,9589000,-22653000,-4968000,21785000,9774000,10565000,-53524000,-38459000,-62653000,26716000,-4100000,0,None,-82389000,-2522000,19268000,None,None,-53524000,15.71,7.54
3,2019-09-30,USD,349788000,24312000,327049000,22739000,2540000,-21929000,None,None,-26068000,166000,2071000,2042000,498000,22241000,26537000,-4305000,-26537000,-26537000,None,None,None,-4305000,-16781000,-4611000,-21763000,-21929000,None,USD,3506491000,1021025000,None,114010000,2492390000,893608000,21041000,29284000,1618000,-127612000,322576000,1323312000,25659000,86507000,244248000,76469000,10650000,-93828000,375942000,534242000,8395000,-1330402000,None,333725000,1925566000,None,138495000,None,None,1618000,None,-127612000,None,None,235118000,8457000,2972249000,120327000,1925566000,301535000,2248142000,None,None,None,1114239000,3506491000,86507000,None,81000000,USD,-838000,2528000,-593283000,-580664000,386593000,381433000,-1006000,718000,-21763000,-210001000,1849000,-19475000,22241000,-4154000,0,None,-10150000,-917000,11781000,None,None,-210001000,13.28,15.71
4,2019-06-30,USD,337351000,21801000,294942000,42409000,22541000,-366000,None,None,2954000,166000,1564000,369000,22172000,20237000,18023000,3320000,-18023000,-18023000,None,None,None,3320000,-5084000,None,-366000,-366000,None,USD,3047725000,724792000,None,341035000,2089838000,917462000,25185000,24769000,1618000,-101529000,333391000,1111247000,27104000,56514000,218598000,72153000,10650000,-94476000,315288000,721124000,7688000,-878152000,None,323575000,1537849000,None,121676000,None,None,1618000,None,-101529000,None,None,159029000,8557000,2326601000,51535000,1537849000,308206000,1871240000,None,None,None,1111849000,3047725000,56514000,None,81000000,USD,-500000,8917000,-593490000,-576436000,857962000,853246000,-636000,6271000,-366000,282106000,22350000,-2073000,20237000,-4080000,0,None,-16448000,4186000,16554000,None,None,282104000,15.29,13.28
5,2019-03-31,USD,291990000,19364000,274058000,17932000,-660000,-6814000,None,None,-11148000,166000,1572000,-800000,140000,17792000,8916000,-4334000,-8916000,-8916000,None,None,None,-4334000,-6963000,None,-6814000,-6814000,None,USD,2173916000,495440000,None,105569000,1219249000,918181000,22061000,37201000,1616000,-97083000,336016000,852362000,122796000,14402000,197916000,63043000,3000000,-94937000,254935000,397499000,7276000,-393135000,None,277528000,685317000,None,97672000,None,None,1616000,None,-97083000,None,None,156547000,9857000,1776417000,37294000,685317000,313955000,1021333000,None,None,None,1108585000,2173916000,14402000,None,81000000,USD,-115000,1200000,-67637000,-54082000,-750000,-11885000,-6511000,-31044000,-6814000,-92714000,-13192000,-33723000,17792000,-4040000,-584000,None,4031000,2739000,13440000,None,None,-92712000,21.0,15.29
6,2018-12-31,USD,367008000,31033000,281628000,85380000,68480000,35953000,0,0,45891000,166000,13446000,687000,67793000,17587000,9143000,None,None,None,-13974000,0,0,9938000,-35884000,-13974000,35953000,21979000,None,USD,2130061000,478953000,None,194271000,1203896000,926165000,25531000,36798000,1614000,-86229000,320073000,834013000,25656000,107114000,198059000,43301000,3000000,-95397000,237927000,475601000,7162000,-386801000,None,281330000,685764000,None,117960000,None,None,1614000,None,-86229000,None,None,87264000,9141000,1654460000,None,685764000,294542000,1005837000,None,None,None,1106984000,2130061000,107114000,None,82000000,USD,-479000,-20613000,-83106000,-68653000,-750000,-6631000,205000,7027000,21979000,-22614000,67123000,16461000,17587000,-4033000,-2053000,None,-12813000,33075000,13974000,None,None,-22614000,15.73,21.0
7,2018-09-30,USD,303227000,19127000,247304000,55923000,39779000,20039000,0,0,27247000,0,3529000,-546000,40325000,15598000,9003000,None,None,None,0,0,0,7208000,-10243000,-908000,20039000,19131000,None,USD,2068030000,411419000,None,176507000,1162378000,905652000,0,50401000,1612000,-104021000,265973000,760098000,35272000,129743000,210193000,41703000,3000000,-99126000,223629000,560932000,7299000,-265865000,0,254682000,686212000,0,118089000,905652000,0,1612000,0,-104021000,0,None,88923000,15730000,1507098000,None,686212000,265973000,952185000,None,None,None,1107993000,2068030000,129743000,None,82000000,USD,-479000,15657000,-14527000,-1240000,-3406000,-32681000,726000,8612000,19131000,4024000,51232000,35816000,15598000,-4140000,-25861000,0,-3954000,-182000,13287000,None,None,4024000,16.5,15.73
8,2018-06-30,USD,283461000,16771000,245610000,37851000,22313000,8662000,0,0,11645000,0,1389000,-156000,22469000,15382000,9279000,None,None,None,0,-3807000,0,2983000,-11699000,-2942000,8662000,5720000,None,USD,2089925000,416915000,None,193109000,1178061000,911864000,0,37598000,1638000,-119012000,290030000,755949000,38637000,125719000,201372000,56137000,5656000,-101442000,218628000,569556000,7351000,-261000000,0,250728000,686659000,0,107637000,911864000,0,1638000,0,-119012000,0,None,104002000,17524000,1520369000,None,686659000,290030000,976689000,None,None,None,1131499000,2089925000,125719000,None,82000000,USD,38000,4585000,-18244000,-3652000,-750000,-3963000,-739000,2127000,5720000,-4666000,17541000,-445000,15382000,-4097000,1623000,0,-14529000,2604000,14630000,None,None,-4666000,13.39,16.5
9,2018-03-31,USD,253474000,16808000,238682000,14792000,-461000,-7945000,0,0,-10608000,-632000,1388000,167000,-628000,15420000,8759000,None,None,None,0,3807000,0,-2031000,-13116000,-18504000,-8577000,-26449000,None,USD,2083982000,418653000,None,194459000,1179294000,904688000,0,36016000,1634000,-120635000,298011000,755949000,41385000,130385000,194177000,58263000,5656000,-102182000,212040000,561043000,7776000,-269914000,0,236199000,687106000,0,99898000,904688000,0,1634000,0,-120635000,0,None,106484000,22037000,1522939000,None,687106000,298011000,985117000,None,None,None,1126688000,2083982000,130385000,None,82000000,USD,-117000,4251000,-11607000,-128000,-750000,-11722000,-2672000,-15675000,-27081000,-18314000,5015000,-15782000,15420000,-4125000,-4175000,0,9166000,5377000,11362000,None,None,-18314000,11.99,13.39
