,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,434800000,-1200000,-390700000,825500000,826700000,34300000,None,None,41600000,None,-1200000,None,826700000,1200000,-1300000,7300000,None,-1300000,None,None,None,7300000,None,None,34300000,34300000,None,USD,3080200000,None,None,None,2149700000,930500000,None,None,126700000,693200000,156500000,None,140900000,174600000,None,None,None,17900000,4200000,280300000,2626500000,930500000,2097900000,105700000,182100000,None,None,None,None,126700000,None,693200000,-118400000,None,None,None,169200000,None,182100000,1967600000,2149700000,None,None,None,211100000,3080200000,174600000,None,None,USD,55300000,37800000,55300000,None,None,-3100000,-4300000,-13100000,34300000,48000000,-4200000,12000000,4100000,-4300000,1200000,None,2700000,-76900000,0,-15500000,None,48000000,17.85,
1,2020-03-31,USD,214800000,3300000,354300000,-139500000,-142800000,-114600000,None,None,-144000000,None,3300000,None,-142800000,3300000,1200000,-29400000,-1200000,-1200000,None,None,None,-29400000,None,None,-114600000,-114600000,None,USD,2960100000,None,None,None,2093400000,866700000,None,None,126500000,663200000,159000000,None,156500000,126600000,None,60000000,None,-13700000,4200000,203400000,2574300000,866700000,2128300000,76800000,182100000,None,None,None,None,126500000,None,663200000,-118400000,None,None,None,178200000,None,182100000,1911300000,2093400000,None,None,None,209100000,2960100000,126600000,None,44000000,USD,19900000,-13600000,20100000,200000,60000000,56500000,-4300000,-37800000,-114600000,48600000,-28000000,17300000,1600000,-4400000,900000,None,-26500000,135500000,0,-54200000,None,48600000,27.79,17.85
2,2019-12-31,USD,367800000,1294000000,-1807600000,2175400000,881400000,32700000,None,None,40300000,None,None,None,881400000,-20300000,-8600000,7600000,-1200000,-1200000,None,None,None,7600000,-1200000,None,32700000,32700000,None,USD,2985400000,111100000,None,45300000,2025500000,959900000,None,649200000,125900000,782700000,187800000,None,128000000,78000000,1715700000,None,None,-37900000,4200000,126900000,2701000000,959900000,2127900000,48900000,122000000,None,1066500000,None,None,125900000,None,782700000,-117500000,None,None,None,153300000,None,122000000,1903500000,2025500000,None,None,None,206700000,2985400000,78000000,None,44000000,USD,43000000,5500000,43000000,74100000,60000000,-3300000,-4400000,-19500000,32700000,39700000,-28000000,-23000000,3200000,-4400000,1100000,None,-6400000,-25100000,1600000,6700000,None,39700000,31.02,27.79
3,2019-09-30,USD,334500000,2500000,318100000,16400000,13900000,11500000,None,None,12700000,None,None,None,13900000,2500000,1200000,1200000,-1200000,-1200000,None,None,None,1200000,-1200000,None,11500000,11500000,None,USD,2979800000,114300000,None,41900000,2036100000,943700000,None,649200000,125800000,754400000,172200000,None,132000000,38300000,1741900000,None,None,-24200000,4200000,76700000,2738400000,943700000,2189300000,38400000,122000000,None,1092700000,None,None,125800000,None,754400000,-117500000,None,None,None,160500000,None,122000000,1914100000,2036100000,None,None,None,205200000,2979800000,38300000,None,44000000,USD,-25500000,28000000,-25500000,31100000,60000000,-3500000,-4400000,-27800000,11500000,-6500000,22500000,-47700000,2400000,-4300000,800000,None,800000,7500000,0,20800000,None,-6500000,32.39,31.02
4,2019-06-30,USD,340100000,3600000,342800000,-2700000,-6300000,-6200000,None,None,-7600000,None,None,None,-6300000,3600000,1300000,-1400000,-1300000,-1300000,None,None,None,-1400000,-4900000,None,-6200000,-6200000,None,USD,2961200000,109100000,None,39100000,2045000000,916200000,None,621600000,125700000,747200000,166200000,None,137800000,44800000,1756800000,None,None,-41700000,4200000,100800000,2695000000,916200000,2157900000,56000000,122000000,None,1135200000,None,None,125700000,None,747200000,-117500000,None,None,None,161200000,None,122000000,1923000000,2045000000,None,None,None,202500000,2961200000,44800000,None,43000000,USD,8200000,22300000,9800000,1600000,60000000,-1300000,-4300000,-53500000,-6200000,-27500000,-36000000,1500000,700000,-4300000,3000000,None,-4200000,-10100000,0,-43800000,None,-27500000,35.0,32.39
5,2019-03-31,USD,367600000,2900000,301900000,65700000,62800000,49400000,None,None,61600000,None,None,None,62800000,2900000,1200000,12200000,-1200000,-1200000,None,None,None,12200000,-1200000,None,49400000,49400000,None,USD,2924100000,104300000,None,41200000,2028800000,895300000,None,587500000,125300000,757700000,190400000,None,57700000,72300000,18400000,None,None,-68600000,6000000,89900000,2666200000,895300000,2136600000,17600000,122000000,None,18400000,None,None,125300000,None,757700000,-117500000,None,None,None,162000000,None,122000000,1888400000,2010400000,None,None,None,198400000,2924100000,72300000,None,44000000,USD,46800000,15200000,46800000,46800000,None,-3900000,-4300000,-57300000,49400000,12500000,-30400000,-20300000,3100000,-4400000,500000,None,800000,-41300000,0,-36900000,None,12500000,32.92,35.0
6,2018-12-31,USD,264400000,1255500000,292100000,1218500000,-37000000,-24500000,0,0,-32500000,0,802100000,None,-37000000,453400000,-1200000,None,None,None,0,0,0,-8000000,-1200000,0,-24500000,-24500000,None,USD,2895900000,101900000,None,37900000,2077400000,818500000,None,584200000,125000000,712700000,224400000,None,162300000,59800000,22400000,None,None,-96400000,7100000,77800000,2631300000,818500000,None,18000000,122000000,None,22400000,None,None,125000000,None,712700000,-117000000,None,None,None,179700000,None,122000000,1933000000,2055000000,None,None,None,194200000,2895900000,59800000,None,43000000,USD,-6000000,-27100000,-6000000,-16000000,None,-600000,-4300000,-12300000,-24500000,10300000,16900000,-49300000,2200000,-4300000,3700000,None,None,73200000,0,42400000,None,10300000,34.04,32.92
7,2018-09-30,USD,346000000,1900000,301900000,44100000,42200000,33400000,0,0,41000000,0,0,None,42200000,1900000,1200000,None,None,None,0,0,0,7600000,-1200000,0,33400000,33400000,None,USD,2939200000,104500000,None,44500000,2069800000,869400000,None,595600000,124500000,741600000,153500000,None,146800000,49500000,1794300000,None,None,-68300000,7100000,77800000,2687500000,869400000,28000000,28300000,122000000,None,1198700000,None,None,124500000,None,741600000,-117000000,None,None,None,166800000,None,122000000,1947800000,2069800000,None,None,None,188600000,2939200000,49500000,None,44000000,USD,23600000,8400000,23600000,None,-400000,-6800000,-4300000,-45800000,33400000,8700000,-8100000,-35700000,2100000,-4100000,-2700000,None,None,-11100000,0,-5000000,None,8700000,30.54,34.04
8,2018-06-30,USD,341700000,3200000,329100000,12600000,9400000,6000000,0,0,7700000,0,0,None,9400000,3200000,1700000,None,None,None,0,0,0,1700000,-1700000,0,6000000,6000000,None,USD,2946800000,104600000,None,44100000,2099800000,847000000,None,590100000,124100000,712300000,153200000,None,151700000,40800000,7100000,122000000,122000000,-57300000,7100000,58500000,2709500000,847000000,50200000,17700000,122000000,None,7100000,None,None,124100000,None,712300000,-116900000,None,None,None,171700000,None,122000000,1970700000,2092700000,None,None,None,184800000,2946800000,40800000,None,43000000,USD,-8800000,-2700000,-8800000,None,None,200000,-400000,-9800000,6000000,-20100000,-11500000,-12600000,1700000,-4400000,5000000,None,None,-12100000,0,8000000,None,-20100000,29.91,30.54
9,2018-03-31,USD,323700000,2300000,323100000,600000,-1700000,-2100000,0,0,-3300000,0,0,None,-1700000,2300000,1600000,None,None,None,0,0,0,-1200000,-1600000,0,-2100000,-2100000,None,USD,2957300000,105100000,None,42500000,2108200000,849100000,None,589200000,123800000,710700000,149300000,None,151300000,60900000,11800000,122100000,122100000,-48800000,7200000,75100000,2703300000,849100000,80600000,14200000,122100000,None,11800000,None,None,123800000,None,710700000,-116900000,None,None,None,171700000,None,122100000,1974300000,2096400000,None,None,None,180300000,2957300000,60900000,None,43000000,USD,-24800000,-23900000,-24800000,300000,None,4900000,-400000,400000,-2100000,-30600000,-10700000,-2800000,2900000,-4300000,9200000,None,-2800000,11700000,0,3500000,None,-30600000,28.57,29.91
10,2017-12-31,USD,362900000,1382100000,320900000,1415600000,33500000,-5800000,0,0,37900000,0,924200000,None,33500000,457900000,1500000,None,None,None,0,0,0,43700000,-8900000,0,-5800000,-5800000,None,USD,3014300000,117800000,None,4800000,2133400000,880900000,None,611800000,123000000,666200000,2011300000,None,2904800000,91500000,2700000,122100000,122100000,36700000,7300000,105800000,2726200000,880900000,5900000,14300000,122100000,None,2700000,None,None,123000000,None,666200000,-116800000,None,None,None,175000000,None,122100000,2008600000,2130700000,None,None,None,171800000,3014300000,91500000,None,42000000,USD,-26700000,28000000,-26700000,1100000,None,-100000,-400000,86700000,-5800000,-19600000,7200000,-20600000,2600000,-4200000,4100000,None,3700000,-20100000,0,24400000,None,-19600000,29.12,28.57
11,2017-09-30,USD,358400000,1900000,366200000,-7800000,-9700000,-9500000,0,0,-11200000,0,0,None,-9700000,1900000,1500000,None,None,None,0,0,0,-1700000,4500000,0,-9500000,-9500000,None,USD,3056400000,122100000,None,6700000,2159200000,897200000,None,630500000,122500000,676200000,2037100000,None,2918500000,111100000,630500000,122100000,122100000,47900000,7300000,133200000,2700400000,897200000,12800000,22100000,122100000,None,None,None,None,122500000,None,676200000,-116700000,None,None,None,215500000,None,122100000,2037100000,2159200000,None,None,None,167300000,3056400000,111100000,None,42000000,USD,25300000,-1500000,25300000,300000,None,-2300000,-400000,63400000,-9500000,62300000,39300000,49800000,3800000,-4200000,1900000,None,-1000000,-20000000,0,16700000,None,62300000,26.23,29.12
