,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,2094305000,125581000,1809874000,284431000,130747000,82034000,None,None,103045000,-3269000,118391000,-28103000,158850000,7190000,27702000,24280000,-27702000,-27702000,None,None,None,24280000,-28103000,None,78765000,75496000,None,USD,8468341000,313520000,None,39043000,4328419000,4145250000,503034000,None,646000,4576629000,503034000,451220000,100031000,1496458000,1115426000,73926000,73926000,216000,3587450000,4016120000,None,3532924000,69546000,844056000,2636722000,1567017000,1041500000,None,None,646000,None,4576629000,-1623855000,None,100031000,None,4452221000,None,2636722000,73237000,3212993000,None,152414000,None,1191614000,8468341000,1566004000,None,210364813,USD,149648000,56632000,-159265000,803000,-4040000,-65387000,-8763000,-9747000,78765000,261358000,486010000,11137000,78721000,-52584000,0,77521000,154352000,28882000,309716000,154352000,None,261358000,26.09,
1,2020-03-31,USD,2575100000,141543000,2159871000,415229000,276275000,194332000,None,None,248256000,-3496000,134352000,2589000,273686000,7191000,28019000,57420000,-28019000,-28019000,None,None,None,57420000,2589000,None,190836000,187340000,None,USD,8344923000,320711000,None,45351000,4238984000,4113526000,489248000,None,646000,4553882000,489248000,452068000,101571000,1235478000,1031720000,70106000,70106000,30000,3327605000,4142968000,None,3491761000,219193000,998408000,2646012000,1644538000,961614000,None,None,646000,None,4553882000,-1624808000,None,101571000,None,4201955000,None,2646012000,72004000,3207264000,None,151014000,None,1183776000,8344923000,1454671000,None,210338959,USD,42981000,27787000,-174036000,518000,-19496000,-183658000,-6152000,-77735000,190836000,-146413000,211281000,-1541000,80259000,-51481000,-106529000,44505000,-154072000,23507000,217535000,-154072000,None,-146413000,22.54,26.09
2,2019-12-31,USD,2350196000,134448000,2033787000,316409000,182385000,126013000,None,None,150063000,-2294000,125601000,424000,181961000,8847000,32322000,26344000,-32322000,-32322000,None,None,None,26344000,424000,None,123719000,121425000,None,USD,8275765000,327901000,None,76012000,4210910000,4075834000,484169000,2014000,646000,4419296000,501327000,452915000,30862000,1381460000,1006698000,89356000,89356000,-7000,3135886000,4253025000,None,3438632000,262174000,844336000,2644988000,1689043000,917342000,None,None,646000,None,4419296000,-1525113000,None,106038000,None,4022740000,None,2644988000,75055000,3204212000,None,143614000,None,1181012000,8275765000,1643634000,None,214502639,USD,-192644000,-55410000,-349169000,1733000,304258000,175964000,-20302000,14781000,123719000,235857000,409062000,6103000,80527000,-51778000,-56214000,77977000,142610000,33536000,158258000,142610000,None,235857000,34.04,22.54
3,2019-09-30,USD,2526845000,131794000,2167006000,359839000,232590000,154168000,None,None,201251000,-1560000,125090000,4545000,228045000,6704000,31339000,48643000,-31339000,-31339000,None,None,None,48643000,4545000,None,152608000,151048000,None,USD,7943247000,249598000,None,50818000,3898892000,4056641000,468248000,2074000,645000,4349523000,480428000,540913000,25842000,1146007000,1005275000,82150000,82150000,39000,3031731000,4020320000,None,3409744000,69529000,986946000,2355243000,1767020000,923125000,None,None,645000,None,4349523000,-1469078000,None,100685000,None,3922927000,None,2355243000,70126000,2893617000,None,143614000,None,1175512000,7943247000,1215536000,None,215740572,USD,44624000,71937000,-110455000,-948000,8242000,-160986000,-1527000,64572000,152608000,172761000,444202000,39000,79470000,-52751000,-114950000,35479000,85633000,19036000,154131000,85633000,None,172761000,29.8,34.04
4,2019-06-30,USD,2770515000,136134000,2349349000,421166000,289281000,199190000,None,None,256960000,-2444000,129121000,4249000,285032000,7013000,32321000,60214000,-32321000,-32321000,None,None,None,60214000,4249000,None,196746000,194302000,None,USD,7857914000,256302000,None,61248000,3809633000,4064490000,457784000,3032000,645000,4250419000,467229000,526462000,26438000,972561000,925736000,72131000,72131000,78000,2947243000,4023601000,None,3421656000,114154000,1072879000,2355917000,1802759000,853605000,None,None,645000,None,4250419000,-1354157000,None,104306000,None,3834313000,None,2355917000,70196000,2883897000,None,139930000,None,1167505000,7857914000,1086715000,None,219797547,USD,59569000,-79107000,-24638000,913000,-8653000,-155304000,-12000,23097000,196746000,181531000,361473000,7292000,80911000,-53503000,-93136000,64941000,70624000,20066000,85120000,70624000,None,181531000,30.2,29.8
5,2019-03-31,USD,2817435000,141728000,2383865000,433570000,298185000,205326000,None,None,267063000,-499000,134715000,6343000,291842000,7013000,31122000,62236000,None,-31122000,None,None,None,62236000,6343000,None,204827000,204328000,None,USD,7857233000,263315000,None,52628000,3867775000,4008111000,447087000,26896000,645000,4109034000,454043000,530716000,25200000,791444000,1003090000,80958000,80958000,130000,2936893000,4028890000,None,3354010000,173723000,1143395000,2354427000,1867700000,922132000,None,None,645000,None,4109034000,-1261837000,None,97419000,None,3828343000,None,2354427000,63171000,2864685000,None,139930000,None,1160139000,7857233000,965167000,None,222931285,USD,55060000,-110283000,-92424000,-93048000,5963000,-126304000,-5720000,-163038000,204827000,-37175000,181553000,301000,80174000,-42239000,-84308000,39469000,-61062000,28127000,54436000,-61062000,None,-37175000,35.27,30.2
6,2018-12-31,USD,2903892000,155682000,2382657000,521235000,372937000,269700000,0,0,341285000,152000,148248000,7384000,365553000,7434000,31652000,None,None,None,0,0,0,71433000,-24268000,0,269852000,270004000,None,USD,7703563000,270328000,None,72730000,3816334000,3935071000,435838000,7468000,645000,3958320000,444708000,429645000,25166000,828220000,1019137000,24234000,24234000,301000,2945767000,4032657000,None,3346338000,228783000,1043756000,2352489000,1859168000,994903000,None,None,645000,None,3958320000,-1184243000,None,25166000,None,3670906000,None,2352489000,8870000,2797197000,None,111240000,None,1160048000,7703563000,1057003000,None,225272174,USD,-113783000,-71574000,-171251000,5445000,8608000,-375526000,-10177000,23522000,269852000,-55716000,491061000,3689000,80560000,-43767000,-330190000,-5305000,184434000,29405000,62913000,184434000,None,-55716000,30.04,35.27
7,2018-09-30,USD,3223547000,154509000,2537466000,686081000,538675000,397437000,0,0,507115000,469000,147918000,7103000,531572000,6591000,31560000,None,None,None,0,0,0,109209000,-24457000,0,397906000,398375000,None,USD,7798368000,236563000,None,50110000,3812291000,4033768000,398814000,10872000,644000,3730662000,410647000,502900000,25770000,884315000,1049665000,14776000,14776000,3874795000,2901658000,4131477000,None,3405545000,115000000,1228190000,2351979000,1853862000,1034889000,0,1156556000,644000,0,3730662000,-854052000,None,25770000,None,3666891000,None,2351979000,11833000,2762626000,None,111240000,None,1156556000,7798368000,999315000,None,233422108,USD,-25000000,33300000,-132681000,-37013000,-4998000,-124044000,-10177000,72881000,397906000,163715000,420440000,-6429000,81383000,-44081000,-74965000,-69885000,-48024000,32189000,70668000,-48024000,None,163715000,45.19,30.04
8,2018-06-30,USD,3090525000,150195000,2438443000,652082000,506922000,362695000,0,0,475410000,-123000,143366000,5035000,501887000,6829000,31512000,None,None,None,0,0,0,112838000,-26477000,0,362572000,362449000,None,USD,7504521000,243154000,None,39927000,3804762000,3746981000,375719000,38273000,644000,3376163000,394049000,508275000,26395000,720445000,1058586000,18266000,18266000,3588414000,2909033000,3817664000,None,3106792000,90000000,1180183000,2352127000,1787109000,1040320000,0,1149367000,644000,0,3376163000,-779088000,None,26395000,None,3686857000,None,2352127000,18330000,2746176000,None,111240000,None,1149367000,7504521000,810445000,None,235096384,USD,-50000000,118859000,-500955000,-395752000,6482000,-90075000,-3144000,46731000,362572000,-264997000,326033000,-630000,79120000,-44268000,-49145000,-90312000,-163465000,19889000,55203000,-163465000,None,-264997000,45.95,45.19
9,2018-03-31,USD,2603875000,140019000,2140459000,463416000,327860000,223399000,0,0,295964000,2076000,133093000,4463000,323397000,6926000,31896000,None,None,None,0,0,0,70489000,-27433000,0,225475000,227551000,None,USD,6972813000,249983000,None,38705000,3549436000,3470719000,314736000,273912000,644000,3057904000,20257000,386045000,662634000,985824000,860740000,9646000,9646000,None,2657937000,3652242000,None,2945931000,40000000,987655000,2353703000,1600058000,851094000,0,1142871000,644000,0,3057904000,-730700000,None,26606000,None,3320571000,None,2353703000,20257000,2688696000,None,111240000,None,1142871000,6972813000,1025824000,None,236095748,USD,-40000000,53543000,-90377000,229000,-19976000,-131222000,-5180000,-76856000,225475000,-43664000,177935000,-105000,76135000,-36797000,-69269000,-80711000,-118818000,22416000,50606000,-118818000,None,-43664000,44.22,45.95
10,2017-12-31,USD,2336479000,124877000,2015655000,320824000,193732000,301609000,0,0,161352000,1562000,117804000,-2215000,195947000,7073000,32380000,None,None,None,0,0,0,-141819000,-128893000,0,303171000,304733000,None,USD,6855732000,256909000,None,91509000,3549424000,3351574000,305949000,346580000,644000,2874693000,21811000,386893000,671486000,1028649000,868519000,28795000,28795000,None,2675904000,3508342000,None,2819012000,0,868837000,2353145000,1519347000,839724000,0,1141534000,644000,0,2874693000,-665297000,None,27684000,None,3347390000,None,2353145000,21811000,2680905000,None,111240000,None,1141534000,6855732000,1028649000,None,237396839,USD,-228783000,-78918000,-36227000,962000,-159982000,-229089000,-17291000,40209000,303171000,-73315000,192001000,5891000,74931000,-36728000,-15088000,-31157000,-139054000,-136096000,37189000,54179000,None,-73315000,43.13,44.22
11,2017-09-30,USD,2443382000,125503000,2046864000,396518000,268489000,148766000,0,0,234312000,2246000,118231000,-2526000,271015000,7272000,34177000,None,None,None,0,0,0,83300000,0,0,151012000,153258000,None,USD,6960737000,263357000,None,59648000,3899716000,3104725000,461399000,349589000,641000,2606831000,20305000,388518000,679815000,1101964000,1066529000,182661000,2534144000,None,2708777000,3572145000,None,2564090000,0,923017000,2351483000,1487516000,883868000,0,1147463000,641000,0,2606831000,-650210000,None,27940000,None,3388592000,None,2351483000,20305000,2833187000,None,111240000,None,1147463000,6960737000,1101964000,None,236951784,USD,-40000000,94207000,-47232000,-4437000,155302000,14205000,-4832000,53015000,151012000,193121000,226148000,-9234000,75210000,-37180000,-99085000,-67285000,193233000,18361000,42795000,-36123000,None,193121000,34.47,43.13
12,2017-06-30,USD,2390720000,127165000,1998202000,392518000,269188000,151961000,0,0,235319000,986000,119741000,3835000,265353000,7424000,33869000,None,None,None,0,0,0,82372000,0,0,152947000,153933000,None,USD,6670130000,269129000,None,37188000,3630649000,3080939000,459639000,286329000,641000,2490373000,20781000,390129000,688752000,908843000,795892000,19971000,19971000,None,2729721000,3251657000,None,2532921000,0,886894000,2354337000,1418732000,775921000,0,1141050000,641000,0,2490373000,-551125000,None,29494000,None,3418473000,None,2354337000,20781000,2834757000,None,111240000,None,1141050000,6670130000,908843000,None,239872874,USD,-40000000,-102976000,-40887000,2387000,16236000,-98104000,-4832000,5418000,152947000,-57983000,81008000,5418000,73801000,-37527000,-76813000,-57622000,157110000,13186000,43274000,-3746000,None,-57983000,35.81,34.47
13,2017-03-31,USD,2368216000,137588000,1896062000,472154000,338225000,196515000,0,0,304252000,2151000,130164000,3659000,334566000,7424000,33973000,None,None,None,0,0,0,105586000,0,0,198666000,200817000,None,USD,6704035000,276553000,None,33442000,3709328000,3035179000,454426000,266783000,641000,2373718000,19711000,391740000,698526000,966826000,881447000,2965000,2965000,None,2760544000,3244965000,None,2478126000,0,883147000,2353744000,1361550000,878482000,0,1135892000,641000,0,2373718000,-475072000,None,30233000,None,3459070000,None,2353744000,19711000,2827881000,None,111240000,None,1135892000,6704035000,966826000,None,242110745,USD,None,185881000,-14759000,26918000,-1429000,-100347000,-3532000,2113000,198666000,125343000,240449000,2113000,75057000,-34130000,-61256000,-86819000,153364000,18915000,41677000,-153364000,None,125343000,34.76,35.81
14,2016-12-31,USD,1910596000,253918000,1600654000,309942000,38969000,-12348000,0,0,2820000,16180000,114004000,-17055000,56024000,7075000,36149000,None,None,None,0,132839000,0,-1012000,-296672000,0,3832000,20012000,None,USD,6423732000,283977000,None,83197000,3535033000,2927020000,448375000,308394000,641000,2210459000,20649000,393351000,706842000,841483000,712815000,3632000,3632000,None,2787215000,2929675000,None,2360932000,0,729784000,2353194000,1275211000,709183000,0,1132749000,641000,0,2210459000,-416829000,None,29514000,None,3494057000,None,2353194000,20649000,2822218000,None,111240000,None,1132749000,6423732000,841483000,None,243785485,USD,-228783000,-59765000,-86427000,-11435000,-256855000,-333137000,-19082000,87229000,3832000,-210006000,209558000,None,73139000,-34128000,-23072000,-13236000,-106617000,162395000,74992000,43193000,None,-210006000,35.58,34.76
15,2016-09-30,USD,2101310000,124648000,1692807000,408503000,279504000,151429000,0,0,243305000,2984000,117440000,-4351000,283855000,7208000,36199000,None,None,None,0,-398517000,0,88892000,0,0,154413000,157397000,None,USD,6787562000,291814000,None,30121000,3835860000,2965917000,450159000,304389000,640000,2224963000,20751000,399867000,722692000,1051489000,794113000,16155000,16155000,None,2928226000,3136644000,None,2400576000,0,779459000,2570837000,1275575000,777958000,0,1132365000,640000,0,2224963000,-392051000,None,31011000,None,3650918000,None,2570837000,20751000,3041747000,None,126340000,None,1132365000,6787562000,1051489000,None,243770777,USD,None,-10891000,-167332000,-107558000,2912000,-30185000,-16000,892000,157397000,-1177000,196340000,694000,74190000,-34124000,1037000,-76013000,149810000,24563000,59774000,29384000,None,-1177000,24.99,35.58
16,2016-06-30,USD,2023902000,124261000,1575625000,380383000,257940000,141969000,0,0,221294000,1526000,117360000,1818000,256122000,7232000,36646000,None,None,None,0,132839000,0,80851000,0,0,141969000,141969000,None,USD,6629676000,265476000,None,28072000,3805070000,2835837000,433116000,256543000,639000,2101729000,19544000,394275000,693375000,1052666000,779224000,18047000,18047000,None,2885844000,3050457000,None,2176086000,0,794003000,2573186000,1175716000,761177000,0,1125519000,639000,0,2101729000,-392050000,None,33624000,None,3579219000,None,2573186000,19544000,3025846000,None,126340000,None,1125519000,6629676000,1052666000,None,245000000,USD,None,118027000,-34480000,1206000,-17367000,-47777000,-19082000,10811000,141969000,75715000,157972000,10613000,74795000,-34090000,3681000,-108893000,179194000,24258000,35686000,-103598000,None,75715000,24.5,24.99
17,2016-03-31,USD,1741301000,104071000,1505265000,236036000,133757000,59899000,0,0,96714000,1419000,96821000,1792000,131965000,7250000,37043000,None,None,None,0,0,0,35396000,0,0,61318000,62737000,None,USD,6391642000,272528000,None,41258000,3684136000,2717209000,416260000,226741000,639000,1993910000,19302000,395872000,703223000,976951000,673046000,22770000,None,None,2914186000,2774233000,None,2175149000,0,689201000,2575528000,1066823000,650276000,0,0,639000,0,1993910000,-392348000,None,34823000,None,3617409000,None,2575528000,19302000,3011090000,None,126340000,None,1115008000,6391642000,976951000,None,243500764,USD,None,120405000,-24654000,3054000,16215000,-14326000,None,None,61318000,249919000,288899000,746000,73985000,-33425000,2884000,82567000,75596000,25474000,27708000,-75596000,None,249919000,22.51,24.5
18,2015-12-31,USD,1591046000,525350000,1446839000,144207000,-381307000,-259393000,0,0,-417923000,3077000,90672000,-164000,-381143000,6178000,36616000,None,None,None,0,428500000,0,-161607000,-597833000,0,-256316000,-253239000,None,USD,6202082000,278960000,None,47914000,3530631000,2679727000,400770000,233232000,638000,1965291000,16595000,397470000,712931000,727032000,535290000,16680000,16680000,None,2951210000,2537941000,None,2129637000,0,613605000,2577976000,1149390000,518610000,0,0,638000,0,1965291000,-396455000,None,36501000,None,3664141000,None,2577976000,16595000,2995341000,None,126340000,None,1110253000,6202082000,727032000,None,243089514,USD,-228783000,-129336000,-24353000,3690000,-22817000,-52591000,-10547000,-59963000,-256316000,253242000,330186000,-5510000,73289000,-33288000,3514000,170593000,311302000,288460000,28043000,189006000,None,253242000,17.87,22.51
19,2015-09-30,USD,1950923000,97697000,1722197000,228726000,130790000,57117000,0,0,93706000,1750000,91379000,-239000,131029000,6318000,37084000,None,None,None,0,0,0,34839000,0,0,58867000,60617000,None,USD,6842541000,353561000,None,28744000,3886756000,2959896000,576674000,245658000,636000,2250901000,16405000,740243000,1177087000,473790000,677858000,31584000,None,None,3013659000,2651795000,None,1992432000,0,827864000,2615819000,1321397000,646274000,0,0,636000,0,2250901000,-396473000,None,83283000,None,4190746000,None,2615819000,16405000,3208898000,None,126340000,None,1104832000,6842541000,473790000,None,242090224,USD,None,-12315000,-71571000,-41285000,-5421000,-38418000,None,None,58867000,54389000,164378000,-3100000,74211000,-33282000,285000,-8763000,122296000,19117000,30286000,36361000,None,54389000,17.18,17.87
