,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,206730000,145544000,47761000,158969000,67711000,51726000,22884000,None,60703000,None,74899000,None,61186000,None,456000,8977000,6000,-450000,None,None,None,8977000,-33000,None,51726000,51726000,None,USD,992414000,128144000,None,35674000,227144000,765270000,None,26983000,56000,219161000,39047000,375096000,56512000,275053000,175778000,None,None,-5352000,49108000,383554000,None,262030000,None,56416000,None,None,46889000,None,None,None,None,None,None,None,29456000,None,608860000,17160000,None,28322000,51366000,None,None,None,None,None,None,None,None,USD,-426000,12469000,-426000,None,-37101000,-17510000,-762000,-6063000,51726000,59429000,77346000,None,6552000,None,-9397000,None,-808000,13221000,426000,None,None,None,183.69,
1,2020-03-31,USD,151346000,86795000,40380000,110966000,24059000,16494000,21323000,None,23592000,None,65472000,-112000,24171000,40380000,467000,7098000,26000,-441000,None,None,None,7098000,-138000,None,16494000,16494000,None,USD,932019000,133747000,None,555169000,251711000,680308000,10735000,12670000,56000,167435000,38164000,375246000,54835000,215624000,200066000,47188000,47188000,-5014000,33757000,317464000,None,680308000,None,110499000,47188000,None,140208000,None,None,56000,None,167435000,-602088000,None,16970000,None,50727000,18285000,None,40910000,51645000,None,None,None,1119919000,932019000,215624000,None,17102000,USD,-1921000,4177000,-1921000,None,12572000,14763000,-762000,-9186000,16494000,59500000,46658000,-10064000,6681000,None,2191000,None,18645000,10725000,1921000,18645000,None,59500000,130.08,183.69
2,2019-12-31,USD,160902000,84422000,44234000,116668000,32060000,20334000,21316000,None,31495000,None,63106000,-186000,32246000,155216000,565000,11161000,35000,-530000,None,None,None,11161000,-221000,None,20334000,20334000,None,USD,902496000,145063000,None,572781000,236871000,665625000,11455000,12627000,56000,150941000,38012000,384540000,47530000,156307000,184668000,50188000,50188000,9713000,32983000,274683000,None,665625000,None,122728000,50188000,3900000,121853000,None,None,56000,None,150941000,-593511000,None,17697000,None,50680000,18803000,None,40748000,52203000,None,None,None,1098426000,902496000,156307000,None,17029000,USD,-507000,15823000,-507000,None,-17449000,-23643000,-762000,-3901000,20334000,12379000,36529000,-9496000,6812000,None,-6194000,None,-7993000,11049000,507000,-7993000,None,12379000,83.52,130.08
3,2019-09-30,USD,136172000,82319000,38202000,97970000,15666000,9148000,20281000,None,15077000,None,62038000,15000,15651000,None,589000,5929000,53000,-536000,None,None,None,5929000,-38000,None,9148000,9148000,None,USD,863800000,143998000,None,553248000,241554000,622246000,14781000,11978000,56000,130607000,35790000,374090000,48828000,143487000,149444000,12001000,12001000,-7053000,33684000,244953000,None,622246000,None,115134000,41188000,None,125465000,None,None,56000,None,130607000,-587193000,None,18247000,None,51931000,19445000,41188000,36141000,92110000,None,None,None,1085829000,863800000,143487000,None,17103000,USD,-1139000,21568000,-1139000,None,-5851000,-11248000,-762000,-7350000,9148000,33913000,46300000,-7655000,7174000,None,-5397000,None,4312000,11753000,1139000,4312000,None,33913000,74.45,83.52
4,2019-06-30,USD,138773000,79907000,36441000,102332000,22325000,13992000,19130000,None,21680000,None,60777000,-100000,22425000,None,645000,7688000,52000,-593000,None,None,None,7688000,-152000,None,13992000,13992000,None,USD,842648000,152304000,None,566796000,229020000,613628000,18575000,12352000,56000,121459000,39080000,381005000,43569000,109713000,130908000,11485000,11485000,-167000,34011000,214181000,None,613628000,None,114550000,44188000,None,107071000,None,None,56000,None,121459000,-580807000,None,17578000,None,51589000,18872000,44188000,35349000,98112000,None,None,None,1073087000,842648000,109713000,None,17189000,USD,-348000,-12189000,-348000,None,-1918000,-21833000,-93000,-5033000,13992000,-1301000,20880000,-2951000,7126000,None,-19915000,None,5094000,9808000,348000,5094000,None,-1325000,45.27,74.45
5,2019-03-31,USD,136003000,76423000,36339000,99664000,23211000,15755000,17314000,None,22497000,None,59109000,-30000,23241000,None,714000,6742000,-744000,-649000,None,None,None,6742000,-95000,None,15755000,15755000,None,USD,856409000,159460000,None,572812000,241780000,614629000,18749000,11185000,56000,107467000,38667000,384506000,42610000,110925000,141392000,10970000,10970000,4719000,35101000,217573000,None,614629000,None,120412000,47188000,None,119237000,None,None,56000,None,107467000,-560620000,None,17159000,None,52260000,18417000,47188000,34451000,100388000,None,None,None,1063007000,856409000,110925000,None,17472000,USD,-262000,-5859000,-262000,None,-8428000,-36038000,-93000,-6035000,15755000,-2856000,33444000,-77000,7129000,None,-27517000,None,7639000,8857000,262000,7639000,24000,-2832000,81.41,45.27
6,2018-12-31,USD,170231000,77378000,38816000,131415000,53929000,42661000,17746000,0,53242000,0,59632000,-108000,54037000,0,687000,None,None,None,0,0,0,10619000,-795000,0,42623000,42661000,None,USD,852774000,163859000,None,569363000,239109000,613665000,18665000,7159000,56000,91712000,37681000,381710000,41257000,113757000,151239000,10454000,10454000,757000,36337000,229611000,None,613665000,None,133317000,50189000,3800000,133626000,None,None,56000,None,91712000,-528529000,None,None,None,36337000,None,50189000,19016000,87870000,None,None,None,1049669000,852774000,113757000,None,17662000,USD,None,19126000,-1311000,-208500000,3338000,-79364000,-4144000,17042000,42661000,35342000,116017000,34507000,7324000,None,-82702000,None,12069000,11650000,1311000,12069000,151000,35493000,155.64,81.41
7,2018-09-30,USD,143507000,66091000,33124000,110383000,43418000,33413000,14432000,0,42750000,0,51659000,-874000,44292000,0,668000,None,None,None,0,0,0,9337000,-1542000,0,33413000,33413000,None,USD,859394000,171815000,None,585119000,206752000,652642000,15331000,4694000,56000,49051000,23619000,378805000,39643000,78264000,129944000,9938000,9938000,5549000,36801000,232330000,None,652642000,0,159210000,53189000,0,115312000,0,0,56000,0,49051000,-439969000,None,None,None,36801000,None,53189000,8288000,76808000,None,None,None,1037955000,859394000,78264000,None,18168000,USD,None,-1023000,-208864000,-208500000,-13437000,-19248000,None,-13549000,33413000,-204401000,23711000,-14407000,6340000,0,-5811000,0,-18414000,17802000,364000,-18414000,-203000,-204604000,226.2,155.64
8,2018-06-30,USD,139627000,63316000,29442000,110185000,46912000,45524000,12340000,0,46262000,0,50976000,43000,46869000,0,650000,None,None,None,0,0,0,700000,-607000,0,45562000,45524000,None,USD,788336000,72984000,None,329177000,177750000,610586000,0,3922000,55000,15638000,6588000,239705000,48893000,282868000,115489000,9423000,9423000,6000,36757000,389997000,None,610586000,0,139534000,55673000,0,102144000,0,0,55000,0,15638000,-427721000,None,None,None,36757000,None,55673000,6588000,62261000,None,None,None,1022608000,788336000,282868000,None,18151000,USD,None,-1964000,-776000,0,-1788000,6731000,None,-1589000,45524000,87020000,81065000,-3551000,5372000,0,8519000,0,24627000,11057000,776000,24627000,None,87020000,253.05,226.2
9,2018-03-31,USD,133565000,58837000,25527000,108038000,49250000,47044000,12073000,0,48660000,0,46764000,49000,49201000,0,590000,None,None,None,0,0,0,1616000,-541000,0,47044000,47044000,None,USD,727396000,76981000,None,332738000,180742000,546654000,0,3842000,55000,-29886000,6182000,239705000,48500000,195848000,116402000,8907000,8907000,7000,36598000,325612000,None,546654000,0,162212000,58158000,0,103653000,0,0,55000,0,-29886000,-414910000,None,None,None,36598000,None,58158000,6182000,64340000,None,None,None,991388000,727396000,195848000,None,17883000,USD,None,6533000,-447000,0,-3000000,-12896000,-4144000,-694000,47044000,41945000,55288000,-870000,5428000,0,-5752000,0,-11267000,8420000,447000,-11267000,None,41945000,201.05,253.05
