,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,BRL,634473000.0,443372000.0,198712000.0,435761000.0,285635000.0,126594000.0,None,None,159844000.0,93248000.0,204592000.0,None,191101000.0,43060000.0,62597000.0,36243000,32879000,-29718000,None,None,None,36243000.0,-1539000.0,None,123601000.0,126594000.0,None,BRL,19260218000,253285000,None,301008000,12780379000,6386591000.0,None,2820131000,62000,886356000,260430000,441351000,244873000,2776778000,11286366000,None,1193697000.0,101525000,632749000,17699344000,20103000,5723442000.0,788676000,13109930000,1233583000,None,7065192000,None,None,None,None,None,None,None,81277000,None,1560874000,None,None,204275000,1494013000,None,None,None,None,None,None,None,None,BRL,1442596000.0,0.0,1442596000.0,4849000,-1274288000.0,-1303318000.0,-267000,1070406000.0,126594000.0,1258168000.0,1121294000.0,None,63194000.0,None,-28763000,None,-472123000.0,278069000.0,111309000.0,None,None,None,38.76,
1,2020-03-31,BRL,679742000.0,339202000.0,149942000.0,529800000.0,436469000.0,158806000.0,None,None,227908000.0,93598000.0,185772000.0,None,340540000.0,3488000.0,148367000.0,69289000,37014000,-111353000,None,None,None,69289000.0,-1279000.0,None,158619000.0,158806000.0,None,BRL,18621476000,238604000,None,133684000,12298693000,6229185000.0,None,2564784000,62000,759762000,50232000,143194000,274186000,1518610000,10229577000,None,1830489000.0,76911000,624773000,17343975000,26963000,5877606000.0,2406986000,12817674000,1208884000,None,5676775000,None,None,None,None,None,-47597000,None,45416000,None,1277501000,None,2018884000,814952000,2069116000,None,None,None,None,None,3925596000,None,282000000,BRL,494463000.0,0.0,494463000.0,4849000,-487138000.0,-304357000.0,230288000,-1445265000.0,158806000.0,550268000.0,362456000.0,None,60194000.0,None,-47507000,None,1233899000.0,319154000.0,112178000.0,None,None,None,21.77,38.76
2,2019-12-31,BRL,726004000.0,312207000.0,128302000.0,597702000.0,525198000.0,262948000.0,0,0,362641000.0,626000.0,181440000.0,0,413797000.0,2465000.0,106865000.0,98680000,56850000,-50015000,0,0,0,98680000.0,-1141000.0,0,263961000.0,262948000.0,0,BRL,19605749000,230505000,None,106345000,13632744000,5972379000.0,0,2172867000,62000,600956000,52734000,143194000,250303000,968342000,11872527000,0,2947811000.0,-68596000,581952000,18404898000,28242000,5632025000.0,2937029000,14215226000,87483000,0,6597896000,0,0,0,0,0,-90000,0,44685000,0,1200851000,0,1707483000,1625051000,1760217000,0,0,0,0,0,3905371000,0,282000000,BRL,-125037000.0,0.0,-125037000.0,4849000,1511199000.0,1510841000.0,-268000,444769000.0,262948000.0,723243000.0,-663491000.0,0,55692000.0,0,-90000,0,-1715965000.0,217478000.0,38078000.0,0,0,0,39.89,21.77
3,2019-09-30,BRL,623164000.0,296796000.0,112495000.0,510669000.0,419068000.0,191189000.0,0,0,274038000.0,-384000.0,172860000.0,0,326368000.0,11441000.0,101175000.0,82693000,47985000,-53190000,0,0,0,82693000.0,860000.0,0,191345000.0,191189000.0,0,BRL,17016730000,223956000,None,129208000,11381605000,5635509000.0,0,1740825000,62000,338008000,109427000,143194000,259808000,245099000,8767725000,0,1036051000.0,-142608000,513649000,15889167000,21709000,5303112000.0,2829449000,12595589000,471465000,0,5810035000,0,0,0,0,0,0,0,11746000,0,1127563000,0,2504453000,2032988000,2613880000,0,0,0,0,0,3074548000,0,282000000,BRL,-298122000.0,0.0,-298122000.0,4849000,190518000.0,190314000.0,-204000,-384883000.0,191189000.0,84464000.0,190191000.0,0,43855000.0,0,0,0,-9712000.0,314336000.0,215183000.0,0,0,0,34.78,39.89
4,2019-06-30,BRL,549098000.0,297750000.0,100784000.0,448314000.0,322039000.0,171946000.0,0,0,209142000.0,-540000.0,164641000.0,0,251348000.0,32325000.0,78771000.0,37289000,37094000,-41677000,0,0,0,37289000.0,-529000.0,0,171853000.0,171946000.0,0,BRL,16575709000,323404000,None,25866000,11142251000,5433998000.0,0,1140660000,62000,146819000,104851000,0,280908000,160635000,8206063000,0,984298000.0,-152930000,375782000,15576454000,19161000,5110594000.0,2704844000,12571688000,268728000,0,5891667000,0,0,0,0,0,0,0,999255000,0,999255000,0,2831337000,2562609000,2936188000,0,0,0,0,0,2865479000,0,282000000,BRL,-104694000.0,26490000.0,-104694000.0,-231000,2063397000.0,2063156000.0,-241000,-256525000.0,171946000.0,73654000.0,-1883634000.0,0,34126000.0,0,0,0,-2160453000.0,282542000.0,80058000.0,0,0,0,29.58,34.78
5,2019-03-31,BRL,535773000.0,224299000.0,85380000.0,450393000.0,341197000.0,177149000.0,0,0,244834000.0,-447000.0,114054000.0,0,311474000.0,11460000.0,66640000.0,67798000,-66640000,-22202000,0,0,0,67798000.0,4730.31,0,177036000.0,177149000.0,0,BRL,14256132000,312717000,None,9225000,8986079000,5270053000.0,0,559704000,62000,5334878000,83143000,0,277416000,86981000,7322608000,0,768587000.0,-64887000,335393000,13318382000,4254000,4957336000.0,2660064000,10481448000,1580775000,0,5818600000,0,0,0,0,0,0,0,937750000,0,937750000,0,1580775000,1558736000,1663918000,0,0,0,0,0,2747045000,0,282000000,BRL,90289000.0,-26490000.0,90289000.0,156919000,-6148000.0,-6362000.0,-214000,479157000.0,177036000.0,-210948000.0,-294847000.0,0,29723000.0,0,0,0,-1179451000.0,177990000.0,66630000.0,0,0,0,41.11,29.58
6,2018-12-31,BRL,276906.31,312103.15,114972.71,161933.61,-35196.84,144615.61,0,0,203541.54,-379.19,149948.16,0,-35196.84,47182.29,-85207.18,52218000,None,None,0,0,0,59283.55,238738.38,0,144257.99,144666.7,0,BRL,15091905.10,186716.26,None,61988.99,9309788.47,5782495.82,0,5710880.55,70.39,-229645.69,97786.40,162569.38,317057.64,338241.37,6874038.30,0,8126.54,-164061.18,302302.04,14120720.09,2539.69,5433210.17,0,10557911.58,2336380.01,0,133780.23,0,0,0,0,0,0,0,0,0,0,0,9074338.76,0,0,0,0,0,0,0,13521342.89,0,245000000,BRL,-2974113.52,32391.49,-2993648.77,-169363851.85,838701.3,5537891.31,-92363.03,269241.85,144615.61,141165.41,-2413230.19,0,16516.47,0,18007992.05,0,-3026922.4,83899.31,17698.33,0,0,0,18.44,41.11
7,2018-09-30,USD,48601328.99,55060351.91,20086110.35,28515218.64,-6459022.92,22105721.61,0,0,32581568.4,4613872.23,27918668.03,0,-6459022.92,7055573.53,-20764042.71,None,None,None,0,0,0,10071426.79,39040591.32,0,22510141.61,22108210.35,0,USD,1953902590.78,76339065.73,None,0,1778668773.80,170619944.75,0,1187411463.13,11448.20,-82042756.53,24633533.26,0,65329135.66,43201513.15,1241521116.95,0,13424255.25,-44539458.95,62912570.62,1748578681.47,743137.30,94280879.02,0,1663352828.45,512172917.55,0,17502550.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224000000,USD,16308205.37,28262362.81,5758691.92,0,1509171.0,-20000995.5,-5773873.22,96189990.29,22105721.61,7638933.82,20665737.54,0,6084716.66,0,0,0,-168408202.88,39346208.41,8168537.37,0,0,0,nan,18.44
8,2018-06-30,USD,40991566.57,3.74,17940199.34,23051367.24,-7232302.58,15691285.46,0,0,21799131.1,4340914.9,26271403.02,0,-7232302.58,4012266.8,-19039100.43,None,None,None,0,0,0,5698952.21,29031433.68,0,16100178.89,15691285.46,0,USD,1798349859.44,61136723.74,None,0,1610916432.40,183092512.14,0,1025342192.69,11755.69,-106945821.62,20555839.51,0,63067722.97,36517761.31,1063836442.63,0,2316636.85,-15146434.96,62768975.21,1610402248.91,974188.60,121955788.4,45435471.51,1516141834.91,525841553.80,0,18038078.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,None,USD,16746230.51,0.0,5913365.7,0,1549706.11,-20538205.98,-5928954.77,98773575.26,15691285.46,7844109.38,21220802.45,0,6248147.2,0,0,0,-172931510.35,40403015.59,8387937.64,0,0,0,nan,nan
9,2018-03-31,USD,43653660.3,54455937.42,21300585.89,22353074.41,-10802277.12,12839604.98,0,0,19953491.18,5129862.29,30015100.27,None,-10802277.12,3140251.27,-21530109.93,None,None,None,0,0,0,6708444.07,30755768.3,0,13245047.11,12850175.16,None,USD,0,0,None,0,0,141148828.22,0,0,0,0,0,0,0,0,0,628743959.89,628743959.89,0,0,0,0,70453007.97,0,0,0,0,0,0,0,0,0,0,0,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1168307.56,-13768724.33,-18631462.91,0,-884724.57,-395475.96,-7006523.31,730248.85,12839604.98,-75359084.32,-56324595.31,None,6043881.37,0,0,0,-103346520.9,33443917.61,13964121.77,None,None,None,nan,nan
