,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,0,19821000,None,None,-19747000,-19893000,12947000,None,-19893000,None,6874000,None,-19821000,None,None,None,157000,157000,None,None,None,None,-229000,None,-19893000,-19893000,None,USD,301020000,None,None,None,10146000,290874000,None,None,4000,-108216000,595000,None,2005000,226666000,9551000,None,None,-44000,1072000,293796000,4147000,290874000,64567000,None,None,None,909000,None,None,None,None,None,None,None,2005000,None,7224000,None,None,None,595000,None,None,None,None,None,None,None,None,USD,-68328000,-708000,-68328000,None,None,78000,None,1584000,-19893000,-84409000,-16159000,None,74000,None,None,None,None,2784000,261000,None,None,None,42.0,
1,2020-03-31,USD,0,16130000,None,None,-16060000,-15294000,9727000,None,-15294000,None,6403000,None,-16130000,None,None,None,936000,936000,None,None,None,None,-100000,None,-15294000,-15294000,None,USD,317408000,None,None,None,9274000,308134000,None,None,4000,-88323000,692000,None,2005000,311075000,8582000,None,None,None,885000,313642000,876000,308134000,None,None,None,None,1617000,None,None,None,None,None,None,None,2005000,None,3766000,None,None,None,692000,None,None,None,396453000,None,311075000,None,42000000,USD,-160000,-1037000,-160000,None,None,6000,None,-1587000,-15294000,-16552000,-16398000,None,70000,None,6000,None,None,1450000,160000,None,None,None,27.0,42.0
2,2019-12-31,USD,0,17371000,None,None,-17306000,-16217000,12172000,None,-16217000,None,5199000,None,-17371000,None,None,None,1267000,1267000,None,None,None,None,-113000,None,-16217000,-16217000,None,USD,334831000,None,None,None,12759000,322072000,700000,363000,4000,-73029000,789000,None,1699000,327652000,11970000,None,None,None,795000,331361000,976000,322072000,None,None,None,None,2654000,None,None,None,None,None,None,None,1699000,None,3470000,None,None,None,789000,None,None,None,395097000,None,327652000,None,None,USD,-130000,497000,-130000,-3590000,None,20000,None,-1471000,-16217000,-16173000,-16063000,None,65000,None,333708000,None,None,1063000,40000,None,None,None,38.49,27.0
3,2019-09-30,USD,0,15329000,None,None,-15266000,-16833000,10745000,None,-16833000,None,4584000,None,-15329000,None,None,None,997000,997000,None,None,None,None,-2501000,None,-16833000,-16833000,None,USD,348395000,None,None,None,11076000,337319000,None,356000,4000,-56812000,881000,None,2062000,343825000,10195000,None,None,None,820000,344514000,999000,337319000,None,None,None,None,2157000,None,None,None,None,None,None,None,2062000,None,3881000,None,None,None,881000,None,None,None,394127000,None,343825000,None,9000000,USD,-84000,13000,-84000,-3500000,None,169731000,None,2355000,-16833000,158534000,-11113000,None,63000,None,333688000,None,None,3289000,84000,None,None,None,21.68,38.49
4,2019-06-30,USD,0,14851000,None,None,-14808000,-13847000,11205000,None,-13847000,None,3646000,None,-14851000,None,None,None,1004000,1004000,None,None,None,None,641500,None,-13847000,-16833000,None,USD,194632000,None,None,None,10999000,183633000,None,349000,None,-39979000,972000,None,2154000,185291000,10027000,None,None,None,799000,188179000,3500000,-37539000,None,None,None,None,2144000,None,None,None,None,None,None,None,2154000,None,6453000,None,None,None,972000,None,None,None,2440000,None,185291000,None,None,USD,-3785000,0,-84000,-3500000,None,0,None,2355000,-13847000,-16876000,-13091000,None,43000,None,163957000,None,None,3289000,285000,None,None,None,nan,21.68
5,2019-03-31,USD,0,11688000,None,None,-11667000,-11409000,8423000,None,-11409000,None,3265000,None,-11688000,None,None,None,279000,279000,None,None,None,None,641500,None,-11409000,-3680000,None,USD,194632000,None,None,None,10999000,-37539000,None,349000,None,-39979000,972000,None,2154000,185291000,10027000,None,None,None,799000,188179000,3500000,-21383000,None,None,None,None,2144000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,1000000,USD,-261000,108000,-261000,None,None,163957000,None,3380000,-11409000,156519000,-7177000,None,21000,None,163957000,None,None,723000,261000,None,None,None,nan,nan
6,2018-09-30,USD,None,5230000,None,None,-5230000,-5004000,3406000,None,-5004000,None,1824000,None,-5230000,None,None,None,None,None,None,None,None,None,226000,None,-5004000,-5004000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1750000,-915000,65000,None,None,81978500,None,-1045000,-5004000,-6662000,-6727000,None,3000,None,50400000,None,None,234000,65000,None,None,None,nan,nan
7,2018-06-30,USD,None,3407000,None,None,-3407000,-3295000,1393000,None,-3295000,None,2014000,None,-3407000,None,None,None,None,None,None,None,None,None,112000,None,-3295000,-3295000,None,USD,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1750000,435500,-32500,None,None,25200000,None,310000,-3295000,22925500,-2242000,None,3000,None,None,None,None,304500,32500,None,None,None,nan,nan
8,2018-03-31,USD,None,3407000,None,None,-3407000,-3295000,1393000,None,-3295000,None,2014000,None,-3407000,None,None,None,None,None,None,None,None,None,112000,None,-3295000,-3295000,None,USD,None,None,None,None,None,-4639000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,-4639000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,-1750000,435500,-32500,None,None,25200000,None,310000,-3295000,22925500,-2242000,None,3000,None,None,None,None,304500,32500,None,None,None,nan,nan
9,2011-09-30,USD,13601000,None,7196000,None,None,211000,980000,None,600000,None,4754000,None,831000,None,61000,None,None,None,None,None,None,389000,None,None,None,89000,None,USD,52540000,712000,None,4108000,13990000,38550000,None,6743000,29000,None,129000,366000,4217000,12862000,10907000,None,None,None,15282000,None,None,None,None,None,2954000,8183000,3194000,None,None,None,4810000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,525000,None,None,None,None,11000,None,211000,None,2015000,None,None,None,None,None,None,None,2238000,None,None,None,nan,nan
10,2011-06-30,USD,13534000,None,6859000,None,None,None,1113000,None,None,None,4051000,None,1720000,None,64000,None,None,None,None,None,None,531000,None,None,None,None,None,USD,51755000,723000,None,4454000,12929000,38826000,None,6132000,29000,None,122000,366000,4268000,13400000,9594000,None,None,None,15279000,None,None,None,None,None,3213000,6904000,2414000,None,None,None,4810000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,9000,None,None,None,1103000,None,None,None,None,None,None,None,866000,None,None,None,nan,nan
11,2011-03-31,USD,14531000,None,7559000,None,None,1570000,1034000,None,2360000,None,3973000,None,2154000,None,67000,None,None,None,None,None,None,950000,None,None,None,1448000,None,USD,51827000,2694000,None,3803000,12749000,39205000,None,6109000,29000,None,116000,1854000,6187000,11981000,9174000,None,None,None,15560000,None,None,None,None,None,3459000,6239000,1973000,None,None,None,4810000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,None,None,None,1570000,None,None,None,None,None,None,None,None,None,455000,None,None,None,nan,nan
12,2010-12-31,USD,10548000,None,5589000,None,None,4687000,1125000,None,None,None,4097000,None,38000,None,70000,None,None,None,None,None,None,None,None,None,None,4564000,None,USD,50590000,2755000,None,3918000,13781000,36836000,None,6349000,29000,None,112000,1854000,6223000,13776000,10158000,None,None,None,15235000,None,None,None,None,None,3511000,5536000,2628000,None,None,None,4810000,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,USD,None,None,None,None,None,998000,379000,None,4687000,None,5606000,None,None,None,None,None,657000,None,1888000,None,None,None,nan,nan
