,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,416833000,-295646000,268433000,-268433000,29175000,22230000,None,None,28615000,None,102664000,1962000,27213000,-400110000,560000,6385000,165000,-395000,None,1800000,None,6385000,-3000,None,22230000,22230000,None,USD,1369833000,148573000,None,39517000,507048000,862785000,26044000,108012000,401000,634943000,50729000,306712000,54381000,129050000,260007000,None,None,-61680000,119412000,552079000,None,407500000,None,383512000,49000000,None,151995000,None,None,401000,None,634943000,-2693000,None,243057000,None,817754000,202260000,49000000,198041000,247041000,None,None,None,291814000,1369833000,129050000,None,None,USD,-10475000,15866000,-10475000,587000,-26000000,-39143000,-124000,14342000,22230000,8475000,58093000,657000,16780000,None,-13019000,None,None,3716000,11062000,-1156000,None,8475000,27.66,
1,2020-03-31,USD,411166000,-291339000,266945000,-266945000,19864000,13918000,None,None,19144000,None,103247000,-4530000,24394000,-394586000,720000,5226000,263000,-457000,None,None,None,5226000,-4793000,None,13918000,13918000,None,USD,1366347000,151537000,None,42509000,522743000,843604000,25761000,104469000,405000,625712000,48798000,304691000,53943000,118422000,239094000,None,None,-69732000,119953000,539486000,None,387376000,None,378555000,75000000,None,134625000,None,None,405000,None,625712000,-2610000,None,250680000,None,826861000,212493000,75000000,208649000,283649000,None,None,None,289829000,1366347000,118422000,None,41000000,USD,-11813000,-4422000,-11813000,5000,2000000,-21918000,-1009000,-2877000,13918000,-5182000,28549000,-3667000,16638000,None,-22909000,None,None,4632000,11818000,1450000,None,-5182000,27.12,27.66
2,2019-12-31,USD,425284000,-307818000,274731000,-274731000,32886000,23020000,None,None,32025000,None,100825000,-201000,33087000,-408643000,861000,9005000,235000,-626000,None,None,None,9005000,-436000,None,23020000,23020000,None,USD,1415500000,158420000,None,41393000,541025000,874475000,None,106814000,416000,634668000,47582000,311247000,46691000,127246000,253633000,None,None,-47001000,125990000,558786000,9254000,404808000,13927000,390147000,73000000,None,146819000,None,None,416000,None,634668000,-2543000,None,261057000,None,856714000,217673000,73000000,214392000,287392000,None,None,None,288935000,1415500000,127246000,None,42000000,USD,-16402000,2923000,-16402000,-2195000,-4000000,-5935000,-1935000,-12817000,23020000,-18640000,3697000,-13299000,16770000,None,-1935000,None,-30172000,4455000,14207000,-30172000,None,-18640000,36.99,27.12
3,2019-09-30,USD,397547000,-278375000,253669000,-253669000,24885000,18105000,None,None,23794000,None,102620000,179000,24706000,-380995000,1091000,5689000,234000,-857000,None,None,None,5689000,-55000,None,18105000,18105000,None,USD,1374064000,160479000,None,39198000,535913000,838151000,18959000,104632000,414000,611648000,43839000,303800000,39985000,142572000,247066000,None,None,-60438000,122106000,535477000,8800000,373872000,None,353707000,77000000,None,142434000,None,None,414000,None,611648000,-2583000,None,252202000,None,838587000,216331000,77000000,211847000,288847000,None,None,None,289110000,1374064000,142572000,None,41000000,USD,-8079000,15124000,-8079000,22000,-15000000,-25109000,-6000,13811000,18105000,8062000,41250000,2169000,16682000,None,-10103000,None,-8853000,-1977000,8101000,-8853000,None,8062000,30.64,36.99
4,2019-06-30,USD,389006000,-267416000,252161000,-252161000,14914000,11269000,None,None,13735000,None,104282000,-341000,15255000,-371827000,1179000,2466000,192000,-987000,None,129000,None,2466000,-662000,None,11269000,11269000,None,USD,1385841000,165509000,None,41903000,545312000,840529000,18484000,103075000,421000,609791000,46620000,306050000,39082000,136631000,232503000,None,None,-48564000,125739000,529725000,8900000,368970000,None,351191000,92000000,None,129428000,None,None,421000,None,609791000,-9998000,None,258818000,None,856116000,223053000,92000000,220809000,312809000,None,None,None,288879000,1385841000,136631000,None,42000000,USD,-10375000,-10138000,-10375000,319000,-1007000,-21183000,2000,-5229000,11269000,-14525000,17033000,-3613000,17307000,None,-20178000,None,1106000,1102000,10694000,1106000,None,-14525000,27.46,30.64
5,2019-03-31,USD,402925000,-278480000,261728000,-261728000,17547000,11687000,None,None,16369000,None,104680000,795000,16752000,-384742000,1178000,4682000,-1202000,-993000,None,1582000,None,4682000,-972000,None,11687000,11687000,None,USD,1403106000,170277000,None,37930000,561065000,842041000,17575000,100072000,426000,610585000,46560000,303920000,46505000,148242000,235426000,45636000,45636000,-53761000,128775000,535572000,9000000,367844000,None,349400000,93000000,None,135354000,None,None,426000,None,610585000,-2556000,None,264562000,None,867534000,231715000,93000000,232639000,325639000,None,None,None,287347000,1403106000,148242000,None,42000000,USD,-5731000,10892000,-5731000,-35000,-10091000,-11366000,-1275000,9233000,11687000,22206000,39303000,-4106000,18312000,None,-1269000,None,-2320000,4838000,5696000,-2320000,None,22206000,28.28,27.46
6,2018-12-31,USD,415198000,-713820000,271437000,-685808000,25404000,17048000,0,0,24184000,0,97660000,-2608000,28012000,-811625000,1220000,None,None,None,-1183000,145000,0,7136000,-11851000,0,17048000,17048000,None,USD,1171967000,174031000,None,40515000,345358000,826609000,2241000,61411000,428000,598788000,57778000,302517000,33662000,128697000,185580000,None,None,-56775000,135418000,516637000,9702000,350061000,None,347425000,102000000,None,124169000,None,None,428000,None,598788000,-2376000,None,43364000,None,655330000,None,102000000,55537000,159778000,None,None,None,286544000,1171967000,128697000,None,42000000,USD,-5000000,-11279000,-65834000,-55803000,20000000,19988000,-12000,-26569000,17048000,-26202000,19644000,-9999000,18095000,None,None,None,4532000,1247000,10031000,4532000,None,-26202000,24.73,28.28
7,2018-09-30,USD,399333000,-275920000,261474000,-261474000,15548000,13752000,0,0,14380000,0,105148000,1102000,14446000,-381623000,1168000,None,None,None,0,555000,0,628000,-9062000,0,13752000,13752000,None,USD,1146332000,152310000,None,42012000,334496000,811836000,2353000,69497000,428000,581740000,50956000,268075000,24546000,157268000,201540000,None,None,-52275000,138812000,553189000,9400000,391451000,12727000,353909000,82000000,0,132043000,0,0,428000,0,581740000,-2332000,None,33946000,None,593143000,None,82000000,48603000,132956000,None,None,None,284275000,1146332000,157268000,None,42000000,USD,-5000000,15157000,-37752000,-22131000,-8000000,-8000000,4000,10868000,13752000,-3686000,42066000,-1793000,17906000,0,0,0,-4386000,1430000,10621000,-4386000,None,-3686000,30.49,24.73
8,2018-06-30,USD,396785000,-271384000,264924000,-264924000,6098000,7178000,0,0,4949000,0,102037000,-362000,6460000,-378596000,1149000,None,None,None,0,5175000,0,-2229000,-10301000,0,7178000,7178000,None,USD,1134401000,139829000,None,42656000,333538000,800863000,2913000,69268000,428000,567988000,52634000,265991000,23098000,162422000,190904000,90000000,90000000,-47933000,142920000,552963000,9600000,395043000,12017000,347885000,90000000,0,121636000,0,0,428000,0,567988000,-2242000,None,32698000,None,581438000,None,90000000,49721000,142634000,None,None,None,282622000,1134401000,162422000,None,42000000,USD,-5000000,-2367000,-12593000,381000,-10000000,-9982000,18000,-4201000,7178000,-3810000,18765000,-4709000,18383000,0,0,0,-6250000,6530000,12974000,-6250000,None,-3810000,28.78,30.49
9,2018-03-31,USD,414371000,125015000,275072000,139299000,14610000,10948000,0,0,13404000,0,102440000,326000,14284000,19049000,1206000,None,None,None,0,3526000,0,2456000,-4706000,0,10948000,10948000,None,USD,1156186000,143623000,None,38665000,350040000,806146000,3089000,65235000,428000,560810000,54872000,267936000,22918000,172590000,195168000,100000000,100000000,-33799000,153834000,558175000,9700000,394587000,11827000,346920000,100000000,0,129933000,0,0,428000,0,560810000,-2133000,None,32618000,None,598011000,None,100000000,51783000,154872000,None,None,None,280840000,1156186000,172590000,None,42000000,USD,-5000000,-5006000,-20761000,-7503000,-175000000,-178662000,-3662000,3040000,10948000,-170804000,28619000,-978000,19244000,0,0,0,-2120000,6531000,13258000,-2120000,None,-170804000,28.94,28.78
