,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,986103000,326831000,648461000,337642000,10476000,2124000,None,None,3243000,32000,101055000,-335000,10811000,225776000,7233000,None,None,None,None,None,None,1087000,None,None,2156000,2124000,None,USD,3200557000,19321000,None,26915000,2642272000,556815000,None,2434058000,8000,-143622000,None,22213000,None,142786000,415608000,None,None,-190000,841669000,450922000,None,515281000,None,118511000,None,162710000,208214000,None,None,8000,None,-143622000,None,None,1866432000,None,2749635000,None,None,None,None,None,None,None,700619000,3200557000,142786000,None,8298000,USD,None,41700000,-11597000,-685000,None,-350000,-317000,None,2156000,122483000,134430000,2996000,28254000,None,-33000,6458000,None,-3724000,10912000,56590000,-15000,122468000,24.25,
1,2020-03-31,USD,1303348000,365940000,954693000,348655000,-17826000,-18561000,None,None,-25282000,20000,100816000,-541000,-17285000,265124000,7456000,-6741000,-7456000,None,None,None,None,-6741000,None,None,-18541000,-18561000,None,USD,3182662000,20421000,None,29791000,2627630000,553561000,None,2440549000,8000,-145746000,None,25259000,84693000,20318000,374589000,None,None,-192000,856138000,394714000,None,507881000,None,175454000,337840000,169151000,187081000,None,None,8000,None,-145746000,None,None,1886130000,None,2787948000,None,337840000,None,None,None,None,None,699491000,3182662000,20318000,None,8319000,USD,None,-17555000,-16135000,505000,8700000,8145000,-523000,None,-18541000,3013000,11003000,2702000,28560000,None,-32000,27420000,None,-9408000,16640000,-2175000,99000,3112000,18.96,24.25
2,2019-12-31,USD,1522211000,365139000,1096953000,425258000,61369000,43082000,None,None,54275000,35000,102292000,1250000,60119000,262847000,7094000,11158000,-7094000,None,None,None,None,11158000,None,None,43117000,43082000,None,USD,3230895000,20707000,None,32456000,2658359000,571053000,None,242525000,8000,-127185000,None,25259000,78659000,17206000,389965000,None,None,-172000,868503000,419769000,None,525087000,None,173496000,329321000,196611000,147440000,None,None,8000,None,-127185000,None,None,1896657000,None,2811126000,None,329321000,1939073000,2268394000,None,None,None,698402000,3230895000,17206000,None,8307000,USD,4256000,-47329000,-13003000,3539000,7900000,7436000,-87000,None,43117000,-15372000,-9805000,40797000,28142000,None,-377000,-1380000,None,9986000,20798000,-40021000,32000,-15340000,25.25,18.96
3,2019-09-30,USD,1570492000,369975000,1192807000,377685000,7770000,1832000,None,None,722000,40000,104089000,60000,7710000,265886000,7048000,-1150000,-7048000,None,None,None,None,-1150000,None,None,1872000,1832000,None,USD,3218312000,21179000,None,27433000,2689050000,527783000,None,2147078000,8000,-170267000,None,25259000,100335000,32546000,439389000,None,None,484000,880058000,389087000,None,481345000,None,133906000,321196000,195202000,220776000,None,None,8000,None,-170267000,None,None,1902729000,None,2829225000,None,321196000,None,321196000,None,None,None,697558000,3218312000,32546000,None,8085000,USD,None,-6255000,-25978000,-10000,None,-603000,-603000,None,1872000,6778000,33359000,1876000,24146000,None,None,4509000,None,-4270000,25968000,13353000,-17000,6761000,25.1,25.25
4,2019-06-30,USD,1597364000,361190000,1228347000,369017000,7971000,1178000,None,None,807000,31000,103332000,144000,7827000,257858000,7164000,-402000,-7164000,None,None,None,None,-402000,None,None,1209000,1178000,None,USD,3245330000,21683000,None,27437000,2718566000,525325000,None,251015000,696886000,-172099000,None,25259000,99988000,25785000,445910000,None,None,538000,880142000,400557000,None,478383000,None,147620000,320971000,199715000,194895000,None,None,696886000,None,-172099000,None,None,1917689000,None,2844773000,None,320971000,1951685000,2272656000,None,None,None,None,3245330000,25785000,None,8087000,USD,None,16967000,-19611000,890000,None,-105000,-29000,None,1209000,999000,20715000,3718000,23213000,None,-76000,-5538000,None,-8579000,20501000,-9066000,37000,1036000,25.39,25.1
5,2019-03-31,USD,1427292000,361002000,1076662000,350630000,-10946000,-12747000,None,None,-17996000,18000,103523000,-574000,-10372000,257479000,7050000,-5267000,-7050000,None,None,None,None,-5267000,None,None,-12729000,-12747000,None,USD,3244411000,21993000,None,29290000,2719735000,523192000,None,239554000,696017000,-173277000,None,25259000,98741000,24749000,428577000,None,None,452000,883960000,386768000,None,475940000,None,138561000,320748000,194168000,189023000,None,None,696017000,None,-173277000,None,None,1926431000,None,2857643000,None,320748000,1970410000,2291158000,None,None,None,None,3244411000,24749000,None,40398000,USD,None,63315000,-327825000,-1500000,None,-55000,-26000,None,-12729000,-289682000,38198000,-7770000,24759000,None,-29000,2563000,None,-3767000,326325000,-40902000,44000,-289638000,25.29,25.39
6,2018-12-31,USD,1146668000,232931000,856411000,290257000,56890000,-5949000,None,None,49853000,27000,103583000,-436000,57326000,180848000,7037000,None,None,None,1051000,None,None,10213000,None,-45562000,39640000,-5949000,None,USD,1442108000,22887000,None,35119000,991716000,448897000,None,167777000,695315000,-246773000,None,25259000,121749000,314387000,288691000,None,None,355000,628537000,643676000,None,400751000,None,97449000,320528000,196721000,120914000,None,None,695315000,None,-246773000,None,None,121749000,None,798432000,None,320528000,382497000,703025000,None,None,None,None,1442108000,314387000,None,40402000,USD,-2859000,-139819000,270681000,311565000,26000,-1020000,799000,None,-5922000,228437000,-41224000,-5523000,21103000,None,-1845000,2068000,None,9453000,38025000,71494000,-118000,228319000,22.94,25.29
7,2018-09-30,USD,1659397000,359964000,1289016000,370381000,10986000,-70514000,None,None,3468000,34000,106213000,569000,10417000,253751000,7518000,None,None,None,None,None,None,1879000,None,-72069000,1589000,-70514000,None,USD,1591939000,48681000,None,362748000,1135926000,454546000,None,227111000,694772000,-240824000,None,None,None,85519000,431289000,None,None,598000,606219000,815278000,None,405865000,None,168990000,320303000,198021000,204178000,None,None,694772000,None,-240824000,None,None,121761000,None,776661000,None,320303000,384334000,704637000,None,None,None,None,1591939000,85519000,None,39768000,USD,None,33907000,-31720000,6888000,None,-1241000,-1241000,None,-70480000,7836000,40797000,3287000,4610000,None,None,-4723000,None,-33398000,38608000,-6888000,43000,7879000,24.66,22.94
8,2018-06-30,USD,1840685000,438918000,1436963000,403722000,-36104000,-33978000,None,None,-42964000,54000,101216000,-908000,-35196000,286202000,6860000,None,None,None,None,51500000,None,-9040000,None,None,-33924000,-33978000,None,USD,1640913000,31946000,None,26446000,1114546000,524933000,None,204081000,694849000,-170310000,None,43099000,None,78189000,397313000,None,None,394000,980894000,483286000,None,449888000,None,162588000,320077000,216063000,193232000,None,None,694849000,None,-170310000,None,None,101688000,None,1157627000,None,320077000,397156000,717233000,None,None,None,None,1640913000,78189000,None,39771000,USD,None,35096000,-27509000,15694000,146000,-224000,-370000,None,-33924000,26103000,53836000,-1795000,29918000,None,None,-8387000,None,42049000,43203000,-9121000,-53000,26050000,23.99,24.66
9,2018-03-31,USD,1584687000,385955000,1204563000,380124000,-7116000,-10112000,None,None,-14704000,34000,108847000,-1285000,-5831000,277108000,7588000,None,None,None,None,None,None,-4626000,None,None,-10078000,-10112000,None,USD,1643365000,33677000,None,24652000,1085085000,556799000,None,197363000,692706000,-136332000,35861000,93859000,93468000,52139000,364249000,41706000,41706000,425000,984396000,437965000,None,429263000,None,153488000,319853000,207686000,166886000,None,None,692706000,None,-136332000,None,None,93468000,None,1205400000,None,319853000,400983000,720836000,None,None,None,None,1643365000,52139000,None,40000000,USD,None,38884000,-12153000,12792000,345000,83000,-262000,6243000,-10078000,16127000,28197000,2642000,27548000,None,None,1940000,-28145000,-4594000,24945000,-28145000,-70000,16057000,24.4,23.99
