,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-05-31,USD,7736282,1679571,5196729,2539553,761587,975641,None,None,872641,None,1679571,-98395,859982,None,-111054,-103000,None,None,None,None,None,-103000,-98395,None,975641,975641,None,USD,45075894,None,None,510360,5538340,39537554,None,None,100943,32538580,None,None,1244786,15159827,5538340,1767385,1461500,None,9407490,34423618,None,39537554,1071950,7574044,None,10107437,3770955,None,None,100943,None,32538580,-2861032,None,195621,None,170115,None,None,None,0,None,None,None,9759063,45075894,16231777,None,None,USD,-16359,-1512680,-246196,9049,1461500,1496875,None,-235296,975641,1021855,-228824,-41705,299916,None,35375,208874,-822274,286660,238886,-445530,None,1021855,10.99,
1,2020-02-29,USD,7234195,1437981,4861257,2372938,971752,782752,None,None,971752,None,1437981,36795,934957,None,None,189000,None,None,None,None,None,189000,36795,None,782752,782752,None,USD,44028398,None,None,468655,5589521,38438877,None,1461606,9705297,31562939,None,None,1268499,14137972,5589521,514916,None,None,9468520,33291379,None,38438877,1065765,7128514,None,10490473,3612999,None,None,None,None,31562939,-2829359,None,194496,189115,9852131,None,None,None,0,None,None,None,9705297,44028398,15203737,None,3000000,USD,-681656,-663409,-681656,-6805,1461500,3380,None,-179835,782752,2016630,2694906,-155943,280398,None,3380,181530,1350480,286660,674851,2269578,None,2016630,11.2309,10.99
2,2019-11-30,USD,7702425,1526327,5060703,2641722,1142006,917006,None,None,1142006,None,1526327,26611,1115395,None,None,225000,None,None,None,None,None,225000,26611,None,917006,917006,None,USD,43905675,None,None,312712,6252930,37652745,None,1153243,9701917,30780187,None,None,1135775,12121342,6252930,847171,None,None,9074067,33695833,None,37652745,1060094,9398092,None,10803593,4252516,None,None,None,None,30780187,-2829359,None,193362,189115,9456544,None,None,None,0,None,None,None,9701917,43905675,13181436,None,3000000,USD,-245933,1844139,-245933,-1431,1461500,3476,None,-574110,917006,5390703,5633160,192968,280398,None,3476,450932,498844,286660,244502,1947717,None,5390703,10.68,11.2309
3,2019-08-31,USD,5708639,1290531,4025762,1682877,429577,354577,0,0,429577,0,1290531,37231,392346,0,0,75000,None,None,0,0,0,75000,37231,0,354577,354577,0,USD,41141054,0,None,505680,4408791,36732263,0,1763522,9698441,29863181,0,0,1126946,6730639,4408791,1003970,0,0,9109963,30904145,0,36732263,1060094,11345809,0,11261923,1641299,0,0,0,0,29863181,-2829359,0,191931,189115,9491009,0,0,0,0,0,0,0,9698441,41141054,7790733,0,3000000,USD,-78604,-469233,-78604,-5685,1461500,3377,0,-30640,354577,1658817,1734044,43497,280398,0,3377,-36615,-1567219,55437,72919,1505983,0,1658817,10.82,10.68
4,2019-05-31,USD,9013282,7893877,6399989,2613293,1367444,982390,0,0,1139390,0,1493888,-49021,1119405,0,-69006,157000,None,None,0,0,0,157000,-49021,0,982390,982390,0,USD,41196896,0,None,549177,4878024,36318872,0,2165974,100735,29508604,0,0,1111741,5071822,4878024,1309358,0,0,9317442,30767713,0,36318872,1055591,12851792,0,11239331,3568666,0,0,100735,0,29508604,-2829359,0,190749,0,189115,0,0,0,0,0,0,0,9538892,41196896,6127413,0,3000000,USD,-25953,-205786,-25953,11902,0,31775,0,256022,982390,780482,774660,131177,248039,0,50340,661804,-454238,272409,21346,-1405720,0,780482,11.0824,10.82
5,2019-02-28,USD,7812500,1458061,5833620,1978880,544786,445790,0,0,544790,0,1458060,23971,520820,0,0,99000,None,None,0,0,0,99000,23971,0,445786,445790,0,USD,40248820,0,None,680350,4993460,35255360,0,1538392,9558504,28526210,0,0,1124550,4291340,4993460,1212890,0,0,9562200,29562080,0,35255359,1052205,4825060,0,18713110,2242181,0,0,0,0,28526214,-2829360,0,189528,219115,9970839,0,0,0,0,0,0,0,9558500,40248822,5343550,0,3000000,USD,-131111,-670942,-468410,-16920,0,18570,0,-235262,1562140,1433020,1882860,-198474,824920,0,18570,144054,168856,272409,451490,-498746,0,-673036,12.7644,11.0824
6,2018-11-30,USD,9479159,1719418,7329815,2149344,456517,375517,0,0,456517,0,1719418,26591,429926,0,0,None,None,None,0,0,0,81000,26591,0,375517,375517,0,USD,40506534,0,None,481880,5701193,34805341,0,1818422,9554272,28080428,0,0,1277844,4964376,5701193,969648,0,0,9705412,29523278,0,34805341,1047971,10947326,0,12081725,2913123,0,0,0,0,28080428,-2829359,0,188388,219115,10112915,0,0,0,0,0,0,0,9554272,40506534,6012347,0,3000000,USD,-16509,-1273963,-232887,-7535,0,4246,0,-619258,375517,-2156236,-1927595,-176052,268953,0,4246,734227,-1856277,272409,225352,-1856277,0,-2156236,12.25,12.7644
7,2018-08-31,USD,7314094,1552617,5007831,2306263,918832,740832,0,0,918832,0,1374617,-12814,931646,178000,0,None,None,None,0,0,0,178000,-12814,0,918832,740832,0,USD,41400734,0,None,305828,6975156,34425578,0,2304901,9550026,27704911,0,0,1332063,7120612,6975156,926375,0,0,9749013,30319658,0,34425578,1041894,9091049,0,12760275,3743880,0,0,0,0,27704911,2829359,0,186930,219115,10155058,0,0,0,0,0,0,0,9550026,41400734,8162506,0,3000000,USD,-16509,306609,-104414,-4012,0,10088,0,182135,740832,4262289,4356615,141334,287014,0,10088,-381751,3205269,57308,100402,3205269,0,4262289,11.733,12.25
8,2018-05-31,USD,6410815,1523612,4821367,1589448,48032,112893,0,0,74893,0,1523612,-17804,65836,0,-26861,None,None,None,0,0,0,-38000,9057,0,112893,112893,0,USD,39511290,0,None,447162,5898939,33612351,0,2043002,100428,26959080,0,0,1290496,2858323,5898939,983260,0,0,9935625,28285169,0,33612351,1039082,12622827,0,11317775,4915679,0,0,100428,0,26959080,-2829359,0,185730,0,219115,0,0,0,0,0,0,0,9382202,39511290,3897405,0,3000000,USD,-16756,491846,-193536,9758,0,57618,0,399368,112893,1557477,1693395,-87277,228198,0,57618,6636,766665,174434,186538,766665,0,1557477,10.26,11.733
9,2018-02-28,USD,6573658,1318787,5118242,1455416,145583,-23417,0,0,145583,0,1318787,8954,136629,0,0,None,None,None,0,0,0,169000,5554,0,-23417,-23417,None,USD,38780499,None,None,359885,5407093,33373406,None,842021,9356000,26846187,None,None,1269000,1300846,5407093,1105711,None,None,9977285,27534052,None,33373406,1033329,13389492,None,11450500,3459361,None,None,None,None,26846187,-2829359,None,184485,265115,10426885,None,None,None,None,None,None,None,9356578,38780499,2334175,None,3000000,USD,-16756,1248198,-17424,-3972,None,5419,None,-128091,-23417,-412480,-400475,-50926,260547,None,5419,362519,-2361396,164000,13452,-2361396,None,-412480,11.02,10.26
