,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,14832000,8971000,None,14832000,5861000,4291000,None,None,5861000,None,8971000,None,5861000,None,3239000,1570000,18005000,14766000,None,None,None,1570000,None,None,4291000,4291000,None,USD,2088587000,None,None,None,1844560000,244027000,None,1645312000,95000,195348000,6890000,None,1589082000,134336000,1674128000,None,None,-12022000,4496000,140805000,1877152000,244027000,4212000,6469000,141000000,None,28816000,None,None,95000,None,195348000,None,None,63269000,None,2865000,12542000,None,170432000,170432000,None,None,None,-60606000,2088587000,134336000,None,9513867,USD,53789000,3572000,53165000,600000,-15000000,-31656000,-11719000,2129000,4291000,30446000,8937000,2920000,222000,-2130000,-2807000,None,-1004000,-1064000,624000,-1004000,None,30446000,23.79,
1,2020-03-31,USD,15601000,9538000,None,15601000,6063000,4473000,None,None,6063000,None,9538000,None,6063000,None,4064000,1590000,18581000,14517000,None,None,None,1590000,None,None,4473000,4473000,None,USD,2109785000,None,462527000,None,1865866000,243919000,None,1657031000,96000,193160000,4015000,None,1612535000,104490000,1682610000,None,None,-12052000,4168000,109955000,1929211000,243919000,6393000,5465000,156000000,None,25579000,None,None,96000,None,193160000,None,None,63951000,None,2500000,13241000,None,183256000,183256000,None,None,None,62715000,2109785000,104490000,None,9593332,USD,28983000,-268000,28892000,-27000,-15000000,20765000,25098000,-3862000,4473000,50940000,1283000,-3086000,198000,-2140000,-2193000,None,-56000,22000,91000,-56000,None,50940000,24.55,23.79
2,2019-12-31,USD,15513000,9320000,None,15513000,6193000,5045000,None,None,6193000,None,9320000,None,6193000,None,4309000,1148000,18801000,14492000,None,None,None,1148000,None,None,5045000,5045000,None,USD,2086313000,None,420067000,19379000,1842423000,243890000,None,1631933000,97000,190808000,6964000,None,1635644000,53529000,1657276000,25000000,25000000,-12072000,4370000,58938000,1957765000,243890000,8628000,5409000,156000000,None,25343000,None,None,97000,None,190808000,None,None,62621000,None,2619000,12183000,None,185147000,185147000,None,None,None,65057000,2086313000,53529000,None,9681493,USD,13012000,-744000,12677000,1116000,-27900000,-7870000,26739000,2226000,5045000,15396000,10589000,3115000,221000,-6709000,0,None,85000,2867000,335000,85000,None,15396000,30.94,24.55
3,2019-09-30,USD,16542000,9401000,None,16542000,7141000,5366000,None,None,7141000,None,9401000,None,7141000,None,4397000,1775000,18948000,14551000,None,None,None,1775000,-1000,None,5366000,5366000,None,USD,2085769000,None,411645000,6047000,1840167000,245602000,None,1605194000,97000,192520000,3923000,None,1643948000,39249000,1630611000,10000000,10000000,-11747000,4330000,44743000,1971685000,245602000,8882000,5494000,183900000,None,25417000,None,None,97000,None,192520000,None,None,61963000,None,3048000,11733000,None,209556000,209556000,None,None,None,64732000,2085769000,39249000,None,9674922,USD,-8853000,131000,-8853000,-1548000,38410000,-4905000,-40546000,-3874000,5366000,-12118000,1640000,-3093000,984000,-2938000,-1000,None,81000,-1345000,27000,81000,None,-12118000,28.58,30.94
4,2019-06-30,USD,15986000,9511000,None,15986000,6475000,5060000,None,None,6475000,None,9511000,None,6475000,None,4452000,1415000,19114000,14662000,None,None,None,1415000,-143000,None,5060000,5060000,None,USD,2087897000,None,407598000,5810000,1846125000,241772000,None,1645730000,97000,189189000,6880000,None,1649206000,49831000,1671624000,10000000,10000000,-11849000,4597000,55406000,1963004000,241772000,13349000,5575000,145500000,None,25894000,None,None,97000,None,189189000,None,None,61971000,None,2919000,12121000,None,174501000,174501000,None,None,None,64335000,2087897000,49831000,None,9664793,USD,-6083000,-560000,-6083000,-852000,41000000,17323000,-21649000,2261000,5060000,17861000,6621000,3135000,984000,-2028000,0,None,-103000,156000,285000,-103000,None,17861000,30.9,28.58
5,2019-03-31,USD,18276000,9630000,None,18271000,8497000,6524000,None,None,8497000,None,7089000,None,8641000,None,3869000,1973000,18705000,14836000,None,None,None,1973000,-144000,None,6524000,6524000,None,USD,2064065000,None,394569000,5472000,1825227000,238838000,None,1667379000,96000,187084000,3895000,None,2974000,23667000,1704039000,10000000,10000000,-7721000,16905000,35802000,370817000,238838000,14321000,5472000,104500000,None,23605000,None,None,96000,None,187084000,None,None,63277000,None,2974000,12793000,None,131188000,131188000,None,None,None,63748000,2064065000,30330000,None,9000000,USD,-3778000,1322000,-3778000,-3707000,-37700000,-23095000,-19485000,-4051000,6524000,-23396000,3477000,-3152000,292000,-2014000,-1596000,None,-198000,-1104000,71000,-198000,None,-23396000,26.91,30.9
6,2018-12-31,USD,15604000,9224000,3842000,15604000,6380000,4643000,0,0,6380000,0,9224000,None,6380000,0,3742000,None,None,None,0,0,0,1737000,-151000,0,4643000,4643000,None,USD,2069206000,None,None,17483000,1834127000,235079000,None,1629164000,97000,182594000,7010000,None,1627030000,55156000,1654917000,132200000,132200000,-12702000,4823000,60430000,1949100000,235079000,None,5274000,40000000,309000,25753000,None,None,97000,None,182594000,-4893000,None,50717000,None,4136000,None,None,179210000,179210000,None,None,None,65090000,2069206000,55156000,None,9645955,USD,-20293000,2669000,-20423000,-2056000,51200000,32069000,-14229000,2856000,4643000,22962000,11316000,3787000,164000,-3828000,-1074000,None,None,-83000,130000,136000,None,22962000,25.98,26.91
7,2018-09-30,USD,15557000,9503000,3467000,15557000,6054000,4786000,0,0,6054000,0,9503000,None,6054000,0,3517000,None,None,None,0,0,0,1268000,-150000,0,4786000,4786000,None,USD,2026052000,0,None,5410000,1790217000,235835000,0,1643393000,97000,181799000,4038000,0,1598415000,30146000,1665179000,20000000,20000000,-11924000,5005000,36269000,1930458000,235835000,0,6123000,101000000,0,21786000,0,0,97000,0,181799000,-5016000,None,50593000,None,3727000,None,None,125038000,125038000,None,None,None,65863000,2026052000,30146000,None,9681579,USD,774000,-3125000,812000,-120000,3000000,-5877000,-3790000,-1595000,4786000,-3571000,1494000,-895000,227000,-2997000,-2090000,464000,0,716000,38000,-215000,None,-3571000,29.55,25.98
8,2018-06-30,USD,15684000,9374000,3335000,15684000,6310000,4963000,0,0,6310000,0,9374000,None,6310000,-9000,3275000,None,None,None,0,0,0,1347000,-154000,0,4963000,4963000,None,USD,2032459000,0,None,5195000,1797760000,234699000,0,1647183000,98000,179044000,6700000,0,1588339000,33597000,1673060000,20000000,20000000,-12027000,5362000,42646000,1928581000,234699000,2658000,6391000,98000000,0,25877000,0,0,98000,0,179044000,-5138000,None,51660000,None,4210000,None,None,124700000,124700000,None,None,None,67584000,2032459000,36255000,None,9749697,USD,-13695000,-1352000,-13785000,400000,-10000000,-30088000,-17989000,2556000,4963000,-37440000,6433000,1588000,217000,-1808000,-291000,456000,0,1029000,90000,-12000,None,-37440000,31.0,29.55
9,2018-03-31,USD,15972000,9393000,3004000,15972000,6579000,4820000,0,0,6579000,0,9393000,None,6579000,9000,2995000,None,None,None,0,0,0,1759000,-153000,0,4820000,4820000,None,USD,2055701000,0,None,5183000,1823329000,232372000,0,1665172000,97000,176856000,30157000,0,479943000,71437000,1691434000,20000000,20000000,-12138000,5588000,79366000,1914343000,232372000,2733000,5196000,128000000,0,26262000,0,0,97000,0,176856000,-5260000,None,51411000,None,4993000,None,None,131895000,131895000,None,None,None,67557000,2055701000,74170000,None,9733830,USD,-20234000,-1635000,-20365000,50000,-9200000,51005000,67877000,-2981000,4820000,33023000,2383000,-1208000,178000,-1857000,-5815000,446000,0,269000,181000,-41000,None,33023000,29.66,31.0
