,fiscalDateEnding,reportedCurrency_x,totalRevenue,totalOperatingExpense,costOfRevenue,grossProfit,ebit,netIncome_x,researchAndDevelopment,effectOfAccountingCharges,incomeBeforeTax,minorityInterest,sellingGeneralAdministrative,otherNonOperatingIncome,operatingIncome,otherOperatingExpense,interestExpense,taxProvision,interestIncome,netInterestIncome,extraordinaryItems,nonRecurring,otherItems,incomeTaxExpense,totalOtherIncomeExpense,discontinuedOperations,netIncomeFromContinuingOperations,netIncomeApplicableToCommonShares,preferredStockAndOtherAdjustments,reportedCurrency_y,totalAssets,intangibleAssets,earningAssets,otherCurrentAssets,totalLiabilities,totalShareholderEquity,deferredLongTermLiabilities,otherCurrentLiabilities,commonStock,retainedEarnings,otherLiabilities,goodwill,otherAssets,cash,totalCurrentLiabilities,shortTermDebt,currentLongTermDebt,otherShareholderEquity,propertyPlantEquipment,totalCurrentAssets,longTermInvestments,netTangibleAssets,shortTermInvestments,netReceivables,longTermDebt,inventory,accountsPayable,totalPermanentEquity,additionalPaidInCapital,commonStockTotalEquity,preferredStockTotalEquity,retainedEarningsTotalEquity,treasuryStock,accumulatedAmortization,otherNonCurrrentAssets,deferredLongTermAssetCharges,totalNonCurrentAssets,capitalLeaseObligations,totalLongTermDebt,otherNonCurrentLiabilities,totalNonCurrentLiabilities,negativeGoodwill,warrants,preferredStockRedeemable,capitalSurplus,liabilitiesAndShareholderEquity,cashAndShortTermInvestments,accumulatedDepreciation,commonStockSharesOutstanding,reportedCurrency,investments,changeInLiabilities,cashflowFromInvestment,otherCashflowFromInvestment,netBorrowings,cashflowFromFinancing,otherCashflowFromFinancing,changeInOperatingActivities,netIncome_y,changeInCash,operatingCashflow,otherOperatingCashflow,depreciation,dividendPayout,stockSaleAndPurchase,changeInInventory,changeInAccountReceivables,changeInNetIncome,capitalExpenditures,changeInReceivables,changeInExchangeRate,changeInCashAndCashEquivalents,clossingVal,nextClossingVal
0,2020-06-30,USD,598730,1081291,243766,354964,-477314,-482478,332167,None,-482478,None,505358,None,-482561,1000,None,None,83,83,None,None,None,None,None,None,-482478,-482478,None,USD,2912379,None,None,148424,1975371,937008,None,15455,185041,-3479149,None,None,None,960549,1530254,None,None,None,617092,2295287,None,937008,None,49619,None,1136695,90196,None,None,None,None,None,None,None,None,None,617092,595946,None,None,445117,None,None,None,None,None,None,None,None,USD,None,308494,None,None,474400,None,None,-40063,-482478,None,-121007,None,5247,None,None,-105211,178078,14926,0,None,None,None,3.33,
1,2020-04-30,USD,598730,1081291,243766,354964,-477314,-482478,332167,None,-482478,None,505358,None,-482561,None,None,None,83,83,None,None,None,None,None,None,-482478,-482478,None,USD,2912379,None,None,148424,1975371,937008,None,15455,185041,-3479149,None,None,None,960549,1530254,None,None,None,617092,2295287,None,937008,None,49619,None,1136695,90196,None,None,None,None,None,None,None,None,None,617092,595946,None,None,445117,None,None,None,None,None,None,None,None,USD,None,308494,None,None,474400,None,None,-40063,None,None,-121007,None,None,None,None,None,None,14926,0,None,None,None,2.35,3.33
2,2020-03-31,USD,722751,670212,413958,308793,-361266,-361266,156991,None,-361266,None,513221,153,-361419,-722751,None,None,153,153,None,None,None,None,None,None,-361266,-361266,None,USD,2633870,None,None,108361,1229310,1404560,None,958648,185041,-2996671,None,None,None,607156,745955,1569,None,None,26393,1974698,None,1404560,None,227697,None,1031484,269093,None,None,185041,None,-2996671,None,None,632779,None,659172,632779,None,None,483355,None,None,None,4216190,2633870,607156,None,1850403,USD,None,-29213,None,None,474400,None,None,-114487,-361266,-140675,-140675,191332,5246,None,None,-3278,42528,13976,0,42528,None,-140675,2.086,2.35
3,2020-01-31,USD,722751,1084170,413958,308793,-356173,-361266,156991,None,-361266,None,513221,None,-361419,None,None,None,153,153,None,None,None,None,None,None,-361266,-361266,None,USD,2633870,None,None,108361,1229310,1404560,None,18004,185041,-2996671,None,None,None,607156,745955,None,None,None,659172,1974698,None,1404560,None,227697,None,1031484,47801,None,None,None,None,None,None,None,None,None,659172,632779,None,None,483355,None,None,None,None,None,None,None,None,USD,None,276606,None,None,474400,None,None,-114487,None,None,-140675,None,None,None,None,None,None,13976,0,None,None,None,4.38,2.086
4,2019-12-31,USD,665925,789544,357074,308851,-480474,-480474,205394,None,-480474,None,584150,219,-480693,-665925,None,None,219,219,None,None,None,None,219,None,-480474,-480474,None,USD,2847483,None,None,100313,1095633,1751850,None,795056,185041,-2635405,None,None,None,747831,574396,34463,None,None,31639,2146575,None,1751850,None,270225,None,1028206,266114,None,None,185041,None,-2635405,None,None,669269,None,700908,669269,None,None,521237,None,None,None,4202214,2847483,747831,None,1850403,USD,None,-377787,None,None,474400,None,None,124376,-480474,-845564,-845564,124376,5842,None,None,14006,-144302,12775,0,-144302,None,-845564,5.05,4.38
5,2019-10-31,USD,665925,1146618,357074,308851,-474851,-480474,205394,None,-480474,None,584150,None,-480693,None,None,None,219,219,None,None,None,None,None,None,-480474,-480474,None,USD,2847483,None,None,100313,1095633,1751850,None,17302,185041,-2635405,None,None,None,747831,574396,None,None,None,700908,2146575,None,1751850,None,270225,None,1028206,95116,None,None,None,None,None,None,None,None,None,700908,669269,None,None,521237,None,None,None,None,None,None,None,None,USD,None,-377787,None,None,474400,None,None,124376,None,None,-845564,None,None,None,None,None,None,12775,0,None,None,None,2.31,5.05
6,2019-09-30,USD,2748648,2690955,1824303,2159007,-528254,-528254,189010,None,-528254,None,1267282,3694,-531948,-2748647,None,None,None,None,None,None,None,None,152,None,-528254,-528254,None,USD,2917261,None,None,118250,697712,2219549,None,19579,185041,-2154931,None,None,None,1593395,697712,84804,None,None,37481,2879780,None,2219549,None,125923,None,1042212,593329,None,None,185041,None,-2154931,None,None,37481,None,37481,None,None,None,0,None,None,None,4189439,2917261,1593395,None,1850403,USD,1,171653,1,None,474400,None,None,-29018,1032373,828609,828608,-352411,6444,None,None,40126,-81565,11988,1,-81565,None,828609,2.5,2.31
7,2019-07-31,USD,2748648,1716427,1034953,1713695,1038665,1032373,145919,None,1032373,None,535555,None,1032221,None,None,None,None,None,None,None,None,None,None,None,1032373,1032373,None,USD,2917261,None,None,118250,697712,2219549,None,102337,185041,-2154931,None,None,None,1593395,697712,None,None,None,37481,2879780,None,2219549,None,125923,None,1042212,355158,None,None,None,None,None,None,None,None,None,37481,None,None,None,0,None,None,None,None,None,None,None,None,USD,None,-151740,1,None,474400,None,None,-29018,None,None,828608,None,None,None,None,None,None,11988,0,None,None,None,2.56,2.5
8,2019-06-30,USD,1234662,-1234663,789350,445312,1234663,1234663,43092,None,1234663,None,731728,None,1234663,-1234663,None,None,3543,3543,None,None,None,None,3543,None,1234663,1234663,None,USD,2058222,None,None,122814,883034,1175188,None,373442,185041,-3187304,None,None,None,764786,883034,None,None,None,43926,2014296,None,1175188,None,44358,None,1082338,509592,None,None,185041,None,-3187304,None,None,43926,None,43926,None,None,None,0,None,None,None,4177451,2058222,764786,None,1850403,USD,-16221,-13899,-16221,None,None,None,None,13907,-325964,-1000566,-984345,-876386,5723,None,None,-39758,240443,25496,16221,240443,None,-1000566,4.01,2.56
9,2019-03-31,USD,1928468,631597,1129236,799232,172607,172607,36326,None,172607,None,595271,4972,167635,-1928468,None,None,4972,4972,None,None,None,None,4972,None,172607,172607,None,USD,3262882,None,None,136721,1787225,1475657,None,1286921,185041,-2861339,None,None,None,1765352,1787225,None,None,None,33428,3229454,None,1475657,None,201844,None,1042580,500305,None,None,185041,None,-2861339,None,None,33428,None,33428,None,None,None,0,None,None,None,4151955,3262882,1765352,-4545073,1850403,USD,0,105300,-16221,None,None,None,None,-40949,172607,17225,17225,-523983,6947,None,None,330527,-82957,8784,16221,-82957,None,17225,3.48,4.01
